smiles,NOCount,ExactMolWt,MolWt,RingCount
Cc1ccc(cc1C)C(=O)COC(=O)CNC(=O)c2occc2,6,315.1106873,315.3250122,2
CC(Sc1nnc(COc2ccc(Cl)cc2)n1Cc3ccccc3)C(=O)O,6,403.0757446,403.8909912,3
Cc1cccc(CCNC(=O)C2CCN(CC2)S(=O)(=O)c3c(C)onc3C)c1,7,405.1722412,405.5199890,3
CC(C)CN=C(S)NC1CC2CCCC(C1)N2Cc3occc3,4,335.2031250,335.5169983,3
CNc1nc(Nc2ccc(Br)cc2)nc(N)c1[N+](=O)[O-],8,338.0126953,339.1530151,2
COc1cccc(c1)c2nnc3sc(nn23)c4ccccc4,5,308.0731812,308.3659973,4
Sc1nccn1c2cc(OCc3ccccc3)c(Cl)cc2Cl,3,350.0047302,351.2579956,3
Cc1cccc(n1)C2Nc3ccccc3C(=O)N2CCc4ccccc4,4,343.1684570,343.4299927,4
CN(C)CCOC(c1ccc(C)cc1)c2cccc(c2)C(F)(F)F.OC(=O)\C=C/C(=O)O,6,453.1763000,453.4570007,2
CN(C(=O)COc1ccccc1C(=O)NCCc2ccccc2)c3ccccc3,5,388.1786804,388.4670105,3
CC(Oc1ccc(Cl)cc1Cl)c2onc(n2)c3ccc(NC(=O)c4ccncc4)cc3,7,454.0599365,455.3009949,4
Cc1cc(Cl)ccc1NC(=O)NC2CCN(CC2)S(=O)(=O)c3ccc(F)cc3,6,425.0976257,425.9129944,3
CC(C)N1N=C(C(=O)Oc2cc(Cl)ccc2Cl)c3ccccc3C1=O,5,376.0381470,377.2269897,3
CCOCCCNC(=O)C1=CN(CC=C)c2ccc(cc2C1=O)S(=O)(=O)N(CC)CC,8,449.1984558,449.5729980,2
S=C(NCCc1ccccc1)NC2CCC(CC2)NC(=S)NCCc3ccccc3,4,440.2068481,440.6820068,3
Cl.COc1cccc(C2CNC3(CCCC(C)C3)c4[nH]c5ccccc5c24)c1OC,4,426.2073975,426.9880066,5
CC(C)(C)NC(=O)NC(=O)COC(=O)c1c(F)cccc1Cl,6,330.0782776,330.7430115,1
CCCCOC(=O)c1ccc(NC(=O)COC(=O)CSc2nc(C)cc(C)n2)cc1,8,431.1514893,431.5140076,2
[O-][N+](=O)c1cc(ccc1F)N2Cc3ccccc3C2=N,5,271.0757141,271.2510071,3
Cl.COc1cc2nc(Nc3ccc(C)c(Cl)c3)nc(N)c2cc1OC,6,380.0806885,381.2630005,3
COc1ccc(cc1)C2=Nc3ccccc3C(=O)O2,4,253.0738983,253.2570038,3
Cc1cccc(NC(=O)CN2C(=O)NC(Cc3ccccc3)C2=O)c1,6,337.1426392,337.3789978,3
COc1ccccc1C(=O)Nc2cccc(c2)N(C)S(=O)(=O)C,6,334.0987244,334.3970032,2
Cc1noc(C(=O)Nc2ccccc2C(F)(F)F)c1Cl,4,304.0226440,304.6549988,2
CS(=O)(=O)c1ccc(cc1)c2csc(n2)c3cccnc3,4,316.0340271,316.4070129,3
Cc1cc(C)cc(NC(=O)c2sc3N=C4CCCN4C(=O)c3c2C)c1,5,353.1198120,353.4469910,4
COc1ccc(cc1)N2CCN(CC2)S(=O)(=O)c3cccc4nsnc34,7,390.0820313,390.4899902,4
CC(CNC(=O)c1ccccc1)n2nc(C)nc2C,5,258.1480713,258.3250122,2
COc1cc(\C=C\C(=O)Nc2nnc(s2)C(C)(C)C)cc(OC)c1OC,7,377.1409302,377.4660034,2
CCOC(=O)CCCNC(=O)CN1C(=O)NC2(CCCCCC2)C1=O,8,353.1950684,353.4190063,2
C[C@H](NC(=O)C1CCN(CC1)S(=O)(=O)c2ccc(C)cc2)C(=O)NCCc3ccccc3,7,457.2035217,457.5960083,3
COC(=O)c1ccc(CNC(=O)c2ccc3oc(nc3c2)C(C)C)cc1,6,352.1423035,352.3900146,3
[O-][N+](=O)c1cc(COC(=O)c2ccccn2)c3OCOCc3c1,8,316.0695496,316.2690125,3
CCS(=O)(=O)CCSC1OC(COC(=O)C)C(OC(=O)C)C(OC(=O)C)C1OC(=O)C,11,484.1072998,484.5450134,1
NNC(=O)c1oc(cc1)c2cccc(c2)[N+](=O)[O-],7,247.0593109,247.2100067,2
COc1cc(OC)c(cc1OC)C(=O)Nc2cccc3ccccc23,5,337.1314087,337.3750000,3
Cc1cc2c(ncn2Cc3ccccc3)c(c1C)[N+](=O)[O-],5,281.1164246,281.3150024,3
Cc1cc(C)c(NC(=O)CSc2nc3ccc(cc3s2)N4C(=O)c5ccccc5C4=O)c(C)c1,6,487.1024475,487.6059875,5
COCCCNC(=O)CN(c1ccc(Cl)c(Cl)c1)S(=O)(=O)C,6,368.0364380,369.2699890,1
OC(=O)CCCNC(=O)c1ccc(NC(=O)Cc2ccc(Cl)cc2)cc1,6,374.1033325,374.8240051,2
CCn1cc(cn1)C(=O)Nc2ccc(C)c(c2)[N+](=O)[O-],7,274.1065979,274.2799988,2
CCOC(=O)C1CCN(CC1)C(=Nc2cccc(C)c2C)S,4,320.1558533,320.4580078,2
COc1ccc(cc1OC)c2ccc(SCc3cccnc3)nn2,5,339.1041565,339.4200134,3
COC(=O)C1=C(C)N(C(C)c2ccccc2)C(=O)/C/1=C\c3occc3,5,337.1314087,337.3750000,3
Cc1c(O)ccc(C(=O)CN2CCN(CC2)c3ccc(F)cc3)c1O,5,344.1536255,344.3859863,3
[O-][N+](=O)c1ccc(NC(=O)NCCN2CCCCC2)cc1,7,292.1535339,292.3389893,2
CC1=Nc2ccccc2C(=O)N1NC(=O)C3CCCCC3,5,285.1477356,285.3469849,3
Cc1cccc(OCCOCCSc2ncccn2)c1,4,290.1088867,290.3880005,2
CC(=O)NC(CCS(=O)(=O)C)C(=O)Nc1ccccc1C,6,312.1143799,312.3909912,1
CCN(CC)C(=O)c1cc(on1)c2ccc(Br)cc2,4,322.0316772,323.1900024,2
Clc1ccc(cc1)S(=O)(=O)N2CCCC2c3cccnc3,4,322.0542908,322.8169861,3
CCC1=Nc2cc(ccc2Sc3ccc(Br)cc13)C(=O)NCC4CCCO4,4,444.0507202,445.3819885,4
Oc1ccc(cc1NC(=O)CSc2nc3ccccc3s2)S(=O)(=O)N4CCOCC4,8,465.0486755,465.5780029,4
COc1cc(\C=C\C(=C\2/C(=O)NC(=O)N(CCc3ccccc3)C2=O)\O)ccc1O,8,408.1321411,408.4100037,3
COc1cccc(c1)C2C3=C(OC(=C2C#N)N)C(=O)C=C(CO)O3,7,326.0902710,326.3080139,3
CCn1c(O)c(N=N)c2ccccc12,4,189.0902100,189.2180023,2
NC(=O)C1(CCN(CC1)c2nc(cs2)c3ccc(Br)cc3)N4CCCCC4,5,448.0932312,449.4179993,4
Cc1nc2c(C#N)c(C)nn2c(O)c1Cc3ccccc3,5,278.1167603,278.3150024,3
CC(C)(C)c1ccc(NC(=O)N2CCCN(CC2)c3ccc(cn3)[N+](=O)[O-])cc1,8,397.2113953,397.4790039,3
NC(=O)CSC1=Nc2ccccc2C3=NC(CCC(=O)NCc4ccc(F)cc4)C(=O)N13,8,453.1270752,453.4989929,4
CCCCCCCCOC(=O)\C=C\c1c(C)nc(O)nc1O,6,308.1736145,308.3779907,1
CCC(CC)NC1CCCCC1OC,2,199.1936188,199.3379974,1
CCN1CCN(CC1)c2ccc(cc2NC(=O)\C=C\c3cccc(OC)c3OC)S(=O)(=O)N4CCCCC4,9,542.2562866,542.7020264,4
COc1ccc(cc1Cl)S(=O)(=O)N(C)CC(=O)NCc2cccnc2,7,383.0706482,383.8569946,2
CCC(=O)C1CCCN(C1)C(=O)c2ccc3nc(oc3c2)c4cccc(OC)c4,6,392.1736145,392.4549866,4
COc1ccccc1CNC(=O)CCCN2C(=O)N(CC(=O)NC3CCCC3)c4ccccc4C2=O,9,492.2372742,492.5759888,4
COc1cccc(c1)N2C(=O)CC(Sc3nc(C)cc(C)n3)C2=O,6,343.0990601,343.4079895,3
CCOCCCNC(=O)C1CCN(CC1)S(=O)(=O)N2CCCC2,7,347.1878662,347.4809875,2
CCO.CCO\C(=C/1\C(c2ccc(cc2)C(=O)OC)c3c(N)c(sc3N=C1C)C(=O)c4ccc(C)cc4)\O,8,536.1981201,536.6500244,4
CC1=NN(C(=O)/C/1=C/c2cc3cc(C)ccc3nc2N4CCCCC4)c5ccccc5,5,410.2106628,410.5209961,5
ClC(C(=O)Nc1ccccc1)C(=O)c2ccccc2,3,273.0556641,273.7189941,2
CCCCc1nnc(NC(=O)CSCC2=CC(=O)N3C=CSC3=N2)s1,7,395.0544434,395.5350037,3
Cc1ccc(cc1)S(=O)(=O)CC(=O)Nc2nnc(C)s2,6,311.0398254,311.3880005,2
Cc1ccc(Sc2ncnc3onc(C)c23)c(C)c1,4,271.0779419,271.3450012,3
CC1=CC=CN2C(=O)C(=C(N=C12)N3CCC(CC3)C(=O)N)\C=C(/C#N)\S(=O)(=O)c4ccc(Cl)cc4,9,511.1080933,511.9909973,4
CC(CNS(=O)(=O)c1ccccc1)Sc2ncccn2,5,309.0605774,309.4159851,2
