smiles,ID,Mol Wt.,Plate #,Row,Column,LC/MS,LD(50),In-vivo Activity,Assay #1(IC50),Assay #2 (IC50),Efficacy,Kd #1,Kd #2,Half life (min),Bioavailability,cLogP,Pka,R1 fmla,R2 fmla,R3 fmla,R4 fmla,2Ka,S5,T1,1Cv,Core_id
CN(C)c1ccc2NC(=O)CN=C(c2c1)C3CCCCC3,16,285.3900146,1,8,2,fail,106.6999969,78,951.5900269,1382.5500488,78,2549.2900391,1054.7700195,339,46,4.6500001,8.0000000,H-,C6H11-,C2H6N-,H-,0.5480000,6.2500000,3.2230000,2.5200000,C15H15N2O
CN(C)c1ccc2c(c1)C(=NCC(=O)N2C)C3CCCCC3,17,299.4200134,1,1,3,fail,896.3900146,64,776.9719849,4072.6000977,64,1691.0999756,12704.7001953,5,55,-1.4900000,10.0000000,H-,C6H11-,C2H6N-,CH3-,6.1620002,-1.5800000,-1.5860000,1.1000000,C15H15N2O
CCCCN1C(=O)CN=C(c2cc(ccc12)N(C)C)C3CCCCC3,18,341.5000000,1,2,3,pass,685.4899902,0,0.0200000,366.3399963,0,6.6300001,197.1900024,25,44,-1.5500000,5.0000000,H-,C6H11-,C2H6N-,C4H9-,2.3000000,6.5799999,6.6849999,3.8399999,C15H15N2O
CC(C)CCN1C(=O)CN=C(c2cc(ccc12)N(C)C)C3CCCCC3,19,355.5299988,1,3,3,pass,68.8399963,80,0.0300000,455.3699951,80,0.1700000,0.3200000,304,59,1.8300000,5.0000000,H-,C6H11-,C2H6N-,C5H11-,-0.9000000,4.9499998,4.0999999,2.2200000,C15H15N2O
CN(C)c1ccc2c(c1)C(=NCC(=O)N2CC3CCCCC3)C4CCCCC4,20,381.5700073,1,4,3,pass,384.5100098,100,0.0010000,690.0000000,100,0.1000000,0.1000000,17,32,-2.8099999,10.5000000,H-,C6H11-,C2H6N-,C7H13-,6.7500000,4.8200002,7.1589999,-1.7100000,C15H15N2O
O=C1CN=C(c2cc(F)ccc2N1)C3CCCCC3,21,260.3099976,1,5,3,fail,99.5899963,52,852.6690063,3563.0900879,52,1360.1700439,9306.8095703,198,23,-0.3100000,8.3000002,H-,C6H11-,F-,H-,6.5999999,4.3099999,7.6609998,6.1799998,C15H15N2O
CN1C(=O)CN=C(c2cc(F)ccc12)C3CCCCC3,22,274.3399963,1,6,3,fail,334.4599915,60,1271.0699463,4139.8198242,60,2602.3300781,8353.9101563,189,54,0.7100000,10.5000000,H-,C6H11-,F-,CH3-,5.6830001,1.8400000,-1.7770000,-1.5500000,C15H15N2O
CCCCN1C(=O)CN=C(c2cc(F)ccc12)C3CCCCC3,23,316.4200134,1,7,3,pass,10.1999998,57,0.7940000,106.7149963,57,1.1000000,92.0299988,88,36,0.4000000,8.1999998,H-,C6H11-,F-,C4H9-,-1.0260000,4.5400000,0.2570000,1.4900000,C15H15N2O
CC(C)CCN1C(=O)CN=C(c2cc(F)ccc12)C3CCCCC3,24,330.4500122,1,8,3,fail,280.3399963,13,1434.3499756,1748.1500244,13,2441.8701172,5477.3300781,490,50,1.3900000,5.0000000,H-,C6H11-,F-,C5H11-,3.2600000,0.0600000,-1.9440000,1.8400000,C15H15N2O
O=C1CN=C(c2cc(F)ccc2N1CC3CCCCC3)C4CCCCC4,25,356.4899902,1,1,4,pass,14.6400003,52,9.8070002,22.1480007,52,16.2199993,29.3199997,465,38,-2.7100000,9.8999996,H-,C6H11-,F-,C7H13-,2.0000000,2.2600000,7.1550002,2.8099999,C15H15N2O
O=C1CN=C(c2cc(Br)ccc2N1)C3CCCCC3,26,321.2200012,1,2,4,pass,725.6400146,57,2.0780001,405.7290039,57,3.6300001,984.1400146,248,70,-1.2000000,3.3000000,H-,C6H11-,Br-,H-,-1.2950000,1.6400000,2.9600000,6.9699998,C15H15N2O
CN1C(=O)CN=C(c2cc(Br)ccc12)C3CCCCC3,27,335.2500000,1,3,4,pass,376.5899963,45,4.5229998,58.2340012,45,1.7400000,61.8300018,452,60,0.9000000,3.3000000,H-,C6H11-,Br-,CH3-,0.3000000,-1.0300000,1.8130000,-0.4600000,C15H15N2O
CCCCN1C(=O)CN=C(c2cc(Br)ccc12)C3CCCCC3,28,377.3299866,1,4,4,pass,22.7500000,20,179.8549957,1.5540000,20,371.7500000,2.6300001,173,22,2.9600000,6.3000002,H-,C6H11-,Br-,C4H9-,7.7560000,6.1500001,5.7940001,0.7100000,C15H15N2O
CC(C)CCN1C(=O)CN=C(c2cc(Br)ccc12)C3CCCCC3,29,391.3500061,1,5,4,pass,120.3300018,46,367.5750122,91.5690002,46,489.6400146,90.0100021,189,41,-3.1700001,8.6999998,H-,C6H11-,Br-,C5H11-,2.2000000,3.2600000,3.8180001,1.2800000,C15H15N2O
O=C1CN=C(c2cc(Br)ccc2N1CC3CCCCC3)C4CCCCC4,30,417.3900146,1,6,4,pass,290.2799988,24,46.9939995,57.2779999,24,68.6999969,22.3799992,46,49,7.5799999,11.0000000,H-,C6H11-,Br-,C7H13-,1.4880000,5.0100002,4.2340002,7.0300002,C15H15N2O
O=C1CN=C(c2cc(I)ccc2N1)C3CCCCC3,31,368.2200012,1,7,4,pass,992.3800049,54,7.9530001,0.2470000,54,2.6800001,0.4700000,464,40,-4.4899998,6.5999999,H-,C6H11-,I-,H-,7.0000000,1.0400000,5.8680000,-0.6900000,C15H15N2O
CN1C(=O)CN=C(c2cc(I)ccc12)C3CCCCC3,32,382.2500000,1,8,4,fail,3.6800001,57,926.6300049,1439.7900391,57,216.3699951,4355.2998047,148,36,-2.6500001,3.2000000,H-,C6H11-,I-,CH3-,3.0000000,0.9900000,3.7909999,4.8099999,C15H15N2O
CCCCN1C(=O)CN=C(c2cc(I)ccc12)C3CCCCC3,33,424.3299866,1,1,5,pass,998.6199951,19,880.9340210,10.2089996,19,403.9899902,5.6900001,196,24,-1.1799999,10.8000002,H-,C6H11-,I-,C4H9-,1.6270000,4.0599999,-0.8990000,4.7300000,C15H15N2O
CC(C)CCN1C(=O)CN=C(c2cc(I)ccc12)C3CCCCC3,34,438.3599854,1,2,5,pass,51.1800003,53,0.9850000,2.2370000,53,1.2400000,1.7400000,36,48,-3.2100000,9.6999998,H-,C6H11-,I-,C5H11-,3.3540001,1.0599999,6.4600000,5.4000001,C15H15N2O
O=C1CN=C(c2cc(I)ccc2N1CC3CCCCC3)C4CCCCC4,35,464.3900146,1,3,5,pass,55.2999992,29,678.6250000,7.7309999,29,337.6799927,12.3400002,63,51,-0.4100000,8.8999996,H-,C6H11-,I-,C7H13-,-0.5950000,3.6600001,2.8310001,3.1099999,C15H15N2O
NC(=O)c1ccc2NC(=O)CN=C(c2c1)C3CCCCC3,36,285.3500061,1,4,5,pass,46.7099991,11,9.0000000,5500.0000000,11,0.1800000,1422.2500000,164,9,-1.5300000,8.5000000,H-,C6H11-,CH2NO-,H-,7.0599999,-1.2800000,-0.9700000,5.8499999,C15H15N2O
CN1C(=O)CN=C(c2cc(ccc12)C(N)=O)C3CCCCC3,37,299.3800049,1,5,5,pass,52.9700012,4,0.3400000,4900.0000000,4,0.4500000,1.1300000,85,16,0.5100000,8.3999996,H-,C6H11-,CH2NO-,CH3-,-1.6640000,7.0999999,5.1999998,0.7200000,C15H15N2O
CCCCN1C(=O)CN=C(c2cc(ccc12)C(N)=O)C3CCCCC3,38,341.4599915,1,6,5,pass,396.3699951,21,0.0500000,8.5400000,21,0.1900000,6.9400001,471,11,4.5300002,9.1000004,H-,C6H11-,CH2NO-,C4H9-,4.5689998,4.2600002,3.9800000,7.4400001,C15H15N2O
CC(C)CCN1C(=O)CN=C(c2cc(ccc12)C(N)=O)C3CCCCC3,39,355.4800110,1,7,5,pass,641.4600220,37,0.7800000,0.0530000,37,0.2200000,0.1300000,295,7,-1.5500000,9.6000004,H-,C6H11-,CH2NO-,C5H11-,-1.8360000,0.9300000,3.1400001,-1.0100000,C15H15N2O
NC(=O)c1ccc2c(c1)C(=NCC(=O)N2CC3CCCCC3)C4CCCCC4,40,381.5199890,1,8,5,fail,6.8899999,19,641.8939819,1576.1899414,19,761.0000000,4658.8500977,91,2,0.8600000,9.3999996,H-,C6H11-,CH2NO-,C7H13-,-1.3440000,6.0900002,-0.3300000,4.2600002,C15H15N2O
O=C1CN=C(c2cc(ccc2N1)[N+](=O)[O-])C3CCCCC3,41,287.3200073,1,1,6,pass,29.4899998,40,9.5959997,0.2940000,40,9.2299995,0.3400000,70,59,-4.3600001,6.3000002,H-,C6H11-,NO2-,H-,0.0000000,7.5700002,2.2980001,2.4900000,C15H15N2O
CN1C(=O)CN=C(c2cc(ccc12)[N+](=O)[O-])C3CCCCC3,42,301.3500061,1,2,6,pass,31.7700005,36,644.0590210,0.0060000,36,1033.8399658,0.1100000,427,56,-1.1000000,10.6999998,H-,C6H11-,NO2-,CH3-,5.1110001,7.8899999,7.9819999,3.8199999,C15H15N2O
CCCCN1C(=O)CN=C(c2cc(ccc12)[N+](=O)[O-])C3CCCCC3,43,343.4299927,1,3,6,fail,37.3800011,13,1251.3599854,3306.6599121,13,2025.4499512,6887.9799805,194,69,-4.2500000,7.5999999,H-,C6H11-,NO2-,C4H9-,6.0720000,-0.1900000,4.4749999,-0.4400000,C15H15N2O
CC(C)CCN1C(=O)CN=C(c2cc(ccc12)[N+](=O)[O-])C3CCCCC3,44,357.4599915,1,4,6,pass,62.3600006,33,144.3619995,0.0020000,33,109.4700012,0.1000000,402,62,-0.6700000,3.0000000,H-,C6H11-,NO2-,C5H11-,-1.3760000,7.9299998,6.4549999,4.8200002,C15H15N2O
O=C1CN=C(c2cc(ccc2N1CC3CCCCC3)[N+](=O)[O-])C4CCCCC4,45,383.4899902,1,5,6,pass,9.7600002,67,1.2390000,20.5499992,67,0.1600000,17.5100002,484,43,-3.6800001,5.0000000,H-,C6H11-,NO2-,C7H13-,2.7000000,5.5500002,1.2370000,-0.1300000,C15H15N2O
O=C1CN=C(c2ccccc2)c3ccccc3N1,46,236.2799988,1,6,6,pass,3.9400001,84,0.0150000,2.2090001,84,0.1100000,1.6200000,310,60,-2.3099999,8.1999998,H-,C6H5-,H-,H-,5.1440001,-1.8700000,3.7219999,3.8000000,
CN1C(=O)CN=C(c2ccccc2)c3ccccc13,47,250.3000031,1,7,6,pass,99.4100037,62,5.8360000,2.0270000,62,4.1999998,0.8600000,148,40,2.8399999,7.9000001,H-,C6H5-,H-,CH3-,6.8000002,-0.4700000,1.8540000,2.1600001,
CCCCN1C(=O)CN=C(c2ccccc2)c3ccccc13,48,292.3800049,1,8,6,fail,9.7600002,31,868.7230225,4286.8701172,31,251.0399933,13282.5996094,47,25,2.7000000,4.8000002,H-,C6H5-,H-,C4H9-,1.9140000,0.5600000,1.2120000,1.9400001,
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3ccccc13,49,306.4100037,1,1,7,pass,678.5800171,77,0.1790000,152.0480042,77,0.4200000,40.4199982,323,49,2.9000001,5.1999998,H-,C6H5-,H-,C5H11-,-0.1600000,7.6199999,2.5309999,2.8399999,
O=C1CN=C(c2ccccc2)c3ccccc3N1CC4CCCCC4,50,332.4500122,1,2,7,pass,274.3699951,10,894.0079956,886.2219849,10,1393.9100342,1629.3900146,418,35,-4.4499998,7.9000001,H-,C6H5-,H-,C7H13-,6.3230000,6.1199999,6.1430001,7.8000002,
O=C1CN=C(c2ccccc2)c3cc(Cl)ccc3N1,51,270.7200012,1,3,7,pass,2.1800001,21,483.1539917,39.6870003,21,734.6099854,15.1700001,158,37,-0.2900000,7.6999998,H-,C6H5-,Cl-,H-,-1.0470001,4.3200002,4.8610001,3.9100001,
CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,52,284.7500000,1,4,7,pass,124.6100006,6,834.6430054,662.3380127,6,1255.6300049,1425.4699707,311,71,0.8600000,3.7000000,H-,C6H5-,Cl-,CH3-,-1.2940000,1.1000000,7.0170002,-0.5700000,
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,53,326.8299866,1,5,7,pass,4.4899998,20,625.9790039,11.6260004,20,763.1199951,6.8800001,447,57,0.8000000,5.0999999,H-,C6H5-,Cl-,C4H9-,-0.9810000,7.4800000,0.0710000,4.6100001,
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,54,340.8599854,1,6,7,pass,36.9599991,75,0.6840000,534.2509766,75,0.6200000,3.8299999,377,60,3.5899999,5.8000002,H-,C6H5-,Cl-,C5H11-,-1.4430000,5.0799999,-0.2400000,1.2600000,
O=C1CN=C(c2ccccc2)c3cc(Cl)ccc3N1CC4CCCCC4,55,366.8900146,1,7,7,pass,309.3699951,50,10.4090004,473.2529907,50,2.3299999,65.4000015,225,43,-4.1799998,7.1999998,H-,C6H5-,Cl-,C7H13-,6.3000002,2.2000000,7.8260002,0.4900000,
N#Cc1ccc2NC(=O)CN=C(c3ccccc3)c2c1,56,261.2900085,1,8,7,fail,13.9499998,34,942.5070190,4992.2500000,34,1402.8399658,9944.8095703,492,35,-2.3099999,9.5000000,H-,C6H5-,CN-,H-,-0.7040000,5.2199998,4.9790001,2.9800000,
CN1C(=O)CN=C(c2ccccc2)c3cc(C#N)ccc13,57,275.3099976,1,1,8,pass,409.8599854,70,0.3710000,231.2929993,70,0.7800000,102.6100006,116,33,-2.0100000,4.0999999,H-,C6H5-,CN-,CH3-,2.8910000,5.0200000,-1.0530000,2.7100000,
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(C#N)ccc13,58,317.3900146,1,2,8,pass,72.6999969,86,0.0070000,358.8819885,86,44.7000008,3.8900001,245,32,-4.9499998,5.3000002,H-,C6H5-,CN-,C4H9-,-1.0170000,5.5799999,6.8230000,6.5799999,
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(C#N)ccc13,59,331.4200134,1,3,8,fail,3.4600000,50,567.9420166,3278.2099609,50,1534.3499756,8804.7802734,437,41,-4.2500000,9.6999998,H-,C6H5-,CN-,C5H11-,4.8930001,5.2300000,7.6630001,0.4900000,
N#Cc1ccc2c(c1)C(=NCC(=O)N2CC3CCCCC3)c4ccccc4,60,357.4599915,1,4,8,pass,71.1600037,57,1.2010000,531.5219727,57,0.7300000,273.6199951,20,69,0.0700000,3.2000000,H-,C6H5-,CN-,C7H13-,4.5000000,5.6500001,-1.8740000,7.4899998,
CN(C)c1ccc2NC(=O)CN=C(c3ccccc3)c2c1,61,279.3399963,1,5,8,pass,80.9100037,7,0.0500000,2450.0000000,7,1394.2500000,0.4800000,23,49,-1.1600000,9.8000002,H-,C6H5-,C2H6N-,H-,3.1329999,-0.7200000,0.3880000,1.1100000,
CN(C)c1ccc2c(c1)C(=NCC(=O)N2C)c3ccccc3,62,293.3699951,1,6,8,pass,120.9599991,57,0.0100000,989.5700073,57,23.1900005,18.5599995,91,43,-0.2400000,4.4000001,H-,C6H5-,C2H6N-,CH3-,0.9870000,2.8599999,-0.9780000,4.9099998,
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)N(C)C,63,335.4500122,1,7,8,fail,2.2400000,11,969.7949829,2539.8200684,11,2169.7800293,4494.7500000,121,49,-1.1500000,9.6000004,H-,C6H5-,C2H6N-,C4H9-,-0.7760000,2.3099999,2.4879999,6.7600002,
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)N(C)C,64,349.4800110,1,8,8,fail,4.8899999,34,570.0170288,4672.7299805,34,381.6700134,14721.7998047,155,24,2.5400000,6.5999999,H-,C6H5-,C2H6N-,C5H11-,5.8280001,7.7700000,4.8020000,2.6500001,
CN(C)c1ccc2c(c1)C(=NCC(=O)N2CC3CCCCC3)c4ccccc4,65,375.5199890,1,1,9,pass,33.6800003,38,426.2909851,11.2049999,38,417.3399963,2.1300001,208,35,-0.8400000,4.0999999,H-,C6H5-,C2H6N-,C7H13-,0.3460000,6.0900002,7.5920000,5.9400001,
O=C1CN=C(c2ccccc2)c3cc(F)ccc3N1,66,254.2700043,1,2,9,fail,68.2200012,42,1344.3000488,2489.6201172,42,1872.5200195,1712.9599609,26,29,-4.8499999,5.6999998,H-,C6H5-,F-,H-,2.9530001,7.4099998,5.7680001,0.1900000,
CN1C(=O)CN=C(c2ccccc2)c3cc(F)ccc13,67,268.2900085,1,3,9,pass,713.6500244,34,714.7819824,82.3389969,34,1877.9699707,142.7500000,339,50,-1.6000000,3.3000000,H-,C6H5-,F-,CH3-,5.8360000,6.3800001,5.2540002,2.5300000,
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(F)ccc13,68,310.3699951,1,4,9,pass,117.2500000,52,2.1380000,4.9080000,52,2.9000001,5.8600001,407,70,4.2399998,8.8000002,H-,C6H5-,F-,C4H9-,4.3260002,2.0899999,-1.8090000,3.3299999,
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(F)ccc13,69,324.3999939,1,5,9,pass,53.9399986,24,306.7449951,12.8620005,24,666.3300171,9.2500000,43,50,3.2200000,9.1000004,H-,C6H5-,F-,C5H11-,5.4549999,7.7700000,0.6280000,3.6199999,
O=C1CN=C(c2ccccc2)c3cc(F)ccc3N1CC4CCCCC4,70,350.4400024,1,6,9,pass,359.5899963,30,586.7310181,102.2500000,30,132.3500061,49.8899994,282,30,8.6300001,9.1999998,H-,C6H5-,F-,C7H13-,-1.3580000,0.5900000,6.7750001,7.7100000,
O=C1CN=C(c2ccccc2)c3cc(Br)ccc3N1,71,315.1700134,1,7,9,pass,124.3399963,15,847.4320068,450.4479980,15,1106.7399902,505.3299866,256,47,-0.4000000,9.8000002,H-,C6H5-,Br-,H-,-0.4750000,-0.8000000,4.3030000,0.4200000,
CN1C(=O)CN=C(c2ccccc2)c3cc(Br)ccc13,72,329.2000122,1,8,9,fail,583.9199829,71,602.6190186,1810.8100586,71,989.7299805,557.0200195,272,37,-0.7700000,8.8000002,H-,C6H5-,Br-,CH3-,3.5610001,-0.7100000,-1.4540000,6.0900002,
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(Br)ccc13,73,371.2799988,1,1,10,pass,1.8000000,12,242.1490021,7.7639999,12,119.9300003,8.1499996,106,34,-0.8600000,9.6000004,H-,C6H5-,Br-,C4H9-,5.7300000,2.1600001,-1.6080000,-1.3600000,
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(Br)ccc13,74,385.3099976,1,2,10,pass,4.7399998,41,8.3090000,2.6310000,41,6.1700001,2.5300000,103,67,1.5100000,9.8000002,H-,C6H5-,Br-,C5H11-,5.4000001,4.9099998,4.8759999,0.0600000,
O=C1CN=C(c2ccccc2)c3cc(Br)ccc3N1CC4CCCCC4,75,411.3500061,1,3,10,pass,1.9200000,59,9.1370001,35.1899986,59,17.3600006,31.3899994,394,59,-2.6500001,8.8999996,H-,C6H5-,Br-,C7H13-,2.0000000,4.8800001,5.7459998,-0.9200000,
O=C1CN=C(c2ccccc2)c3cc(I)ccc3N1,76,362.1700134,1,4,10,pass,3.4500000,45,565.1380005,29.5489998,45,423.2999878,18.4200001,226,39,3.4800000,8.1999998,H-,C6H5-,I-,H-,1.4610000,4.2900000,1.9240000,1.5500000,
CN1C(=O)CN=C(c2ccccc2)c3cc(I)ccc13,77,376.2000122,1,5,10,pass,2.4400001,40,132.9080048,41.2120018,40,15.4899998,12.6300001,251,57,-3.5599999,5.9000001,H-,C6H5-,I-,CH3-,4.0560002,3.6700001,3.2320001,3.0500000,
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(I)ccc13,78,418.2799988,1,6,10,pass,197.3000031,49,240.6139984,3.8369999,49,49.7500000,1.0400000,490,29,4.3600001,8.3000002,H-,C6H5-,I-,C4H9-,4.6690001,5.8699999,6.6810002,2.6800001,
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(I)ccc13,79,432.3099976,1,7,10,pass,4.6599998,43,10.8160000,4.6719999,43,10.6599998,6.0500002,64,42,2.3800001,10.6999998,H-,C6H5-,I-,C5H11-,-0.2000000,3.7000000,1.6640000,0.3600000,
O=C1CN=C(c2ccccc2)c3cc(I)ccc3N1CC4CCCCC4,80,458.3500061,1,8,10,fail,11.5900002,30,535.1939697,4191.6298828,30,244.3500061,6447.4902344,282,30,3.8000000,10.8000002,H-,C6H5-,F-,C7H13-,-1.3580000,0.5900000,6.7750001,7.7100000,
NC(=O)c1ccc2NC(=O)CN=C(c3ccccc3)c2c1,81,279.2999878,1,1,11,pass,121.1399994,11,0.3900000,6350.0000000,11,0.5200000,157.3200073,100,15,2.9900000,11.0000000,H-,C6H5-,CH2NO-,H-,6.4819999,0.9300000,4.5200000,2.0200000,
CN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)C(N)=O,82,293.3299866,1,2,11,pass,12.5900002,34,0.9400000,0.8770000,34,1.6700000,1.7300000,69,6,1.7300000,8.0000000,H-,C6H5-,CH2NO-,CH3-,4.7709999,5.2600002,1.9400001,1.1300000,
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)C(N)=O,83,335.4100037,1,3,11,pass,96.5100021,8,0.1200000,248.4739990,24,1.7100000,594.7199707,311,6,0.4900000,3.2000000,H-,C6H5-,CH2NO-,C4H9-,7.5130000,7.8699999,5.2199998,0.7600000,
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)C(N)=O,84,349.4400024,1,4,11,pass,2.5999999,10,0.2300000,444.7650146,22,0.5100000,997.3699951,473,14,-2.9300001,5.8000002,H-,C6H5-,CH2NO-,C5H11-,4.7059999,2.8299999,4.7800002,4.5500002,
NC(=O)c1ccc2c(c1)C(=NCC(=O)N2CC3CCCCC3)c4ccccc4,85,375.4700012,1,5,11,fail,0.5800000,37,1350.1300049,3442.3300781,37,1384.1800537,8691.4804688,440,59,1.1100000,3.5000000,H-,C6H5-,CH2NO-,C7H13-,-1.6310000,-0.7700000,6.0229998,0.4200000,
O=C1CN=C(c2ccccc2)c3cc(ccc3N1)[N+](=O)[O-],86,281.2699890,1,6,11,pass,160.6600037,19,739.5360107,1.6059999,19,1372.3599854,0.8000000,473,50,-2.1600001,5.9000001,H-,C6H5-,NO2-,H-,0.2840000,3.5200000,2.3570001,1.0599999,
CN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)[N+](=O)[O-],87,295.2999878,1,7,11,fail,22.5699997,19,848.9140015,1752.8299561,19,1599.9200439,2189.7099609,426,73,-3.2600000,9.5000000,H-,C6H5-,NO2-,CH3-,5.6929998,0.1500000,0.7580000,2.8900001,
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)[N+](=O)[O-],88,337.3800049,1,8,11,fail,2.4500000,22,1391.4699707,559.0020142,22,3642.7900391,817.7399902,249,59,2.1099999,7.8000002,H-,C6H5-,NO2-,C4H9-,2.2830000,2.3800001,3.8060000,-1.8700000,
