smiles,Mol Wt.,R3 fmla,text
CN(C)c1ccc2c(c1)C(=NCC(=O)N2C)C3CCCCC3,299.4200134,C2H6N-,"I have been taking this drug for about 6 months.  I have noticed my legs feeling very nervous especially at night and it is so bad I can't sleep.  I quit taking it for about 4 days and my legs were feeling better, however I took my dosage last night and woke up at 4:00 AM and could not get back to sleep because of the feeling in my legs.  I will stop taking it for a week and see how it goes.  I also have had an unusually loud ringing in my ears constantly."
CCCCN1C(=O)CN=C(c2cc(ccc12)N(C)C)C3CCCCC3,341.5000000,C2H6N-,"After I took this, I felt like my chest was going to explode. Felt very edgy and excited. I stopped taking immediatly and threw them in the trash. I will go back to OTC medicine."
CC(C)CCN1C(=O)CN=C(c2cc(ccc12)N(C)C)C3CCCCC3,355.5299988,C2H6N-,Clariton D is great ... but expensive.  So I use Loratadine D (RiteAid brand).  Still about 7 bucks for 10 pills.  But it works.
CN(C)c1ccc2c(c1)C(=NCC(=O)N2CC3CCCCC3)C4CCCCC4,381.5700073,C2H6N-,"Allergy relief is good so far with this medicine. The decongestant is my main reason for trying this. I battled congestion for over a year, trying all of the OTC's. So far its the only thing that works for me. I can actually breath through my nose again!"
O=C1CN=C(c2cc(F)ccc2N1)C3CCCCC3,260.3099976,F-,"I only take half of a tablet each night and it helps me to sleep. Taking it was on advice of my doctor. I do not take every night, maybe 2-3 times a week. "
CN1C(=O)CN=C(c2cc(F)ccc12)C3CCCCC3,274.3399963,F-,"I have had one of the symptoms of tounge swelling two times now, one year apart."
CCCCN1C(=O)CN=C(c2cc(F)ccc12)C3CCCCC3,316.4200134,F-,"After several years on this family of meds went toxic. Swelled up, pitting edema of my face. Blood pressure went to triple digits. Gained 40#  felt like I was full of poison. Off now using clonidine and hctz.2 Blood pressure stabilizing swelling gone except for feet sometimes. Trying to get weight off by exercise and diet,haven't lost a darn pound. Starting to feel better, still some bad days. "
CC(C)CCN1C(=O)CN=C(c2cc(F)ccc12)C3CCCCC3,330.4500122,F-,"I took one for cold symptoms - it unclogged my nose but made me feel horrible. I felt tired and weak, like I was in a fog, and my heart was constantly pounding. I'd rather deal with the cold, I'm never taking this again."
O=C1CN=C(c2cc(F)ccc2N1CC3CCCCC3)C4CCCCC4,356.4899902,F-,prescribed after losartan alone did work well enough
O=C1CN=C(c2cc(Br)ccc2N1)C3CCCCC3,321.2200012,Br-,"I only take half of a tablet each night and it helps me to sleep. Taking it was on advice of my doctor. I do not take every night, maybe 2-3 times a week. "
CN1C(=O)CN=C(c2cc(Br)ccc12)C3CCCCC3,335.2500000,Br-,"I have a blood clot on my lung so of course they wanted to put me on Coumadin and these shots. Originally, they told me 2-3 days only on the shots. It's been over 3 weeks now. My stomach is bruised badly and tender and I'm developing hard spots too so that limits areas to shoot into. My level is still only 1.8 and I am very discouraged.  The high copay for this is about to kill me financially and now I have to get another refill. I wish there were a generic alternative available. It would be great if they could make this in pill form too. I had a minor melt down yesterday after finding out I had to remain on the shots through the long holiday weekend... there has to be a better way! Once I'm off of this medication, I'm not sure I would ever agree to go back on it. My doctor is sending me to a specialist to check more into why my blood is still so thick but that appointment isn't until April of 2008 unless there is a cancelation.  I better be off of these shots by then!!!  :-)"
CCCCN1C(=O)CN=C(c2cc(Br)ccc12)C3CCCCC3,377.3299866,Br-,"I have had excellent success with this drug to relieve allergy symptoms. At times I feel sleepy, but mostly not.
Here is what concerns me. I seem to be wanting to eat all the time. I had taken an allergy medication years ago that made me gain 40 lbs. in ONE YEAR. I never knew it was the medication until I went back to see my allergist a year after starting the drug. I quit it immediately and saw relief from the craving to eat. A doctor told me later that the thing that makes the allergy pill effective also STIMULATES THE APPETITE. I said I would not take that one. He said, Actually, they ALL work like that. I'm wondering if the mother of the toddler who became cranky on the medication wasn't expressing that craving, since he probably wasn't able to say it. I'm not kidding, I wanted to slap myself, I was so out of control. Now I have to see if a half pill will still help, but not stimulate my appetite. If that doesn't work, I'd rather suffer with the allergies, but oh, man I hate to go back to feeling bad all the time."
CC(C)CCN1C(=O)CN=C(c2cc(Br)ccc12)C3CCCCC3,391.3500061,Br-,"After seven trials of high blood pressure medication, I found that Lotrel is the only pill along with Atenolol have stablized my blood pressure.  Atenolol alone can't do it.  However, I'm certain that Lotrel has elevated my cholesterol.  I wonder if any readers out there have the same problem.  Thank you."
O=C1CN=C(c2cc(Br)ccc2N1CC3CCCCC3)C4CCCCC4,417.3900146,Br-,"The HCTZ 12.5 mg caused me to have irregular heartbeats, chest pain, leg pain, swelling in the feet & ankles, fatigue, dizziness & feeling of doom.  I thought I was having a MI but all cardiac workup results were negative.  I got off the HCTZ & within 4 days I felt like a new person.  Have not had any heart symtoms since Feb 2011 when I went off the medication.  I had to dig but found here at WEBMD the very same symptoms I was having.  These symptoms are not included in the PT info.    "
O=C1CN=C(c2cc(I)ccc2N1)C3CCCCC3,368.2200012,I-,"This med helped somewhat with anxiety attacks, but not at all with sleep. Had horrible nightmares, cooked and shopped in middle of night and remembered nothing about it. I would never take this drug again."
CN1C(=O)CN=C(c2cc(I)ccc12)C3CCCCC3,382.2500000,I-,"My mind doesn't shut off. I've been taking 4mg for a year.Fell I could use more. I still don't sleep solid,but DRs. are not tring anything else!"
CCCCN1C(=O)CN=C(c2cc(I)ccc12)C3CCCCC3,424.3299866,I-,"I was on Kariva for a few years and went off about a year ago.  About six months later my face started breaking out really badly around my mouth, chin, and jaw area.  It started to spread to my cheeks.  I went back on Kariva for three months and it didn't really do much to help and I had very bad mood swings all month.  I'm now finishing my third pack of Loryna and am very pleased. I get about one pimple every once in a while now, which is a huge improvement. I should note that I've also been using epiduo for 4 months and recently started taking minocycline (about a month). Who knows what is helping the most.  I did have an initial breakout when I started taking loryna that was pretty rough. I got 3 really deep pimples on my jaw line on each side but this didn't happen again.  I read a lot of negative reviews about loryna when I was researching before I started taking it and wanted to share a positive experience. "
CC(C)CCN1C(=O)CN=C(c2cc(I)ccc12)C3CCCCC3,438.3599854,I-,"droped my tri from 870 to 220 in 3 months, I now have good hlc or what ever you call it for the first time in my life. I work pretty hard but my problems I was born with. As to side affect, aches all over, swelling of feet at time, gout at tmes, but can't take statons"
O=C1CN=C(c2cc(I)ccc2N1CC3CCCCC3)C4CCCCC4,464.3900146,I-,"IHAVE BEEN HAVING SLOW BREATHING NAUSEA,TIREDNESS ALL SEEM TO BE GIVING ME PROBLEMS. SO MANY SIDE EFFECTS TO MENTION. A DR. JUST GAVE THIS TO ME JUST TO GIVE ME SOMETHING. I HAVE BEEN REALIZING THAT THESE MEDS. ARE FROM SPECIALISTS. THANKS FOR YOU HELPFUL INFORMATION     JANE             "
NC(=O)c1ccc2NC(=O)CN=C(c2c1)C3CCCCC3,285.3500061,CH2NO-,sleep without waking for no reason. Some drogginess during the day..but  can take that to get a better night's sleep.
CN1C(=O)CN=C(c2cc(ccc12)C(N)=O)C3CCCCC3,299.3800049,CH2NO-,Just beware: this drug has a pwerful and dangerous withdrawal. Recommendations are to reduce by 10% every 2 weeks to avoid (sometimes not) withdrawal calamities. My husband emerged from 1 day of withdrawal blind and cognitively disoriented. He never recovered.
CCCCN1C(=O)CN=C(c2cc(ccc12)C(N)=O)C3CCCCC3,341.4599915,CH2NO-,"Started 3 months ago with no problems.  Had swollen ankles on Norvasc, none with this drug.  Slight more frequent urination. BP perfect all day long.  Quit Norvasc as it had a tendency to ""wear off"" after 12 hours."
CC(C)CCN1C(=O)CN=C(c2cc(ccc12)C(N)=O)C3CCCCC3,355.4800110,CH2NO-,"I was prescribed this medication because I was having a hard time sleeping because my brain would not shut off.  I take it every night before I go to bed and I sleep soundly.  I've noticed, however, that my anxiety attacked have now reached during waking hours.  Although I've not been prescribed to take this during the day, I took one when I was getting that anxious feeling and within 20 minutes I was calm again without even noticing it.  I have not had any side effects so far.  "
NC(=O)c1ccc2c(c1)C(=NCC(=O)N2CC3CCCCC3)C4CCCCC4,381.5199890,CH2NO-,"This medication is horrible. Severe mood swings, broke up with my fiance, paranoid, personality change, argumentative, nasty. This is what United Health Care and MedCo have approved and what they will ship to you. Was doing well on Yaz.Avoid this medication at all costs. You will think that you are losing control and losing your sanity. "
O=C1CN=C(c2cc(ccc2N1)[N+](=O)[O-])C3CCCCC3,287.3200073,NO2-,I'M USING IT FOR THE PANIC ATTACKS I'M HAVEING WHILE QUITING SMOKING FOR THE PAST 41 YEARS IT REALLY HELPS! i CAN NOW SLEEP AT NIGHT 
CN1C(=O)CN=C(c2cc(ccc12)[N+](=O)[O-])C3CCCCC3,301.3500061,NO2-,I have been taking Lorazapam for 15 years for my Multiple Sclerosis have great results no M.S. problems
CCCCN1C(=O)CN=C(c2cc(ccc12)[N+](=O)[O-])C3CCCCC3,343.4299927,NO2-,I have colitis and had my gallbladder out and had a tubal. Have severe diarrhea and this helps somewhat. Have taken an oral powder and this worked better.
CC(C)CCN1C(=O)CN=C(c2cc(ccc12)[N+](=O)[O-])C3CCCCC3,357.4599915,NO2-,Very good experience overall.
O=C1CN=C(c2cc(ccc2N1CC3CCCCC3)[N+](=O)[O-])C4CCCCC4,383.4899902,NO2-,"Have been taking this for 18 months. Fantastic at relieving axiety! It's a great sleep aid and has less side affects than most of the prescribed aids. I take it once every 2 or 3 nights. I cannot think of any side affects I have had. I take it an hour before bedtime and I sleep 8 hours. Great med!
"
O=C1CN=C(c2ccccc2)c3ccccc3N1,236.2799988,H-,When I went on this I had terrible mood swings and depression. Things that would normally be minor annoyances would lead to hours of crying and wondering how I would up in that state. I felt completely out of control of my own emotions.  
CN1C(=O)CN=C(c2ccccc2)c3ccccc13,250.3000031,H-,I am on this medication for frequent pvcs and am only 26.this medication makes me extremly tired and gives me the shakes and chest pains. i have also noticed my back has been hurting alot.
CCCCN1C(=O)CN=C(c2ccccc2)c3ccccc13,292.3800049,H-,i just started taking lopressor today.
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3ccccc13,306.4100037,H-,"so far, it keeps blood pressure in check"
O=C1CN=C(c2ccccc2)c3ccccc3N1CC4CCCCC4,332.4500122,H-,"It has not lessened the diarrhea very much and causes terrible dry mouth.  I have had bowel resectioning and diarrhea is the result.  I also take vicodin, hyosycamine, iron, multivitamin, fish oil, aleve, move free, magnesium, potassium (klor com) and cholestyramine and previously tincture of opium and occasionally anti nausea and anxiety medication."
O=C1CN=C(c2ccccc2)c3cc(Cl)ccc3N1,270.7200012,Cl-,"Been taking this med @ 1mg tablet per day for panic attacks , and love it . It calms me down and have not had any side effects . Really calms me down and relaxes me . "
CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,284.7500000,Cl-,"Have been taking Xanax for severe menstrual mood swings & occasional anxiety. Yesterday, my Dr. told me she wants to switch me to Ativan since it's not addicting??? From what I've read, it's just as addicting as Xanax, so not sure what to think. Any thoughts would be greatly appreciated :)"
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,326.8299866,Cl-,"I was given this for abdominal pain, cause unknown.  It has caused me to have headaches and hallucinations, but has not helped to ease my pain other than by making me so drugged I'm asleep and can't feel anything."
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,340.8599854,Cl-,"lithium made my depressions less frequent and less severe. It smoothed out my daily and seasonal mood gradient. I have had low side effects. In the last 3 years my kidneys weakened, but I am still taking a low dose, 150mg daily.
The WebMD information grossly exaggerates the risk of ""serotonin syndrome."" Compared to anti-depressants, lithium has very little effect on serotonin levels. Fear of serotonin syndrome should not factor into a patient's or a doctor's decision to try lithium.   "
O=C1CN=C(c2ccccc2)c3cc(Cl)ccc3N1CC4CCCCC4,366.8900146,Cl-,"I have been on Lorazepam for just over 10 years.  I was up to 2mg 3 times a day for several years.  My new doctor told me that the amount I was taking was too much.  Now I am down to 120 1 mg pills per month.  This drug really works well, but over time you build a tolerance and become dependant.  I wish the doctors would have told me that when I was having panick attacks and i was deperate for releif.  This drug is definitely not meant for long term use.  I need to keep weening myself off this drug, espcially because I want to have children soon.  Mentally this is a huge struggle because they have been my crutch for so many years.  Just know these do work, but hard to stop taking after prolonged use."
N#Cc1ccc2NC(=O)CN=C(c3ccccc3)c2c1,261.2900085,CN-,"1mg tablets, two times a day, really helped a stress basket like myself out alot."
CN1C(=O)CN=C(c2ccccc2)c3cc(C#N)ccc13,275.3099976,CN-,"the only side effect that gets me upset is too much urine production, with necessity to find a toilet very urgently and too many times per night (3-4 times at 2 hours interval) even with
a relatively low dosage, 300 mg total, 1 at morning and 1 at night"
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(C#N)ccc13,317.3900146,CN-,"I have been on this medication for about a year. My Dr switched me for a lower hormone level to help with moodiness. I assumed it would help, I stopped getting my period in January and have taken many pregnancy tests since because of missed periods that I did not know was a side effect. I also found the last year I'm quick to jump with issues, even moodier I would say. I am also on a medication for tremors which is supposed to relax you, it doesn't seem to be doing that. I recently stopped taking it about halfway through my pack. I still have not gotten my period but I hope it comes soon. At 32 I may not take another BC. My husband and I are not trying to get pregnant but we are not opposed so we shall see what happens. And I hope my depression phases out. "
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(C#N)ccc13,331.4200134,CN-,"I've put on over 15# in the few months I've been on this. No change in appetite. Anybody else find this to be a problem? I'm not overweight, but curious if I should try another medication? I'm not too happy with the way it's working. Also wondering why I was put on strongest anti-anxiety as a starting place. I see Dr on Monday and will go from there. Any suggestions as to what works beter as an anti-anxiety? My husband is terminally ill so I do need the help on the meds as well as the therapist and psychiatrist who covers meds only. Thanks"
N#Cc1ccc2c(c1)C(=NCC(=O)N2CC3CCCCC3)c4ccccc4,357.4599915,CN-,"I have had cluster migraine headaches for over 40 yrs and have tried all kinds of meds, some worked and some did not. Lithium seems to work for me, and this is the third time I have had to take it in the past 8 years. I take it for short periods (2-3) months but it is better then having migrains. The only thing I get nervous about is the amount of med in my blood system so I have it checked every 2-3 weeks. For me I recomend it for Cluster Migrains."
CN(C)c1ccc2NC(=O)CN=C(c3ccccc3)c2c1,279.3399963,C2H6N-,Started taking this medication in April.  It took a couple weeks then noticed the effects.  I no longer have manic episodes.  After a month of taking the medicine my thyroid levels dropped.  I had to start taking thyroid medicine to increase my thyroid levels.  Recently I went to the eye doc for a routine eye exam.  They diagnosed me with swollen optic nerves.  Got an MRI and it was normal.  Going to a neurologist next.  I've read lithium can cause this affect.  
CN(C)c1ccc2c(c1)C(=NCC(=O)N2C)c3ccccc3,293.3699951,C2H6N-,"since being put on this medication, I've been overly  tired, off balance, very slow to ""get moving"" after taking it."
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)N(C)C,335.4500122,C2H6N-,"Have been taking Losartan for about 3 weeks and have had severe headaches and am extremely tired and b/p has not improved.  Have been monitoring at home and am still in the 164/90 range and will be calling my GP on Tuesday after the holiday to see what to do.  Was previously on amlodipine with hydrochlorthiazide and I have had severe itching (dr says it is heat related internal hives???) that occurs after showering and I had really bad hot flashes, but at least my b/p was normal when taking it.  the itching seems to have subsided some, but the jury is out on the hot flashes.  I am concerned because I am on 100mg and it does not seem to be helping my b/p at all.  Also have developed leg pain behind my right knee, but not sure if the two are related.  Hope to get answers from Dr soon."
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)N(C)C,349.4800110,C2H6N-,"Pricey ($10 off with discount card, but still around $75) but WELL WORTH it for me.  After some spotting in the first few weeks, I have had very little unscheduled bleeding, which is one of the more bothersome side effects I've experienced with other OCs.  My mood is stable and much improved relative to being on other OCs as well.  I have taken it continuously (skipped the inactive pills) for several months and have had no bleeding/spotting whatsoever, which I love, although I don't require a period to reassure me that I'm not pregnant since I'm that ""perfect user"" they refer to in the literature - every 24 hours on the dot!"
CN(C)c1ccc2c(c1)C(=NCC(=O)N2CC3CCCCC3)c4ccccc4,375.5199890,C2H6N-,makes me too tired. so much so that have to reduce the amount. However it has calmed me
O=C1CN=C(c2ccccc2)c3cc(F)ccc3N1,254.2700043,F-,When I started taking this birth control I experienced head aches and pain in my legs that made me worry. After about the third week I experienced chest pains and severe mood swings. I have not had a perion while on this pill but that is the only upside to it. 
CN1C(=O)CN=C(c2ccccc2)c3cc(F)ccc13,268.2900085,F-,"I am 36 and have never taken the pill because I feel that it is not natural to take hormones. After having 2 kids my periods became very heavy and painful.  I also struggled with PMS for about 10-12 days each month. I found myself taking lot of OTC pain relievers to help myself through each month.I finally gave in and tried Lo Loestrine Fe on a suggestion from my GYN.  I have just started my 4th pack.  I had no idea that I was making myself suffer each month. I feel so much better and I can carry out daily functions easier than before.  After 3 packs, I finally had a period and it lasted 1 and a half days, very light and not painful...didn't even take an Aleve. This BC pill works for me and I'm glad that I did not have to try several types of pill before I found one that works with me.  The best thing about this pill is that it does not make me crazy and I have not gained any weight.  Actually, because my energy level has increased, I have lost weight. "
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(F)ccc13,310.3699951,F-,"This medication caused nerve pain in my leg and abdomen.  For awhile I thought it might be shingles, but then I realized it was this drug.  The pain stopped when I stopped taking this medication.  "
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(F)ccc13,324.3999939,F-,"I have been diagnosed w/ Bipolar w/phyicotic tendancies. I was hospitalized 14 times before I started Lithium. Been on Lithium since 1994. No more hospital stays! Feeling Great , I am very succesful in my job. The only problem is diareah Every Day!"
O=C1CN=C(c2ccccc2)c3cc(F)ccc3N1CC4CCCCC4,350.4400024,F-,I looked this drug up because I have a cough and I don't want it.  I read the pharmacist paper and one of the side effects of one of my medications is a cough.  I'm trying to find out which one of them have this side effect.
O=C1CN=C(c2ccccc2)c3cc(Br)ccc3N1,315.1700134,Br-,still have HB
CN1C(=O)CN=C(c2ccccc2)c3cc(Br)ccc13,329.2000122,Br-,This medicine works well for me my only problem is the cough and after a month the cough isn't that bad with the help of cough drops it brought my blood pressure down with the help of exercise and good food diet   
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(Br)ccc13,371.2799988,Br-,"Been on it for 2 months. Take 20 mg. at night which causes extreme dry mouth, stomach upset, and severe leg cramps! Toss and turn all night. Dr. said to stop taking it temporarily, and I have. BP back up. Will try again in a 2-3 weeks to see if symptoms return."
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(Br)ccc13,385.3099976,Br-,have been taking 10mg for about six weeks now some drop in bp but my toprol is more effective. side effects are not eorth it dry hacking cough gagging nasuea. general weakness and head ach.
O=C1CN=C(c2ccccc2)c3cc(Br)ccc3N1CC4CCCCC4,411.3500061,Br-,Since I started taking Lisinopril 2 month ago my I have not been able to sleep .My sex drive dropped drastically
O=C1CN=C(c2ccccc2)c3cc(I)ccc3N1,362.1700134,I-,"BEWARE!  This drug put me in the ER...twice!!  The first time, I was experiencing severe upper-abdominal pain, which my physician assumed was my gall bladder.  After extensive testing at the hospital, it was decided that I had a 'virus.' (At this point, no connection to the Lisinopril as the cause had been made.)  The second time, three weeks later, I woke up with my throat and uvula so swollen that I could barely speak.  Off to the ER again where things finally started to improve after receiving high doses of depo-medrol (steroids) and benadryl through an IV.  It was then that the doctors concluded I was having severe allergic reactions to the Lisinopril!  I was taken off of it immediately and was back to normal within a week.  TAKE WITH CAUTION!!!  At the very least, you will likely develop the annoying dry/hacking cough, which is bad enough on its own and reason enough to skip this awful drug."
CN1C(=O)CN=C(c2ccccc2)c3cc(I)ccc13,376.2000122,I-,Dr. prescribed Lisinopril to protect my liver and kidneys from diabetes. Developed sore and swelled throat and voice was very rough and ragged. Stopped taking medication after 3 weeks. At times my voice continues to be rough and ragged.
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(I)ccc13,418.2799988,I-,"Doctor suggested this medication due to Type II diabetes to protect the kidneys.  Also for moderate HP.  My HP initially came down to normal range, but has since gone back to moderate-usually when I visit the doctors.  Do have dry cough from time to time but don't know if it's attributable to med.  "
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(I)ccc13,432.3099976,I-,I coughed myself into a headache.  I done so much coughing until my hemorroids are falling out my azz.  This medicine causes mucous to come up and I almost choked.  This med is not for me.
O=C1CN=C(c2ccccc2)c3cc(I)ccc3N1CC4CCCCC4,458.3500061,F-,have had trouble urinating and my heart races.  also am tired  yes my blood pressure is lower but not worth it.
NC(=O)c1ccc2NC(=O)CN=C(c3ccccc3)c2c1,279.2999878,CH2NO-,I had taken this medication for about 4 weeks and just recently have had the WORST problems with coughing and gaging! This has caused me to not get much sleep and never know when it will strike. I have stop the medication after talking to my doctor and the coughing fits STILL continue. Im so over it! When will it ever end??? My doctor still hasnt done anything about putting me on something else!
CN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)C(N)=O,293.3299866,CH2NO-,"I'm 32yo and have recently been diagnosed with hypertension.  It runs heavily in my family for those family members that are obese.  I am active, fit and a healthy eater.  My doctor checked my kidney function levels prior to starting the Lisinopril HCTZ and they were normal.  Then my 2wk bloodwork after taking the med showed extreme high kidney levels but my blood pressure is great.  So my doc changed my prescription without the diaretic (HCTZ) and see how it works and do bloodwork in 2 wks.  I would advise everyone on any blood pressure med to make sure your doctor is checking your kidney functions."
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)C(N)=O,335.4100037,CH2NO-,i have suffered severe nausea and vomitng my blood sugar has reached 387 and remained there the entire time i have taken this med.
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)C(N)=O,349.4400024,CH2NO-,I have had a cough while taking lisinopril. It has lasted over 6 weeks
NC(=O)c1ccc2c(c1)C(=NCC(=O)N2CC3CCCCC3)c4ccccc4,375.4700012,CH2NO-,"I USE LISINOPRIL FOR HB.IT REALLY HELP WITH THE HB PROBLEM,I HAVE BEEN ON LISINOPRIL FOR ABOUT 2 YEARS.THE ONLY THING THAT I DONT LIKE ABOUT IT IS THAT YOU CANT STAY IN THE SUN FOR VERY LONG."
O=C1CN=C(c2ccccc2)c3cc(ccc3N1)[N+](=O)[O-],281.2699890,NO2-,Am losing wweight due to diuretic added I think.  have to pee also.  lower BP from 160/90 to 120/80.  at first a little nausea but fine now
CN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)[N+](=O)[O-],295.2999878,NO2-,"I've been on the medication for a week and have had constant diarrhea, couch and my heart races for about 3 hours after taking it.  I'm discontinuing its use and calling the dr.  "
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)[N+](=O)[O-],337.3800049,NO2-,has helped me especially knowing that heart attacks have no warnings being that i am african american
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)[N+](=O)[O-],351.4100037,NO2-,"Feeling Tired, out of breath easily. Experienced light-headedness"
