smiles,Pgp-Inhibitor,Pgp-Substrate,HIA,F(20%),F(30%),BBB,CYP1A2-Inhibitor,CYP1A2-Substrate,CYP3A4-Inhibitor,CYP3A4-Substrate,CYP2C19-Inhibitor,CYP2C19-Substrate,CYP2C9-Inhibitor,CYP2C9-Substrate,CYP2D6-Inhibitor,CYP2D6-Substrate,Ames,SkinSen
CN1C(=O)CN=C(c2cc(ccc12)C(N)=O)C3CCCCC3,0.5560000,0.5460000,0.8100000,0.8140000,0.6780000,0.7000000,0.7000000,0.7240000,0.7260000,0.5380000,0.5520000,0.5440000,0.7460000,0.7140000,0.5860000,0.5920000,0.6020000,0.7980000
CCCCN1C(=O)CN=C(c2cc(ccc12)C(N)=O)C3CCCCC3,0.8020000,0.6560000,0.6820000,0.6800000,0.7860000,0.7980000,0.6720000,0.6960000,0.6840000,0.7920000,0.7980000,0.6640000,0.6880000,0.6840000,0.6620000,0.6620000,0.4680000,0.4920000
CC(C)CCN1C(=O)CN=C(c2cc(ccc12)C(N)=O)C3CCCCC3,0.4520000,0.6720000,0.6940000,0.5940000,0.6060000,0.5720000,0.6700000,0.6480000,0.5280000,0.5540000,0.5680000,0.7720000,0.7760000,0.6700000,0.6860000,0.7080000,0.6620000,0.6420000
NC(=O)c1ccc2c(c1)C(=NCC(=O)N2CC3CCCCC3)C4CCCCC4,0.5180000,0.5460000,0.5640000,0.6860000,0.6640000,0.5700000,0.5780000,0.6160000,0.7600000,0.7460000,0.6340000,0.6580000,0.6680000,0.7460000,0.7480000,0.6540000,0.6720000,0.6800000
O=C1CN=C(c2cc(ccc2N1)[N+](=O)[O-])C3CCCCC3,0.7480000,0.7480000,0.6500000,0.6700000,0.6800000,0.6540000,0.6580000,0.5100000,0.5500000,0.5520000,0.6000000,0.5980000,0.5160000,0.5360000,0.5620000,0.7100000,0.7000000,0.5400000
CN1C(=O)CN=C(c2cc(ccc12)[N+](=O)[O-])C3CCCCC3,0.5420000,0.6060000,0.8020000,0.8020000,0.6940000,0.7100000,0.7540000,0.7060000,0.6980000,0.5340000,0.5380000,0.6060000,0.6940000,0.6760000,0.5760000,0.5900000,0.6140000,0.8100000
CCCCN1C(=O)CN=C(c2cc(ccc12)[N+](=O)[O-])C3CCCCC3,0.7920000,0.6740000,0.6940000,0.7340000,0.8000000,0.7840000,0.6840000,0.6960000,0.7420000,0.8000000,0.7900000,0.6840000,0.6980000,0.7420000,0.6720000,0.6600000,0.5080000,0.5180000
CC(C)CCN1C(=O)CN=C(c2cc(ccc12)[N+](=O)[O-])C3CCCCC3,0.5440000,0.6940000,0.6920000,0.6040000,0.5980000,0.6300000,0.8140000,0.7680000,0.6200000,0.6200000,0.5980000,0.8700000,0.8340000,0.7440000,0.7520000,0.7520000,0.8080000,0.7660000
O=C1CN=C(c2cc(ccc2N1CC3CCCCC3)[N+](=O)[O-])C4CCCCC4,0.6140000,0.6160000,0.5980000,0.7360000,0.7080000,0.6520000,0.6700000,0.6240000,0.8960000,0.9120000,0.7700000,0.8280000,0.8400000,0.9000000,0.9140000,0.7860000,0.8400000,0.8460000
O=C1CN=C(c2ccccc2)c3ccccc3N1,0.8860000,0.8920000,0.7520000,0.8160000,0.8160000,0.8980000,0.9000000,0.7700000,0.8220000,0.8380000,0.9040000,0.9160000,0.7880000,0.8520000,0.8540000,0.8360000,0.8480000,0.7120000
CN1C(=O)CN=C(c2ccccc2)c3ccccc13,0.7680000,0.7740000,0.8540000,0.8580000,0.7340000,0.7800000,0.7940000,0.7660000,0.8160000,0.6760000,0.7360000,0.7280000,0.8580000,0.8700000,0.7380000,0.7880000,0.7940000,0.9780000
CCCCN1C(=O)CN=C(c2ccccc2)c3ccccc13,0.9840000,0.8600000,0.9180000,0.8800000,0.9800000,0.9840000,0.8660000,0.9200000,0.8920000,0.9640000,0.9640000,0.8400000,0.9000000,0.8640000,0.9760000,0.9740000,0.8580000,0.9060000
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3ccccc13,0.8780000,0.9740000,0.9800000,0.8640000,0.9180000,0.8900000,0.9140000,0.9200000,0.7980000,0.8600000,0.8180000,0.9380000,0.9340000,0.8240000,0.8660000,0.8460000,0.8940000,0.9300000
O=C1CN=C(c2ccccc2)c3ccccc3N1CC4CCCCC4,0.8120000,0.8740000,0.7900000,0.9460000,0.9480000,0.8340000,0.8820000,0.8420000,0.9620000,0.9600000,0.8500000,0.9040000,0.8760000,0.9720000,0.9680000,0.8580000,0.9140000,0.8820000
O=C1CN=C(c2ccccc2)c3cc(Cl)ccc3N1,0.9500000,0.9400000,0.8240000,0.8840000,0.8500000,0.9600000,0.9520000,0.8420000,0.8940000,0.8640000,0.9620000,0.9600000,0.8500000,0.9080000,0.8880000,0.9060000,0.9060000,0.7900000
CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,0.8540000,0.8140000,0.9280000,0.9200000,0.8160000,0.8600000,0.8360000,0.8800000,0.8960000,0.7940000,0.8500000,0.7720000,0.9320000,0.9260000,0.8220000,0.8700000,0.8360000,0.8500000
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,0.8300000,0.6760000,0.7340000,0.7540000,0.8580000,0.8400000,0.6980000,0.7480000,0.7660000,0.8380000,0.8160000,0.6640000,0.7260000,0.7380000,0.8560000,0.8340000,0.7020000,0.7480000
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,0.7640000,0.8540000,0.8440000,0.7060000,0.7660000,0.7780000,0.7800000,0.7740000,0.6280000,0.6820000,0.6980000,0.8000000,0.7860000,0.6500000,0.6940000,0.7160000,0.7200000,0.7300000
O=C1CN=C(c2ccccc2)c3cc(Cl)ccc3N1CC4CCCCC4,0.5800000,0.6360000,0.6420000,0.8000000,0.7900000,0.6440000,0.6960000,0.7080000,0.9200000,0.8960000,0.7540000,0.8080000,0.8020000,0.9240000,0.9080000,0.7680000,0.8140000,0.8160000
N#Cc1ccc2NC(=O)CN=C(c3ccccc3)c2c1,0.9020000,0.8800000,0.7400000,0.7920000,0.7880000,0.9260000,0.8980000,0.7740000,0.8100000,0.8080000,0.9819156,0.9951302,0.9965008,0.9889899,0.9960533,0.9564275,0.9935973,0.9957962
CN1C(=O)CN=C(c2ccccc2)c3cc(C#N)ccc13,0.9894793,0.9941647,0.8791206,0.9733228,0.9844859,0.9593747,0.9785032,0.8934060,0.9749211,0.9860893,0.9564974,0.9816213,0.9875398,0.9967228,0.9999866,0.9940208,0.9999815,0.9610044
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(C#N)ccc13,0.9891278,0.9921643,0.9782593,0.9908986,0.9153756,0.9786768,0.9862027,0.9625722,0.9829696,0.9303778,0.9818404,0.9882385,0.9697302,0.9868394,0.9191598,0.9783855,0.9870939,0.9671790
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(C#N)ccc13,0.9850054,0.9925471,0.9999894,0.9999946,0.9961764,0.9999884,0.9866005,0.9999871,0.9999938,0.9966532,0.9999851,0.9504658,0.9894782,0.9937975,0.9846137,0.9910362,0.9598553,0.9904707
N#Cc1ccc2c(c1)C(=NCC(=O)N2CC3CCCCC3)c4ccccc4,0.9946835,0.9839761,0.9922225,0.9960113,0.9999964,0.9999984,0.9999889,0.9999966,0.9851378,0.9956821,0.9967694,0.9916668,0.9960902,0.9654589,0.9913471,0.9942350,0.9853721,0.9927897
CN(C)c1ccc2NC(=O)CN=C(c3ccccc3)c2c1,0.9764317,0.9936590,0.9957314,0.9898465,0.9941273,0.9682593,0.9915123,0.9947947,0.9875355,0.9933831,0.9797492,0.9943144,0.9961543,0.9873785,0.9933409,0.9669850,0.9937261,0.9959760
CN(C)c1ccc2c(c1)C(=NCC(=O)N2C)c3ccccc3,0.9893810,0.9938127,0.8802752,0.9707458,0.9837160,0.9555936,0.9752508,0.8971595,0.9732779,0.9859702,0.9540278,0.9773538,0.9834828,0.9956954,0.9973944,0.9923358,0.9954429,0.9569129
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)N(C)C,0.9876038,0.9915793,0.9755936,0.9882386,0.9084405,0.9757407,0.9850994,0.9579952,0.9790332,0.9189880,0.9795881,0.9875926,0.9660249,0.9791932,0.8966718,0.9722933,0.9842808,0.9589538
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)N(C)C,0.9774218,0.9717956,0.9785537,0.9846684,0.9569830,0.9822287,0.9483256,0.9756982,0.9840407,0.9634835,0.9800003,0.8302513,0.9057556,0.9437680,0.8704076,0.9246213,0.8072181,0.8767126
CN(C)c1ccc2c(c1)C(=NCC(=O)N2CC3CCCCC3)c4ccccc4,0.9302827,0.8088334,0.9043404,0.9782280,0.9865930,0.9914323,0.9777033,0.9886593,0.9349179,0.9563505,0.9687436,0.9225929,0.9619564,0.8775862,0.9227738,0.9495204,0.8792232,0.9362751
O=C1CN=C(c2ccccc2)c3cc(F)ccc3N1,0.8966731,0.9361945,0.9584570,0.9035539,0.9477075,0.8805310,0.9279041,0.9561204,0.9001092,0.9464223,0.9896808,0.9915585,0.9936006,0.9864725,0.9908969,0.9872858,0.9930841,0.9948661
CN1C(=O)CN=C(c2ccccc2)c3cc(F)ccc13,0.9907015,0.9923114,0.9336717,0.9607619,0.9752769,0.9528290,0.9670859,0.9298429,0.9518811,0.9716937,0.9322407,0.9573784,0.0857007,0.1420593,0.4155836,0.0578628,0.1727006,0.6140352
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(F)ccc13,0.6354942,0.8549194,0.3936778,0.7165310,0.6503667,0.6575652,0.8075550,0.3310647,0.6743553,0.4726560,0.4904138,0.7193393,0.2118924,0.4909353,0.4348291,0.4891846,0.7234473,0.2142552
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(F)ccc13,0.4814905,0.5236625,0.5896246,0.8072169,0.2962860,0.5735410,0.4621620,0.5212579,0.7530850,0.2418878,0.5170445,0.0892973,0.1162843,0.3170941,0.0558229,0.1082511,0.5135006,0.4661527
O=C1CN=C(c2ccccc2)c3cc(F)ccc3N1CC4CCCCC4,0.6461519,0.1984440,0.5156904,0.3763405,0.5132208,0.8116210,0.1957098,0.3995252,0.9147440,0.9208208,0.9745797,0.7547850,0.8943198,0.9163554,0.9201112,0.9585721,0.6638271,0.8634809
O=C1CN=C(c2ccccc2)c3cc(Br)ccc3N1,0.8637100,0.8633571,0.9399512,0.5435323,0.7489347,0.8345209,0.8664380,0.9434502,0.5528195,0.7284740,0.9019900,0.9228460,0.9697163,0.6957864,0.8016288,0.8404915,0.8736080,0.9478662
CN1C(=O)CN=C(c2ccccc2)c3cc(Br)ccc13,0.5785310,0.7669984,0.3877990,0.4699136,0.7447337,0.2045023,0.2928035,0.8021368,0.7633553,0.8649226,0.3994749,0.7021250,0.8163595,0.7573872,0.9152035,0.3971318,0.6481978,0.9694478
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(Br)ccc13,0.9498326,0.9828146,0.8276761,0.9229644,0.9572034,0.9198679,0.9595441,0.6803637,0.8681259,0.9401423,0.9128488,0.9604884,0.6610258,0.8269838,0.9593499,0.9328972,0.9704515,0.7226756
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(Br)ccc13,0.8524562,0.9742727,0.9547654,0.9814011,0.7984104,0.8849148,0.9605338,0.9348755,0.9721028,0.7298735,0.8720955,0.7800732,0.6676921,0.8541864,0.3554949,0.5050548,0.9220452,0.8313867
O=C1CN=C(c2ccccc2)c3cc(Br)ccc3N1CC4CCCCC4,0.9028204,0.5073021,0.7802396,0.4419180,0.2772957,0.6421243,0.1171172,0.3405651,0.8891667,0.7548693,0.9194000,0.5333151,0.8103826,0.8928969,0.7717527,0.8897834,0.4632803,0.7925427
O=C1CN=C(c2ccccc2)c3cc(I)ccc3N1,0.6855029,0.5313909,0.7534478,0.2515095,0.5378510,0.8108884,0.6473070,0.8429696,0.3423584,0.6573223,0.8603281,0.7146596,0.8886784,0.4260412,0.7277522,0.8301733,0.6781355,0.8646924
CN1C(=O)CN=C(c2ccccc2)c3cc(I)ccc13,0.3810285,0.6906466,0.4037858,0.2252022,0.5204753,0.1074133,0.2472155,0.8082264,0.5605118,0.7446858,0.2726619,0.6213405,0.7182605,0.4196098,0.8113848,0.1700417,0.6024857,0.9652782
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(I)ccc13,0.8663486,0.9679416,0.6738300,0.9275672,0.9672646,0.8841343,0.9552817,0.6140833,0.9134385,0.8848895,0.7194176,0.8920994,0.3842847,0.7535549,0.8220000,0.8840000,0.8000000,0.7880000
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(I)ccc13,0.7400000,0.7760000,0.8280000,0.7520000,0.7600000,0.7040000,0.7080000,0.7645000,0.7045000,0.7115000,0.6525000,0.7360000,0.7680000,0.6980000,0.7020000,0.6980000,0.7220000,0.7840000
O=C1CN=C(c2ccccc2)c3cc(I)ccc3N1CC4CCCCC4,0.7160000,0.7280000,0.6580000,0.7320000,0.7600000,0.7040000,0.7240000,0.6480000,0.7560000,0.8000000,0.7280000,0.7360000,0.6800000,0.5500000,0.6440000,0.6240000,0.5900000,0.5040000
NC(=O)c1ccc2NC(=O)CN=C(c3ccccc3)c2c1,0.6780000,0.7500000,0.6940000,0.6960000,0.6120000,0.7360000,0.8900000,0.8140000,0.7860000,0.6760000,0.8000000,0.9400000,0.8440000,0.8180000,0.7080000,0.7340000,0.8565000,0.7805000
CN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)C(N)=O,0.7575000,0.6405000,0.7380000,0.8380000,0.7620000,0.7440000,0.6740000,0.7420000,0.8720000,0.7840000,0.7700000,0.6500000,0.7640000,0.8560000,0.7780000,0.7720000,0.6500000,0.7680000
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)C(N)=O,0.8940000,0.8040000,0.7860000,0.6720000,0.4900000,0.6400000,0.6040000,0.5586666,0.4480000,0.6900000,0.8360000,0.7560000,0.7320000,0.6020000,0.8213333,0.8433333,0.7713333,0.7373334
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)C(N)=O,0.7333333,0.8160000,0.8120000,0.7500000,0.7340000,0.7340000,0.7220000,0.7365000,0.6785000,0.6785000,0.6685000,0.7440000,0.7520000,0.6900000,0.6820000,0.6900000,0.7620000,0.7880000
NC(=O)c1ccc2c(c1)C(=NCC(=O)N2CC3CCCCC3)c4ccccc4,0.7140000,0.7060000,0.7040000,0.7640000,0.7420000,0.6880000,0.6880000,0.6860000,0.7800000,0.7840000,0.7160000,0.7140000,0.7080000,0.6470000,0.6750000,0.6550000,0.6036667,0.6190000
O=C1CN=C(c2ccccc2)c3cc(ccc3N1)[N+](=O)[O-],0.7260000,0.7520000,0.6920000,0.6820000,0.6620000,0.7440000,0.8080000,0.7335000,0.7395000,0.7320000,0.7380000,0.7880000,0.7015000,0.7315000,0.7260000,0.6420000,0.7005000,0.6400000
CN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)[N+](=O)[O-],0.6700000,0.6485000,0.6800000,0.7360000,0.6635000,0.6715000,0.6780000,0.6860000,0.7540000,0.6755000,0.7095000,0.6960000,0.6620000,0.7120000,0.6455000,0.6855000,0.6640000,0.7020000
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)[N+](=O)[O-],0.7400000,0.6595000,0.6935000,0.6800000,0.5720000,0.6020000,0.5875000,0.5695000,0.5600000,0.6240000,0.6920000,0.6375000,0.6555000,0.6200000,0.5980000,0.7620000,0.7220000,0.7060000
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)[N+](=O)[O-],0.6480000,0.6760000,0.8120000,0.7320000,0.7300000,0.6960000,0.5940000,0.7185000,0.6725000,0.6665000,0.6165000,0.6340000,0.7540000,0.7140000,0.6880000,0.6560000,0.0143572,0.0081175
O=C1CN=C(c2ccccc2)c3cc(ccc3N1CC4CCCCC4)[N+](=O)[O-],0.0199992,0.0179064,0.0363490,0.0550921,0.0266949,0.0562020,0.0523793,0.0946557,0.0860356,0.0548049,0.0970179,0.0750583,0.1398144,0.0302411,0.0121234,0.0252690,0.0224931,0.0449811
COc1ccc(cc1)C2=NCC(=O)Nc3ccccc23,0.0406807,0.0156186,0.0355766,0.0328748,0.0674576,0.0363216,0.0188776,0.0389865,0.0381461,0.0629281,0.0611743,0.0271317,0.0568801,0.0474529,0.0922276,0.0172251,0.0080346,0.0211186
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccccc23,0.0167667,0.0385149,0.0667430,0.0255202,0.0513156,0.0519224,0.0970493,0.0212130,0.0137515,0.0320801,0.0280986,0.0837241,0.0777833,0.0498238,0.0945774,0.0896042,0.2227850,0.1287039
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3ccccc13,0.0972996,0.1676156,0.1305027,0.3018454,0.0601989,0.0276109,0.0532816,0.0478345,0.1384533,0.0598622,0.0297540,0.0618599,0.0600243,0.1711224,0.0679336,0.0456518,0.0824974,0.0809642
