smiles,NOCount,NumRadicalElectrons,MinPartialCharge,MaxAbsPartialCharge,NHOHCount,ExactMolWt,NumSaturatedCarbocycles,NumAliphaticHeterocycles,FpDensityMorgan1,NumAromaticHeterocycles,NumValenceElectrons,NumRotatableBonds,NumAromaticCarbocycles,NumAliphaticCarbocycles,NumHDonors,FpDensityMorgan3,NumAromaticRings,HeavyAtomMolWt,NumSaturatedRings,MolWt,NumHAcceptors,NumHeteroatoms,NumSaturatedHeterocycles,NumAliphaticRings,MaxPartialCharge,RingCount,FpDensityMorgan2,FractionCSP3,HeavyAtomCount,inchi_key
O=C(CCCN1C(=O)Oc2ccccc12)N3CCN(CC3)c4ccccn4,7,0,-0.4077049,0.4194486,0,366.1691895,0,1,1.0370370,2,140,5,1,0,0,2.5925925,3,344.2449951,1,366.4209900,6,7,1,1,0.4194486,4,1.8148148,0.3500000,27,APAQOMDSOMGAPO-UHFFFAOYSA-N
COc1ccc(Br)cc1CN2CCN(CC2)C(=O)c3cccc(F)c3.OC(=O)C(=O)O,8,0,-0.4964246,0.4964246,2,496.0645142,0,1,1.0322580,0,166,4,2,0,2,2.2258065,2,475.1409912,1,497.3169861,5,10,1,1,0.4143587,3,1.6774193,0.2857143,31,LZYULJLUMCXURR-UHFFFAOYSA-N
CC1(C)Cc2cccc(OCC(=O)N3CCN(CC3)c4ccc(cc4)[N+](=O)[O-])c2O1,8,0,-0.4833302,0.4833302,0,411.1794128,0,2,1.1333333,0,158,5,2,0,0,2.5000000,2,386.2579956,1,411.4580078,6,8,1,2,0.2690753,4,1.8333334,0.4090909,30,DHWWXQNCPDGXPY-UHFFFAOYSA-N
CCc1nnc(NC(=O)CCc2onc(n2)C3=CCN(C)CC3)s1,8,0,-0.3389924,0.3389924,1,348.1368408,0,1,1.4583334,2,128,6,0,0,1,3.0416667,2,328.2720032,0,348.4320068,8,9,0,1,0.2269687,3,2.3333333,0.5333334,24,XQSYZRLTPFPORF-UHFFFAOYSA-N
Cc1ccccc1NC(=O)c2cccc(c2)N3C(=O)C4C5CC(C(Br)C5Br)C4C3=O,5,0,-0.3217500,0.3217500,1,529.9840698,2,1,0.9666666,0,154,3,2,2,1,2.2333333,2,512.0720215,3,532.2319946,3,7,1,3,0.2552437,5,1.6000000,0.3478261,30,PKSKJABNRUWCNU-UHFFFAOYSA-N
Cc1cc(C)c2NC(C3CC=CC3c2c1)c4ccc(cc4)S(=O)(=O)N5CCOCC5,5,0,-0.3787107,0.3787107,1,424.1820679,0,2,1.0666667,0,158,3,2,1,1,2.5333333,2,396.3420105,1,424.5660095,4,6,1,3,0.2427256,5,1.8000000,0.4166667,30,NLQGZVKXLTWART-UHFFFAOYSA-N
Cl.CN1CCN(CC1)C(=O)\C(=C\c2ccc(F)cc2)\C#N,4,0,-0.3354597,0.3354597,0,309.1044312,0,1,1.2380953,0,112,2,1,0,0,2.3333333,1,292.6359863,1,309.7720032,3,6,1,1,0.2641136,2,1.8095238,0.3333333,21,CGMHSYFRWKTPOF-RSGUCCNWSA-N
C1Cc2ccccc2CN1c3[nH]cnc4c5ccccc5nc34,4,0,-0.3516152,0.3516152,1,300.1374817,0,3,0.9130435,0,112,1,2,0,1,2.6956522,2,284.2369995,0,300.3649902,3,4,0,3,0.1355406,5,1.7391304,0.1578947,23,AAUHWBAAMHOPNL-UHFFFAOYSA-N
Cc1nc(O)nc(O)c1S(=O)(=O)N2CCCC(C2)C(=O)N3CCN(CC3)c4cccc(c4)C(F)(F)F,10,0,-0.4921476,0.4921476,2,529.1606445,0,2,1.0833334,1,196,4,1,0,2,2.4166667,2,503.3330078,2,529.5410156,8,14,2,2,0.4159854,4,1.7777778,0.5000000,36,DDNMXKBTBPHGTI-UHFFFAOYSA-N
COC(=O)C1=C(O)\C(=C\c2ccc(OCC(=O)Nc3ccccc3)cc2)\N=C1C,7,0,-0.5047614,0.5047614,2,392.1372070,0,1,1.1034483,0,148,6,2,0,2,2.4482758,2,372.2510071,0,392.4110107,6,7,0,1,0.3430959,3,1.7931035,0.1363636,29,VVJWFWAWKJEPIQ-PDGQHHTCSA-N
CCCC1=Nc2ccc(NC(=O)C)cc2C(=O)N1Cc3cccc(Cl)c3,5,0,-0.3263111,0.3263111,1,369.1243896,0,0,1.2307693,1,134,5,2,0,1,2.7307692,3,349.6919861,0,369.8519897,4,6,0,0,0.2612725,3,2.0384614,0.2500000,26,UQGKKNNTLFTNRZ-UHFFFAOYSA-N
CCC1=C(O)N(C2CCCCC2)C(=NC1=O)SCC(=O)Nc3ccc(C)cc3,6,0,-0.4940473,0.4940473,2,401.1773071,1,0,1.2500000,1,150,6,1,1,2,2.5714285,2,374.3160095,1,401.5320129,6,7,0,1,0.2801937,3,1.9285715,0.4761905,28,DXCQBPNWFCQNSB-UHFFFAOYSA-N
COc1cccc(CNC(=O)c2oc(CS(=O)(=O)Cc3ccccc3C)cc2)c1,6,0,-0.4967568,0.4967568,1,413.1296997,0,0,1.0344827,1,152,8,2,0,1,2.5862069,3,390.3110046,0,413.4949951,5,7,0,0,0.2867605,3,1.8275862,0.2272727,29,KNUAFEGYIDCLSD-UHFFFAOYSA-N
Cc1ccc(cc1C)C(=O)COC(=O)CNC(=O)c2occc2,6,0,-0.4592052,0.4592052,1,315.1106873,0,0,1.1304348,1,120,6,1,0,1,2.5652175,2,298.1889954,0,315.3250122,5,6,0,0,0.3253717,2,1.9130435,0.2352941,23,YSJJFCNJFRHWRY-UHFFFAOYSA-N
CC(Sc1nnc(COc2ccc(Cl)cc2)n1Cc3ccccc3)C(=O)O,6,0,-0.4856089,0.4856089,1,403.0757446,0,0,1.1851852,1,140,8,2,0,1,2.5555556,3,385.7470093,0,403.8909912,6,8,0,0,0.3163135,3,1.8888888,0.2105263,27,XVCCBXLXKSCJRO-UHFFFAOYSA-N
Cc1cccc(CCNC(=O)C2CCN(CC2)S(=O)(=O)c3c(C)onc3C)c1,7,0,-0.3599755,0.3599755,1,405.1722412,0,1,1.2500000,1,152,6,1,0,1,2.5714285,2,378.3039856,1,405.5199890,5,8,1,1,0.2479723,3,1.9642857,0.5000000,28,WNVZVJONNMTCPN-UHFFFAOYSA-N
CC(C)CN=C(S)NC1CC2CCCC(C1)N2Cc3occc3,4,0,-0.4679938,0.4679938,1,335.2031250,0,2,1.3913044,1,128,5,0,0,2,2.7391305,1,306.2850037,2,335.5169983,3,5,2,2,0.1531304,3,2.1304348,0.7222222,23,NBZXLUUEJMDEGM-UHFFFAOYSA-N
CNc1nc(Nc2ccc(Br)cc2)nc(N)c1[N+](=O)[O-],8,0,-0.3777310,0.3777310,4,338.0126953,0,0,1.3000000,1,104,4,1,0,3,2.5000000,2,328.0650024,0,339.1530151,7,9,0,0,0.3526108,2,1.9500000,0.0909091,20,INRAOEVJPARFFI-UHFFFAOYSA-N
COc1cccc(c1)c2nnc3sc(nn23)c4ccccc4,5,0,-0.4967434,0.4967434,0,308.0731812,0,0,0.9545454,2,108,3,2,0,0,2.5909090,4,296.2699890,0,308.3659973,6,6,0,0,0.2347913,4,1.7727273,0.0625000,22,KMMJDTDSFGFQSC-UHFFFAOYSA-N
Sc1nccn1c2cc(OCc3ccccc3)c(Cl)cc2Cl,3,0,-0.4872650,0.4872650,0,350.0047302,0,0,1.0909091,1,112,4,2,0,1,2.5454545,3,339.1619873,0,351.2579956,4,6,0,0,0.1689856,3,1.8636364,0.0625000,22,KXGBPROQHNHYDB-UHFFFAOYSA-N
Cc1cccc(n1)C2Nc3ccccc3C(=O)N2CCc4ccccc4,4,0,-0.3594725,0.3594725,1,343.1684570,0,1,0.9615384,1,130,4,2,0,1,2.5384614,3,322.2619934,0,343.4299927,3,4,0,1,0.2574093,4,1.7307693,0.1818182,26,UDUCWHQCWKNPCA-UHFFFAOYSA-N
CN(C)CCOC(c1ccc(C)cc1)c2cccc(c2)C(F)(F)F.OC(=O)\C=C/C(=O)O,6,0,-0.4780707,0.4780707,2,453.1763000,0,0,1.0000000,0,174,8,2,0,2,2.0312500,2,427.2489929,0,453.4570007,4,9,0,0,0.4159213,2,1.5625000,0.3043478,32,QBNGUNQWHZURLI-BTJKTKAUSA-N
CN(C(=O)COc1ccccc1C(=O)NCCc2ccccc2)c3ccccc3,5,0,-0.4829213,0.4829213,1,388.1786804,0,0,0.8620690,0,148,8,3,0,1,2.2068965,3,364.2749939,0,388.4670105,3,5,0,0,0.2641471,3,1.4827586,0.1666667,29,YAELSPINNORYRG-UHFFFAOYSA-N
CC(Oc1ccc(Cl)cc1Cl)c2onc(n2)c3ccc(NC(=O)c4ccncc4)cc3,7,0,-0.4793214,0.4793214,1,454.0599365,0,0,1.0645162,2,156,6,2,0,1,2.5161290,4,439.1730042,0,455.3009949,6,9,0,0,0.2672312,4,1.8064516,0.0909091,31,GGNUXYWBWBQODD-UHFFFAOYSA-N
Cc1cc(Cl)ccc1NC(=O)NC2CCN(CC2)S(=O)(=O)c3ccc(F)cc3,6,0,-0.3350381,0.3350381,2,425.0976257,0,1,1.1428572,0,150,4,2,0,2,2.3928571,2,404.7449951,1,425.9129944,3,9,1,1,0.3189615,3,1.7857143,0.3157895,28,JDQKULNQUANCLK-UHFFFAOYSA-N
CC(C)N1N=C(C(=O)Oc2cc(Cl)ccc2Cl)c3ccccc3C1=O,5,0,-0.4200847,0.4200847,0,376.0381470,0,0,1.1200000,1,128,3,2,0,0,2.4800000,3,363.1149902,0,377.2269897,5,7,0,0,0.3643901,3,1.8000000,0.1666667,25,SOIOZWPNLXGJCN-UHFFFAOYSA-N
CCOCCCNC(=O)C1=CN(CC=C)c2ccc(cc2C1=O)S(=O)(=O)N(CC)CC,8,0,-0.3816693,0.3816693,1,449.1984558,0,0,1.2580645,1,170,12,1,0,1,2.5806451,2,418.3250122,0,449.5729980,6,9,0,0,0.2562771,2,1.9677420,0.4545455,31,ZVUBSUPTNDYTCG-UHFFFAOYSA-N
S=C(NCCc1ccccc1)NC2CCC(CC2)NC(=S)NCCc3ccccc3,4,0,-0.3623976,0.3623976,4,440.2068481,1,0,0.6333333,0,160,8,2,1,4,1.3666667,2,408.4259949,1,440.6820068,2,6,0,1,0.1660209,3,1.0000000,0.4166667,30,OHYIFLUJRDYHGZ-UHFFFAOYSA-N
Cl.COc1cccc(C2CNC3(CCCC(C)C3)c4[nH]c5ccccc5c24)c1OC,4,0,-0.4928585,0.4928585,2,426.2073975,1,1,1.0333333,1,160,3,2,1,2,2.6333334,3,395.7399902,1,426.9880066,3,5,0,2,0.1640656,5,1.8666667,0.4400000,30,IHQVHXUVSIMGBX-UHFFFAOYSA-N
CC(C)(C)NC(=O)NC(=O)COC(=O)c1c(F)cccc1Cl,6,0,-0.4518589,0.4518589,2,330.0782776,0,0,1.2727273,0,120,3,1,0,2,2.4545455,1,314.6149902,0,330.7430115,4,8,0,0,0.3426726,1,1.9090909,0.3571429,22,SQQAUFNKYVYIFS-UHFFFAOYSA-N
CCCCOC(=O)c1ccc(NC(=O)COC(=O)CSc2nc(C)cc(C)n2)cc1,8,0,-0.4620973,0.4620973,1,431.1514893,0,0,1.0333333,1,160,10,1,0,1,2.3333333,2,406.3139954,0,431.5140076,8,9,0,0,0.3376198,2,1.7000000,0.3809524,30,XLBCANFBMOPIRT-UHFFFAOYSA-N
[O-][N+](=O)c1cc(ccc1F)N2Cc3ccccc3C2=N,5,0,-0.3216400,0.3216400,1,271.0757141,0,1,1.2500000,0,100,2,2,0,1,2.7000000,2,261.1709900,0,271.2510071,3,6,0,1,0.3063640,3,2.0000000,0.0714286,20,NGVUVWZCLSNJSG-UHFFFAOYSA-N
Cl.COc1cc2nc(Nc3ccc(C)c(Cl)c3)nc(N)c2cc1OC,6,0,-0.4928421,0.4928421,3,380.0806885,0,0,1.0400000,1,132,4,2,0,2,2.3599999,3,363.1189880,0,381.2630005,6,8,0,0,0.2292548,3,1.7200000,0.1764706,25,UABZSIIYTOXYQM-UHFFFAOYSA-N
COc1ccc(cc1)C2=Nc3ccccc3C(=O)O2,4,0,-0.4967678,0.4967678,0,253.0738983,0,0,1.0526316,1,94,2,2,0,0,2.5263157,3,242.1690063,0,253.2570038,4,4,0,0,0.3465911,3,1.7894737,0.0666667,19,DOBFHWQIDTXPFM-UHFFFAOYSA-N
Cc1cccc(NC(=O)CN2C(=O)NC(Cc3ccccc3)C2=O)c1,6,0,-0.3254443,0.3254443,2,337.1426392,0,1,1.1200000,0,128,5,2,0,2,2.5999999,2,318.2269897,1,337.3789978,3,6,1,1,0.3248052,3,1.8800000,0.2105263,25,DXSBQOCQFLADRC-UHFFFAOYSA-N
COc1ccccc1C(=O)Nc2cccc(c2)N(C)S(=O)(=O)C,6,0,-0.4959242,0.4959242,1,334.0987244,0,0,1.1304348,0,122,5,2,0,1,2.4782608,2,316.2529907,0,334.3970032,4,7,0,0,0.2589250,2,1.8260870,0.1875000,23,BSEKTCYNSOSNDT-UHFFFAOYSA-N
Cc1noc(C(=O)Nc2ccccc2C(F)(F)F)c1Cl,4,0,-0.3490916,0.4179035,1,304.0226440,0,0,1.3500000,1,106,2,1,0,1,2.5500000,2,296.5910034,0,304.6549988,3,8,0,0,0.4179035,2,2.0000000,0.1666667,20,WIDPPIFSRHEJDN-UHFFFAOYSA-N
CS(=O)(=O)c1ccc(cc1)c2csc(n2)c3cccnc3,4,0,-0.2639973,0.2639973,0,316.0340271,0,0,1.0476191,2,106,3,1,0,0,2.4285715,3,304.3110046,0,316.4070129,5,6,0,0,0.1750185,3,1.8095238,0.0666667,21,CBDIQTNMPYCESL-UHFFFAOYSA-N
Cc1cc(C)cc(NC(=O)c2sc3N=C4CCCN4C(=O)c3c2C)c1,5,0,-0.3212691,0.3212691,1,353.1198120,0,1,1.2000000,2,128,2,1,0,1,2.6400001,3,334.2950134,0,353.4469910,5,6,0,1,0.2656055,4,1.9200000,0.3157895,25,FRHZLNLPBCMGQA-UHFFFAOYSA-N
COc1ccc(cc1)N2CCN(CC2)S(=O)(=O)c3cccc4nsnc34,7,0,-0.4967659,0.4967659,0,390.0820313,0,1,1.0000000,1,136,4,2,0,0,2.4230769,3,372.3460083,1,390.4899902,7,9,1,1,0.2449648,4,1.7307693,0.2941177,26,PAYWGPVTPZBBDA-UHFFFAOYSA-N
CC(CNC(=O)c1ccccc1)n2nc(C)nc2C,5,0,-0.3498982,0.3498982,1,258.1480713,0,0,1.3157895,1,100,4,1,0,1,2.5789473,2,240.1809998,0,258.3250122,4,5,0,0,0.2508516,2,2.0000000,0.3571429,19,WDPIQKMDHUNVDP-UHFFFAOYSA-N
COc1cc(\C=C\C(=O)Nc2nnc(s2)C(C)(C)C)cc(OC)c1OC,7,0,-0.4926924,0.4926924,1,377.1409302,0,0,1.0769231,1,140,6,1,0,1,2.1538463,2,354.2820129,0,377.4660034,7,8,0,0,0.2497088,2,1.6923077,0.3888889,26,XUVZNPPCVXDJBP-BQYQJAHWSA-N
CCOC(=O)CCCNC(=O)CN1C(=O)NC2(CCCCCC2)C1=O,8,0,-0.4659684,0.4659684,2,353.1950684,1,1,1.2000000,0,140,7,0,1,2,2.5200000,0,326.2030029,2,353.4190063,5,8,1,2,0.3250190,2,1.8800000,0.7647059,25,UMIAKJOLTKZZQF-UHFFFAOYSA-N
C[C@H](NC(=O)C1CCN(CC1)S(=O)(=O)c2ccc(C)cc2)C(=O)NCCc3ccccc3,7,0,-0.3539937,0.3539937,2,457.2035217,0,1,1.0312500,0,172,8,2,0,2,2.2812500,2,426.3479919,1,457.5960083,4,8,1,1,0.2425655,3,1.6562500,0.4166667,32,GEJITZWADJNNOA-IBGZPJMESA-N
COC(=O)c1ccc(CNC(=O)c2ccc3oc(nc3c2)C(C)C)cc1,6,0,-0.4654175,0.4654175,1,352.1423035,0,0,1.1153846,1,134,5,2,0,1,2.4615386,3,332.2300110,0,352.3900146,5,6,0,0,0.3373418,3,1.8076923,0.2500000,26,USTBBPWRRVKOAQ-UHFFFAOYSA-N
[O-][N+](=O)c1cc(COC(=O)c2ccccn2)c3OCOCc3c1,8,0,-0.4667284,0.4667284,0,316.0695496,0,1,1.3913044,1,118,4,1,0,0,3.0000000,2,304.1730042,0,316.2690125,7,8,0,1,0.3567526,3,2.2608695,0.2000000,23,MWKCEHYAVPFJGD-UHFFFAOYSA-N
CCS(=O)(=O)CCSC1OC(COC(=O)C)C(OC(=O)C)C(OC(=O)C)C1OC(=O)C,11,0,-0.4629507,0.4629507,0,484.1072998,0,1,0.8387097,0,178,10,0,0,0,1.8387097,0,456.3210144,1,484.5450134,12,13,1,1,0.3026792,1,1.3548387,0.7777778,31,AGYBQBUPPJQKDM-UHFFFAOYSA-N
NNC(=O)c1oc(cc1)c2cccc(c2)[N+](=O)[O-],7,0,-0.4508826,0.4508826,3,247.0593109,0,0,1.3333334,1,92,3,1,0,2,2.7777777,2,238.1380005,0,247.2100067,5,7,0,0,0.3003758,2,2.1111112,0.0000000,18,OGCZOLYYPHZPFC-UHFFFAOYSA-N
COc1cc(OC)c(cc1OC)C(=O)Nc2cccc3ccccc23,5,0,-0.4957750,0.4957750,1,337.1314087,0,0,0.8000000,0,128,5,3,0,1,2.1600001,3,318.2229919,0,337.3750000,4,5,0,0,0.2590866,3,1.4400001,0.1500000,25,JILNHEMBSLEZDV-UHFFFAOYSA-N
Cc1cc2c(ncn2Cc3ccccc3)c(c1C)[N+](=O)[O-],5,0,-0.3258641,0.3258641,0,281.1164246,0,0,1.2380953,1,106,3,2,0,0,2.6190476,3,266.1950073,0,281.3150024,4,5,0,0,0.2996688,3,1.9523809,0.1875000,21,ROZNJMOOTMTNFH-UHFFFAOYSA-N
Cc1cc(C)c(NC(=O)CSc2nc3ccc(cc3s2)N4C(=O)c5ccccc5C4=O)c(C)c1,6,0,-0.3248704,0.3248704,1,487.1024475,0,1,0.9705882,1,170,5,3,0,1,2.2647059,4,466.4379883,0,487.6059875,6,8,0,1,0.2656434,5,1.6176471,0.1538462,34,HTZPOCDZOVFZKN-UHFFFAOYSA-N
COCCCNC(=O)CN(c1ccc(Cl)c(Cl)c1)S(=O)(=O)C,6,0,-0.3846203,0.3846203,1,368.0364380,0,0,1.3181819,0,124,8,1,0,1,2.5454545,1,351.1260071,0,369.2699890,4,9,0,0,0.2402825,1,2.0000000,0.4615385,22,SVKOMSRWVIRNFW-UHFFFAOYSA-N
OC(=O)CCCNC(=O)c1ccc(NC(=O)Cc2ccc(Cl)cc2)cc1,6,0,-0.4812296,0.4812296,3,374.1033325,0,0,0.9615384,0,136,8,2,0,3,2.2307692,2,355.6719971,0,374.8240051,3,7,0,0,0.3029084,2,1.6153846,0.2105263,26,ZTWGMDXVBZUNRP-UHFFFAOYSA-N
CCn1cc(cn1)C(=O)Nc2ccc(C)c(c2)[N+](=O)[O-],7,0,-0.3216415,0.3216415,1,274.1065979,0,0,1.5000000,1,104,4,1,0,1,2.8499999,2,260.1679993,0,274.2799988,5,7,0,0,0.2738732,2,2.2500000,0.2307692,20,KDNFJBMLXSNPTG-UHFFFAOYSA-N
CCOC(=O)C1CCN(CC1)C(=Nc2cccc(C)c2C)S,4,0,-0.4657640,0.4657640,0,320.1558533,0,1,1.3636364,0,120,3,1,0,1,2.6818182,1,296.2659912,1,320.4580078,3,5,1,1,0.3085533,2,2.0454545,0.5294118,22,BJTIGWRWJOWFED-UHFFFAOYSA-N
COc1ccc(cc1OC)c2ccc(SCc3cccnc3)nn2,5,0,-0.4928696,0.4928696,0,339.1041565,0,0,0.9583333,2,122,6,1,0,0,2.5000000,3,322.2839966,0,339.4200134,6,6,0,0,0.1608893,3,1.8333334,0.1666667,24,WPBWKESHZXUSOP-UHFFFAOYSA-N
COC(=O)C1=C(C)N(C(C)c2ccccc2)C(=O)/C/1=C\c3occc3,5,0,-0.4653522,0.4653522,0,337.1314087,0,1,1.2000000,1,128,4,1,0,0,2.5200000,2,318.2229919,0,337.3750000,4,5,0,1,0.3399532,3,1.9200000,0.2000000,25,QYHKIFGEJVZNBA-ATVHPVEESA-N
Cc1c(O)ccc(C(=O)CN2CCN(CC2)c3ccc(F)cc3)c1O,5,0,-0.5075422,0.5075422,2,344.1536255,0,1,1.0400000,0,132,4,2,0,2,2.3199999,2,323.2179871,1,344.3859863,5,6,1,1,0.1800443,3,1.6799999,0.3157895,25,CIXVSEUWYFGRKJ-UHFFFAOYSA-N
[O-][N+](=O)c1ccc(NC(=O)NCCN2CCCCC2)cc1,7,0,-0.3365811,0.3365811,2,292.1535339,0,1,1.1904762,0,114,5,1,0,2,2.4761906,1,272.1789856,1,292.3389893,4,7,1,1,0.3187796,2,1.8571428,0.5000000,21,QYQSOSZWSYYJGU-UHFFFAOYSA-N
CC1=Nc2ccccc2C(=O)N1NC(=O)C3CCCCC3,5,0,-0.2729269,0.2798449,1,285.1477356,1,0,1.2380953,1,110,2,1,1,1,2.7142856,2,266.1950073,1,285.3469849,4,5,0,1,0.2798449,3,1.9523809,0.4375000,21,YRBRGJCHWXWHAH-UHFFFAOYSA-N
Cc1cccc(OCCOCCSc2ncccn2)c1,4,0,-0.4911858,0.4911858,0,290.1088867,0,0,1.0500000,1,106,8,1,0,0,2.7000000,2,272.2439880,0,290.3880005,5,5,0,0,0.1870396,2,1.9000000,0.3333333,20,JWGRYBMUFKAOJP-UHFFFAOYSA-N
CC(=O)NC(CCS(=O)(=O)C)C(=O)Nc1ccccc1C,6,0,-0.3445013,0.3445013,2,312.1143799,0,0,1.2380953,0,116,6,1,0,2,2.3809524,1,292.2309875,0,312.3909912,4,7,0,0,0.2464896,1,1.8571428,0.4285714,21,UHRDHVTYMAPEJS-UHFFFAOYSA-N
CCN(CC)C(=O)c1cc(on1)c2ccc(Br)cc2,4,0,-0.3554895,0.3554895,0,322.0316772,0,0,1.2631578,1,100,4,1,0,0,2.4736843,2,308.0700073,0,323.1900024,3,5,0,0,0.2755384,2,1.8947369,0.2857143,19,RGPBBNVHNWQLRB-UHFFFAOYSA-N
Clc1ccc(cc1)S(=O)(=O)N2CCCC2c3cccnc3,4,0,-0.2643858,0.2643858,0,322.0542908,0,1,1.1904762,1,110,3,1,0,0,2.6190476,2,307.6969910,1,322.8169861,3,6,1,1,0.2431301,3,1.9523809,0.2666667,21,SIKAKERNILXQAG-UHFFFAOYSA-N
CCC1=Nc2cc(ccc2Sc3ccc(Br)cc13)C(=O)NCC4CCCO4,4,0,-0.3763858,0.3763858,1,444.0507202,0,2,1.2962962,0,140,4,2,0,1,2.9259260,2,424.2139893,1,445.3819885,4,6,1,2,0.2509492,4,2.1481481,0.3333333,27,FWDGNGNJNVPPMH-UHFFFAOYSA-N
Oc1ccc(cc1NC(=O)CSc2nc3ccccc3s2)S(=O)(=O)N4CCOCC4,8,0,-0.5057725,0.5057725,2,465.0486755,0,1,1.2333333,1,158,6,2,0,2,2.7666667,3,446.4259949,1,465.5780029,8,11,1,1,0.2428078,4,2.0000000,0.2631579,30,IDOYVYUFPNLSKM-UHFFFAOYSA-N
COc1cc(\C=C\C(=C\2/C(=O)NC(=O)N(CCc3ccccc3)C2=O)\O)ccc1O,8,0,-0.5069046,0.5069046,3,408.1321411,0,1,1.1333333,0,154,6,2,0,3,2.5666666,2,388.2500000,1,408.4100037,6,8,1,1,0.3308015,3,1.8666667,0.1363636,30,JMWHBLVQIUCXPI-VRGAHVDBSA-N
