Col 1,Col 2,Col 3
u ,>0.20,6.73
u ,0.25,6.67
d,0.08,6.44
u ,0.02,6.43
,>0.75,6.37
u ,>0.20,6.25
u ,,6.16
,>0.25,6.03
u ,,6.01
u ,>0.20,5.97
u ,0.18,5.90
u ,>0.20,5.85
u ,>0.20,5.84
,,5.78
u ,>0.20,5.55
u ,>0.20,5.50
u ,0.03,5.45
f,0.54,5.42
u ,>0.20,5.37
u ,>0.20,5.36
u ,>0.20,5.34
u ,>0.20,5.12
u ,,5.07
u ,>0.20,5.02
u ,>0.20,4.98
u ,0.16,4.93
,0.10,4.88
u ,>0.20,4.87
u ,>0.20,4.84
u ,>0.20,4.77
u ,0.02,4.77
,0.07,4.52
u ,,4.39
u ,,4.31
u ,0.07,4.00
u ,>0.20,3.96
u ,0.28,3.88
AAA,,3.75
u ,>0.20,3.65
,0.73,3.60
u ,>0.20,3.59
u ,,3.52
u ,>0.20,3.48
u ,>0.20,3.47
AAA,,3.47
u ,,3.44
d,,3.39
u ,,3.29
u ,>0.20,3.27
,0.42,3.25
,0.18,3.11
u ,>0.20,2.99
Isothiazole,0.27,2.98
u ,>0.20,2.93
,,2.69
u ,0.15,2.65
u ,>0.20,2.62
u ,>0.20,2.56
f,,2.52
u ,>0.20,2.51
u ,0.22,2.48
u ,>0.20,2.46
u ,>0.20,2.45
u ,>0.20,2.39
u ,,2.28
u ,0.03,2.28
Isothiazole,0.31,2.26
u ,>0.20,2.18
u ,>0.20,2.17
u ,,2.10
u ,,2.05
u ,>0.20,2.05
u ,,2.01
Isothiazole,,1.98
u ,>0.20,1.96
u ,>0.20,1.94
u ,,1.92
u ,,1.91
d,0.27,<1.91
u ,>0.20,1.89
u ,>0.20,1.89
u ,>0.20,1.85
u ,,1.83
u ,0.19,1.79
u ,,1.78
u ,>0.20,1.78
f,0.17,1.77
u ,>0.20,1.74
u ,>0.20,1.71
u ,,1.71
u ,0.19,1.71
u ,>0.20,1.70
u ,,1.66
e,0.74,1.65
u ,>0.20,1.63
,0.51,1.59
u ,>0.20,1.59
u ,>0.20,1.56
u ,,1.55
u ,0.18,1.53
,,1.50
u ,0.14,1.49
u ,,1.48
,>0.20,1.42
,,1.41
d,0.03,1.41
u ,>0.20,1.40
u ,0.17,1.39
u ,0.16,1.37
,<0.00,1.37
u ,0.20,1.37
u ,>0.20,1.35
d,0.05,1.35
,0.02,1.35
u ,,1.35
u ,0.17,1.32
u ,,1.31
d,0.05,1.25
u ,>0.20,1.25
,>0.20,1.24
u ,>0.20,1.21
u ,>0.20,1.18
,0.01,1.17
mmm,<0.00,1.16
,>0.20,1.12
u ,>0.20,1.10
u ,0.15,1.10
,0.16,1.06
,>0.20,1.06
u ,,1.04
,>0.20,1.03
u ,,1.02
u ,>0.20,1.01
,>0.75,1.00
u ,0.47,1.00
u ,>0.20,0.98
,0.19,0.95
e,0.42,0.94
u ,,0.91
u ,>0.20,0.90
,,0.88
f,0.08,0.86
u ,>0.20,0.85
,0.28,0.81
u ,>0.20,0.80
u ,,0.79
,,0.76
u ,,0.76
d,0.10,0.73
u ,>0.20,0.73
d,0.13,0.71
,<0.00,0.65
,>0.20,0.65
AAA,,0.62
Isothiazole,>0.75,0.62
u ,>0.20,0.61
f,0.10,0.55
d,0.04,0.49
,>0.20,0.48
u ,0.01,0.46
e,,0.45
u ,,0.44
f,0.06,0.42
,>0.75,0.40
e,>0.75,0.37
u ,,0.34
,0.17,0.32
u ,>0.20,<0.20
u ,>0.20,<0.20
AAA,0.86,<0.20
u ,>0.20,<0.20
CCC,>0.75,<0.20
u ,0.15,<0.20
d,0.01,0.10
d,<0.00,0.00
u ,0.00,
,0.30,
u ,,
u ,,
u ,,
u ,,
u ,,
u ,0.04,
u ,,
,,
,,
u ,0.05,
u ,0.16,
u ,0.36,
u ,>0.25,
,,
d,0.09,
u ,,
u ,,
u ,,
u ,,
u ,,
,,
,,
u ,,
,,
u ,,
u ,,
u ,,
u ,,
u ,,
u ,0.00,
u ,,
u ,,
u ,0.43,
u ,<0.00,
u ,,
u ,,
u ,0.07,
u ,0.01,
,,
u ,0.83,
u ,,
u ,,
u ,>0.75,
u ,,
u ,,
u ,,
u ,,
u ,,
u ,,
u ,,
u ,,
,,
u ,>0.25,
,,
u ,0.77,
,,
u ,0.23,
u ,,
u ,,
u ,,
u ,,
u ,,
u ,0.03,
u ,,
u ,,
u ,>0.25,
u ,0.13,
u ,,
,0.01,
u ,,
,,
u ,,
u ,,
u ,,
AAA,,
,,
u ,0.13,
,,
u ,>0.75,
u ,,
u ,,
u ,,
u ,,
u ,,
,,
,0.02,
u ,,
u ,,
u ,,
u ,,
u ,,
,,
u ,,
u ,,
,,
,,
u ,,
u ,>0.25,
u ,,
u ,,
u ,,
u ,,
u ,,
u ,,
u ,,
u ,,
u ,,
u ,>0.75,
u ,,
u ,,
,,
u ,,
AAA,,
u ,,
u ,,
u ,,
u ,,
,,
CCC,,
u ,,
u ,0.19,
u ,,
,,
,,
u ,,
,,
u ,,
u ,,
u ,,
u ,,
AAA,,
u ,,
u ,,
u ,,
u ,,
,,
,,
u ,,
,<0.00,
u ,,
,,
,,
u ,,
,,
,,
e,,
u ,,
,0.15,
u ,,
,,
u ,,
u ,0.09,
u ,,
u ,,
,,
u ,,
f,,
u ,,
,,
,,
f,,
u ,0.02,
,,
,,
u ,,
u ,,
u ,,
u ,,
u ,0.20,
u ,,
,,
,,
f,,
f,,
f,,
,,
,,
u ,>0.25,
,,
u ,,
,0.07,
,,
,,
,,
d,,
u ,,
,,
,,
,,
,0.10,
,0.05,
,0.24,
,0.34,
f,,
,,
BBB,,
u ,,
u ,,
u ,,
u ,>0.25,
u ,,
,,
,,
u ,>0.25,
u ,,
,,
,,
u ,,
u ,,
d,,
,,
u ,,
u ,0.31,
AAA,,
,,
,,
,,
,,
,0.16,
u ,,
,,
u ,,
,,
,,
f,,
,,
,,
,,
,,
u ,0.31,
u ,,
,,
,,
,,
BBB,,
,,
,,
,,
,,
u ,0.04,
,,
,,
,,
AAA,,
AAA,,
,,
,,
f,,
,,
,,
,,
,,
CCC,,
u ,,
,,
,,
u ,,
u ,,
,,
,,
AAA,,
,,
,0.00,
d,,
,,
,,
BBB,,
,,
,,
,,
,,
,,
,,
,,
,,
f,,
,,
u ,,
,,
,,
,,
,,
,,
,,
,,
d,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,0.04,
,,
u ,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,<0.00,
,,
,,
,,
e,0.02,
,,
u ,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
u ,,
,,
,,
u ,,
,,
,,
AAA,0.87,
,,
,,
,,
,<0.00,
,,
,,
,,
,,
u ,0.78,
,0.06,
,,
,,
d,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
BBB,,
d,,
,,
,,
,,
,,
,0.06,
BBB,,
d,,
,,
,,
BBB,,
,,
,,
,,
,,
,,
,,
u ,,
,,
,,
f,,
,,
,,
,,
,,
,0.01,
,,
,,
,,
AAA,0.16,
BBB,,
,,
BBB,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,0.02,
u ,,
u ,,
,,
,0.06,
,,
,,
Isothiazole,0.15,
,,
BBB,,
Isothiazole,,
,,
,,
,,
,,
,,
,,
,,
,,
d,,
,,
AAA,,
,,
Isothiazole,,
Isothiazole,,
,,
,,
,,
,,
,,
,,
f,,
,,
u ,,
u ,>0.75,
f,,
,,
,,
,,
,,
,,
,,
,>0.20,
u ,,
u ,>0.25,
u ,0.01,
,,
,,
,,
,,
,,
,,
,,
AAA,0.92,
,,
,,
f,,
,,
,,
n,,
AAA,,
,,
,,
,,
,,
,0.39,
,,
,,
u ,,
u ,>0.25,
n,,
u ,,
,,
f,0.96,
,,
f,,
,,
n,,
,,
n,,
n,0.78,
n,,
n,,
d,,
d,,
n,,
,,
n,,
n,,
n,,
n,,
n,,
,0.03,
n,,
n,,
,,
n,,
n,,
u ,,
n,,
n,,
n,,
n,,
n,,
n,,
n,,
n,,
n,,
,,
n,,
,,
n,,
n,,
,,
n,,
,,
n,,
,,
n,,
n,,
n,,
n,,
n,,
n,,
n,,
n,,
,0.02,
n,,
n,,
,,
n,,
,,
AAA,0.07,
n,,
,,
AAA,,
n,,
,,
n,,
,,
,,
n,,
n,,
,<0.00,
u ,,
u ,,
,,
,,
n,,
n,,
,,
,,
d,<0.00,
n,,
,,
n,,
n,,
n,,
n,,
n,,
n,,
n,,
,,
,,
,,
d,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
n,,
,,
,,
n,,
n,,
,,
d,,
,,
,,
,,
,,
f,,
AAA,,
,0.00,
,,
,,
,,
,,
n,,
n,,
,,
d,,
,,
n,,
n,,
n,,
,,
,,
,,
n,,
,,
AAA,,
,,
,,
AAA,,
,,
f,,
,,
,,
,,
,,
f,,
f,,
d,,
,,
,,
,,
,,
,,
u ,,
,,
,,
n,,
,,
n,,
n,,
,,
u ,,
AAA,,
n,,
n,,
n,,
n,,
,,
u ,,
n,,
,0.02,
n,,
,,
,0.27,
,,
n,,
n,,
n,,
n,,
n,,
n,,
n,,
,0.02,
AAA,,
,0.20,
,,
,,
,,
n,,
,,
,,
d,,
n,,
u ,0.18,
,,
,,
,,
,,
n,,
n,,
n,0.01,
n,,
AAA,,
,,
n,,
n,,
n,,
,0.07,
n,<0.00,
n,,
,,
,,
,,
n,,
n,,
,,
,,
e,,
e,,
e,,
,,
,,
,,
n,,
n,,
,,
,,
,,
u ,,
e,,
f,0.10,
,,
,,
,,
,,
e,,
e,0.59,
e,,
e,,
,,
e,,
e,,
,,
,,
,,
,,
e,,
,,
,,
e,,
e,,
,>0.75,
,,
e,,
,,
e,,
,<0.00,
,,
e,,
e,,
,,
,,
AAA,,
e,,
,,
AAA,,
AAA,,
AAA,,
AAA,,
,,
,,
,,
,,
AAA,,
e,,
u ,,
AAA,,
,,
AAA,,
,,
,,
,,
f,,
,,
,0.12,
e,,
u ,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
f,,
,,
,,
e,,
,,
,,
,,
AAA,0.26,
,,
CCC,,
,,
,,
,,
,,
,,
n,,
u ,,
,0.71,
,,
,0.00,
,,
,,
,,
,,
,,
e,,
,,
n,,
,,
,0.16,
,0.74,
,,
,,
,0.07,
,,
f,,
,,
,,
,,
,<0.00,
AAA,,
u ,>1.00,
n,,
,,
,,
f,,
,,
f,0.01,
u ,,
f,,
,,
,,
u ,,
,,
,,
,,
,,
f,,
f,,
f,,
,,
,,
,0.01,
,,
,,
,,
e,>1.00,
,,
,,
,>0.75,
f,,
,,
,,
,,
,,
,,
,>0.75,
e,,
,,
,,
,,
d,,
,,
,,
AAA,>0.75,
,,
,,
,,
,,
,,
,,
,,
,0.18,
,,
,,
,<0.00,
,<0.00,
,<0.00,
,,
,,
,,
f,,
,,
,,
,,
f,0.26,
,0.17,
,,
,,
,,
,,
,,
,,
u ,,
AAA,0.25,
,,
,,
,,
,0.01,
u ,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
,0.03,
f,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,0.02,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
,<0.00,
,0.36,
,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
,,
,,
,,
,<0.00,
mmm,,
,,
mmm,,
mmm,,
mmm,,
,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,<0.00,
mmm,,
mmm,,
mmm,,
mmm,>1.00,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
,,
,<0.00,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
u ,0.01,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
kk,0.01,
,,
u ,,
,0.64,
,0.01,
,0.01,
AAA,0.02,
,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
f,,
,,
,,
d,,
,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
,,
,<0.00,
,,
,,
,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
,,
AAA,,
,,
mmm,,
mmm,,
,0.02,
,,
AAA,,
AAA,,
,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,<0.00,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
mmm,,
,,
,,
,,
f,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
kk,,
f,0.02,
AAA,,
AAA,,
,,
AAA,,
,<0.00,
kk,,
,<0.00,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,0.12,
,,
,,
,,
,,
,,
f,,
,,
,,
,,
,,
,0.72,
,,
,,
,,
,,
,,
,,
,,
,,
AAA,,
,,
AAA,0.53,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
,0.32,
kk,,
,,
,,
,,
,,
,,
,,
AAA,,
,,
AAA,,
AAA,,
AAA,,
AAA,,
kk,0.01,
kk,,
,,
,<0.00,
,0.11,
,,
,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
n,,
kk,,
kk,,
,,
kk,0.01,
f,,
,,
kk,,
kk,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
d,,
n,,
,,
,,
f,<0.00,
,,
,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
,,
n,,
n,,
kk,,
f,,
,,
,,
,,
,,
AAA,,
AAA,,
AAA,,
,,
,0.02,
,,
kk,,
,0.88,
kk,<0.00,
AAA,,
,,
n,,
n,<0.00,
,,
,0.96,
,,
,,
d,,
,,
,,
,,
,,
,<0.00,
kk,,
kk,0.05,
kk,,
kk,,
,,
,0.00,
,,
,,
,,
,,
kk,,
kk,,
,,
,,
,,
,,
,,
,,
kk,,
kk,,
,>1.00,
,0.63,
,,
,,
,,
,,
,,
,,
,,
f,,
f,,
f,0.23,
,,
f,0.00,
,,
,,
,,
d,,
n,,
AAA,,
,,
,,
,,
kk,0.03,
kk,0.00,
kk,0.01,
kk,<0.00,
kk,<0.00,
kk,0.07,
,,
kk,0.01,
kk,0.02,
,,
,,
,,
,,
kk,0.01,
,,
,,
,,
,0.01,
,,
,,
kk,0.00,
kk,0.01,
kk,<0.00,
,,
f,,
f,,
kk,0.17,
kk,<0.00,
,,
,0.28,
,,
kk,0.01,
kk,<0.00,
kk,0.01,
,,
AAA,,
AAA,<0.00,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
AAA,,
,,
,,
,,
,,
u ,,
,,
,,
kk,0.22,
f,0.01,
,,
,,
,,
,,
kk,0.02,
,,
,,
,,
,,
f,,
f,,
f,0.33,
f,,
f,,
f,,
f,,
f,,
kk,0.04,
,,
f,,
f,,
f,,
f,0.04,
f,,
f,,
f,,
,,
f,,
f,,
f,,
,0.32,
f,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
kk,0.03,
kk,0.01,
,,
,,
,,
,,
,,
,,
CCC,,
CCC,,
CCC,>0.75,
CCC,,
CCC,,
CCC,,
CCC,,
,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,0.83,
CCC,,
,,
,,
CCC,,
CCC,,
,0.08,
CCC,,
,,
,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
AAA,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
,,
CCC,,
,,
,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
,,
CCC,,
CCC,,
,,
,,
,,
CCC,,
,,
,,
CCC,,
,,
,,
,,
,,
CCC,,
CCC,,
,,
CCC,,
CCC,,
CCC,,
,,
CCC,,
CCC,,
,,
,,
CCC,,
,,
CCC,,
CCC,,
,,
CCC,,
CCC,,
CCC,,
,,
CCC,,
,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
,,
,,
,,
,,
,0.07,
,,
,,
,0.41,
CCC,,
CCC,,
,0.76,
,0.79,
,,
,,
,,
,,
,,
,,
f,,
f,,
f,0.06,
f,0.01,
f,0.03,
kk,0.04,
kk,0.00,
CCC,,
,,
,,
kk,0.08,
mmm,,
CCC,0.02,
CCC,0.26,
,0.05,
,,
,0.41,
,,
,,
,0.01,
,0.35,
,,
f,0.27,
f,,
f,,
,,
,,
,,
,,
,,
AAA,,
,,
f,0.32,
,,
,,
,>1.00,
,,
d,>1.00,
,<0.00,
,,
mmm,0.01,
,,
,0.51,
kk,<0.00,
,,
,>1.00,
,,
d,>1.00,
d,>1.00,
d,>1.00,
,,
,0.48,
,<0.00,
u ,0.01,
kk,0.02,
,,
,,
,,
,>1.00,
,>0.75,
,,
,,
,>1.00,
,,
,,
,,
,,
d,,
,,
u ,0.10,
kk,,
,,
kk,0.01,
,0.66,
,,
,,
,,
,,
AAA,,
d,,
kk,0.03,
kk,0.06,
,,
,,
,,
,,
,0.00,
,0.02,
kk,,
,,
,0.55,
AAA,0.01,
,,
,,
,,
,,
kk,,
,,
