ColA,ColB
,84.55938720703125
4.83,84.55938720703125
8.48,34.609928131103516
,34.609928131103516
,43.92578125
43.20,
,50.12138366699219
,50.12138366699219
,50.12138366699219
,50.12138366699219
12.05,50.12138366699219
,50.12138366699219
,67.05944061279297
,50.12138366699219
,50.12138366699219
,50.12138366699219
,67.05944061279297
,50.12138366699219
,50.12138366699219
,50.12138366699219
,50.12138366699219
,50.12138366699219
,50.12138366699219
27.34,50.12138366699219
,50.12138366699219
,50.12138366699219
,21.629064559936523
,50.12138366699219
,50.12138366699219
,50.12138366699219
,50.12138366699219
14.29,21.629064559936523
45.21,50.12138366699219
,50.12138366699219
,67.05944061279297
,50.12138366699219
38.59,67.05944061279297
,50.12138366699219
,50.12138366699219
,55.50633239746094
,42.074642181396484
54.40,42.074642181396484
12.28,39.53575897216797
,39.53575897216797
,39.53575897216797
,39.53575897216797
,39.53575897216797
17.72,39.53575897216797
,39.53575897216797
,67.86907196044922
,51.731449127197266
,67.86907196044922
,67.86907196044922
,67.86907196044922
,67.86907196044922
,51.731449127197266
,67.86907196044922
18.10,51.731449127197266
,67.86907196044922
,50.12138366699219
,47.08637237548828
,47.08637237548828
,48.532772064208984
,48.532772064208984
,17.127920150756836
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
2.87,20.73249626159668
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
49.86,48.532772064208984
,17.127920150756836
,48.532772064208984
,48.532772064208984
9.32,48.532772064208984
,48.532772064208984
,48.532772064208984
13.88,48.532772064208984
,48.532772064208984
10.70,48.532772064208984
,17.127920150756836
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,20.73249626159668
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
24.12,48.532772064208984
,48.532772064208984
27.80,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.926185607910156
,48.532772064208984
,17.127920150756836
,48.532772064208984
,48.532772064208984
,17.127920150756836
,17.127920150756836
12.40,48.926185607910156
13.80,48.532772064208984
,48.532772064208984
10.30,48.532772064208984
,48.532772064208984
,48.532772064208984
,17.127920150756836
,48.532772064208984
7.18,48.532772064208984
,48.532772064208984
,48.532772064208984
15.10,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,48.532772064208984
,39.53575897216797
36.10,39.53575897216797
,
37.34,
,54.944801330566406
,
40.35,
,67.045654296875
,67.045654296875
,37.20317077636719
2.05,57.82551574707031
,57.82551574707031
,39.53575897216797
,39.53575897216797
,85.13218688964844
,85.13218688964844
115.00,49.541969299316406
,85.13218688964844
220.00,85.13218688964844
,49.541969299316406
,85.13218688964844
18.20,48.843711853027344
,48.843711853027344
,52.78726577758789
,39.53575897216797
29.80,39.53575897216797
22.70,56.238563537597656
15.50,34.609928131103516
,55.179527282714844
,39.53575897216797
6.83,39.53575897216797
,34.609928131103516
0.35,34.609928131103516
0.19,34.609928131103516
,39.53575897216797
,23.404951095581055
,58.96369171142578
,58.96369171142578
,58.96369171142578
,23.404951095581055
,58.96369171142578
6.37,58.96369171142578
,58.96369171142578
,23.404951095581055
,58.96369171142578
,58.96369171142578
,58.96369171142578
,58.96369171142578
,58.96369171142578
,58.96369171142578
,58.96369171142578
,58.96369171142578
,58.96369171142578
,58.96369171142578
