DRUGBANK_ID,COMMON_NAME,CAS_NUMBER,UNII,SYNONYMS,Smiles
DB06757,Manganese,7439-96-5,H6EP7W5457,,[Mn+2]
DB14579,Lanthanum III cation,16096-89-2,O7FU5X12W5,"Lanthanum cation (3+); Lanthanum cation (La3+); Lanthanum ion; Lanthanum, ion (La3+); lanthanum(3+) ion; Lanthanum(3+) ions; lanthanum(III) cation",[La+3]
DB09479,Rubidium Rb-82,,550Z839889,Rubidium (82Rb) cation; Rubidium cation Rb-82; Rubidium Rb-82 cation,[82Rb+]
DB12754,Iodide,20461-54-5,09G4I6V86Q,Iodide ion,[I-]
DB09293,Iodide I-131,14914-30-8,4GC1FOQ22U,"Iodide I-131; Iodide I-131 ion; Iodide ion I 131; Iodide ion, I-131; Iodide-131; iodine I-131; Radioiodine",[131I-]
DB09420,Iodide I-123,69239-56-1,98QPV8670C,123I−; I 123; I-123; Iodide ion i-123; Iodine 123; Iodine-123,[123I-]
DB14519,Aluminum cation,22537-23-1,3XHB1D032B,"Aluminium, ion (Al3+); Aluminum(3+); Aluminum(III); Aluminum(III) ion; Alumunum ion",[Al+3]
DB14552,Cupric cation,15158-11-9,8CBV67279L,Copper ion (Cu++); Copper ions; copper(2+); Copper(2+)ions; Cupric ion,[Cu+2]
DB01356,Lithium cation,7439-93-2,8H8Z5UER66,"Li(+); Lithium ion; Lithium, ion; Lithium, ion (li1+)",[Li+]
DB01345,Potassium cation,24203-36-9,295O53K152,Potassium (ion); Potassium ion; potassium(1+); potassium(1+) ion; potassium(I) cation,[K+]
DB14572,Bismuth cation,23713-46-4,ZS9CD1I8YE,Bismut(III)-ion; bismuth(3+); bismuth(III) cation; bisumth(3+) ion; Wismut(III)-ion,[Bi+3]
DB13047,Pentavalent Antimony,22537-51-5,841L03HG64,Antimony cation (5+); SB5+,[Sb+5]
DB14516,Sodium cation,17341-25-2,LYR4M0NH37,Sodium (ion); Sodium ion; sodium(1+),[Na+]
DB14205,Cobaltous cation,22541-53-3,AI1MR454XG,"Cobalt cation (Co2+); Cobalt, ion (Co2+); Cobalt(2+); Cobalt(II) cation; Cobalt(II) ion; Cobaltous ion",[Co+2]
DB14534,Gold cation (1+),20681-14-5,3D8CUH9F21,"Au+; Au1+; Gold (Au1+); Gold ion(1+); Gold, ion (Au1+); Gold(1+); Gold(1+) ion",[Au+]
DB14521,Silver cation,14701-21-4,57N7B0K90A,"Silver, ion (Ag1+)",[Ag+]
DB14524,Gallium cation,22537-33-3,F7K5MP217W,"Ga3+; Gallium (ga3+); Gallium ion(3+); Gallium, ion (Ga3+); Gallium(3+) cation; Gallium(III) cation",[Ga+3]
DB14549,Gallium cation Ga-67,,99T03J52W0,Gallium (67Ga)cation; Gallium cation Ga 67; Gallium Ga-67 cation,[67Ga+3]
DB09145,Water,7732-18-5,059QF0KO0R,agua; Dihydrogen oxide; Purified water; Sterile water; Water purified,O
DB14522,Hydroxide ion,14280-30-9,9159UV381P,Hydroxide; Oxidanide,[OH-]
DB09326,Ammonia N-13,34819-78-8,9OQO0E343Z,(13N)Ammonia; Ammonia N 13,[13NH3]
DB11211,Calcium sulfide,20548-54-3,1MBW07J51Q,Calcium sulphide,[S-2].[Ca+2]
DB16607,Lithium chloride,7447-41-8,G4962QA067,Lithium muriaticum,[Li+].[Cl-]
DB09153,Sodium chloride,7647-14-5,451W47IQ8X,Cloruro sódico; Natriumchlorid; Natrum muriaticum; Sodium chloride,[Na+].[Cl-]
DB06715,Potassium Iodide,7681-11-0,1C4QK22F9J,Kaliumiodid; KI; Potasio ioduro; Potassium Iodide,[K+].[I-]
DB11119,Sodium iodide,7681-82-5,F5WR8N145C,Sodium iodide,[Na+].[I-]
DB00761,Potassium chloride,7447-40-7,660YQ98I10,Chlorid draselny; Chloride of potash; Kaliumchlorid; KCl; Monopotassium chloride; Muriate of potash; Potassium chloride; Sylvite,[Cl-].[K+]
DB09325,Sodium fluoride,7681-49-4,8ZYQ1474W7,Sodium fluoride,[F-].[Na+]
DB14506,Lithium hydroxide,1310-65-2,903YL31JAS,Lithium hydrate; Lithium hydroxide anhydrous; Lithiumhydroxid,[Li+].[OH-]
DB01377,Magnesium oxide,1309-48-4,3A3U0GI71G,Magnesia; Magnesium oxide,[O-2].[Mg+2]
DB11134,Cupric oxide,1317-38-0,V1XJQ704R4,Cuprous Oxide; Cuprum oxydatum nigrum,[O-2].[Cu+2]
DB11153,Potassium hydroxide,1310-58-3,WZH3C48M4T,Ätzkali; hydroxyde de potassium; Kaliumhydroxid; potash lye; potasio hidróxido; potasse caustique; Potassium hydroxide,[OH-].[K+]
DB11151,Sodium hydroxide,1310-73-2,55X04QC32I,caustic soda; lye; soda lye; sodio hidróxido; sodium hydrate; Sodium hydroxide; white caustic,[OH-].[Na+]
DB06767,Ammonium chloride,12125-02-9,01Q9PC255D,Ammonium chloride; Ammoniumchlorid; Chlorammonic; Chlorid ammonia,N.Cl
DB15906,Acetylene,74-86-2,OC7TV75O83,Ethine; Ethyne,C#C
DB15127,Hydrogen,1333-74-0,7YNJ3PO35Z,Dihydrogen; Molecular hydrogen; Protium,[H][H]
DB11109,Chlorine,7782-50-5,4R7X1O2820,Chlor; Chlore; Cloro; Dichlorine,ClCl
DB16624,Thallous chloride Tl-201,55172-29-7,3I8Y076A0E,Thallium (201Tl) chloride; Thallous chloride Tl 201,Cl[201Tl]
DB09316,Thallous chloride,7791-12-0,37CB58V15B,Thallium chloride; thallium monochloride; Thallium(I) chloride,Cl[Tl]
DB05382,Iodine,7553-56-2,9679TC07X4,diiodine; I2; Iodine; iodo; Jod; molecular iodine,II
DB15535,Cuprous chloride,7758-89-6,C955P95064,Copper monochloride; Copper(1+) chloride; Dicopper dichloride,Cl[Cu]
DB09140,Oxygen,7782-44-7,S88TT14065,Dioxygen; Molecular oxygen; Oxigeno gaseoso; Oxygen; Oxygen USP; Pure oxygen,O=O
DB11091,Hydrogen peroxide,7722-84-1,BBX060AN9V,Hydrogen peroxide,OO
DB03843,Formaldehyde,50-00-0,1HG84L3525,Formaldehído; Formaldehyd; Formaldehyde; Formaldehyde solution; Formalin; Formic aldehyde; Formol; Methanal; Methyl aldehyde; Methylene oxide; Oxomethane; Oxomethylene; Oxymethylene; Paraform,C=O
DB11588,Carbon monoxide,630-08-0,7U1EE4V452,Carbon monoxide; carbon(II) oxide; Carboneum oxygenisatum; CO,[C-]#[O+]
DB15648,Calcium oxide,1305-78-8,C7X2M0VVNH,Burnt lime; Calcium monoxide; Calcium oxide; Calx; Lime; Lime (calcium oxide); Quick lime; Quicklime,O=[Ca]
DB11343,Silanol,70131-67-8,079V3J9O3X,,O[SiH3]
DB09321,Zinc oxide,1314-13-2,SOI2LOH54Z,óxido de cinc; oxyde de zinc; Zinc (as oxide); Zinc (as zinc oxide); Zinc oxide; Zinc óxido; Zinc white; Zinci oxydum; Zincum oxydatum; Zinkoxid,O=[Zn]
DB14135,Hypochlorous acid,7790-92-3,712K4CDC10,Chlor(I)-säure; Chloranol; Hydroxidochlorine; Hypochlorige Säure,OCl
DB11123,Hypochlorite,14380-61-1,T5UM7HB19N,Hypochlorit,[O-]Cl
DB09152,Nitrogen,7727-37-9,N762921K75,,N#N
DB01828,Methylamine,74-89-5,BSF23SJ79E,,CN
DB00435,Nitric Oxide,10102-43-9,31C4KY9ESH,EDRF; endothelium-derived relaxing factor; Mononitrogen monoxide; Monóxido de nitrógeno; Monoxyde d'azote; Nitric Oxide; Nitrogen monooxide; Nitrogen monoxide; Nitrosyl; NO; óxido de nitrógeno(II); óxido nítrico; Oxyde azotique; Oxyde nitrique; Stickstoff(II)-oxid; Stickstoffmonoxid,N=O
DB11159,Sodium sulfide,1313-82-2,YGR27ZW0Y7,,[Na+].[Na+].[S-2]
DB08913,Radium Ra 223 dichloride,444811-40-9,RJ00KV3VTG,Radium chloride Ra-223; Radium Ra 223 dichloride; Radium Ra-223 dichloride; Radium-223 chloride; Radium-223 dichloride,[Cl-].[Cl-].[223Ra+2]
DB01164,Calcium chloride,10043-52-4,OFM21057LP,"Calcio cloruro; Calcium chloride anhydrous; Calcium chloride, anhydrous; calcium(2+) chloride",[Cl-].[Cl-].[Ca+2]
DB15962,Calcium fluoride,7789-75-5,O3B55K4YKI,Fluorspar,[F-].[F-].[Ca+2]
DB11056,Stannous chloride,7772-99-8,R30H55TN67,"Stannous chloride anhydrous; Stannous chloride,anhydrous; Tin dichloride",[Cl-].[Cl-].[Sn+2]
DB13569,Ferrous chloride,7758-94-3,S3Y25PHP1W,,[Cl-].[Cl-].[Fe+2]
DB13987,Strontium chloride,10476-85-4,EKE8PS9J6Z,strontium dichloride,[Cl-].[Cl-].[Sr+2]
DB09498,Strontium chloride Sr-89,38270-90-5,5R78837D4A,"Strontium (89Sr) chloride; Strontium chloride Sr 89; strontium chloride, 89Sr-labeled; Strontium chloride, Sr-89; Strontium-89 chloride",[Cl-].[Cl-].[89Sr+2]
DB14533,Zinc chloride,7646-85-7,86Q357L16B,Zinc chloride,[Cl-].[Cl-].[Zn+2]
DB09407,Magnesium chloride,7786-30-3,59XN63C8VM,Anhydrous magnesium chloride; Magnesium chloride anhydrous,[Mg+2].[Cl-].[Cl-]
DB14206,Cobalt chloride,7646-79-9,EVS87XF13W,Cobalt dichloride; cobalt muriate; cobalt(2+) chloride; Cobalt(II) chloride; cobaltous chloride; cobaltous chloride anhydrous; cobaltous dichloride; dichlorocobalt; Kobalt chlori; Kobalt(II)-chlorid; Kobaltdichlorid,[Cl-].[Cl-].[Co+2]
DB09104,Magnesium hydroxide,1309-42-8,NBZ3QY004S,Hidroxido de magnesio; Magnesii hydroxidum; Magnesio hidróxido; Magnesium dihydroxide; Magnesium hydroxide; Milk of magnesia,[OH-].[OH-].[Mg+2]
DB14695,Ferric oxyhydroxide,20344-49-4,87PZU03K0K,Hydrated ferric oxide; Iron hydroxide oxide,[O-2].[OH-].[Fe+3]
DB13344,Mercuric amidochloride,10124-48-8,JD546Z56F0,"Mercuric chloride, ammoniated",[NH2-].[Cl-].[Hg+2]
DB13259,Ethyl chloride,75-00-3,46U771ERWK,chloroethane; Ethyl chloride; monochloroethane,CCCl
DB13765,Mercuric chloride,7487-94-7,53GH7MZT1R,bichlorure de mercure; chlorure mercurique; corrosive mercury chloride; corrosive sublimate; dichloromercury; dichlorure de mercure; hydrargyrum bichloratum; mercuric bichloride; Mercuric chloride; mercury bichloride; mercury perchloride; Mercury(II) chloride; Quecksilber(II)-chlorid; Sublimat; sublimate; Sulema,Cl[Hg]Cl
DB04445,Mercuric iodide,7774-29-0,R03O05RB0P,"Hydrargyrum bijodatum; Mercuric iodide red; Mercuric iodide, red; Mercury Diiodide; Red mercuric iodide",I[Hg]I
DB00971,Selenium Sulfide,7488-56-4,Z69D9E381Q,"Selenii disulfidum; Selenium disulfide; Selenium disulphide; Selenium Sulfide; Selenium sulfide, micronized; Selenium sulphide; Selenium sulphide, micronized; Selenium(IV) disulfide; Selenium(IV) disulphide; Selenium(IV) sulfide; Selenium(IV) sulphide",S=[Se]=S
DB11092,Stannous fluoride,7783-47-3,3FTR44B32Q,difluorostannylene; fluoristan; Stannous fluoride; tin difluoride; Tin(II) fluoride,F[Sn]F
DB15961,Zinc iodide,10139-47-6,762R7A0O0B,Diiodozinc; Zinc diiodide,I[Zn]I
DB09131,Cupric Chloride,7447-39-4,P484053J2Y,Copper chloride; Copper(2+) chloride; copper(II) chloride; Cupric chloride anhydrous,Cl[Cu]Cl
DB09157,Carbon dioxide,124-38-9,142M471B3J,Carbon dioxide,O=C=O
DB01942,Formic acid,64-18-6,0YIW783RG1,Acide formique; Ameisensäure; Aminic acid; Bilorin; Formic acid; Formylic acid; Hydrogen carboxylic acid; Methanoic acid,OC=O
DB16426,Sulfur dioxide,05/09/7446,0UZA3422Q4,Schwefeldioxyd; Siarki dwutlenek; Sulfurous oxide; Sulfuroxide,O=S=O
DB16552,Zirconium dioxide,1314-23-4,S38N85C5G0,Zirconia; Zirconium oxide; ZrO2,O=[Zr]=O
DB09536,Titanium dioxide,13463-67-7,15FIX9V2JP,dióxido de titanio; óxido de titanio(4); Titanium dioxide,O=[Ti]=O
DB11132,Silicon dioxide,7631-86-9,ETJ7Z6XBU4,"Colloidal silica; Colloidal silicon dioxide; Diatomaceous earth; Diatomaceous silica; Diatomite; Infusorial earth; Kieselsäureanhydrid; Silica; Silica gel; Silica, colloidal; Siliceous earth; Siliceous earth, purified; Silicon dioxide (amorphous); Silicon dioxide, colloidal; Silicon dioxide, fumed; Silicon oxide; Siliziumdioxid",O=[Si]=O
DB12453,Chlorine dioxide,10049-04-4,8061YMS4RM,,O=Cl=O
DB04053,Hypophosphite,15460-68-1,238U65NZ04,Hypophosphite ion,[O-]P=O
DB00898,Ethanol,64-17-5,3K9958V90M,"1-Hydroxyethane; Alcohol; Alcohol (ethyl); Alcohol anhydrous; Alcohol denatured; Alcohol etílico; Alcohol, denatured; Alcool éthylique; Alkohol; Äthanol; Äthylalkohol; Dehydrated ethanol; etanol; éthanol; Ethyl Alcohol; Grain alcohol; Hydroxyethane; Methylcarbinol; Spiritus vini",CCO
DB15479,Zirconium chloride hydroxide,10119-31-0,R7EF6G80G1,Zirconium chlorohydrate; Zirconium hydroxychloride; Zirconyl hydroxychloride,O[Zr]Cl
DB15668,Silver oxide,20667-12-3,897WUN6G6T,Argentous oxide; Argentum oxydatum; Disilver oxide; Silver rust; Silver(I) oxide,[Ag]O[Ag]
DB12510,Ozone,10028-15-6,66H7ZZK23N,ozono,O=O=O
DB02679,Cyanamide,420-04-2,21CP7826LC,Cyanamide,NC#N
DB04361,Methyldiazene,26981-93-1,,"Diazene, methyl- (9CI); Methyldiimide",CN=N
DB06690,Nitrous oxide,10024-97-2,K50XQU1029,Dinitrogen oxide; N2O; Nitrious oxide; Nitrous oxide; óxido nitroso,[N-]=[N+]=O
DB04337,Isocyanomethane,593-75-9,B5B6DXM7GG,Methyl isocyanide; Methyl isonitrile; Methylisonitrile,C[N+]#[C-]
DB09112,Nitrous acid,7782-77-6,T2I5UM75DN,dioxonitric acid; hydroxidooxidonitrogen; nitrosyl hydroxide,ON=O
DB12529,Nitrite,14797-65-0,J39976L608,Nitrite anion; Nitrite ion,[O-]N=O
DB06328,Methoxyamine,67-62-9,9TZH4WY30J,,CON
DB13486,Magnesium peroxide,14452-57-4,X8YVJ0TN96,,[O-][O-].[Mg+2]
DB13984,Cyclopropane,75-19-4,99TB643425,Ciclopropano; Cyclopropan; Cyclopropane; Cyclopropanum; Trimethylene; Zyklopropan,C1CC1
DB09129,Chromic chloride,10025-73-7,Z310X5O5RP,anhydrous chromium(III) chloride; Chromium chloride; Chromium trichloride; chromium(3+) trichloride; Chromium(III) chloride; Puratronic chromium chloride; Trichlorochromium,[Cl-].[Cl-].[Cl-].[Cr+3]
DB14550,Gallium chloride Ga-67,,A04B19O2B0,"Gallium (67Ga) chloride; Gallium (Ga-67) chloride; Gallium chloride Ga 67; Gallium chloride, Ga-67; Gallium chloride,Ga-67",[Cl-].[Cl-].[Cl-].[67Ga+3]
DB02165,Zinc trihydroxide,,,,O.O.O.[Zn]
DB13423,Ferric hydroxide,1309-33-7,2UA751211N,,[OH-].[OH-].[OH-].[Fe+3]
DB06723,Aluminum hydroxide,21645-51-2,5QB0T2IUN0,"Aluminio hidróxido; Aluminium hydroxide; Aluminium hydroxide gel, dried; Aluminium hydroxide, dried; Aluminum hydroxide; Aluminum hydroxide gel, dried; Aluminum hydroxide, dried; Dried aluminium hydroxide; Dried aluminum hydroxide gel",[OH-].[OH-].[OH-].[Al+3]
DB14492,Potassium triiodide,12298-68-9,T66M6Y3KSA,Iodine aqueous; Lugol's iodine; Lugol's solution; Microiodide; Potassium triiodide,I[I-]I.[K+]
DB13210,Sodium chlorite,7758-19-2,G538EBV4VF,,[O-]Cl=O.[Na+]
DB14138,Silicic acid,1343-98-2,Y6O7T4G8P9,"Hydrated silica; Hydrosilicic acid; Silica hydrate; Silica, hydrated; Silicic acid hydrate; Silicon dioxide hydrate",O=[Si]=O.O
DB09116,Calcium carbimide,156-62-7,ZLR270912W,"Calcium carbimide; calcium cyanamide; carbimida calcica; carbimide calcique; Cyanamide calcique; Cyanamide, calcium salt (1:1); Lime nitrogen; Lime-nitrogen; methanediimine, calcium salt (1:1); Nitrogen lime",[N-]=C=[N-].[Ca+2]
DB15536,Ferric chloride,7705-08-0,U38V3ZVV3V,"Ferric chloride, anhydrous; Iron (III) chloride; Iron chloride; Iron perchloride",Cl[Fe](Cl)Cl
DB14647,Sulfur chloride,10025-67-9,NJ7YR2EV0D,Disulfur dichloride; Sulfur monochloride; Sulfur subchloride; Thiosulfurous dichloride,ClSSCl
DB11081,Aluminum chloride,7446-70-0,LIF1N9568Y,Aluminium chloride,Cl[Al](Cl)Cl
DB09490,Indium In-111 chloride,50800-85-6,58TD96H03I,111indium trichloride; Indium (111In) chloride; Indium chloride (111InCl3); Indium chloride In-111; Indium In 111 chloride; Indium In 111m chloride; Indium In-111m chloride; Indium-111 chloride,Cl[111In](Cl)Cl
DB03733,Ethylene Dichloride,107-06-2,55163IJI47,,ClCCCl
DB11387,Chloroform,67-66-3,7V31YC746X,"1,1,1-trichloromethane; CHCl3; Chloroforme; chloroformium pro narcosi; Trichlormethan; Trichloromethane; trichlorométhane",ClC(Cl)Cl
DB13813,Iodoform,75-47-8,KXI2J76489,carbon triiodide; Iodoform; Jodoform; methyl triiodide; triiodomethane,IC(I)I
DB03054,Bromoform,75-25-2,TUT9J99IMU,Tribrommethan; Tribromomethane,BrC(Br)Br
DB03166,Acetic acid,64-19-7,Q40Q9N063P,"Acetic acid; Acetic acid, glacial; Aceticum acidum; acide acétique; ácido acético; Essigsäure; Ethanoat; Ethanoate; Ethanoic acid; Ethoic acid; Ethylic acid; Glacial acetic acid; HOAc; Methanecarboxylic acid; Vinegar",CC(O)=O
DB15111,Acetic acid C-11,78887-71-5,2A9OM7IPNW,11C-ACETATE,C[11C](O)=O
