smiles,CHEMBL_ID,pIC50,pIC50_true
CN(C)c1ccc(-c2nc3c(N4CCN(Cc5ccncc5)CC4)c(Br)cnc3[nH]2)cc1,CHEMBL1083491,7.26,7.26
CN(C)c1ccc(-c2nc3c(N4CCN(CC(=O)Nc5ccccc5)CC4)c(Cl)cnc3[nH]2)cc1,CHEMBL1083771,6.94,6.94
Clc1ccc(CN2CCN(c3c(Br)cnc4[nH]c(-c5ccc(CN6CCOCC6)cc5)nc34)CC2)cc1,CHEMBL1083772,7.92,7.92
COc1ccc(-c2nc3c(N4CCN(CC5CC5)CC4)c(Br)cnc3[nH]2)cc1,CHEMBL1083773,6.19,6.19
COc1ccc(-c2nc3c(N4CCN(Cc5cc(C)on5)CC4)c(Br)cnc3[nH]2)cc1,CHEMBL1083774,NA,7.77
COc1ccc(-c2nc3c(N4CCN(Cc5cccnc5)CC4)c(Br)cnc3[nH]2)cc1,CHEMBL1083801,8.05,8.05
COc1ccc(-c2nc3c(N4CCN(Cc5ccc(Cl)cc5)CC4)c(Br)cnc3[nH]2)cc1,CHEMBL1084067,NA,7.4
Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(-c5ccc(CN6CCOCC6)cc5)nc34)CC2)no1,CHEMBL1084079,8.7,8.7
CCN1CCC(CNc2nccc(-c3cccnc3Oc3ccc(Nc4nc5ccccc5[nH]4)c4ccccc34)n2)CC1,CHEMBL1084451,NA,6.48
CN1CCCC1CCNc1nccc(-c2cccnc2Oc2ccc(Nc3nc4ccccc4[nH]3)c3ccccc23)n1,CHEMBL1084452,6.49,6.49
CN(C)CC(C)(C)CNc1nccc(-c2cccnc2Oc2ccc(Nc3nc4ccccc4[nH]3)c3ccccc23)n1,CHEMBL1084453,5.78,5.78
CNc1nccc(-c2cccnc2Oc2ccc(NC(=O)NC(C)(C)C)c3ccccc23)n1,CHEMBL1084633,NA,6.65
CCNC(=O)Nc1ccc(Oc2ncccc2-c2ccnc(NC)n2)c2ccccc12,CHEMBL1084634,6.27,6.27
Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(N5CCNCC5)nc34)CC2)no1,CHEMBL1084636,8.0,8.0
Brc1cnc2[nH]c(-c3ccc(CN4CCOCC4)cc3)nc2c1N1CCN(Cc2cccnc2)CC1,CHEMBL1084858,NA,8.3
COc1ccc(-c2nc3c(N4CCN(Cc5cncnc5)CC4)c(Br)cnc3[nH]2)cc1,CHEMBL1084859,8.1,8.1
Brc1cnc2[nH]c(-c3ccc(CN4CCOCC4)cc3)nc2c1N1CCN(Cc2cncnc2)CC1,CHEMBL1084860,8.22,8.22
CC(C)c1nc(CN2CCN(c3c(Br)cnc4[nH]c(-c5ccc(CN6CCOCC6)cc5)nc34)CC2)co1,CHEMBL1084887,7.09,7.09
COc1ccc(-c2nc3c(N4CCN(Cc5nccn5C)CC4)c(Br)cnc3[nH]2)cc1,CHEMBL1084888,7.5,7.5
Cn1ccnc1CN1CCN(c2c(Br)cnc3[nH]c(-c4ccc(CN5CCOCC5)cc4)nc23)CC1,CHEMBL1084889,7.52,7.52
CC(C)(O)c1cc2nc(-c3cnc(N)nc3)nc(N3CCOCC3)c2s1,CHEMBL1084926,NA,5.0
Cc1cc(CN2CCN(c3c(Cl)cnc4[nH]c(-c5ccc(CN)cc5)nc34)CC2)no1,CHEMBL1085131,NA,7.26
Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(-c5ccc(OCCO)cc5)nc34)CC2)no1,CHEMBL1085132,7.52,7.52
CN(C)c1ccc(-c2nc3c(N4CCN(C(=O)Nc5ccccc5)CC4)c(Br)cnc3[nH]2)cc1,CHEMBL1085133,6.56,6.56
CN(C)c1ccc(-c2nc3c(N4CCN(S(=O)(=O)c5ccccc5)CC4)c(Br)cnc3[nH]2)cc1,CHEMBL1085134,6.75,6.75
CN(C)c1ccc(-c2nc3c(N4CCN(c5ccccc5)CC4)c(Br)cnc3[nH]2)cc1,CHEMBL1085135,6.59,6.59
CC(C)CN1CCN(c2c(Br)cnc3[nH]c(-c4ccc(N(C)C)cc4)nc23)CC1,CHEMBL1085136,6.68,6.68
Cc1nc(N)ncc1-c1nc(N2CCOCC2)c2sc(C(C)(C)O)cc2n1,CHEMBL1085178,6.0,6.0
CN(C)c1ccc(-c2nc3c(N4CCN(CC(=O)Nc5nccs5)CC4)c(C#N)cnc3[nH]2)cc1,CHEMBL1085356,7.3,7.3
COc1ccc(-c2nc3c(N4CCN(CC(=O)Nc5nccs5)CC4)c(C4CC4)cnc3[nH]2)cc1,CHEMBL1085357,NA,7.28
Cc1cc(CN2CCN(c3c(Cl)cnc4[nH]c(-c5ccc(OCCO)cc5)nc34)CC2)no1,CHEMBL1085387,7.62,7.62
Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(-c5ccc(CN6CCNCC6)cc5)nc34)CC2)no1,CHEMBL1085607,8.0,8.0
Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(-c5ccc(CN(C)C)cc5)nc34)CC2)no1,CHEMBL1085833,7.85,7.85
O=C(CN1CCN(c2c(Cl)cnc3[nH]c(-c4ccc(CN5CCOCC5)cc4)nc23)CC1)Nc1nccs1,CHEMBL1085848,NA,8.52
O=C(CN1CCN(c2c(Br)cnc3[nH]cnc23)CC1)Nc1nccs1,CHEMBL1086219,6.6899999999999995,6.6899999999999995
CN(C)c1ccc(-c2nc3c(N4CCN(CC(=O)Nc5nccs5)CC4)c(Br)cnc3[nH]2)cc1,CHEMBL1086309,7.26,7.26
CNc1nccc(-c2cccnc2Oc2ccc(Nc3nc4ccncc4[nH]3)c3ccccc23)n1,CHEMBL1086334,5.97,5.97
CN(C)c1ccc(-c2nc3c(N4CCNCC4)c(Br)cnc3[nH]2)cc1,CHEMBL1086444,6.44,6.44
CN(C)c1ccc(-c2nc3c(N4CCN(CC(=O)Nc5cccnc5)CC4)c(Br)cnc3[nH]2)cc1,CHEMBL1086556,6.93,6.93
CN(C)c1ccc(-c2nc3c(N4CCN(CC(=O)Nc5cccc(Cl)c5)CC4)c(Cl)cnc3[nH]2)cc1,CHEMBL1086557,7.12,7.12
Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(N5CCN(C)CC5)nc34)CC2)no1,CHEMBL1086579,7.82,7.82
CC(c1ccncc1)N1CCN(c2c(Br)cnc3[nH]c(-c4ccc(N(C)C)cc4)nc23)CC1,CHEMBL1086581,7.165,7.165
Cc1cc(CN2CCN(c3c(Cl)cnc4[nH]c(N5CCN(C)CC5)nc34)CC2)no1,CHEMBL1086582,NA,8.0
Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(N5CCN(Cn6cccn6)CC5)nc34)CC2)no1,CHEMBL1086583,8.52,8.52
Cc1cc(CN2CCN(c3c(Cl)cnc4[nH]c(N5CCN(Cn6cccn6)CC5)nc34)CC2)no1,CHEMBL1086584,8.0,8.0
O=C1Nc2ccc([N+](=O)[O-])cc2/C1=C1/Nc2ccc(O)cc2/C1=N/O,CHEMBL1088704,6.0,6.0
CCn1cc(-c2ccnc3[nH]ccc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,CHEMBL1089116,6.2,6.2
CCn1cc(-c2ccnc3[nH]ccc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,CHEMBL1090156,5.0,5.0
O=C(Cc1cccs1)Nc1cc2c(/C=C/c3ccccc3)n[nH]c2cc1N1CCCC1,CHEMBL1090237,7.04,7.04
O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1,CHEMBL1090360,7.19,7.19
CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,CHEMBL1090479,6.2994850021680096,6.2994850021680096
Cc1cc2[nH]nc(/C=C/c3ccccc3)c2cc1NC(=O)Cc1cccs1,CHEMBL1090568,7.77,7.77
C(=C/c1n[nH]c2cc(N3CCCC3)c(-c3ccncc3)cc12)\c1ccccc1,CHEMBL1090679,6.8,6.8
O=C(Cc1ccccc1)Nc1ccc2[nH]nc(CCc3ccccc3)c2c1,CHEMBL1090910,5.77,5.77
O=C(Cc1ccccc1)Nc1ccc2[nH]nc(C3CC3c3ccccc3)c2c1,CHEMBL1090911,6.19,6.19
O=C(Cc1ccccc1)Nc1ccc2[nH]nc(/C=C/c3ccccc3)c2c1,CHEMBL1090912,7.66,7.66
Cc1cc2[nH]nc(/C=C/c3cccc(CN4CCN(C)CC4)c3)c2cc1NC(=O)Cc1cccs1,CHEMBL1091231,7.1,7.1
CN1CCN(Cc2cccc(/C=C/c3n[nH]c4ccc(NC(=O)Cc5cccs5)cc34)c2)CC1,CHEMBL1091232,7.46,7.46
Cc1c(NC(=O)Cc2cccs2)ccc2[nH]nc(/C=C/c3cccc(CN4CCN(C)CC4)c3)c12,CHEMBL1091233,5.72,5.72
COc1ccc(OC)c(CC(=O)Nc2cc3c(/C=C/c4ccccc4)n[nH]c3cc2C)c1,CHEMBL1091617,7.38,7.38
Cc1cc2[nH]nc(/C=C/c3ccccc3)c2cc1NC(=O)Cc1ccccc1,CHEMBL1091643,7.72,7.72
C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1,CHEMBL1091644,NA,5.0
O=[N+]([O-])c1cc2c(/C=C/c3ccccc3)n[nH]c2cc1N1CCCC1,CHEMBL1091974,NA,6.62
Nc1cc2c(/C=C/c3ccccc3)n[nH]c2cc1N1CCCC1,CHEMBL1091975,6.7,6.7
O=C1Nc2c(Br)cccc2/C1=C1/Nc2ccccc2/C1=N\O,CHEMBL1092509,5.7,5.7
Cc1cc2[nH]nc(/C=C/c3cccc(NC(=O)N4CCN(C)CC4)c3)c2cc1NC(=O)Cc1cccs1,CHEMBL1093265,NA,7.89
O=S(=O)(Cc1ccccc1)Nc1ccc2[nH]nc(/C=C/c3ccccc3)c2c1,CHEMBL1093514,7.46,7.46
Cc1c(C#N)ccc2[nH]nc(/C=C/c3cccc(CN4CCN(C)CC4)c3)c12,CHEMBL1093515,6.55,6.55
Cc1cc(N)cc(-c2ccc3[nH]nc(/C=C/c4cccc(CN5CCN(C)CC5)c4)c3c2C)c1,CHEMBL1093821,NA,6.46
CN1CCN(C(=O)Nc2cccc(/C=C/c3n[nH]c4cc(N5CCCC5)c(NS(C)(=O)=O)cc34)c2)CC1,CHEMBL1093854,6.85,6.85
Cc1cc2[nH]nc(C#Cc3ccccc3)c2cc1NC(=O)Cc1cccs1,CHEMBL1093877,6.62,6.62
CN1CCN(c2cc3[nH]nc(/C=C/c4ccccc4)c3cc2NCc2ccccn2)CC1,CHEMBL1093878,5.0,5.0
C(=C/c1n[nH]c2cc(N3CCCC3)c(NCc3ccccn3)cc12)\c1ccccc1,CHEMBL1093879,6.21,6.21
COc1ccccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,CHEMBL1094135,6.22,6.22
COc1ccc(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)cc1,CHEMBL1094322,6.89,6.89
NC(=O)c1nn(-c2ccccc2)c2c1CCc1cnc(Nc3ccccc3)nc1-2,CHEMBL1094400,5.63,5.63
NC(=O)c1n[nH]c2c1CCc1cnc(Nc3ccccc3)nc1-2,CHEMBL1094401,7.04,7.04
NC(=O)c1nn(C2CCCCC2)c2c1CCc1cnc(Nc3ccccc3)nc1-2,CHEMBL1094402,6.77,6.77
COc1ccc(N2CCN(C)CC2)cc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,CHEMBL1094408,NA,5.0
Cc1ccccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,CHEMBL1094477,6.22,6.22
CSc1ccccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,CHEMBL1094478,5.0,5.0
COC(=O)c1ccccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,CHEMBL1094484,5.0,5.0
Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3Cc3ccccc3)ncc1CC2,CHEMBL1094488,NA,5.0
NC(=O)Cn1cc(-c2ccnc3[nH]ccc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,CHEMBL1094505,NA,5.25
CCNC(=O)Cn1cc(-c2ccnc3[nH]ccc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,CHEMBL1094506,NA,5.47
O=C(Nc1ccccc1)Nc1ccc(-c2nn(CC(=O)N3CCOCC3)cc2-c2ccnc3[nH]ccc23)cc1,CHEMBL1094507,5.17,5.17
CCNC(=O)Nc1ccc(-c2nn(CC)cc2-c2ccnc3[nH]c(-c4cccc(CN5CCOCC5)c4)cc23)cc1,CHEMBL1094700,7.16,7.16
CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN5CCOCC5)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,CHEMBL1094701,NA,6.3
CCNC(=O)Nc1ccc(-c2nn(CC)cc2-c2ccnc3[nH]c(-c4ccc(CN5CCOCC5)cc4)cc23)cc1,CHEMBL1094702,7.64,7.64
CCn1cc(-c2ccnc3[nH]c(-c4ccc(CN5CCOCC5)cc4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,CHEMBL1094703,6.6,6.6
CCn1cc(-c2ccnc3[nH]c(C(=O)NCCN4CCOCC4)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,CHEMBL1094704,NA,6.71
CCn1cc(-c2ccnc3[nH]c(C(=O)NCCCN4CCN(C)CC4)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,CHEMBL1094705,6.64,6.64
CCn1cc(-c2ccnc3[nH]c(C(=O)NCCN4CCN(C)CC4)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,CHEMBL1094706,NA,6.69
CC(C)n1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3)ncc1CC2,CHEMBL1094735,NA,5.86
Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3[N+](=O)[O-])ncc1CC2,CHEMBL1094810,5.0,5.0
Cn1nc(C(N)=O)c2c1-c1nc(Nc3cccc([N+](=O)[O-])c3)ncc1CC2,CHEMBL1094811,NA,5.0
Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3C(N)=O)ncc1CC2,CHEMBL1094815,5.0,5.0
Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3S(N)(=O)=O)ncc1CC2,CHEMBL1094816,5.0,5.0
Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3-c3ccccc3)ncc1CC2,CHEMBL1094817,5.0,5.0
Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3Nc3ccccc3)ncc1CC2,CHEMBL1094820,NA,5.0
Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3C(=O)c3ccccc3)ncc1CC2,CHEMBL1094821,NA,5.0
Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3Sc3ccccc3)ncc1CC2,CHEMBL1094822,5.0,5.0
CCNC(=O)Nc1ccc(-c2nn(CC)cc2-c2ccnc3[nH]c(-c4ccc(CN(C)C)cc4)cc23)cc1,CHEMBL1094838,7.41,7.41
CCn1cc(-c2ccnc3[nH]c(CNCCO)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,CHEMBL1094904,5.55,5.55
Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccc([N+](=O)[O-])cc3)ncc1CC2,CHEMBL1095132,NA,5.0
CCn1cc(-c2ccnc3[nH]c(-c4ccc(CN(C)C)cc4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,CHEMBL1095149,6.29,6.29
CCNC(=O)Nc1ccc(-c2nn(CC)cc2-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)cc1,CHEMBL1095157,6.89,6.89
O=C(Nc1ccccc1)Nc1ccc(-c2n[nH]cc2-c2ccnc3[nH]ccc23)cc1,CHEMBL1095192,5.42,5.42
COc1cccc(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)c1,CHEMBL1095448,6.8,6.8
CNc1ccccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,CHEMBL1095457,NA,5.54
CCNC(=O)Nc1ccc(-c2nn(CC)cc2-c2ccnc3[nH]c(-c4cccc(CN5CCCC5)c4)cc23)cc1,CHEMBL1095475,NA,7.24
CC(C)(C)n1cc(-c2ccnc3[nH]ccc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,CHEMBL1095498,5.09,5.09
NC(=O)c1nn(CC(F)(F)F)c2c1CCc1cnc(Nc3ccccc3)nc1-2,CHEMBL1095709,NA,7.38
CC(=O)c1ccc(N2CCN(C)CC2)cc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,CHEMBL1095716,NA,5.0
COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,CHEMBL1095717,5.0,5.0
Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3F)ncc1CC2,CHEMBL1095771,5.93,5.93
CC(C)c1ccccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,CHEMBL1095772,5.0,5.0
CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN5CCCC5)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,CHEMBL1095788,6.44,6.44
O=C(Nc1ccccc1)Nc1ccc(-c2nn(CC(F)(F)F)cc2-c2ccnc3[nH]ccc23)cc1,CHEMBL1095817,5.67,5.67
CCn1ncc(-c2ccnc3[nH]ccc23)c1-c1ccc(NC(=O)Nc2ccccc2)cc1,CHEMBL1095828,5.25,5.25
CCn1cc(-c2ccnc3[nH]c(CNCCN4CCOCC4)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,CHEMBL1095988,5.61,5.61
CCn1cc(-c2ccnc3[nH]c(CNCCCN4CCN(C)CC4)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,CHEMBL1095989,5.29,5.29
CC(=O)c1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,CHEMBL1096028,5.0,5.0
Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3Oc3ccccc3)ncc1CC2,CHEMBL1096095,5.0,5.0
CCn1cc(-c2ccnc3[nH]c(CNCCN(C)C)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,CHEMBL1096491,5.26,5.26
CCn1cc(-c2ccnc3[nH]c(CNCCS(C)(=O)=O)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,CHEMBL1096492,6.24,6.24
Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3N)ncc1CC2,CHEMBL1097022,5.6,5.6
Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3C(F)(F)F)ncc1CC2,CHEMBL1097071,5.0,5.0
O=C(Nc1ccccc1)Nc1ccc(-c2nn(CC(O)CO)cc2-c2ccnc3[nH]ccc23)cc1,CHEMBL1097106,6.42,6.42
CCNC(=O)Nc1ccc(-c2nn(CC)cc2-c2ccnc3[nH]c(-c4ccc(CN5CCCC5)cc4)cc23)cc1,CHEMBL1097191,NA,7.38
CC(=O)Nc1ccccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,CHEMBL1097373,5.0,5.0
CC(=O)c1c(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)cccc1N1CCN(C)CC1,CHEMBL1097374,5.0,5.0
Cn1nc(C(N)=O)c2c1-c1nc(Nc3cccc(C(F)(F)F)c3)ncc1CC2,CHEMBL1097424,5.0,5.0
Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccc(C(F)(F)F)cc3)ncc1CC2,CHEMBL1097429,6.57,6.57
O=C(Nc1ccccc1)Nc1ccc(-c2nn(CCCO)cc2-c2ccnc3[nH]ccc23)cc1,CHEMBL1097454,6.01,6.01
CCn1cc(-c2ccnc3[nH]c(-c4ccc(CN5CCCC5)cc4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,CHEMBL1097521,6.38,6.38
CCn1cc(-c2ccnc3[nH]c(CN(C)C)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,CHEMBL1097839,5.77,5.77
CN1CCC(n2nc(C(N)=O)c3c2-c2nc(Nc4ccccc4)ncc2CC3)CC1,CHEMBL1098057,5.0,5.0
NC(=O)c1nn(CCN2CCCCC2)c2c1CCc1cnc(Nc3ccccc3)nc1-2,CHEMBL1098058,NA,5.54
CCOC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccccc3)nc1-2,CHEMBL1098059,5.0,5.0
Cn1nc(C(=O)O)c2c1-c1nc(Nc3ccccc3)ncc1CC2,CHEMBL1098060,NA,7.8
CC(C)(C)n1ncc(-c2ccnc3[nH]ccc23)c1-c1ccc(NC(=O)Nc2ccccc2)cc1,CHEMBL1098666,5.24,5.24
O=C(Nc1ccccc1)Nc1ccc(-c2nn(CCO)cc2-c2ccnc3[nH]ccc23)cc1,CHEMBL1099010,6.1,6.1
CC(=O)c1ccccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,CHEMBL1099104,5.0,5.0
CC(=O)c1cccc(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)c1,CHEMBL1099105,NA,6.75
CC(=O)c1ccc(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)cc1,CHEMBL1099106,NA,6.94
CCn1cc(-c2ccnc3[nH]c(-c4cccc(NC(C)=O)c4)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,CHEMBL1099343,NA,6.9
CCn1cc(-c2ccnc3[nH]c(-c4ccc(NC(C)=O)cc4)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,CHEMBL1099344,7.21,7.21
CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,CHEMBL1099345,7.28,7.28
CCn1cc(-c2ccnc3[nH]c(-c4cc(CN(C)C)ccc4C)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,CHEMBL1099346,6.95,6.95
CCn1cc(-c2ccnc3[nH]c(-c4ccc(CN(C)C)cc4)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,CHEMBL1099347,NA,7.35
CCn1cc(-c2ccnc3[nH]c(-c4ccc(CN(C)C)cc4C)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,CHEMBL1099348,7.38,7.38
CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN5CCCC5)c4)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,CHEMBL1099349,7.66,7.66
CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN5CCOCC5)c4)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,CHEMBL1099350,NA,7.03
CCn1cc(-c2ccnc3[nH]c(-c4ccc(CN5CCOCC5)cc4)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,CHEMBL1099351,7.23,7.23
Oc1nc2ncccc2c2ccccc12,CHEMBL110381,5.26,5.26
CCC(c1nc2cc(Cl)ccc2c(=O)n1Cc1ccccc1)N(CCCN(C)C)C(=O)c1ccc(Br)cc1,CHEMBL1164552,4.301029995663981,4.301029995663981
C[C@@H](O)CNc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12,CHEMBL1172716,6.01,6.01
Nc1ccc(CNc2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)cc1,CHEMBL1172780,6.03,6.03
OCCOCCNc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12,CHEMBL1172831,NA,6.12
c1ccc(-c2oc3ncnc(NCCc4ccccn4)c3c2-c2ccccc2)cc1,CHEMBL1172832,6.27,6.27
Oc1ccc(CCNc2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)cc1,CHEMBL1173116,6.19,6.19
Nc1ccc(CCNc2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)cc1,CHEMBL1173151,NA,6.19
C[C@@H](CO)Nc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12,CHEMBL1173152,NA,6.1
O=C(CCNc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12)Nc1ccccc1,CHEMBL1173178,5.0,5.0
COc1ccc(NC(=O)Nc2ccc3c(c2)NC(=O)/C3=C\c2[nH]cc(C(=O)O)c2C)cc1,CHEMBL1173411,8.68,8.68
O=S(=O)(Nc1ccc(CCNc2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)cc1)c1ccccc1,CHEMBL1173465,5.23,5.23
c1ccc(-c2oc3ncnc(NCCN4CCOCC4)c3c2-c2ccccc2)cc1,CHEMBL1173522,5.75,5.75
