Cmpd_ID,SMILES
BACE_31,C[C@@H]1CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N[C@@H](C1)[C@H](O)CNC(C)(C)C2=NN=C(CC(C)(C)C)S2
BACE_32,CC(C)c2cccc(CNC[C@@H](O)[C@@H]1C[C@H](C)CCCCCCCCC(=O)N(C)CC(=O)N1)c2
BACE_33,CC(C)c2cc(CNC[C@@H](O)[C@@H]1C[C@H](C)CCCCC[C@H](C)CCC(=O)N(C)[C@@H](C)C(=O)N1)ccc2
BACE_34,CC(C)c2cccc(CNC[C@@H](O)[C@@H]1C[C@H](C)CCCCCOCC(=O)N(C)[C@@H](C)C(=O)N1)c2
BACE_35,C[C@@H]1CCCCCCOCC(=O)N(C)[C@@H](C)C(=O)N[C@@H](C1)[C@H](O)CNCc2cncc(Br)c2
BACE_36,CC(C)Oc1ccc(cc1CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCOCC(=O)N(C)[C@@H](C)C(=O)N2)C3CC3
BACE_37,C[C@@H]1CCCCCCNC(=O)C[C@@H](C)C(=O)N[C@@H](C1)[C@H](O)CNCc2cccc(c2)C(C)(C)C
BACE_38,C[C@@H]1CCCCCCCCS(=O)(=O)C[C@@H](C)C(=O)N[C@@H](C1)[C@H](O)CNC2(CC2)c3cc(ccc3)C(C)(C)C
BACE_39,C[C@H](NC[C@@H](O)[C@@H]1C[C@H](C)CCCCCCCCS(=O)(=O)C[C@@H](C)C(=O)N1)C2C=C(CC(C)(C)C)ON=2
BACE_40,CCN3CCCCC[C@@H](C)C[C@H](NC(=O)c1cc(cc(c1)C2=NC=CO2)C3=O)[C@H](O)CNCc4cc(ccc4)C(C)C
BACE_41,CC(C)c3cccc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCNc1cc(cc(C)n1)C(=O)N2)c3
BACE_42,CC(C)c3cccc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCN(C)c1cc(ccn1)C(=O)N2)c3
BACE_43,COc3cc1cc(NCCCCCCC[C@@H](C)C[C@H](NC1=O)[C@H](O)CNCc2cc(ccc2)C(C)C)n3
BACE_44,CC(C)c3cccc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCN(C)c1cc(cc(C)n1)C(=O)N2)c3
BACE_45,CC(C)c3cccc(CNC[C@@H](O)[C@@H]2C/C(/C)=C/CCCCCCNc1cc(cc(C)n1)C(=O)N2)c3
BACE_46,CC(C)c3cccc(CNC[C@@H](O)[C@@H]2C[C@H](C)C/C=C/CCCCNc1cc(cc(Cl)n1)C(=O)N2)c3
BACE_47,COCc4cc1cc(NCCCCOCC[C@@H](C)C[C@H](NC1=O)[C@H](O)CNC2(CC2)c3cc(ccc3)C(C)(C)C)n4
BACE_48,C[C@@H]2CCOCCCCNc1cc(cc(C)n1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3
BACE_49,CC(C)c3cccc(CNC[C@@H](O)[C@@H]2/C=C(\C)/CCOCCCCNc1cc(cc(Cl)n1)C(=O)N2)c3
BACE_50,CC(C)c4cc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCN(Nc1cc(cc(C)n1)C(=O)N2)C(=O)c3ccc(F)cc3)ccc4
BACE_51,CC(C)c3cccc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCOc1cc(cc(Cl)n1)C(=O)N2)c3
BACE_52,CC(C)c1cc(ncc1)C2(CC2)NC[C@@H](O)[C@@H]4C[C@H](C)CCCCCCCOc3cc(cc(Cl)n3)C(=O)N4
BACE_53,CC(C)c3cccc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCCc1cc(ccn1)C(=O)N2)c3
BACE_54,CC(C)c3cccc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCOCCCOc1cc(cc(C)n1)C(=O)N2)c3
BACE_55,CC(C)c1cc(ccc1)C(C)(C)NC[C@@H](O)[C@@H]3C[C@H](C)CCCCCCCNc2cc(ccc2)C(=O)N3
BACE_56,C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC3(COC3)c4cc(ccc4)C(C)(C)C
BACE_57,C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3
BACE_58,C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNCC3C=C(NN=3)C(C)(C)C
BACE_59,C[C@@H]2CCCCCCCNc1cc(cc(c1)C(=O)N[C@@H](C2)[C@H](O)CNC3(CC3)c4cc(ccn4)C(C)(C)C)C5=NC=CO5
BACE_60,COCc1cc2cc(c1)C(=O)N[C@@H](C[C@H](C)CCCCCCCN2)[C@H](O)CNC3(COC3)c4cc(ccc4)C(C)(C)C
BACE_61,COCc1cc2cc(c1)C(=O)N[C@@H](C[C@H](C)CCCCCCCN2)[C@H](O)CNCc3cc(cc(c3)OC)OC
BACE_62,COCc1cc2cc(c1)C(=O)N[C@@H](C[C@H](C)CCCCCCCN2)[C@H](O)CNCc4cc3OCCCOc3cc4
BACE_63,COCc1cc2cc(c1)C(=O)N[C@@H](C[C@H](C)CCCCCCCN2)[C@H](O)CN[C@H]4CC(C)(C)Oc3ccc(cc34)C(C)C
BACE_64,CCCC3=CC(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCNc1cc(COC)cc(c1)C(=O)N2)=NO3
BACE_65,COCc1cc2cc(c1)C(=O)N[C@@H](C[C@H](C)CCCCCCCN2)[C@H](O)CNCCc3ccncc3
BACE_66,CC(C)c3cc(CNC[C@@H](O)[C@@H]2C[C@H](C)CC/C=C/CCCNc1cc(CO)cc(c1)C(=O)N2)ccc3
BACE_67,C[C@@H]2CC/C=C/CCCNc1cc(cc(CO)c1)C(=O)N[C@@H](C2)[C@H](O)CNCC3C=C(CC(C)(C)C)ON=3
BACE_68,C[C@@H]2CCCCCCCNc1cc(cc(c1)C(=O)N[C@@H](C2)[C@H](O)CNC3(CC3)c4cc(ccc4)C(C)(C)C)C(=O)N(C)C
BACE_69,CC(C)c3cc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCN(c1cc(cc(c1)N(C)S(C)(=O)=O)C(=O)N2)S(C)(=O)=O)ccc3
BACE_70,CC(C)c1cc(ccc1)C(C)(C)NC[C@@H](O)[C@@H]3C[C@H](C)CCCCCCCNc2cccc(n2)C(=O)N3
BACE_71,CC(C)c4cc(CNC[C@@H](O)[C@@H]2C[C@@H]3CC[C@H](CCCCCNc1cc(cc(c1)C(=O)N2)C(F)(F)F)C3)ccc4
BACE_72,CCOc3cc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCOCCCCNc1cc(ccc1)C(=O)N2)c(cc3)C(F)(F)F
BACE_73,CCOc3cc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCOCCCCNc1cc(ccc1)C(=O)N2)cc(c3)C(F)(F)F
BACE_74,C[C@@H]2CCOCCCCNc1cc(ccc1Cl)C(=O)N[C@@H](C2)[C@H](O)CNCc3cc(ccn3)C(C)(C)C
BACE_75,COCc1cc2cc(c1)C(=O)N[C@@H](C[C@H](C)CCOC/C=C/CN2)[C@H](O)CNC3(CC3)c4cc(ccc4)C(C)(C)C
BACE_76,COCc1cc2cc(c1)C(=O)N[C@@H](C[C@H](C)CCOCCCCN2)[C@H](O)CNCc3cc(ccc3F)C(F)(F)F
BACE_77,COCc1cc2cc(c1)C(=O)N[C@@H](C/C(/C)=C\COCCCCN2)[C@H](O)CNC3(CC3)c4cc(ccc4)C(C)C
BACE_78,C[C@@H]2CCCCCCCOc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNCc3cc(CC(C)(C)C)cnc3
BACE_79,C[C@H](NC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCOc1cc(ccc1)C(=O)N2)C3C=C(CC(C)(C)C)ON=3
BACE_80,CC(C)c4cc(CNC[C@@H](O)[C@@H]3C[C@H](C)CCCCCCCOc1cc(cc(c1)C2=NC=CO2)C(=O)N3)ccc4
BACE_81,C[C@@H]2CCCCCCCOc1cc(cc(c1)C(=O)N[C@@H](C2)[C@H](O)CNC3(CC3)c4cc(ccn4)C(C)(C)C)C5=NC=CO5
BACE_82,CC(C)c3cc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCOc1cc(cc(c1)C(=O)N2)N(C)S(C)(=O)=O)ccc3
BACE_83,C[C@@H]2CCCCCCCOc1cc(cc(c1)C(=O)N[C@@H](C2)[C@H](O)CNC3(CC3)c4cc(ccn4)C(C)(C)C)C(=O)N(C)C
BACE_84,C[C@@H]2CCCCCCCOc1cc(ccn1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3
BACE_85,CC(C)c3cc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCCC(=O)N1CCCC[C@H]1C(=O)N2)ccc3
BACE_86,CC(C)c3cc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCC[C@@]1(O)CCC[C@H](C1)C(=O)N2)ccc3
BACE_87,C[C@H]1C(=O)N[C@@H](Cc2cc(CCCCCCC(=O)N1C)ccc2)[C@H](O)CNCc3cc(cnc3)C4CC4
BACE_88,CC(C)c4cc(CNC[C@@H](O)[C@@H]2Cc3cc(Cc1ccccc1OCC(=O)N[C@@H](C)C(=O)N2)c(O)cc3)ccc4
BACE_89,CC(C)c4cc(CNC[C@@H](O)[C@@H]2Cc1cc(ccc1)OCCCCO[C@H]3CCN(CC(=O)N2)C3=O)ccc4
BACE_90,C[C@H]2C(=O)N[C@@H](Cc1cccc(c1)OCCCCCC(=O)N2C)[C@H](O)CNC3(CC3)c4cccc(Br)c4
BACE_91,CC(C)c1cc2c(cc1)OC(C)(C)C[C@@H]2NC[C@@H](O)[C@@H]4Cc3cc(ccc3)OCCCCCC(=O)N(C)[C@@H](C)C(=O)N4
BACE_92,C[C@@H]1CC(=O)NCCCCOc3cc(C[C@H](NC1=O)[C@H](O)CNCc2cc(ccc2)C(C)(C)C)ccc3
BACE_93,C[C@@H]1CC(=O)NCCCCOc4cc(C[C@H](NC1=O)[C@H](O)CNC2(CCCCC2)c3cc(ccc3)C(C)(C)C)ccc4
BACE_94,CC(C)c3cccc(CNC[C@@H](O)[C@@H]2Cc1cccc(c1)OCCCCS(=O)(=O)C[C@@H](C)C(=O)N2)c3
BACE_95,C[C@@H]1CS(=O)(=O)CCCCOc4cccc(C[C@H](NC1=O)[C@H](O)CNC2(CC2)c3cccc(Br)c3)c4
BACE_96,CC(C)(C)CC1=CC(=NO1)C(C)(C)NC[C@@H](O)[C@@H]4Cc2cc(ccc2)OCCCCOc3cc(Cl)cc(c3)C(=O)N4
BACE_97,Cc4cc1cc(NCCCCc3cccc(C[C@H](NC1=O)[C@H](O)CNCc2cc(ccn2)C(C)(C)C)c3)n4
BACE_98,CC(C)c1ccnc(c1)C2(CC2)NC[C@@H](O)[C@@H]4Cc5cccc(CCCCNc3cc(cc(Cl)n3)C(=O)N4)c5
BACE_99,COc1cc2cc(n1)N(C)CCCCc4cccc(C[C@H](NC2=O)[C@H](O)CNCc3cccc(c3)C(C)C)c4
BACE_100,COc2ccc3C[C@H](NC(=O)c1cc(Cl)nc(c1)NCCCCOc2c3)[C@H](O)CNCc4cc(ccc4)C(C)C
BACE_101,CC(C)c4cc(CNC[C@@H](O)[C@@H]3Cc1cc(ccc1)OCCCCN(C(C)=O)c2cc(cc(C)n2)C(=O)N3)ncc4
BACE_102,Cc5cc1cc(NC/C=C/COc4cc(C[C@H](NC1=O)[C@H](O)CNC2(CC2)c3cc(ccc3)C(C)(C)C)ccc4F)n5
BACE_103,CC(C)(C)c4ccnc(CNC[C@@H](O)[C@@H]3Cc1cccc(c1)OC/C=C/CNc2cc(cc(Cl)n2)C(=O)N3)c4
BACE_104,NC[C@@H](O)[C@@H]3Cc1cccc(c1)OC/C=C/CNc2cc(cc(Cl)n2)C(=O)N3
BACE_105,CC(C)c4cccc(CNC[C@@H](O)[C@@H]3Cc1cc(C)cc(c1)OCCCCNc2cc(cc(Cl)n2)C(=O)N3)c4
BACE_106,CC(C)c1cccc(c1)C(C)(C)NC[C@@H](O)[C@@H]3Cc4cccc(CCCCOc2cc(cc(C)n2)C(=O)N3)c4
BACE_107,CC(C)c1cccc(c1)C(C)(C)NC[C@@H](O)[C@@H]3Cc4cc(Cl)c(O)c(CCCCOc2cc(cc(C)n2)C(=O)N3)c4
BACE_108,Cc1cc2cc(n1)OCCCCc4cc(C[C@H](NC2=O)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3)cc(Cl)c4O
BACE_109,CC(C)(C)CC1=CC(=NO1)C(C)(C)NC[C@@H](O)[C@@H]4Cc2cc(ccc2)OCCCCOc3cc(cnc3)C(=O)N4
BACE_110,Cc1cc2cc(n1)OCCCCOc4cc(C[C@H](NC2=O)[C@H](O)CNC(C)(C)C3C=C(SN=3)C(C)(C)C)ccc4
BACE_111,CC(C)c1cc2c(cc1)OC(C)(C)C[C@@H]2NC[C@@H](O)[C@@H]5Cc3cc(ccc3)OCCCCOc4cc(cc(C)n4)C(=O)N5
BACE_112,CC(C)c1cc(ccc1)C2(CC2)NC[C@@H](O)[C@@H]6Cc3cc(ccc3)OCc4ccccc4COc5cc(cc(C)n5)C(=O)N6
BACE_113,CC(C)c4cccc(CNC[C@@H](O)[C@@H]2Cc3cccc(CCCCCc1cc(cc(C)n1)C(=O)N2)c3)c4
BACE_114,CC(C)c1cc(ccc1)C(C)(C)NC[C@@H](O)[C@@H]4Cc2cc(ccc2)OCCCCNc3cc(cnc3)C(=O)N4
BACE_115,CC(C)c1cccc(c1)C(C)(C)NC[C@@H](O)[C@@H]3Cc4cccc(CCCCNc2cccc(c2)C(=O)N3)c4
BACE_116,CC(C)c1cccc(c1)C(C)(C)NC[C@@H](O)[C@@H]3Cc4cc(F)c(N)c(CCCCNc2cccc(c2)C(=O)N3)c4
BACE_117,COCc1cc3cc(c1)C(=O)N[C@@H](Cc2cc(ccc2)OCCCCN3)[C@H](O)CNC(C)(C)C4C=C(CC(C)(C)C)ON=4
BACE_118,CC(C)c4cccc(CNC[C@@H](O)[C@@H]2Cc3cccc(CCCCN(C)c1cccc(c1)C(=O)N2)c3)c4
BACE_119,CC(C)(C)c1cc(ncc1)C2(CC2)NC[C@@H](O)[C@@H]5Cc6cc(CCCCNc3cc(cc(c3)C4=NC=CO4)C(=O)N5)ccc6
BACE_120,CC(C)(NC[C@@H](O)[C@@H]2Cc3cccc(CCCCNc1cncc(c1)C(=O)N2)c3)c4cccc(Br)c4
BACE_121,CC(C)(NC[C@@H](O)[C@@H]3Cc4cc(CCCCNc2cc(c[n+](Cc1ccccc1)c2)C(=O)N3)ccc4)c5cc(Br)ccc5
BACE_122,CC(C)c1cc(ccc1)C(C)(C)NC[C@@H](O)[C@@H]4Cc2cc(ccc2)OCCCCNc3cccc(n3)C(=O)N4
BACE_123,CC(C)Cc1cc(cnc1)C(C)(C)NC[C@@H](O)[C@@H]4Cc2cc(ccc2)OCCCCNc3cc(ccc3)C(=O)N4
BACE_124,COCc1cc3cc(c1)C(=O)N[C@@H](Cc2cc(ccc2)OCCCCN3)[C@H](O)CNC(C)(C)c4cc(ccn4)C(C)(C)C
BACE_125,C[C@H](NC[C@@H](O)[C@@H]3Cc1cc(ccc1)OCCCCOc2cc(cnc2)C(=O)N3)C4C=C(CC(C)(C)C)ON=4
BACE_126,COCc1cc3cc(c1)C(=O)N[C@@H](Cc2cccc(c2)OCCCCN3)[C@H](O)CN
BACE_127,COCc1cc3cc(c1)C(=O)N[C@@H](Cc2cc(ccc2)OCCCCN3)[C@H](O)CNCC4C=NN(CC(C)C)C=4
BACE_128,COCc1cc3cc(c1)C(=O)N[C@@H](Cc2cc(ccc2)OCCCCN3)[C@H](O)CN[C@H]5CC(C)(C)Oc4ccc(cc45)C(C)C
BACE_129,COCc1cc3cc(c1)C(=O)N[C@@H](Cc2cc(ccc2)OCCCCN3)[C@H](O)CNCC4C=C(CC(C)(C)C)ON=4
BACE_130,COc2ccc3C[C@H](NC(=O)c1cc(CO)cc(c1)NCCCCOc2c3)[C@H](O)CNCc4cc(ccc4)C(C)C
BACE_131,CN(C)C(=O)c1cc2cc(c1)C(=O)N[C@@H](Cc3cc(OC/C=C/CN2)c(F)cc3)[C@H](O)CNC4(CC4)c5cc(ccc5)C(C)(C)C
BACE_132,CC(C)c5cc(CNC[C@@H](O)[C@@H]3Cc4cc(CCCCOc1cc(cc(c1)C2=NC=CO2)C(=O)N3)ccc4)ccc5
BACE_133,CC(=O)COc1cc2cc(c1)C(=O)N[C@@H](Cc3cc(CCCCO2)ccc3)[C@H](O)CNC4(CC4)c5cc(ccn5)C(C)(C)C
BACE_134,COC(=O)c1cc2cc(c1)C(=O)N[C@@H](Cc3cc(CCCCO2)ccc3)[C@H](O)CNCc4cc(ccc4)C(C)C
BACE_135,CC(=O)COc1cc2cc(c1)C(=O)N[C@@H](Cc3cc(CCCCO2)ccc3)[C@H](O)CNCc4cc(ccn4)C(C)(C)C
BACE_136,CC(C)c5cc(CNC[C@@H](O)[C@@H]3Cc4cc(CCCCOc1cc(cc(c1)N2CCCC2=O)C(=O)N3)ccc4)ncc5
BACE_137,CC(C)c4cccc(CNC[C@@H](O)[C@@H]2Cc3cccc(CCCCOc1cncc(c1)C(=O)N2)c3)c4
BACE_138,CC(C)(NC[C@@H](O)[C@@H]3Cc1cccc(c1)OCCCCOc2cncc(c2)C(=O)N3)c4cccc(Br)c4
BACE_139,CC(C)c4ccnc(CNC[C@@H](O)[C@@H]3Cc1cccc(c1)OCCCCOc2cccc(c2)C(=O)N3C)c4
BACE_140,COCc1cc3cc(c1)C(=O)N[C@@H](Cc2cc(ccc2)OCCCO3)[C@H](O)CNC4(CC4)c5cc(ccc5)C(C)C
BACE_141,CCc4cc(CNC[C@@H](O)[C@@H]3Cc1cc(ccc1)OCCCCOc2cc(cc(c2)C(=O)N3)C(=O)N(C)C)ncn4
BACE_142,COc1cc2cc(c1)C3=N[C@@H](C[C@H](C)CCCCCCCN2)[C@H](CO)O3
BACE_143,C[C@@H]1CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N[C@@H](C1)[C@H](O)CO
BACE_144,COCc1cc5cc(c1)C(=O)O[C@@H](CNC2(CC2)c3cc(ccc3)C(C)C)[C@@H](N)Cc4cc(ccc4)OCCCCN5
BACE_145,CCCNc1cc(COC)cc(c1)C(=O)N[C@@H](Cc2cc(ccc2)OC)[C@H](O)CNC3(CC3)c4cc(ccc4)C(C)C
BACE_146,CCCNc1cc(COC)cc(c1)C(=O)N[C@@H](Cc2cc(ccc2)OC)[C@H](O)CNCc3cc(ccc3)C(C)C
BACE_147,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1
BACE_148,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCCC[C@H](C)CCC(=O)N(C)[C@@H](C)C(=O)N1
BACE_149,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCCCCC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1
BACE_150,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]2C[C@H](C)CCCCCCC[C@H](NC(=O)c1ccncc1)C(=O)N[C@@H](C)C(=O)N2
BACE_151,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCCCCCCS(=O)(=O)C[C@@H](C)C(=O)N1
BACE_152,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]2C[C@H](C)CCCCCCNc1cc(cc(n1)OC)C(=O)N2
BACE_153,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]2Cc1cc(ccc1)OCCCCCC(=O)N[C@@H](C)C(=O)N2
BACE_154,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]2Cc3cc(CCCCCNc1cc(cc(n1)OC)C(=O)N2)ccc3
BACE_155,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]2Cc3cccc(CCCCNc1cc(cc(C)n1)C(=O)N2)c3
BACE_156,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]2Cc1cccc(c1)OCCCCS(=O)(=O)C[C@@H](C)C(=O)N2
BACE_157,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]2Cc3cc(Cc1ccccc1OCC(=O)N[C@@H](C)C(=O)N2)c(O)cc3
BACE_158,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]2Cc3ccc(O)c(Cc1ccccc1OCCCCC(=O)N2)c3
