Drug,Score
Cefdinir,6.043577919895035e-06
Cefditoren,7.832639090767063e-06
Cefpodoxime,1.3105079106309735e-07
Cefuroxime,1.3887722858054014e-07
Celecoxib,0.3278460753671348
Ceritinib,0.20660151122836548
Cerivastatin,0.09017073507443825
Cetirizine,0.5747106925911992
Chenodiol,0.28622639498167285
Chlorambucil,0.6997132386867917
Chloroquine,0.7943251957446305
Chlorotrianisene,0.4707786762379845
Chlorphenesin carbamate,0.23319857560824483
Chlorpropamide,0.2661612048709577
Chlorthalidone,0.09513189025597817
Cimetidine,0.2833236234615526
Cinoxacin,0.3622028907006904
Ciprofloxacin,0.23480300497123477
Cisapride,0.35612936645484505
Clavulanate,0.081635620796832
Clindamycin,0.14133301943953816
Clofazimine,0.6270442187774572
Clofibrate,0.5164876244834333
Clomiphene,0.34512729619652055
Clonidine,0.5998202056429908
Cloxacillin,0.11186249794026373
Cobicistat,0.24795151222758552
Colchicine,0.23952818426986097
Crizotinib,0.35390681060940676
Cromolyn,0.0010422970941854001
Cyclacillin,0.08292204234360952
Cyclophosphamide,0.5983504912183909
Cysteamine,0.290615816011767
Dabrafenib,0.20697460364137604
Dantrolene,0.45382252324201044
Dapagliflozin,0.08317120260426798
Darifenacin,0.7544012719523883
Deferasirox,0.2519872151265188
Delavirdine,0.2299288902787761
Demeclocycline,4.885478625317197e-12
Desogestrel,0.6712497572673087
Dexlansoprazole,0.5872375008462557
Diazoxide,0.5987187612302515
Dichlorphenamide,0.14584195024426674
Diclofenac,0.5802899760026615
Dicumarol,0.2212718340997067
Didanosine,0.110180927884294
Diethylcarbamazine,0.5512099471162796
Diflunisal,0.606420722614919
Dimethyl fumarate,0.4006705944038823
Diphemanil,0.3811411501043268
Dipyridamole,0.2441854228866777
Dirithromycin,0.26320933349548686
Disopyramide,0.752736017580125
Dofetilide,0.16026312378073096
Dolutegravir,0.008523329204928636
Domperidone,0.48913208589138635
Doxazosin,0.49508582224262954
Doxercalciferol,0.41604432462482155
Drospirenone,0.44804876766486024
Dydrogesterone,0.5265333615180986
Dyphylline,0.11917934386999005
Edoxaban,0.24485624542317824
Eltrombopag,0.17212196816837028
Empagliflozin,0.07603506760920764
Emtricitabine,0.11817695849390676
Enalapril,0.11494524326658308
Entecavir,0.12302940305949801
Eplerenone,0.15645687624603094
Eprosartan,0.25907990541953796
Estradiol,0.44616189538116463
Estramustine,0.663710725423044
Ethacrynic acid,0.6471478930608981
Ethambutol,0.4032000878123353
Ethoxzolamide,0.4488641104930282
Ethylestrenol,0.6704997377763071
Ethynodiol,0.45211059544744636
Etodolac,0.4569612057592298
Etoposide,7.4871124662358995e-06
Etravirine,0.07446637109276934
Ezetimibe,0.331692249736014
Fenoprofen,0.6831794627992477
Fesoterodine,0.6931680935123534
Fexofenadine,0.17601808041223127
Flavoxate,0.6353491550427591
Flecainide,0.46386499041067397
Fludarabine,0.1249306925637454
Fluoxymesterone,0.47281334885021936
Fluvastatin,0.09571931524481045
Fosfomycin,0.06616092404871682
Fosinopril,0.49176992508988604
Furazolidone,0.19139170468483546
Furosemide,0.11631206641186727
Gatifloxacin,0.02701641413658894
Gefitinib,0.6812842512348783
Gemifloxacin,0.008383366040384001
Glimepiride,0.09878365297774641
Glipizide,0.008928663287851517
Glyburide,0.19969877920620877
Glycopyrrolate,0.6069989828783259
Guaifenesin,0.32851766431244567
Guanadrel,0.1439241267505283
Guanethidine,0.28297907658240945
Hetacillin,0.11623795143859236
Hexocyclium,0.6399013857676586
Hydralazine,0.4667085895920672
Hydrocortisone,0.10555570702728585
Ibandronate,0.12524306304803068
Ibrutinib,0.407598279464296
Idelalisib,0.202142663340751
Imatinib,0.351517635434602
Indapamide,0.11544481130138358
Indinavir,0.36801827533528053
Irbesartan,0.5513695722291106
Isoniazid,0.21699924348753163
Isopropamide,0.4958344812241169
Itraconazole,0.3335928571133597
Ivacaftor,0.2237503133753499
Ketoconazole,0.6066510221975219
Ketorolac,0.682347615493132
Labetalol,0.3454358493003934
Lactulose,0.07837629109750567
Lapatinib,0.22413135243953164
Lenvatinib,0.26826969418961094
Levofloxacin,0.32393107185696063
Linagliptin,0.41592071499717825
Linezolid,0.621855680095402
Lisinopril,8.437385769700812e-07
Lomitapide,0.40115305681931335
Loperamide,0.7483740474615002
Lopinavir,0.18168341708288752
Loracarbef,0.036662444417071546
Lubiprostone,0.10808277213701976
Macitentan,0.32861182724948096
Medroxyprogesterone,0.41090945616676317
Mefenamic,0.7177859895177652
Meloxicam,0.14431718367867347
Melphalan,0.3339978123425657
Mepenzolate,0.5876398076999194
Mercaptopurine,0.44567881209925914
Mesalamine,0.047794331606833405
Mesna,0.5013795926283938
Metaproterenol,0.3074264148109629
Metaxalone,0.6687870537582615
Methantheline,0.42359923489749945
Methazolamide,0.31222468241187473
Methenamine,0.4999268125646475
Methimazole,0.3533602367575962
Methscopolamine,0.5915139124352266
Methyltestosterone,0.6458802764234677
Metolazone,0.11510725974932107
Metronidazole,0.2726391463394662
Metyrosine,0.0778113088889939
Midodrine,0.27336038590270395
Miglitol,0.23952745671995007
Miltefosine,0.3753158239881205
Minocycline,8.19777054772849e-11
Minoxidil,0.08155597324284829
Mirabegron,0.2407419661270263
Mitotane,0.46119653037311964
Montelukast,0.3260236057216821
Moxifloxacin,0.026741565214149197
Mycophenolic,0.23642239220816966
Nabumetone,0.4713326705113287
Nadolol,0.2548433716360455
Nalidixic,0.4551141002366271
Naproxen,0.6810700362718308
Nateglinide,0.43886863437127976
Nelfinavir,0.20353737659435156
Neostigmine,0.3937913225277495
Nevirapine,0.8161085801326545
Niacin,0.5038368442416706
Niclosamide,0.27547126763313734
Nilotinib,0.24255542309391118
Nilutamide,0.5505721555302534
Nintedanib,0.3835189505646828
Nitisinone,0.32708063366341034
Nizatidine,0.31926319948481674
Norgestimate,0.6296455269144421
Novobiocin,0.10273846238261812
Olaparib,0.23253262480303033
Olsalazine,0.3825538671118153
Orlistat,0.36758946557486505
Oseltamivir,0.27498204983046276
Oxamniquine,0.23424642100531926
Oxandrolone,0.6864456194158749
Oxaprozin,0.7166737729734958
Oxyphenbutazone,0.6686523095149035
Oxyphenonium,0.5246838530965686
Palbociclib,0.2558728813549959
Paliperidone,0.49221650557312235
Pantoprazole,0.3250006049368404
Pargyline,0.5836029742890411
Paricalcitol,0.4272410903965977
Pemoline,0.47995206337387747
Penicillamine,0.2594338869088183
Phenazone,0.3313835121661601
Phenazopyridine,0.3254637649221643
Phenprocoumon,0.8790369544801545
Phensuximide,0.4060452139474202
Phenylephrine,0.4379773697761165
Pilocarpine,0.6125273734487857
Pinacidil,0.498547262312535
Pipobroman,0.3895244196782455
Pirenzepine,0.5821867402033335
Pitavastatin,0.09905436946793994
Ponatinib,0.6954049897892921
Pralidoxime,0.4743339487713886
Pravastatin,0.09003856182196919
Primaquine,0.49209928115480084
Probenecid,0.5289925325461442
Probucol,0.35475185904734774
Proguanil,0.3816040305224584
Propantheline,0.3371403853629836
Propylthiouracil,0.39644655677999974
Protokylol,0.3550310024985829
Pyridostigmine,0.3800531394737046
Quinestrol,0.5990163486092106
Quinethazone,0.12617081890390505
Quinidine,0.9367057728891147
Rabeprazole,0.5466276469442902
Raloxifene,0.34436898829083845
Raltegravir,1.3013566794573182e-07
Ranolazine,0.4384782384549907
Regorafenib,0.17864292204291374
Repaglinide,0.3793294315474662
Reserpine,0.5159437900395153
Ribavirin,0.10392827528712249
Riociguat,0.10528156006239194
Risedronate,0.12432633189819794
Ritodrine,0.4682237940409772
Ritonavir,0.057316625644807634
Rivaroxaban,0.32257635804457757
Roflumilast,0.6017575458495226
Rosiglitazone,0.5644484941650507
Rosuvastatin,0.10586668077358967
Ruxolitinib,0.5666593551637085
Sapropterin,0.22763590599465622
Saquinavir,0.29717778919310883
Sibutramine,0.5209820284480917
Sildenafil,0.5903217150157604
Silodosin,0.26671807586597984
Simeprevir,0.29573583071156984
Sitagliptin,0.5335576124256796
Sodium,0.3952687704405978
Sofosbuvir,0.10393454359056621
Sotalol,0.1629258335263655
Sparfloxacin,0.0001855840260931702
Spirapril,0.1110024923076432
Spironolactone,0.4307376869752553
Stanozolol,0.5020270635796782
Stavudine,0.13580941422312132
Succimer,0.1415448589904587
Sulfacytine,0.13521381385791048
Sulfadoxine,0.1355377748554566
Sulfameter,0.13181027294103442
Sulfamethizole,0.12804233620580757
Sulfamethoxazole,0.11860854663677456
Sulfaphenazole,0.16947790164314186
Sulfasalazine,0.09997170975116187
Sulfinpyrazone,0.4556428763412751
Sulfoxone,9.877879965934348e-07
Sumatriptan,0.46292738930964955
Sunitinib,0.3626850855441779
Tamsulosin,0.2517381084982174
Tedizolid,0.3184307253274979
Tegaserod,0.45052034130916707
Telaprevir,0.06303267622129767
Telithromycin,0.503844684514423
Tenofovir,0.12544049510130947
Testolactone,0.5888424988163142
Thiabendazole,0.7457748415988575
Thioguanine,0.1494801899297745
Ticagrelor,0.21151172626000758
Ticlopidine,0.6135273878211926
Tiludronate,0.22822781743898682
Tinidazole,0.20815559987490612
Tiopronin,0.23964792815545208
Tipranavir,0.2570566614042226
Tofacitinib,0.34404106981430016
Tolazamide,0.17772765817640462
Tolrestat,0.5912027011263704
Torsemide,0.24155290109362237
Tranexamic,0.2725091704835854
Treprostinil,0.07314432214249338
Triamterene,0.37719051088148636
Tridihexethyl,0.4903276942255108
Trimethobenzamide,0.625587433955291
Trimethoprim,0.3046589659767194
Trioxsalen,0.5083707020199463
Troleandomycin,0.45851278088875147
Trospium,0.48237593326332806
Trovafloxacin,0.008498080568556943
Uracil,0.4112210871250938
Valsartan,0.18760089427698945
Vandetanib,0.6836927690159207
Vemurafenib,0.11342319711058431
Vismodegib,0.44032035490727567
Vorapaxar,0.3412739753554955
Zafirlukast,0.2386708617961628
Zidovudine,0.126336068737301
Zileuton,0.3692122078774364
Abiraterone,0.7183265999704836
Acebutolol,0.2274804413298473
Acetaminophen,0.3119361428176689
Acetazolamide,0.09546561266442705
Acetophenazine,0.8181602329351925
Acitretin,0.8867008711878575
Afatinib,0.3367640419670844
Albendazole,0.6738861817895969
Almotriptan,0.7747837056194271
Alprazolam,0.6828288923258028
Alprenolol,0.5999402328751187
Amantadine,0.5109005977338545
Aminoglutethimide,0.3639389523202343
Amitriptyline,0.550458480112452
Amlodipine,0.23679904660255652
Amoxapine,0.9058550425367602
Amphetamine,0.5270798711590299
Anileridine,0.8376996492779565
Aniracetam,0.4540060606514343
Apomorphine,0.7493058925277312
Aprepitant,0.22309389961608414
Aripiprazole,0.7010863792445473
Armodafinil,0.6521411411519652
Atomoxetine,0.6734154820864031
Atropine,0.71234172210735
Axitinib,0.27371238120674285
Azatadine,0.6420003775782623
Baclofen,0.3152062324128653
Benzphetamine,0.5640615519972607
Benztropine,0.6090919223758
Bepridil,0.44336732296749914
Bethanidine,0.3283687043974077
Bexarotene,0.6778036506304561
Biperiden,0.8187926436675034
Bromazepam,0.8148798998913519
Bromocriptine,0.26539156150337984
Bromodiphenhydramine,0.6175320939197619
Brompheniramine,0.6672833138915977
Buclizine,0.36634230507138743
Budipine,0.5570979896114472
Bumetanide,0.10973541903977067
Buprenorphine,0.5744843581178176
Bupropion,0.8688243862818801
Buspirone,0.6232976006870614
Butabarbital,0.2682885181936384
Cabergoline,0.3501647403483696
Caffeine,0.4205575464096229
Carbamazepine,0.6744169170474943
Carbinoxamine,0.7536213921069496
Carisoprodol,0.227784311669418
Carvedilol,0.38287275211049987
Cevimeline,0.39453480619167797
Chlophedianol,0.8249790428936653
Chloramphenicol,0.15242458718678384
Chlordiazepoxide,0.8159958195711189
Chlormezanone,0.49450952234091683
Chlorphentermine,0.6696748224221772
Chlorpromazine,0.5578579047980187
Chlorprothixene,0.5063131470144939
Chlorzoxazone,0.6086272627731873
Cilostazol,0.4125169509818538
Cinacalcet,0.5316490255708209
Citalopram,0.6649547059019847
Clemastine,0.5097565618647765
Clidinium,0.5104256796143544
Clobazam,0.5873641862128125
Clomipramine,0.5420796436540686
Clonazepam,0.44615851300303005
Clozapine,0.9180170270107403
Cycloserine,0.41152991349370194
Danazol,0.7043902551347326
Dapsone,0.1352019991359979
Dasatinib,0.3660286869728094
Desloratadine,0.7360435449707077
Desvenlafaxine,0.6149866769602863
Dexmethylphenidate,0.7662179896104084
Dextromethorphan,0.6477389003387799
Dicyclomine,0.6461849409003648
Diethylpropion,0.6831774007796855
Difenoxin,0.5727710747276084
Dihydrocodeine,0.7636379472692284
Diltiazem,0.692441514835382
Diphenylpyraline,0.6417724331274275
Disulfiram,0.37162009103924815
Dolasetron,0.8847804374257562
Donepezil,0.6233125453577182
Dronabinol,0.708411345523483
Dronedarone,0.35964194971918345
Duloxetine,0.7754425694175031
Dutasteride,0.4468312315024274
Efavirenz,0.7298315862773685
Eletriptan,0.6364205336541755
Eliglustat,0.4503276097222778
Entacapone,0.13604031821661752
Enzalutamide,0.38061719564041857
Erlotinib,0.6086342085879793
Eszopiclone,0.2775093613828287
Ethchlorvynol,0.4989469305028038
Ethinamate,0.6288466680964608
Ethionamide,0.6172136065284871
Ethopropazine,0.5252635250772386
Ethosuximide,0.509291216871904
Ethotoin,0.5582111970797573
Ezogabine,0.45583132687269384
Famotidine,0.2586122997378925
Febuxostat,0.5533099972085366
Felbamate,0.18551956770057773
Felodipine,0.5545690530594868
Fenofibrate,0.5145120938831287
Fentanyl,0.689827154561813
Finasteride,0.3445637258471224
Fingolimod,0.6290211766697292
Flibanserin,0.7659604541238333
Fluconazole,0.3622218021857165
Flucytosine,0.2169252047305349
Fluoxetine,0.7792841484820271
Flurazepam,0.6213386540642736
Flurbiprofen,0.6718399220164539
Fluvoxamine,0.891883885883794
Frovatriptan,0.3332201427270476
Gabapentin,0.28191496697724344
Galantamine,0.8128687055953139
Gemfibrozil,0.7731027556800757
Granisetron,0.8026497974509486
Guanabenz,0.5253989681122359
Guanfacine,0.44225072730146747
Halazepam,0.46749351034859143
Halofantrine,0.507143664597312
Haloperidol,0.7994531260589213
Hydroxyzine,0.8116184145851303
Ibuprofen,0.6260583915020079
Iloperidone,0.6289632362161067
Indomethacin,0.4841718506567097
Isocarboxazid,0.3241604186025028
Isotretinoin,0.8351537906406346
Isradipine,0.3758635876996226
Ketoprofen,0.6890698800877517
Lacosamide,0.3120605372360187
Lamotrigine,0.3894579173577557
Lenalidomide,0.12317268148653261
Letrozole,0.3752609973361755
Levamisole,0.5034000947702677
Levetiracetam,0.48621510850931166
Levodopa,0.0666602214151992
Levomepromazine,0.6153758257188602
Levomethadyl,0.571867551824857
Levomilnacipran,0.6770761083895915
Levopropoxyphene,0.6443921670329019
Lidocaine,0.8855397252361644
Lofexidine,0.8714248659250646
Lomustine,0.6408132961495635
Loratadine,0.43442564978202963
Lorazepam,0.46984245577961503
Lorcainide,0.5435770882048744
Lorcaserin,0.5934367647058647
Losartan,0.20997870050704678
Lovastatin,0.3890403022680448
Lurasidone,0.6085754159351021
Maprotiline,0.704317013338521
Maraviroc,0.6612050825884995
Mazindol,0.7055572757396911
Mecamylamine,0.520665646781379
Mefloquine,0.5295785684960013
Memantine,0.5384441772420715
Meperidine,0.7695520086913309
Mesoridazine,0.5514654409008076
Metergoline,0.7216397350323959
Metformin,0.05186956285420834
Methamphetamine,0.5036427084173792
Metharbital,0.5388008865125198
Methdilazine,0.5819342515247401
Methixene,0.517389900847406
Methocarbamol,0.11201608445425064
Methylergonovine,0.5898615950259647
Methyprylon,0.5366202168461226
Metoclopramide,0.43396879956718076
Metoprolol,0.5153258443360043
Metyrapone,0.6034624606451396
Mexiletine,0.7638206951610214
Mifepristone,0.6856947310634962
Minaprine,0.9931866426071312
Mirtazapine,0.7260819485893175
Moclobemide,0.7643646013014668
Molindone,0.9654604311933929
Nabilone,0.6563523057806664
Nalmefene,0.7420886666961142
Naloxegol,0.1827552696374709
Naratriptan,0.49445224474257193
Nebivolol,0.4751977810389704
Nefazodone,0.6655233802896715
Nemonapride,0.6234759998836603
Nicardipine,0.5080061728459129
Nicergoline,0.6658911292841978
Nicotine,0.42708057380622694
Nifedipine,0.35819594926049625
Nortriptyline,0.690084861713953
Noscapine,0.5451497576743669
Ondansetron,0.8570496895273462
Ospemifene,0.592981004245525
Oxprenolol,0.6133855942673753
Oxybate,0.2794626753579855
Oxybutynin,0.7485210061114583
Oxyphencyclimine,0.7911222472298431
Palonosetron,0.6173515562940226
Panobinostat,0.42500967616076896
Paramethadione,0.41141829016362697
Paroxetine,0.8996101195880777
Pazopanib,0.3751519364950736
Penbutolol,0.696789932201532
Pentazocine,0.7948857620482981
Pentoxifylline,0.29907678890740597
Perampanel,0.6523315540565348
Pergolide,0.7562534498543225
Perindopril,0.1083287232078436
Phenacemide,0.18790278101255328
Phenelzine,0.43548533493575825
Phenmetrazine,0.5652285324278491
Phenobarbital,0.2826977542431423
Phenoxybenzamine,0.6039308822501745
Phenylpropanolamine,0.45531661476329144
Phenytoin,0.47183787094895596
Pimozide,0.6153954779561455
Pioglitazone,0.6137485592092902
Pirfenidone,0.4150028761905072
Pramipexole,0.47436156211932756
Prasugrel,0.5416118984760384
Praziquantel,0.5819738469237519
Procainamide,0.46633198968273876
Procarbazine,0.514352775868142
Prochlorperazine,0.44762256644224835
Propofol,0.4818168260936859
Propranolol,0.6242381046210106
Pseudoephedrine,0.3898250991252425
Pyrazinamide,0.4025692849936849
Pyrilamine,0.6647601662646836
Pyrimethamine,0.5414328766788238
Quetiapine,0.8658485664120659
Ramelteon,0.6705969547360834
Rasagiline,0.7389930329391351
Reboxetine,0.9483943968330261
Remifentanil,0.44747814313856044
Riluzole,0.7450052921364074
Rimantadine,0.6269406954317436
Rimonabant,0.4991737460950421
Risperidone,0.6935724860945278
Rivastigmine,0.6921694716365443
Rizatriptan,0.7818017010388464
Rofecoxib,0.5699379438642762
Ropinirole,0.8480093215914916
Ropivacaine,0.8810970815135566
Rufinamide,0.4113675329926751
Saxagliptin,0.2870144053489826
Selegiline,0.5750520227781808
Sertindole,0.7038527339333209
Sertraline,0.7015063499628432
Sulindac,0.5843056211186275
Suvorexant,0.28591271636558213
Tacrine,0.8363538122795728
Tadalafil,0.39772217740372395
Talipexole,0.7477933378338119
Tamoxifen,0.3679941022375393
Tapentadol,0.763618351672066
Tasimelteon,0.6690933252028849
Telmisartan,0.5284256602928831
Temozolomide,0.27828016550191287
Terbinafine,0.505459978042332
Terguride,0.6760660443930994
Teriflunomide,0.30654578104651287
Tetrabenazine,0.8215470973027226
Thiopental,0.5316203542991026
Thiothixene,0.6860300468272017
Tiagabine,0.5739161410564894
Tianeptine,0.12060615497634367
Timolol,0.2811238747604257
Tizanidine,0.496507910274906
Tocainide,0.49051824168470576
Tolcapone,0.3368385097589322
Tolmetin,0.677656503497313
Topotecan,0.1721798835479193
Tramadol,0.7708255280363715
Tranylcypromine,0.5606078086076234
Trazodone,0.7242137774304335
Trimipramine,0.558347369938407
Triprolidine,0.6552173469671668
Troglitazone,0.26185174325858834
Tropisetron,0.8465080512260882
Valdecoxib,0.45154707535629446
Valproic,0.5921224376941465
Varenicline,0.6495586738036786
Vilazodone,0.05288712566107896
Vinpocetine,0.6330769857935901
Voriconazole,0.38912978918427077
Vorinostat,0.16480523543068304
Vortioxetine,0.7458897214879178
Zaleplon,0.3260690693013777
Ziprasidone,0.7841849776988484
Zolmitriptan,0.6146153257834245
Zolpidem,0.8241602319622008
Zonisamide,0.29940396532897684
