Drug,Gaussian,Sigmoidal
Eprosartan,0.57935065,0.2590799054
Estradiol,0.75003174,0.4461618954
Estramustine,0.7744942097,0.6637107254
Ethacrynic acid,0.8433678409,0.6471478931
Ethambutol,0.4773683198,0.4032000878
Ethoxzolamide,0.6969330742,0.4488641105
Ethylestrenol,0.7366321624,0.6704997378
Ethynodiol,0.7627770441,0.4521105954
Etodolac,0.7969486309,0.4569612058
Etoposide,0.1889579235,7.49E-06
Etravirine,0.4180746069,0.07446637109
Ezetimibe,0.6865644679,0.3316922497
Fenoprofen,0.8999817226,0.6831794628
Fesoterodine,0.7610676798,0.6931680935
Fexofenadine,0.4162667173,0.1760180804
Flavoxate,0.7223259995,0.635349155
Flecainide,0.7451325054,0.4638649904
Fludarabine,0.2578974492,0.1249306926
Fluoxymesterone,0.7599780402,0.4728133489
Fluvastatin,0.5234978666,0.09571931524
Fosfomycin,0.3676312459,0.06616092405
Fosinopril,0.5084226317,0.4917699251
Furazolidone,0.3651779187,0.1913917047
Furosemide,0.3785127013,0.1163120664
Gatifloxacin,0.5157534686,0.02701641414
Gefitinib,0.7734627215,0.6812842512
Gemifloxacin,0.3041645722,0.00838336604
Glimepiride,0.3477745689,0.09878365298
Glipizide,0.3290324473,0.008928663288
Glyburide,0.3832301921,0.1996987792
Glycopyrrolate,0.7809486693,0.6069989829
Guaifenesin,0.629361544,0.3285176643
Guanadrel,0.4594703857,0.1439241268
Guanethidine,0.5578647185,0.2829790766
Hetacillin,0.4968435472,0.1162379514
Hexocyclium,0.8502831947,0.6399013858
Hydralazine,0.7481029524,0.4667085896
Hydrocortisone,0.4337496627,0.105555707
Ibandronate,0.1483208612,0.125243063
Ibrutinib,0.6379483112,0.4075982795
Idelalisib,0.5758966851,0.2021426633
Imatinib,0.605162804,0.3515176354
Indapamide,0.5462354981,0.1154448113
Indinavir,0.3856975098,0.3680182753
Irbesartan,0.7191634864,0.5513695722
Isoniazid,0.564790554,0.2169992435
Isopropamide,0.6407048217,0.4958344812
Itraconazole,0.3903521854,0.3335928571
Ivacaftor,0.4989751288,0.2237503134
Ketoconazole,0.6676301634,0.6066510222
Ketorolac,0.7943955524,0.6823476155
Labetalol,0.5087732544,0.3454358493
Lactulose,0.1941516389,0.0783762911
Lapatinib,0.3847820348,0.2241313524
Lenvatinib,0.4311755148,0.2682696942
Levofloxacin,0.6380571622,0.3239310719
Linagliptin,0.5215101205,0.415920715
Linezolid,0.8572803284,0.6218556801
Lisinopril,0.1807128927,8.44E-07
Lomitapide,0.5337489119,0.4011530568
Loperamide,0.7725649683,0.7483740475
Lopinavir,0.245658632,0.1816834171
Loracarbef,0.1946850858,0.03666244442
Lubiprostone,0.6401556546,0.1080827721
Macitentan,0.4635536701,0.3286118272
Medroxyprogesterone,0.6976288102,0.4109094562
Mefenamic,0.8461735949,0.7177859895
Meloxicam,0.5548973772,0.1443171837
Melphalan,0.6544967024,0.3339978123
Mepenzolate,0.7926233869,0.5876398077
Mercaptopurine,0.6517833306,0.4456788121
Mesalamine,0.3040827207,0.04779433161
Mesna,0.537172245,0.5013795926
Metaproterenol,0.4876417969,0.3074264148
Metaxalone,0.8066821934,0.6687870538
Methantheline,0.5454882695,0.4235992349
Methazolamide,0.4833980358,0.3122246824
Methenamine,0.5458254121,0.4999268126
Methimazole,0.4778442054,0.3533602368
Methscopolamine,0.6734658231,0.5915139124
Methyltestosterone,0.8388829827,0.6458802764
Metolazone,0.5315710283,0.1151072597
Metronidazole,0.5842021576,0.2726391463
Metyrosine,0.3144292039,0.07781130889
Midodrine,0.4413178284,0.2733603859
Miglitol,0.3117915413,0.2395274567
Miltefosine,0.6157988476,0.375315824
Minocycline,0.09004873978,8.20E-11
Minoxidil,0.247127984,0.08155597324
Mirabegron,0.434753667,0.2407419661
Mitotane,0.506581257,0.4611965304
Montelukast,0.5130043283,0.3260236057
Moxifloxacin,0.5171535623,0.02674156521
Mycophenolic,0.6051252184,0.2364223922
Nabumetone,0.6155141918,0.4713326705
Nadolol,0.5011563307,0.2548433716
Nalidixic,0.7043085471,0.4551141002
Naproxen,0.86454963,0.6810700363
Nateglinide,0.7975002427,0.4388686344
Nelfinavir,0.2600012429,0.2035373766
Neostigmine,0.450875308,0.3937913225
Nevirapine,0.9457063484,0.8161085801
Niacin,0.5956314199,0.5038368442
Niclosamide,0.591870576,0.2754712676
Nilotinib,0.439480333,0.2425554231
Nilutamide,0.6978550567,0.5505721555
Nintedanib,0.5914403924,0.3835189506
Nitisinone,0.4953666266,0.3270806337
Nizatidine,0.6926112625,0.3192631995
Norgestimate,0.8221435638,0.6296455269
Novobiocin,0.3034937577,0.1027384624
Olaparib,0.5537515243,0.2325326248
Olsalazine,0.4590952317,0.3825538671
Orlistat,0.5788284557,0.3675894656
Oseltamivir,0.6520832148,0.2749820498
Oxamniquine,0.4892414438,0.234246421
Oxandrolone,0.8709173112,0.6864456194
Oxaprozin,0.8819246235,0.716673773
Oxyphenbutazone,0.8614895693,0.6686523095
Oxyphenonium,0.7105622266,0.5246838531
Palbociclib,0.5268779564,0.2558728814
Paliperidone,0.7640273586,0.4922165056
Pantoprazole,0.7035293669,0.3250006049
Pargyline,0.5836391519,0.5836029743
Paricalcitol,0.5848447577,0.4272410904
Pemoline,0.6669607881,0.4799520634
Penicillamine,0.4001648099,0.2594338869
Phenazone,0.483145197,0.3313835122
Phenazopyridine,0.6458372866,0.3254637649
Phenprocoumon,0.9433407943,0.8790369545
Phensuximide,0.5831109129,0.4060452139
Phenylephrine,0.5330853502,0.4379773698
Pilocarpine,0.7404997686,0.6125273734
Pinacidil,0.7940124036,0.4985472623
Pipobroman,0.6727447097,0.3895244197
Pirenzepine,0.8438582454,0.5821867402
Pitavastatin,0.4788997863,0.09905436947
Ponatinib,0.7331371694,0.6954049898
Pralidoxime,0.647894484,0.4743339488
Pravastatin,0.2668110096,0.09003856182
Primaquine,0.7535354164,0.4920992812
Probenecid,0.8275029582,0.5289925325
Probucol,0.5397214557,0.354751859
Proguanil,0.5145937582,0.3816040305
Propantheline,0.5148860319,0.3371403854
Propylthiouracil,0.661974977,0.3964465568
Protokylol,0.5285392409,0.3550310025
Pyridostigmine,0.4276061567,0.3800531395
Quinestrol,0.7582837204,0.5990163486
Quinethazone,0.3693180454,0.1261708189
Quinidine,0.9395725886,0.9367057729
Rabeprazole,0.8582467018,0.5466276469
Raloxifene,0.5514804158,0.3443689883
Raltegravir,0.1479209028,1.30E-07
Ranolazine,0.7133014858,0.4384782385
Regorafenib,0.3594986845,0.178642922
Repaglinide,0.6630673556,0.3793294315
Reserpine,0.5332597455,0.51594379
Ribavirin,0.1803488772,0.1039282753
Riociguat,0.4239674962,0.1052815601
Risedronate,0.1305862475,0.1243263319
Ritodrine,0.6144571444,0.468223794
Ritonavir,0.1496390548,0.05731662564
Rivaroxaban,0.5972015727,0.322576358
Roflumilast,0.7756209666,0.6017575458
Rosiglitazone,0.847030299,0.5644484942
Rosuvastatin,0.2312272847,0.1058666808
Ruxolitinib,0.7868032822,0.5666593552
Sapropterin,0.2342825441,0.227635906
Saquinavir,0.2973175239,0.2971777892
Sibutramine,0.5209824332,0.5209820284
Sildenafil,0.6512495753,0.590321715
Silodosin,0.4356188935,0.2667180759
Simeprevir,0.4231888741,0.2957358307
Sitagliptin,0.8290106775,0.5335576124
Sodium,0.607853223,0.3952687704
Sofosbuvir,0.2503263998,0.1039345436
Sotalol,0.4196205126,0.1629258335
Sparfloxacin,0.323193889,0.0001855840261
Spirapril,0.4379946375,0.1110024923
Spironolactone,0.675571105,0.430737687
Stanozolol,0.7549030386,0.5020270636
Stavudine,0.4888227051,0.1358094142
Succimer,0.3083166589,0.141544859
Sulfacytine,0.3739266472,0.1352138139
Sulfadoxine,0.417099179,0.1355377749
Sulfameter,0.4271549224,0.1318102729
Sulfamethizole,0.4456957396,0.1280423362
Sulfamethoxazole,0.4608636783,0.1186085466
Sulfaphenazole,0.6304573437,0.1694779016
Sulfasalazine,0.3975754575,0.09997170975
Sulfinpyrazone,0.6614524895,0.4556428763
Sulfoxone,0.1666529175,9.88E-07
Sumatriptan,0.7256637554,0.4629273893
Sunitinib,0.5885826835,0.3626850855
Tamsulosin,0.5874384667,0.2517381085
Tedizolid,0.5642150849,0.3184307253
Tegaserod,0.5722977002,0.4505203413
Telaprevir,0.2521976728,0.06303267622
Telithromycin,0.5041199223,0.5038446845
Tenofovir,0.1650017443,0.1254404951
Testolactone,0.7383954511,0.5888424988
Thiabendazole,0.8694757929,0.7457748416
Thioguanine,0.394500504,0.1494801899
Ticagrelor,0.3332795187,0.2115117263
Ticlopidine,0.613529743,0.6135273878
Tiludronate,0.2700924459,0.2282278174
Tinidazole,0.4591518375,0.2081555999
Tiopronin,0.3489803064,0.2396479282
Tipranavir,0.4189741093,0.2570566614
Tofacitinib,0.6167213044,0.3440410698
Tolazamide,0.637526539,0.1777276582
Tolrestat,0.8684391931,0.5912027011
Torsemide,0.5102570093,0.2415529011
Tranexamic,0.4785880075,0.2725091705
Treprostinil,0.5075961212,0.07314432214
Triamterene,0.4921585801,0.3771905109
Tridihexethyl,0.5780612902,0.4903276942
Trimethobenzamide,0.8528150934,0.625587434
Trimethoprim,0.6412997014,0.304658966
Trioxsalen,0.6774816097,0.508370702
Troleandomycin,0.4585168911,0.4585127809
Trospium,0.7473799228,0.4823759333
Trovafloxacin,0.3889726428,0.008498080569
Uracil,0.6923796137,0.4112210871
Valsartan,0.4904414627,0.1876008943
Vandetanib,0.7170382104,0.683692769
Vemurafenib,0.504033496,0.1134231971
Vismodegib,0.7405331494,0.4403203549
Vorapaxar,0.6057721913,0.3412739754
Zafirlukast,0.3796805751,0.2386708618
Zidovudine,0.379669772,0.1263360687
Zileuton,0.6913586841,0.3692122079
Abiraterone,0.8016660452,0.7183266
Acebutolol,0.5316232976,0.2274804413
Acetaminophen,0.5857229513,0.3119361428
Acetazolamide,0.3161836866,0.09546561266
Acetophenazine,0.8856232376,0.8181602329
Acitretin,0.8905359808,0.8867008712
Afatinib,0.5837880841,0.336764042
Albendazole,0.8337789524,0.6738861818
Almotriptan,0.8870004569,0.7747837056
Alprazolam,0.7674548224,0.6828288923
Alprenolol,0.8080733044,0.5999402329
Amantadine,0.6429968384,0.5109005977
Aminoglutethimide,0.7622544297,0.3639389523
Amitriptyline,0.5504587369,0.5504584801
Amlodipine,0.5743900004,0.2367990466
Amoxapine,0.9284513275,0.9058550425
Amphetamine,0.6651535897,0.5270798712
Anileridine,0.9287411089,0.8376996493
Aniracetam,0.6111312929,0.4540060607
Apomorphine,0.8691268657,0.7493058925
Aprepitant,0.5712697072,0.2230938996
Aripiprazole,0.7412080281,0.7010863792
Armodafinil,0.7839858136,0.6521411412
Atomoxetine,0.7612676054,0.6734154821
Atropine,0.8443381424,0.7123417221
Axitinib,0.6769569271,0.2737123812
Azatadine,0.6420035764,0.6420003776
Baclofen,0.6017675127,0.3152062324
Benzphetamine,0.5640615662,0.564061552
Benztropine,0.6091724207,0.6090919224
Bepridil,0.5440410626,0.443367323
Bethanidine,0.5753256833,0.3283687044
Bexarotene,0.7490936671,0.6778036506
Biperiden,0.8192136712,0.8187926437
Bromazepam,0.8954872186,0.8148798999
Bromocriptine,0.3030087276,0.2653915615
Bromodiphenhydramine,0.6292772516,0.6175320939
Brompheniramine,0.6682340443,0.6672833139
Buclizine,0.4164901409,0.3663423051
Budipine,0.557110894,0.5570979896
Bumetanide,0.4260854086,0.109735419
Buprenorphine,0.737504989,0.5744843581
Bupropion,0.8690784317,0.8688243863
Buspirone,0.7702758241,0.6232976007
Butabarbital,0.6568873413,0.2682885182
Cabergoline,0.6692207057,0.3501647403
Caffeine,0.5659769596,0.4205575464
Carbamazepine,0.8062027446,0.674416917
Carbinoxamine,0.7545029001,0.7536213921
Carisoprodol,0.5897318753,0.2277843117
Carvedilol,0.5875766637,0.3828727521
Cevimeline,0.5060805536,0.3945348062
Chlophedianol,0.8252302182,0.8249790429
Chloramphenicol,0.3601470511,0.1524245872
Chlordiazepoxide,0.9070663754,0.8159958196
Chlormezanone,0.6777867977,0.4945095223
Chlorphentermine,0.7518205341,0.6696748224
Chlorpromazine,0.5585618507,0.5578579048
Chlorprothixene,0.506711672,0.506313147
Chlorzoxazone,0.7256675038,0.6086272628
Cilostazol,0.7225902108,0.412516951
Cinacalcet,0.6299666518,0.5316490256
Citalopram,0.7467479383,0.6649547059
Clemastine,0.5570480087,0.5097565619
Clidinium,0.7807320585,0.5104256796
Clobazam,0.693868181,0.5873641862
Clomipramine,0.542408759,0.5420796437
Clonazepam,0.6832443725,0.446158513
Clozapine,0.9213991207,0.918017027
Cycloserine,0.576991966,0.4115299135
Danazol,0.8479141758,0.7043902551
Dapsone,0.5370738228,0.1352019991
Dasatinib,0.4456685906,0.366028687
Desloratadine,0.736444955,0.736043545
Desvenlafaxine,0.8183654525,0.614986677
Dexmethylphenidate,0.8578360415,0.7662179896
Dextromethorphan,0.6477390692,0.6477389003
Dicyclomine,0.6463094367,0.6461849409
Diethylpropion,0.6831955022,0.6831774008
Difenoxin,0.7327910167,0.5727710747
Dihydrocodeine,0.9214388785,0.7636379473
Diltiazem,0.7646167235,0.6924415148
Diphenylpyraline,0.6417730294,0.6417724331
Disulfiram,0.5622862021,0.371620091
Dolasetron,0.9555202997,0.8847804374
Donepezil,0.7160370169,0.6233125454
Dronabinol,0.7646137383,0.7084113455
Dronedarone,0.4699162546,0.3596419497
Duloxetine,0.7908563842,0.7754425694
Dutasteride,0.6383526195,0.4468312315
Efavirenz,0.8210492379,0.7298315863
Eletriptan,0.8070065544,0.6364205337
Eliglustat,0.7139197424,0.4503276097
Entacapone,0.5006016907,0.1360403182
Enzalutamide,0.6499994145,0.3806171956
Erlotinib,0.8154034403,0.6086342086
Eszopiclone,0.5935679984,0.2775093614
Ethchlorvynol,0.6260358085,0.4989469305
Ethinamate,0.7512056076,0.6288466681
Ethionamide,0.8383906863,0.6172136065
Ethopropazine,0.525472807,0.5252635251
Ethosuximide,0.685452282,0.5092912169
Ethotoin,0.7383081686,0.5582111971
Ezogabine,0.6915244818,0.4558313269
Famotidine,0.3258512655,0.2586122997
Febuxostat,0.7923065312,0.5533099972
Felbamate,0.4698287169,0.1855195677
Felodipine,0.7664362881,0.5545690531
Fenofibrate,0.7113709275,0.5145120939
Fentanyl,0.7067921096,0.6898271546
Finasteride,0.7448840275,0.3445637258
Fingolimod,0.6857795252,0.6290211767
Flibanserin,0.8502995819,0.7659604541
Fluconazole,0.7392502445,0.3622218022
Flucytosine,0.5069200504,0.2169252047
Fluoxetine,0.7800851764,0.7792841485
Flurazepam,0.7076132151,0.6213386541
Flurbiprofen,0.8739195347,0.671839922
Fluvoxamine,0.9308725655,0.8918838859
Frovatriptan,0.5242952264,0.3332201427
Gabapentin,0.5461042567,0.281914967
Galantamine,0.939418377,0.8128687056
Gemfibrozil,0.9026628567,0.7731027557
Granisetron,0.8302038985,0.8026497975
Guanabenz,0.7710279747,0.5253989681
Guanfacine,0.7538066445,0.4422507273
Halazepam,0.6498222476,0.4674935103
Halofantrine,0.5219713213,0.5071436646
Haloperidol,0.8951301891,0.7994531261
Hydroxyzine,0.907905349,0.8116184146
Ibuprofen,0.8398983988,0.6260583915
Iloperidone,0.7095493019,0.6289632362
Indomethacin,0.8197505647,0.4841718507
Isocarboxazid,0.7522578294,0.3241604186
Isotretinoin,0.8354781678,0.8351537906
Isradipine,0.6256331761,0.3758635877
Ketoprofen,0.850042525,0.6890698801
Lacosamide,0.6528525589,0.3120605372
Lamotrigine,0.6738256433,0.3894579174
Lenalidomide,0.4849754517,0.1231726815
Letrozole,0.6112144381,0.3752609973
Levamisole,0.57041862,0.5034000948
Levetiracetam,0.6327587919,0.4862151085
Levodopa,0.1543322894,0.06666022142
Levomepromazine,0.6195981179,0.6153758257
Levomethadyl,0.6621709947,0.5718675518
Levomilnacipran,0.7811500584,0.6770761084
Levopropoxyphene,0.6712652955,0.644392167
Lidocaine,0.8858222531,0.8855397252
Lofexidine,0.8717507038,0.8714248659
Lomustine,0.8192633123,0.6408132961
Loratadine,0.6477813316,0.4344256498
Lorazepam,0.7313629655,0.4698424558
Lorcainide,0.6421549969,0.5435770882
Lorcaserin,0.6740563604,0.5934367647
Losartan,0.6060564071,0.2099787005
Lovastatin,0.7384803128,0.3890403023
Lurasidone,0.6304988789,0.6085754159
Maprotiline,0.7047017462,0.7043170133
Maraviroc,0.7452258486,0.6612050826
Mazindol,0.7501442928,0.7055572757
Mecamylamine,0.5973837975,0.5206656468
Mefloquine,0.7789326985,0.5295785685
Memantine,0.7028599331,0.5384441772
Meperidine,0.7697175329,0.7695520087
Mesoridazine,0.6389325364,0.5514654409
Metergoline,0.7955964126,0.721639735
Metformin,0.1805764321,0.05186956285
Methamphetamine,0.5860608031,0.5036427084
Metharbital,0.7244851148,0.5388008865
Methdilazine,0.581943972,0.5819342515
Methixene,0.5175079226,0.5173899008
Methocarbamol,0.4999374634,0.1120160845
Methylergonovine,0.7307955388,0.589861595
Methyprylon,0.7086251799,0.5366202168
Metoclopramide,0.7682581759,0.4339687996
Metoprolol,0.7867961351,0.5153258443
Metyrapone,0.8003767381,0.6034624606
Mexiletine,0.8431588029,0.7638206952
Mifepristone,0.7420692488,0.6856947311
Minaprine,0.9945839118,0.9931866426
Mirtazapine,0.7260828468,0.7260819486
Moclobemide,0.9408435444,0.7643646013
Molindone,0.9824188858,0.9654604312
Nabilone,0.8135159183,0.6563523058
Nalmefene,0.8903527606,0.7420886667
Naloxegol,0.4101647921,0.1827552696
Naratriptan,0.7472583299,0.4944522447
Nebivolol,0.6393911657,0.475197781
Nefazodone,0.6940994859,0.6655233803
Nemonapride,0.8314174918,0.6234759999
Nicardipine,0.5536848554,0.5080061728
Nicergoline,0.6908948815,0.6658911293
Nicotine,0.5573161823,0.4270805738
Nifedipine,0.6381695651,0.3581959493
Nortriptyline,0.690331806,0.6900848617
Noscapine,0.7222890166,0.5451497577
Ondansetron,0.8572131525,0.8570496895
Ospemifene,0.726626518,0.5929810042
Oxprenolol,0.8114718698,0.6133855943
Oxybate,0.4558108612,0.2794626754
Oxybutynin,0.847869995,0.7485210061
Oxyphencyclimine,0.8565538697,0.7911222472
Palonosetron,0.7055840882,0.6173515563
Panobinostat,0.6221173915,0.4250096762
Paramethadione,0.6049701954,0.4114182902
Paroxetine,0.9050282028,0.8996101196
Pazopanib,0.5564822221,0.3751519365
Penbutolol,0.8165253673,0.6967899322
Pentazocine,0.7951350029,0.794885762
Pentoxifylline,0.5760868817,0.2990767889
Perampanel,0.7929183706,0.6523315541
Pergolide,0.7568077774,0.7562534499
Perindopril,0.5195301093,0.1083287232
Phenacemide,0.5620349821,0.187902781
Phenelzine,0.7135053294,0.4354853349
Phenmetrazine,0.7289645302,0.5652285324
Phenobarbital,0.6642564523,0.2826977542
Phenoxybenzamine,0.6039961651,0.6039308823
Phenylpropanolamine,0.671959109,0.4553166148
Phenytoin,0.7265677193,0.4718378709
Pimozide,0.6473233141,0.615395478
Pioglitazone,0.8800686332,0.6137485592
Pirfenidone,0.5236081154,0.4150028762
Pramipexole,0.7377713813,0.4743615621
Prasugrel,0.7671123172,0.5416118985
Praziquantel,0.7256016874,0.5819738469
Procainamide,0.7089446433,0.4663319897
Procarbazine,0.6953414595,0.5143527759
Prochlorperazine,0.5442836718,0.4476225664
Propofol,0.6591937043,0.4818168261
Propranolol,0.819153706,0.6242381046
Pseudoephedrine,0.6246988832,0.3898250991
Pyrazinamide,0.5702863999,0.402569285
Pyrilamine,0.7523812149,0.6647601663
Pyrimethamine,0.7844591357,0.5414328767
Quetiapine,0.9574289425,0.8658485664
Ramelteon,0.8174332307,0.6705969547
Rasagiline,0.739240848,0.7389930329
Reboxetine,0.948999251,0.9483943968
Remifentanil,0.7488936146,0.4474781431
Riluzole,0.8642217637,0.7450052921
Rimantadine,0.707082764,0.6269406954
Rimonabant,0.643667846,0.4991737461
Risperidone,0.7755689846,0.6935724861
Rivastigmine,0.7741869245,0.6921694716
Rizatriptan,0.859615607,0.781801701
Rofecoxib,0.6831721183,0.5699379439
Ropinirole,0.8703097577,0.8480093216
Ropivacaine,0.8813566658,0.8810970815
Rufinamide,0.6469440914,0.411367533
Saxagliptin,0.5857319639,0.2870144053
Selegiline,0.5750523583,0.5750520228
Sertindole,0.7487416034,0.7038527339
Sertraline,0.7018168182,0.70150635
Sulindac,0.8792994848,0.5843056211
Suvorexant,0.5800267716,0.2859127164
Tacrine,0.8490930495,0.8363538123
Tadalafil,0.6947994159,0.3977221774
Talipexole,0.9065557351,0.7477933378
Tamoxifen,0.4662139961,0.3679941022
Tapentadol,0.7840010199,0.7636183517
Tasimelteon,0.7910701187,0.6690933252
Telmisartan,0.6285414708,0.5284256603
Temozolomide,0.4014646121,0.2782801655
Terbinafine,0.5054689955,0.505459978
Terguride,0.8279377818,0.6760660444
Teriflunomide,0.6976104706,0.306545781
Tetrabenazine,0.8221908711,0.8215470973
Thiopental,0.7033701746,0.5316203543
Thiothixene,0.7289763745,0.6860300468
Tiagabine,0.7689475952,0.5739161411
Tianeptine,0.5340754355,0.120606155
Timolol,0.6348703411,0.2811238748
Tizanidine,0.8022193603,0.4965079103
Tocainide,0.7760206869,0.4905182417
Tolcapone,0.6183236631,0.3368385098
Tolmetin,0.7920242844,0.6776565035
Topotecan,0.5697026026,0.1721798835
Tramadol,0.8538010704,0.770825528
Tranylcypromine,0.7161691777,0.5606078086
Trazodone,0.8235573126,0.7242137774
Trimipramine,0.5583539809,0.5583473699
Triprolidine,0.6552178136,0.655217347
Troglitazone,0.5499802053,0.2618517433
Tropisetron,0.9097335408,0.8465080512
Valdecoxib,0.6746018349,0.4515470754
Valproic,0.7638107419,0.5921224377
Varenicline,0.7486185785,0.6495586738
Vilazodone,0.4419204848,0.05288712566
Vinpocetine,0.712926994,0.6330769858
Voriconazole,0.7996679344,0.3891297892
Vorinostat,0.4950098317,0.1648052354
Vortioxetine,0.746150998,0.7458897215
Zaleplon,0.6017732595,0.3260690693
Ziprasidone,0.8507413983,0.7841849777
Zolmitriptan,0.7975449733,0.6146153258
Zolpidem,0.8244001133,0.824160232
