Animal,Sex,Dose_mgkg,is_control,TBW_g,Liver_g,RelLiver_pct,Heart_g,Kidney_R_g,Lungs_g,Thymus_g,Testis_R_g,Removal Day
12,M,156,False,39.2,1.77,4.5153,0.22,0.28,0.4,0.034,0.113,SD92
13,M,156,False,35.4,1.57,4.435,0.2,0.27,0.3,0.026,0.104,SD92
14,M,156,False,38.3,1.82,4.752,0.24,0.3,0.29,0.039,0.118,SD92
15,M,156,False,33.6,1.44,4.2857,0.19,0.22,0.35,0.053,0.111,SD92
16,M,156,False,38.5,1.72,4.4675,0.23,0.29,0.34,0.052,0.119,SD92
17,M,156,False,35.2,1.45,4.1193,0.17,0.26,0.24,0.046,0.122,SD92
18,M,156,False,35.6,1.51,4.2416,0.19,0.25,0.28,0.044,0.109,SD92
19,M,156,False,42.7,1.87,4.3794,0.21,0.3,0.31,0.057,0.116,SD92
20,M,156,False,40.2,1.79,4.4527,0.21,0.28,0.35,0.053,0.119,SD92
21,M,312,False,39.9,1.69,4.2356,0.2,0.28,0.3,0.037,0.115,SD92
22,M,312,False,34.6,1.58,4.5665,0.19,0.27,0.3,0.042,0.113,SD92
23,M,312,False,37.9,1.82,4.8021,0.28,0.28,0.33,0.046,0.119,SD92
24,M,312,False,36.9,1.73,4.6883,0.23,0.3,0.32,0.044,0.105,SD92
25,M,312,False,34.3,1.71,4.9854,0.21,0.29,0.36,0.053,0.124,SD92
26,M,312,False,39.4,1.76,4.467,0.16,0.28,0.37,0.067,0.112,SD92
27,M,312,False,40.7,1.71,4.2015,0.23,0.27,0.34,0.038,0.115,SD92
28,M,312,False,32.0,1.62,5.0625,0.22,0.26,0.31,0.047,0.116,SD92
29,M,312,False,35.7,1.5,4.2017,0.17,0.25,0.2,0.044,0.11,SD92
30,M,312,False,42.6,1.85,4.3427,0.24,0.31,0.34,0.055,0.127,SD92
31,M,625,False,37.6,1.72,4.5745,0.26,0.28,0.31,0.036,0.119,SD92
32,M,625,False,44.9,2.14,4.7661,0.3,0.32,0.38,0.05,0.131,SD92
33,M,625,False,38.6,1.71,4.4301,0.21,0.26,0.33,0.036,0.123,SD92
34,M,625,False,30.6,1.23,4.0196,0.19,0.22,0.27,0.042,0.119,SD92
35,M,625,False,34.7,1.68,4.8415,0.24,0.27,0.35,0.042,0.12,SD92
36,M,625,False,40.4,1.75,4.3317,0.22,0.28,0.39,0.038,0.12,SD92
37,M,625,False,38.8,1.73,4.4588,0.21,0.26,0.29,0.042,0.123,SD92
38,M,625,False,35.7,1.82,5.098,0.19,0.3,0.28,0.037,0.113,SD92
39,M,625,False,36.0,1.59,4.4167,0.18,0.23,0.3,0.032,0.114,SD92
40,M,625,False,34.5,1.7,4.9275,0.21,0.26,0.31,0.034,0.121,SD92
41,M,1250,False,36.1,1.64,4.5429,0.21,0.25,0.32,0.057,0.114,SD92
42,M,1250,False,38.5,1.89,4.9091,0.21,0.27,0.31,0.048,0.115,SD92
43,M,1250,False,35.8,1.82,5.0838,0.22,0.26,0.36,0.048,0.109,SD92
44,M,1250,False,34.3,1.46,4.2566,0.18,0.23,0.2,0.06,0.11,SD92
45,M,1250,False,41.1,1.86,4.5255,0.23,0.3,0.32,0.042,0.13,SD92
46,M,1250,False,38.6,1.89,4.8964,0.26,0.28,0.38,0.05,0.116,SD92
47,M,1250,False,33.4,1.41,4.2216,0.2,0.24,0.31,0.036,0.116,SD92
48,M,1250,False,32.2,1.53,4.7516,0.23,0.26,0.31,0.043,0.115,SD92
49,M,1250,False,31.5,1.61,5.1111,0.2,0.25,0.33,0.042,0.119,SD92
50,M,1250,False,39.1,1.82,4.6547,0.22,0.25,0.36,0.041,0.125,SD92
51,M,2500,False,37.5,1.81,4.8267,0.21,0.25,0.32,0.051,0.118,SD92
52,M,2500,False,36.6,1.87,5.1093,0.2,0.27,0.31,0.046,0.122,SD92
53,M,2500,False,34.3,1.77,5.1603,0.21,0.27,0.31,0.047,0.124,SD92
54,M,2500,False,36.9,2.04,5.5285,0.24,0.28,0.35,0.034,0.13,SD92
55,M,2500,False,38.5,1.96,5.0909,0.26,0.28,0.39,0.044,0.114,SD92
56,M,2500,False,33.6,1.5,4.4643,0.21,0.23,0.27,0.039,0.116,SD92
57,M,2500,False,33.0,1.72,5.2121,0.21,0.25,0.31,0.042,0.12,SD92
58,M,2500,False,37.7,1.8,4.7745,0.17,0.26,0.28,0.045,0.112,SD92
59,M,2500,False,35.0,2.0,5.7143,0.26,0.27,0.36,0.039,0.113,SD92
60,M,2500,False,30.6,1.51,4.9346,0.19,0.24,0.32,0.037,0.112,SD92
