Name,Opening Hours,Building Name,Building Number,Street,Postcode,Telephone,E-Mail,Website,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded,Socrata ID,Organisation URI,Lower Layer Super Output Area (LSOA),Ward
Kentish Town Road Community Toilet Scheme Pedros Cafe,,,165,Kentish Town Road,NW1 8PD,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/cts,E05000139,Kentish Town,528933,184628,-0.142015,51.54582,"(51.54582, -0.142015)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,27,http://opendatacommunities.org/id/london-borough-council/camden,86,12
West Hampstead Underground Station,,West Hampstead Underground Station,,West End Lane,NW6 2LS,0343 222 1234,,http://content.tfl.gov.uk/toilets-map.pdf,E05000145,West Hampstead,525552,184649,-0.19073,51.546771,"(51.546771, -0.19073)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,47,http://opendatacommunities.org/id/london-borough-council/camden,132,18
East Heath Road Public Conveniences,"Daily 8am-3.30pm (winter), 8am-one hour before dusk (summer).",Public Conveniences,,East Heath Road,,020 7332 3322/3977,,http://www.cityoflondon.gov.uk/openspaces,E05000135,Hampstead Town,526691,186620,-0.173598,51.564237,"(51.564237, -0.173598)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,17,http://opendatacommunities.org/id/london-borough-council/camden,52,8
St Giles High St Pop-up Urinal,Generally available 2100-0330 on a Friday and Saturday Night,Public Convenience,Near 1,St Giles High Street,WC2H 8AG,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000138,Holborn and Covent Garden,530057,181289,-0.127043,51.515555,"(51.515555, -0.127043)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,39,http://opendatacommunities.org/id/london-borough-council/camden,78,11
St Pancras International Station Public Conveniences,Mon-Sun 4.30am-00.30am.,St Pancras International Station,,Pancras Road,NW1 2QL,020 7843 4250,,http://www.stpancras.com,E05000143,St Pancras and Somers Town,530075,183056,-0.126121,51.53143,"(51.53143, -0.126121)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,40,http://opendatacommunities.org/id/london-borough-council/camden,112,16
Community Toilet Scheme Burgh House & Hampstead Museum,,Burgh House,,New End Square,NW3 1LT,020 7974 4444 (Contact Camden call centre),,http://www.burghhouse.org.uk,E05000135,Hampstead Town,526607,185944,-0.175061,51.558178,"(51.558178, -0.175061)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,8,http://opendatacommunities.org/id/london-borough-council/camden,54,8
Community Toilet Scheme Kiln Theatre,,,269,Kilburn High Road,NW6 7JR,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/cts,,,524916,184251,-0.200033,51.543343,"(51.543343, -0.200033)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,11,http://opendatacommunities.org/id/london-borough-council/camden,,
Camden Town Male Public Conveniences,"Toilets below gound via stairs.1st Nov–31st May 9am-6pm. 1st Jun–31st Oct  9am-8pm, 7 days.",Public Convenience,,Camden High Street,NW1 0NS,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000130,Camden Town with Primrose Hill,528920,183854,-0.142486,51.538867,"(51.538867, -0.142486)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,3,http://opendatacommunities.org/id/london-borough-council/camden,22,3
Community Toilet Scheme Bloomsbury Central Baptist Church,,,235,Shaftesbury Avenue,WC2H 8EP,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/cts,E05000138,Holborn and Covent Garden,530079,181386,-0.126691,51.51643,"(51.51643, -0.126691)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,7,http://opendatacommunities.org/id/london-borough-council/camden,78,11
Pond Square Public Conveniences,"1st Nov–31st May 9am-6pm. 1st Jun–31st Oct  9am-8pm, 7 days.",Public Convenience,,South Grove,,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000137,Highgate,528389,187368,-0.148856,51.570576,"(51.570576, -0.148856)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,34,http://opendatacommunities.org/id/london-borough-council/camden,72,10
Kentish Town Library,"Mon-Thu 10am-7pm, Fri 10am-5pm, Sat 11am-5pm, Sun closed.",Kentish Town Library,262-266,Kentish Town Road,NW5 2AA,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/kentishtownlibrary,E05000139,Kentish Town,529029,185095,-0.140445,51.550003,"(51.550003, -0.140445)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,26,http://opendatacommunities.org/id/london-borough-council/camden,80,12
High Holborn Public Conveniences,24 hours.,Public Convenience,,High Holborn,,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000138,Holborn and Covent Garden,530627,181532,-0.118732,51.517616,"(51.517616, -0.118732)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,21,http://opendatacommunities.org/id/london-borough-council/camden,73,11
West Hampstead Library,"Mon 11am-7pm, Tue-Thu 11am-6pm, Fri-Sat 11am-5pm, Sun closed.",West Hampstead Library,,Dennington Park Road,NW6 1AU,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/westhampsteadlibrary,E05000145,West Hampstead,525481,185042,-0.191623,51.550317,"(51.550317, -0.191623)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,45,http://opendatacommunities.org/id/london-borough-council/camden,128,18
Euston Station Public Conveniences,"Mon-Thu 4.30am-1.35am, Fri-Sat 4.30am-2am, Sun 5.15am-1.35am.",Euston Railway Station,,Eversholt Street,NW1 2HS,020 7922 6482 (Customer Reception),,http://www.networkrail.co.uk/aspx/819.aspx,E05000142,Regent's Park,529587,182736,-0.13327,51.528667,"(51.528667, -0.13327)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,18,http://opendatacommunities.org/id/london-borough-council/camden,104,15
Swiss Cottage Central Library,"Mon-Thu 10am-8pm, Fri-Sat 10am-5pm, Sun 11am-4pm.",Swiss Cottage Library,88,Avenue Road,NW3 3HA,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/swisscottagelibrary,E05000144,Swiss Cottage,526780,184180,-0.173208,51.54229,"(51.54229, -0.173208)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,41,http://opendatacommunities.org/id/london-borough-council/camden,122,17
Community Toilet Scheme McDonald's,,,127-129,Kilburn High Road,NW6 6JJ,020 7974 4444 (Contact Camden call centre),,http://www.mcdonalds.co.uk/ukhome/Restaurants/restaurant_locator.html,,,525232,183841,-0.195625,51.539588,"(51.539588, -0.195625)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,12,http://opendatacommunities.org/id/london-borough-council/camden,,
Community Toilet Scheme JW3 Community Centre,,Jewish Community Centre,341-351,Finchley Road,NW3 6ET,020 7974 4444 (Contact Camden call centre),,https://www.jw3.org.uk/,E05000145,West Hampstead,525979,185126,-0.184399,51.55097,"(51.55097, -0.184399)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,10,http://opendatacommunities.org/id/london-borough-council/camden,128,18
South End Green Public Conveniences,"1st Nov–31st May 9am-6pm. 1st Jun–31st Oct 9am-8pm, 7 days.",Public Conveniences,,South End Green,,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000134,Gospel Oak,527311,185536,-0.165065,51.554347,"(51.554347, -0.165065)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,38,http://opendatacommunities.org/id/london-borough-council/camden,46,7
Inverness Street Pop-up Urinal,Generally available 2100-0330 on a Friday and Saturday Night,Public Convenience,Near 213-219,Camden High Street,NW1 8QR,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000130,Camden Town with Primrose Hill,528852,183940,-0.14343,51.539661,"(51.539661, -0.14343)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,25,http://opendatacommunities.org/id/london-borough-council/camden,22,3
Community Toilet Scheme Belsize Community Library,,Belsize Branch Library,,Antrim Road,NW3 4XN,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/cts,E05000128,Belsize,527524,184823,-0.16225,51.547901,"(51.547901, -0.16225)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,6,http://opendatacommunities.org/id/london-borough-council/camden,2,1
West Hampstead Thameslink,,West Hampstead Thameslink Railway Station,,West End Lane,NW6 2LJ,0343 222 1234,,http://content.tfl.gov.uk/toilets-map.pdf,E05000145,West Hampstead,525506,184844,-0.191326,51.548535,"(51.548535, -0.191326)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,46,http://opendatacommunities.org/id/london-borough-council/camden,132,18
Millfield Lane Public Conveniences,Mon-Sun 7.30am-8.30pm.,168066,20499065,,,"020 7332 3322, 020 7332 3977",,http://www.cityoflondon.gov.uk/hampstead,E05000137,Highgate,527823,186842,-0.157195,51.565977,"(51.565977, -0.157195)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,33,http://opendatacommunities.org/id/london-borough-council/camden,71,10
Lauderdale House,From 9am - dusk,Lauderdale House,,Highgate Hill,N6 5HG,,,http://www.lauderdalehouse.org.uk,E05000137,Highgate,528773,187236,-0.143352,51.569302,"(51.569302, -0.143352)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,30,http://opendatacommunities.org/id/london-borough-council/camden,72,10
Highgate Library,"Mon closed, Tue-Thu 10am-7pm, Fri closed, Sat 10am-5pm, Sun closed.",Highgate Library,59,Chester Road,N19 5DH,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/highgatelibrary,E05000137,Highgate,528740,186620,-0.144068,51.563774,"(51.563774, -0.144068)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,22,http://opendatacommunities.org/id/london-borough-council/camden,67,10
Victoria Road Public Conveniences (Brent),,Public Convenience,,Victoria Road,NW6 6TD,020 8326 7857,,https://www.brent.gov.uk/services-for-residents/transport-and-streets/public-toilets/,,,525217,183817,-0.19585,51.539376,"(51.539376, -0.19585)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,42,http://opendatacommunities.org/id/london-borough-council/camden,,
Russell Square Public Conveniences,24 hours.,Public Convenience,,Russell Square,,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000129,Bloomsbury,530113,182073,-0.125951,51.522588,"(51.522588, -0.125951)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,37,http://opendatacommunities.org/id/london-borough-council/camden,14,2
Community Toilet Scheme McDonald's,,Camden Carers Centre,293-299,Kentish Town Road,NW5 2TJ,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/cts,E05000139,Kentish Town,528979,185016,-0.141195,51.549305,"(51.549305, -0.141195)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,13,http://opendatacommunities.org/id/london-borough-council/camden,87,12
Gospel Oak Railway Station Public Conveniences,,Gospel Oak Railway Statio,15828,Gordon House Road,NW5 1LT,0343 222 1234,,http://content.tfl.gov.uk/toilets-map.pdf,E05000137,Highgate,528266,185682,-0.151237,51.55545,"(51.55545, -0.151237)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,19,http://opendatacommunities.org/id/london-borough-council/camden,71,10
5 Pancras Square Leisure Centre & Library,"Includes a Changing Places toilet; Mon - Fri 0630 - 2200, Sat - Sun 0800 - 2000",,5,Pancras Square,N1C 4AG,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000143,St Pancras and Somers Town,530050,183321,-0.126383,51.533826,"(51.533826, -0.126383)",Local Land And Property Gazetteer,24/12/2018 09:29:51 AM,1,http://opendatacommunities.org/id/london-borough-council/camden,112,16
