denomination;categorie;avant_montant;conv_montant;remu_montant
LABORATOIRE DENSMORE;Professionnel de santé;199818;224433;16070
ABBOTT MEDICAL FRANCE SAS;Etablissement de santé;198000;0;40204
SANOFI-AVENTIS GROUPE;Professionnel de santé;197824;0;544966
UCB Pharma SA;Etablissement de santé;196838;15450;182950
galderma international;Professionnel de santé;196757;0;61250
NESTLE HOMECARE;Professionnel de santé;195654;92592;13100
LVL MEDICAL PARIS ET NORD;Professionnel de santé;194114;168768;
LFB BIOMEDICAMENTS;Académies, Fondation, sociétés savantes, organismes de conseils;191181;1881700;4971556
ISIS BAYONNE;Professionnel de santé;191121;0;
Laboratoire Innothera;Professionnel de santé;191024;88800;68400
FH ORTHOPEDICS;Académies, Fondation, sociétés savantes, organismes de conseils;190718;;
SAS LABORATOIRES VIVACY;Professionnel de santé;190374;0;
Laboratoires THEA;Académies, Fondation, sociétés savantes, organismes de conseils;190000;1000;249803
CHIESI SAS;Association professionnel de santé;188500;212560;247760
GETINGE France;Professionnel de santé;187058;143091;83576
Cook France SARL;Professionnel de santé;182369;248054;
COSMETIQUE ACTIVE FRANCE;Professionnel de santé;182101;;
DINNO SANTE;Professionnel de santé;181925;0;3398
Fresenius Medical Care France S.A.S.;Professionnel de santé;181474;6000;133906
Laboratoires ETHYPHARM;Professionnel de santé;181471;0;48700
UCB Pharma SA;Association professionnel de santé;180305;288063;337893
VIFOR FRANCE SA;Professionnel de santé;179276;28961;54714
ADDMEDICA;Association professionnel de santé;177758;0;315388
ViiV HEALTHCARE SAS;Professionnel de santé;176966;206069;78732
INTERVET;Vétérinaire;176078;;
BOEHRINGER INGELHEIM FRANCE;Association professionnel de santé;175200;318678;1447037
TERUMO FRANCE SAS;Association professionnel de santé;174556;148507;12050
SERF;Professionnel de santé;173871;33000;88320
KYOWA KIRIN;Association professionnel de santé;170800;172690;44580
LABORATOIRES ALCON;Professionnel de santé;169823;24450;216396
ROCHE DIAGNOSTICS FRANCE;Professionnel de santé;169269;41075;38400
Ascensia Diabetes Care France;Professionnel de santé;168077;97146;8300
BRISTOL-MYERS SQUIBB;Association professionnel de santé;167989;1448580;2209026
PHARMA DOM;Association professionnel de santé;162400;0;
AbbVie;Etablissement de santé;162388;809387;2873369
ABBOTT FRANCE;Association usager de santé;162156;165293;
LFB BIOMEDICAMENTS;Professionnel de santé;162052;144777;162156
CSL BEHRING SA;Association professionnel de santé;161500;0;
Carl Zeiss Meditec France;Professionnel de santé;159828;799;26200
CELGENE SAS;Association professionnel de santé;159128;163320;103120
NUTRICIA Nutrition Clinique;Professionnel de santé;156815;0;11950
H.A.C.Pharma;Professionnel de santé;156334;28710;34058
TEVA SANTE SAS;Professionnel de santé;156165;145320;179910
Bayer HealthCare SAS;Etudiant;155804;119701;1056
Zoetis France;Vétérinaire;155768;0;82160
HOYA Surgical Optics GmbH;Professionnel de santé;151613;27675;25800
PHONAK FRANCE;Professionnel de santé;150541;9200;
MEDITOR;Professionnel de santé;149329;0;
SANDOZ;Association professionnel de santé;149000;264902;193077
VASCUTEK FRANCE;Association professionnel de santé;146947;0;34720
SANTEN;Professionnel de santé;146208;121084;97125
PHARMA MAR S.A.R.L.;Professionnel de santé;143842;3000;1000
PFIZER SAS;Académies, Fondation, sociétés savantes, organismes de conseils;142484;0;524207
horus pharma;Professionnel de santé;141052;14208;70380
CELGENE SAS;Association usager de santé;140478;194350;65220
AMGEN SAS;Editeur de logiciel;140372;;
ORTHOFIX SA;Professionnel de santé;139361;95971;
ISIS ADOUR;Professionnel de santé;138478;0;
TORNIER;Professionnel de santé;138243;312337;278396
Sociétés étrangères du groupe Novartis;Professionnel de santé;138076;204936;445957
Baxter SAS;Professionnel de santé;136614;0;170850
CHUGAI PHARMA FRANCE;Professionnel de santé;136345;84049;48745
VASCUTEK FRANCE;Professionnel de santé;135213;0;62232
PRECIPHAR;Professionnel de santé;134921;59964;
MERCK SERONO;Personnes morales assurant la formation initiale ou continue des professionnels de santé;134022;298253;297761
GLOBAL D;Professionnel de santé;133936;0;205380
MEDICREA INTERNATIONAL;Professionnel de santé;132175;95491;512780
CORREVIO;Professionnel de santé;130913;137356;
Intercept Pharma France SAS;Association professionnel de santé;130840;37064;
CONGRES COLLOQUES CONVENTIONS;Professionnel de santé;129708;0;235100
HEXACATH FRANCE;Professionnel de santé;129328;0;
KARL STORZ SE & Co. KG;Personnes morales assurant la formation initiale ou continue des professionnels de santé;129139;4700;
Intercept Pharma France SAS;Professionnel de santé;128575;153366;58050
Tillotts Pharma France SAS;Professionnel de santé;126386;77668;53694
MSD France;Association usager de santé;125851;0;147530
THERADIAL SAS;Professionnel de santé;125689;0;
LES LABORATOIRES OSTEAL MEDICAL;Professionnel de santé;123166;49200;94561
bioMérieux;Association professionnel de santé;122100;23900;11050
laboratoire BAUSCH&LOMB;Professionnel de santé;122069;0;8850
ALISEO;Professionnel de santé;119506;0;
Labvoratoire CHAUVIN;Professionnel de santé;119361;7621;50200
NOBEL BIOCARE FRANCE SAS;Professionnel de santé;119044;73073;17368
NEURELEC;Professionnel de santé;119003;0;
CSL BEHRING SA;Association usager de santé;119000;0;
AMICUS THERAPEUTICS SAS;Professionnel de santé;118171;211050;107567
FRESENIUS KABI FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;117145;64128;
VIFOR FRESENIUS MEDICAL CARE RENAL PHARMA;Personnes morales assurant la formation initiale ou continue des professionnels de santé;116835;;90000
Guerbet;Association professionnel de santé;116300;224000;5763
LABORATOIRES GENEVRIER;Association professionnel de santé;116227;72939;77439
SHIRE France S.A.;Association usager de santé;115864;1444;20000
Smith & Nephew S.A.S.;Association professionnel de santé;115607;107340;2800
Covidien AG;Professionnel de santé;114861;513157;55318
OXYVIE S.A.S;Professionnel de santé;114602;;
ARAIR Assistance S.A.;Professionnel de santé;113036;0;
CARDINAL HEALTH FRANCE 506 SAS;Professionnel de santé;111911;99992;1425
LifeScan France SAS;Professionnel de santé;111716;37985;17600
FISHER & PAYKEL HEALTHCARE SAS;Association professionnel de santé;111315;0;26350
INDIVIOR France;Professionnel de santé;110308;56446;34060
ABBOTT FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;110000;0;
HEMOTECH;Académies, Fondation, sociétés savantes, organismes de conseils;109751;;
BIOTEST AG;Professionnel de santé;108934;;
NOVARTIS PHARMA SAS;Etablissement de santé;108365;787858;6966639
LEO Pharma;Etudiant;107203;121340;
Takeda France;Etudiant;107106;3226;1200
ZENTIVA FRANCE;Professionnel de santé;105057;18451;
VIRBAC FRANCE;Vétérinaire;104844;0;
AMO FRANCE SAS;Professionnel de santé;103772;28266;22190
TEOXANE FRANCE;Professionnel de santé;103437;47200;
SOS OXYGENE PARTICIPATIONS;Association professionnel de santé;103000;;
BIOM'UP;Professionnel de santé;102854;6950;2950
STALLERGENES;Académies, Fondation, sociétés savantes, organismes de conseils;100052;0;689600
CARDINAL HEALTH FRANCE 506 SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;99681;276149;
SOS OXYGENE ILE DE France EST;Professionnel de santé;99603;0;
Laboratoire AGUETTANT, Société par Actions Simplifiée;Professionnel de santé;99366;80147;115124
BSN-RADIANTE SAS;Professionnel de santé;98420;5949;
Takeda France;Académies, Fondation, sociétés savantes, organismes de conseils;98000;1391443;524426
INC RESEARCH, LLC;Etablissement de santé;97398;0;
MENARINI FRANCE;Association professionnel de santé;97000;61700;
EDWARDS LIFESCIENCES SUISSE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;96707;0;
EUROFINS OPTIMED;Professionnel de santé;96023;0;
Takeda France;Association usager de santé;96000;188000;9800
JANSSEN-CILAG;Association usager de santé;95204;85000;481390
ADDMEDICA;Professionnel de santé;94934;0;61600
SANOFI AVENTIS FRANCE;Etablissement de santé;94234;0;3493317
Bastide Le Confort Médical;Association professionnel de santé;91985;;
UCB Pharma SA;Académies, Fondation, sociétés savantes, organismes de conseils;91336;682650;812422
SPINEART SA;Professionnel de santé;90259;124323;731847
CELGENE SAS;Etablissement de santé;90208;1310998;1752744
Groupe d'Etudes pour la Chirurgie Osseuse;Professionnel de santé;89862;0;
Sinclair pharmaceuticals limited french branch;Professionnel de santé;89156;35700;12620
CRISTALENS SA;Professionnel de santé;88990;0;
Santhera (Netherlands) B.V;Professionnel de santé;88896;0;4320
ROCHE SAS;Etudiant;88831;83063;750
IPSEN PHARMA;Etudiant;88338;56336;300
AbbVie Inc. Headquarters;Professionnel de santé;87172;109773;216590
MSDAVENIR;Personnes morales assurant la formation initiale ou continue des professionnels de santé;87071;0;
COSMETIQUE ACTIVE FRANCE;Association professionnel de santé;86969;;
LIVE ! BY GL EVENTS;Professionnel de santé;86170;37481;
LCA S.A.;Professionnel de santé;86147;0;
PROTHEOS SA;Professionnel de santé;85764;0;
Laboratoires Leurquin Mediolanum;Professionnel de santé;85746;;
IMPLANET SA;Professionnel de santé;85680;0;159141
Cochlear France;Professionnel de santé;84951;0;
JANSSEN CORPORATE;Professionnel de santé;84943;0;79825
LABORATOIRE GLAXOSMITHKLINE;Etudiant;84775;81063;
NESTLE HEALTH SCIENCE FRANCE;Professionnel de santé;84717;0;
KEOCYT;Professionnel de santé;84518;0;25650
NOVO NORDISK;Association usager de santé;84221;;
DAIICHI SANKYO ONCOLOGY FRANCE;Professionnel de santé;84176;74331;4600
DMEDICA;Professionnel de santé;84137;34054;
MEDACTA FRANCE;Professionnel de santé;83720;52360;2968338
BioMarin France SAS;Professionnel de santé;83360;3580;
Eckert & Ziegler BEBIG;Professionnel de santé;82814;;
Zimmer Biomet France SAS;Association professionnel de santé;82576;0;
gn hearing sas;Professionnel de santé;82236;;
Tesaro Bio France SAS;Professionnel de santé;82072;104089;51567
STRYKER FRANCE SAS;Etudiant;81685;;
FSK;Professionnel de santé;81619;3700;2350
Octapharma France;Association usager de santé;81328;;
FH ORTHOPEDICS;Association professionnel de santé;81280;26200;
MicroVention Europe;Association professionnel de santé;81000;497520;48520
Ceva Santé Animale;Vétérinaire;80816;182262;6480
TOSHIBA MEDICAL FRANCE;Association professionnel de santé;80500;;
WERFEN;Professionnel de santé;79418;;
TELEFLEX MEDICAL SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;79017;43974;
STARKEY FRANCE;Professionnel de santé;78468;;
LVL MEDICAL OUEST;Professionnel de santé;77948;71181;
ASDIA;Professionnel de santé;77770;0;1901
MICRO-MEGA;Etablissement de santé;76945;4380;
ORTHOFIX SA;Etudiant;76872;62217;
SANOFI-AVENTIS GROUPE;Association usager de santé;76000;0;212725
EUROS SAS;Professionnel de santé;75987;42989;62000
OLYMPUS France SAS;Professionnel de santé;75746;100173;82985
MSD VACCINS;Etablissement de santé;75593;0;38326
ABBOTT MEDICAL FRANCE SAS;Etudiant;75525;0;
NANOBIOTIX S.A.;Professionnel de santé;75190;0;58500
SOCIETES DU GROUPE TEVA HORS FRANCE;Professionnel de santé;75076;;
MERIAL;Personnes morales assurant la formation initiale ou continue des professionnels de santé;74447;0;1006018
ISIS GUADELOUPE;Professionnel de santé;74369;670;
DJO France SAS;Professionnel de santé;74180;0;
MEDTRONIC France S.A.S;Etudiant;74087;7000;7000
ALLERGAN FRANCE;Etudiant;73991;0;
SOS OXYGENE ATLANTIQUE CENTRE;Professionnel de santé;73821;0;
CORIN FRANCE;Professionnel de santé;73426;42157;211918
Varian Medical Systems France Sarl;Professionnel de santé;72939;0;17580
WEINMANN SAS;Académies, Fondation, sociétés savantes, organismes de conseils;72894;;
NOVO NORDISK;Association professionnel de santé;72811;0;11775
BIOPROTEC;Professionnel de santé;72477;0;301615
Zimmer GmbH;Professionnel de santé;72371;0;457229
AMICUS THERAPEUTICS SAS;Académies, Fondation, sociétés savantes, organismes de conseils;72231;270725;421249
B.BRAUN MEDICAL SAS;Etablissement de santé;72038;0;31821
Laboratoires ARKOPHARMA;Professionnel de santé;71651;0;12000
S.O.S. OXYGENE GARONNE;Professionnel de santé;71343;0;1000
Laboratoires Expanscience;Professionnel de santé;71217;50095;5880
MARIE AMELIE LENOIR CONSULTING - VICTA CONSEIL;Professionnel de santé;71180;;
AtriCure, Inc.;Professionnel de santé;71027;0;
PFIZER SAS;Association professionnel de santé;70925;0;1960459
RESMED SAS;Professionnel de santé;70756;2500;109130
EDWARDS LIFESCIENCES CORPORATION;Association professionnel de santé;70487;;74478
LVL MEDICAL SUD OUEST;Professionnel de santé;70410;66656;
ELIVIE;Association professionnel de santé;69439;134037;144153
JANSSEN-CILAG;Etablissement de santé;69157;1972188;429077
CHUGAI PHARMA FRANCE;Etablissement de santé;68981;4629;
BRISTOL-MYERS SQUIBB COMPANY;Professionnel de santé;68586;96586;54333
MASIMO;Professionnel de santé;68533;10948;
Alnylam Pharmaceuticals International;Professionnel de santé;68164;44423;7939
Laboratoire français du Fractionnement et des Biotechnologies;Association usager de santé;67500;15000;
Incyte Biosciences France;Professionnel de santé;67402;0;67858
Philips France Commercial;Académies, Fondation, sociétés savantes, organismes de conseils;67000;228435;440409
ADS LORRAINE;Professionnel de santé;66782;45673;
bioMérieux;Professionnel de santé;66704;124432;81880
GIBAUD;Professionnel de santé;66681;0;
LVL MEDICAL GROUPE;Association professionnel de santé;66500;66500;
Laboratoire CCD;Professionnel de santé;66035;42331;14700
Zambon France;Professionnel de santé;65986;0;4876
CSL BEHRING SA;Etablissement de santé;65770;0;
PFIZER SAS;Etablissement de santé;65622;0;991858
ADDMEDICA;Association usager de santé;65620;0;
CENTRE DE FORMATION EN HOMEOPATHIE - CDFH;Professionnel de santé;65535;0;177373
R'SUD MEDICAL;Professionnel de santé;65492;82463;13200
KERI MEDICAL SA;Professionnel de santé;65396;0;
MSD France;Personnes morales assurant la formation initiale ou continue des professionnels de santé;65390;0;54500
DJO France SAS;Association professionnel de santé;65100;0;
PAUL HARTMANN SA;Professionnel de santé;64298;900;3060
CLARIANCE;Professionnel de santé;64287;450;58413
Integra LifeSciences Services (France);Personnes morales assurant la formation initiale ou continue des professionnels de santé;63988;0;
KARL STORZ SE & Co. KG;Professionnel de santé;63913;5449;
Integra LifeSciences Services (France);Professionnel de santé;63825;0;51100
THERMO FISHER DIAGNOSTICS;Professionnel de santé;63506;12921;29550
ADDMEDICA;Personnes morales assurant la formation initiale ou continue des professionnels de santé;63478;0;3497
SOS OXYGENE;Professionnel de santé;63468;0;
Essilor;Professionnel de santé;63287;;
EVOLUTIS;Professionnel de santé;62936;0;424777
ISIS NORMANDIE;Professionnel de santé;62844;89605;
FISHER & PAYKEL HEALTHCARE SAS;Etablissement de santé;62417;3640;3890
Sorin CRM SAS;Etablissement de santé;62024;71741;15106
OCP REPARTITION;Professionnel de santé;61976;;
SERF;Association professionnel de santé;61700;;
SANOFI-AVENTIS GROUPE;Etablissement de santé;61294;0;721646
MEDAC SAS;Association professionnel de santé;60900;65909;
3M France;Professionnel de santé;60829;0;51650
LVL MEDICAL SUD;Professionnel de santé;60200;50199;
CHIESI SAS;Académies, Fondation, sociétés savantes, organismes de conseils;60127;129054;959162
LABORATOIRES GENEVRIER;Académies, Fondation, sociétés savantes, organismes de conseils;60000;160451;161801
Becton Dickinson France SAS;Professionnel de santé;59659;211830;104980
SIGVARIS;Professionnel de santé;59623;27650;45325
NESTLE HOMECARE;Association professionnel de santé;59368;2000;
Bayer HealthCare SAS;Vétérinaire;58032;4262;
ARROW GENERIQUES SAS;Professionnel de santé;57719;0;12727
NOVARTIS PHARMA SAS;Association professionnel de santé;57614;1710319;1856027
BOEHRINGER INGELHEIM FRANCE;Association usager de santé;56729;3400;33370
Sociétés étrangères du groupe Novartis;Académies, Fondation, sociétés savantes, organismes de conseils;56408;136965;866576
DIAGNOSTICA STAGO;Etablissement de santé;56309;297264;
Advanced Accelerator Applications;Professionnel de santé;55945;0;19337
PHENIX CARDIOLOGIE;Professionnel de santé;55871;0;
GETINGE France;Association professionnel de santé;55852;115048;83791
ZOLL Médical France;Professionnel de santé;55784;;
ALK-Abelló;Association professionnel de santé;55733;0;121570
Weleda S.A.;Professionnel de santé;55323;0;18145
