smiles,Caco2,Lipophilicity,Solubility,PPBR,VDss,CYP1A2-Inhibitor,CYP2C19-Inhibitor,CYP2C9-Inhibitor,CYP2C9-Substrate,CYP2D6-Inhibitor,CYP2D6-Substrate,CL-Hepa,CL-Micro,Half-Life,hERG,LD50
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(C#N)ccc13,-4.437,2.814,-4.035,98.169,5.659,0.616,0.246,0.883,0.626,0.000,0.066,32.779,39.559,27.547,0.817,2.156
N#Cc1ccc2c(c1)C(=NCC(=O)N2CC3CCCCC3)c4ccccc4,-4.501,3.197,-4.453,94.728,9.392,0.747,0.233,0.645,0.480,0.001,0.057,10.635,43.516,23.953,0.950,2.042
CN(C)c1ccc2NC(=O)CN=C(c3ccccc3)c2c1,-4.886,1.737,-3.347,98.156,1.725,0.999,0.692,0.027,0.580,0.353,0.093,12.277,16.822,25.657,0.317,2.633
CN(C)c1ccc2c(c1)C(=NCC(=O)N2C)c3ccccc3,-4.888,2.188,-2.968,96.695,1.095,1.000,0.471,0.030,0.814,0.190,0.209,24.887,12.703,13.363,0.010,2.771
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)N(C)C,-4.963,2.607,-4.003,100.878,11.277,1.000,0.670,0.716,0.733,0.095,0.128,43.616,46.225,13.375,0.146,2.569
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)N(C)C,-4.769,2.705,-3.904,98.819,7.930,1.000,0.700,0.690,0.734,0.010,0.129,54.663,47.794,11.614,0.683,2.404
CN(C)c1ccc2c(c1)C(=NCC(=O)N2CC3CCCCC3)c4ccccc4,-4.979,3.093,-4.514,100.875,17.335,0.999,0.567,0.357,0.601,0.777,0.109,32.125,51.680,13.684,0.901,2.158
O=C1CN=C(c2ccccc2)c3cc(F)ccc3N1,-4.644,2.102,-3.761,88.104,1.938,0.959,0.784,0.023,0.568,0.022,0.026,0.603,20.760,52.284,0.441,2.161
CN1C(=O)CN=C(c2ccccc2)c3cc(F)ccc13,-4.586,2.600,-3.236,83.754,2.190,0.981,0.733,0.032,0.811,0.011,0.071,15.783,16.656,27.236,0.009,2.614
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(F)ccc13,-4.850,3.170,-4.428,93.414,7.310,1.000,0.846,0.801,0.734,0.006,0.046,41.634,51.956,39.204,0.159,2.413
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(F)ccc13,-4.806,3.172,-4.532,93.597,6.647,0.975,0.862,0.786,0.736,0.001,0.049,45.625,56.189,26.922,0.746,2.198
O=C1CN=C(c2ccccc2)c3cc(F)ccc3N1CC4CCCCC4,-4.810,3.153,-4.962,94.536,10.773,0.980,0.598,0.445,0.593,0.270,0.044,24.774,61.470,21.595,0.931,2.099
O=C1CN=C(c2ccccc2)c3cc(Br)ccc3N1,-4.598,2.525,-4.049,97.912,2.547,0.991,0.904,0.085,0.217,0.135,0.023,14.397,20.273,24.645,0.673,2.105
CN1C(=O)CN=C(c2ccccc2)c3cc(Br)ccc13,-4.556,2.670,-3.489,94.717,2.607,0.998,0.889,0.155,0.595,0.068,0.061,25.942,9.770,17.814,0.022,2.621
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(Br)ccc13,-4.764,2.988,-4.538,99.006,7.545,1.000,0.926,0.888,0.441,0.026,0.040,44.092,37.952,19.959,0.322,2.314
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(Br)ccc13,-4.729,3.064,-4.570,99.246,7.486,0.998,0.957,0.902,0.455,0.002,0.043,41.427,42.310,16.341,0.877,2.139
O=C1CN=C(c2ccccc2)c3cc(Br)ccc3N1CC4CCCCC4,-4.674,3.107,-5.062,99.709,11.049,0.997,0.734,0.673,0.323,0.575,0.039,29.095,51.161,15.581,0.968,2.017
O=C1CN=C(c2ccccc2)c3cc(I)ccc3N1,-4.360,2.244,-4.370,100.595,3.586,1.000,0.746,0.026,0.470,0.669,0.026,11.151,14.145,220.769,1.000,2.117
CN1C(=O)CN=C(c2ccccc2)c3cc(I)ccc13,-4.453,2.600,-3.765,98.595,4.206,1.000,0.587,0.042,0.777,0.569,0.072,23.153,5.181,132.218,0.995,2.555
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(I)ccc13,-4.756,2.999,-4.814,97.843,7.470,1.000,0.767,0.816,0.670,0.266,0.047,32.797,41.910,194.216,0.999,2.329
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(I)ccc13,-4.730,3.039,-4.816,98.285,6.944,1.000,0.790,0.811,0.674,0.026,0.050,38.198,43.525,154.002,1.000,2.133
O=C1CN=C(c2ccccc2)c3cc(I)ccc3N1CC4CCCCC4,-4.755,3.109,-5.321,98.375,11.419,1.000,0.561,0.485,0.523,0.932,0.044,15.475,53.375,103.315,1.000,2.006
NC(=O)c1ccc2NC(=O)CN=C(c3ccccc3)c2c1,-4.805,1.060,-3.353,81.727,0.372,0.138,0.062,0.020,0.201,0.004,0.006,-12.789,12.742,31.049,0.998,2.444
CN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)C(N)=O,-4.694,1.486,-3.165,81.933,0.462,0.376,0.030,0.020,0.526,0.002,0.013,-1.553,12.461,17.658,0.015,2.968
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)C(N)=O,-4.889,1.994,-3.852,87.757,5.974,0.971,0.096,0.570,0.399,0.001,0.012,2.887,34.197,18.571,0.083,2.570
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)C(N)=O,-4.757,1.829,-3.892,89.952,6.251,0.436,0.121,0.582,0.413,0.000,0.012,4.934,36.978,14.221,0.376,2.467
NC(=O)c1ccc2c(c1)C(=NCC(=O)N2CC3CCCCC3)c4ccccc4,-4.706,2.328,-4.311,87.194,13.372,0.587,0.136,0.296,0.297,0.073,0.013,-10.839,25.186,14.700,0.838,2.257
O=C1CN=C(c2ccccc2)c3cc(ccc3N1)[N+](=O)[O-],-4.882,1.648,-3.964,93.807,-1.008,0.266,0.397,0.208,0.264,0.018,0.053,-0.813,48.903,25.159,0.999,2.397
CN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)[N+](=O)[O-],-4.814,2.191,-3.679,91.229,-0.709,0.719,0.304,0.145,0.612,0.033,0.140,2.112,47.382,23.618,0.372,2.681
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)[N+](=O)[O-],-4.987,2.872,-4.721,99.436,-1.172,0.991,0.590,0.905,0.472,0.018,0.088,10.175,60.804,16.843,0.868,2.252
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)[N+](=O)[O-],-4.898,2.826,-4.609,100.412,-2.075,0.757,0.628,0.902,0.484,0.002,0.090,15.663,47.499,15.403,0.986,2.191
O=C1CN=C(c2ccccc2)c3cc(ccc3N1CC4CCCCC4)[N+](=O)[O-],-4.956,2.991,-5.140,94.393,2.913,0.813,0.476,0.678,0.356,0.420,0.078,11.991,40.716,14.621,0.996,2.008
COc1ccc(cc1)C2=NCC(=O)Nc3ccccc23,-4.853,2.130,-3.310,94.673,-0.152,0.915,0.502,0.014,0.688,0.020,0.106,11.484,24.365,23.749,0.699,2.298
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccccc23,-4.824,2.544,-2.630,92.273,0.087,0.951,0.319,0.024,0.848,0.008,0.240,23.901,25.151,13.991,0.017,3.014
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3ccccc13,-4.965,3.004,-3.952,98.737,10.698,0.999,0.605,0.708,0.794,0.006,0.145,52.278,68.118,19.983,0.241,2.710
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccccc23,-4.742,2.945,-4.132,97.985,8.958,0.958,0.642,0.681,0.797,0.001,0.145,56.225,65.389,15.291,0.812,2.537
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccccc24,-4.883,3.201,-4.611,98.439,17.481,0.972,0.536,0.282,0.681,0.234,0.121,38.580,74.151,16.461,0.948,2.369
COc1ccc(cc1)C2=NCC(=O)Nc3ccc(Cl)cc23,-4.933,2.525,-3.930,97.435,-2.168,0.965,0.785,0.071,0.710,0.131,0.132,18.356,18.184,61.663,0.838,2.270
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccc(Cl)cc23,-4.855,2.798,-3.197,98.289,-1.727,0.992,0.713,0.067,0.851,0.064,0.274,28.852,19.323,25.030,0.064,2.723
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3cc(Cl)ccc13,-5.059,3.123,-4.409,98.654,3.350,1.000,0.841,0.837,0.803,0.021,0.172,56.406,51.122,51.771,0.482,2.629
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccc(Cl)cc23,-4.952,3.116,-4.476,96.686,1.470,0.995,0.858,0.831,0.806,0.002,0.172,56.674,49.870,32.065,0.917,2.459
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccc(Cl)cc24,-5.035,3.277,-4.941,100.505,8.909,0.992,0.607,0.545,0.701,0.456,0.143,40.435,58.962,29.143,0.976,2.430
COc1ccc(cc1)C2=NCC(=O)Nc3ccc(C#N)cc23,-4.675,1.782,-3.433,89.197,0.245,0.377,0.125,0.090,0.607,0.000,0.163,7.433,22.831,30.153,0.856,2.350
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccc(C#N)cc23,-4.722,2.240,-2.925,84.339,0.174,0.553,0.053,0.109,0.817,0.000,0.304,12.525,29.808,20.295,0.106,2.890
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3cc(C#N)ccc13,-4.877,2.864,-3.954,93.818,7.626,0.984,0.156,0.865,0.744,0.000,0.198,22.435,64.015,25.925,0.543,2.541
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccc(C#N)cc23,-4.655,2.887,-4.057,94.587,8.856,0.599,0.188,0.858,0.746,0.000,0.196,32.783,59.361,21.274,0.927,2.444
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccc(C#N)cc24,-4.881,3.084,-4.443,93.004,15.410,0.727,0.182,0.599,0.620,0.003,0.164,18.864,62.771,19.573,0.978,2.457
COc1ccc(cc1)C2=NCC(=O)Nc3ccc(cc23)N(C)C,-5.173,1.904,-3.133,103.988,2.799,0.999,0.564,0.030,0.728,0.383,0.300,15.629,20.366,15.693,0.658,2.852
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccc(cc23)N(C)C,-5.121,2.268,-2.739,102.275,2.541,0.999,0.359,0.033,0.858,0.226,0.490,20.187,27.468,11.387,0.052,3.055
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3cc(ccc13)N(C)C,-5.131,2.793,-3.845,103.857,12.602,1.000,0.557,0.665,0.810,0.120,0.326,41.372,55.553,11.583,0.381,2.871
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccc(cc23)N(C)C,-4.892,2.892,-3.777,101.411,10.351,0.999,0.594,0.640,0.812,0.015,0.319,52.244,59.131,10.884,0.861,2.735
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccc(cc24)N(C)C,-5.222,3.223,-4.434,102.762,21.971,0.999,0.531,0.331,0.716,0.781,0.266,37.866,63.125,15.106,0.957,2.606
COc1ccc(cc1)C2=NCC(=O)Nc3ccc(F)cc23,-4.879,2.139,-3.637,94.134,0.753,0.947,0.743,0.027,0.728,0.037,0.122,18.495,24.627,29.259,0.780,2.383
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccc(F)cc23,-4.753,2.646,-2.920,90.604,1.098,0.974,0.598,0.035,0.859,0.020,0.260,29.430,32.255,16.197,0.053,2.868
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3cc(F)ccc13,-5.051,3.159,-4.281,95.663,9.305,0.999,0.755,0.761,0.812,0.010,0.161,53.429,66.470,24.500,0.428,2.758
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccc(F)cc23,-4.886,3.129,-4.427,93.187,9.409,0.966,0.778,0.738,0.816,0.001,0.161,52.126,64.383,18.345,0.899,2.554
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccc(F)cc24,-5.084,3.251,-4.886,96.400,14.871,0.975,0.574,0.409,0.717,0.308,0.135,37.432,69.055,19.814,0.972,2.532
COc1ccc(cc1)C2=NCC(=O)Nc3ccc(Br)cc23,-4.858,2.423,-3.849,101.508,2.350,0.987,0.873,0.085,0.406,0.178,0.106,19.291,21.713,15.602,0.894,2.273
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccc(Br)cc23,-4.792,2.733,-3.160,100.685,2.733,0.996,0.855,0.148,0.742,0.097,0.231,26.092,21.158,17.655,0.116,2.833
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3cc(Br)ccc13,-5.006,3.071,-4.315,100.777,10.725,1.000,0.904,0.871,0.607,0.039,0.144,48.283,52.494,18.464,0.636,2.655
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccc(Br)cc23,-4.863,3.107,-4.421,99.013,11.373,0.996,0.936,0.883,0.614,0.004,0.144,48.148,55.474,15.713,0.953,2.498
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccc(Br)cc24,-4.989,3.224,-4.879,101.492,16.511,0.995,0.705,0.653,0.474,0.598,0.121,42.200,59.553,18.572,0.986,2.458
COc1ccc(cc1)C2=NCC(=O)Nc3ccc(I)cc23,-4.714,2.276,-4.186,104.972,1.898,0.999,0.669,0.029,0.661,0.687,0.124,23.246,17.746,152.775,1.000,2.265
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccc(I)cc23,-4.771,2.725,-3.498,104.430,2.313,1.000,0.450,0.045,0.837,0.598,0.262,30.466,21.279,75.917,0.998,2.771
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3cc(I)ccc13,-5.012,3.052,-4.631,101.289,10.049,1.000,0.655,0.784,0.778,0.309,0.164,43.470,59.449,137.616,1.000,2.635
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccc(I)cc23,-4.936,3.030,-4.686,99.502,9.178,1.000,0.686,0.767,0.780,0.038,0.163,44.578,59.272,101.468,1.000,2.470
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccc(I)cc24,-5.059,3.267,-5.149,101.524,15.660,1.000,0.539,0.448,0.661,0.927,0.137,34.681,63.431,75.637,1.000,2.447
COc1ccc(cc1)C2=NCC(=O)Nc3ccc(cc23)C(N)=O,-5.125,1.141,-3.386,90.987,1.090,0.120,0.048,0.025,0.367,0.008,0.020,14.124,11.218,18.932,0.999,2.581
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccc(cc23)C(N)=O,-4.990,1.480,-3.024,89.740,0.949,0.375,0.026,0.023,0.685,0.004,0.053,19.851,16.139,14.718,0.028,3.135
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3cc(ccc13)C(N)=O,-5.144,2.137,-3.832,95.270,8.923,0.963,0.076,0.558,0.556,0.003,0.038,17.593,39.545,14.764,0.257,2.825
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccc(cc23)C(N)=O,-4.944,2.053,-3.859,95.653,9.325,0.432,0.095,0.568,0.564,0.000,0.040,17.774,44.328,12.079,0.774,2.732
