PG.ProteinGroups	R.Condition	R.Replicate	R.FileName	PG.Quantity	EG.Qvalue
P00035	CondA	2	run_CondA_2	1035.0	0.001
P00035	CondB	1	run_CondB_1	1035.0	0.001
P70002	CondA	2	run_CondA_2	6500.0	
P70003	CondB	1	run_CondB_1	6600.0	
P00000	CondA	3	run_CondA_3	1000.0	0.001
P00000	CondB	2	run_CondB_2	1000.0	0.001
P00001	CondA	2	run_CondA_2	1001.0	0.001
P00003	CondA	1	run_CondA_1	1003.0	0.001
P00004	CondA	2	run_CondA_2	1004.0	0.001
P00004	CondB	2	run_CondB_2	1004.0	0.001
P00006	CondA	2	run_CondA_2	1006.0	0.001
P00009	CondA	3	run_CondA_3	1009.0	0.001
P00009	CondB	2	run_CondB_2	1009.0	0.001
P00010	CondA	2	run_CondA_2	1010.0	0.001
P00011	CondA	2	run_CondA_2	1011.0	0.001
P00011	CondB	2	run_CondB_2	1011.0	0.001
P00012	CondB	1	run_CondB_1	1012.0	0.001
P00013	CondA	3	run_CondA_3	1013.0	0.001
P00013	CondB	2	run_CondB_2	1013.0	0.001
P00016	CondB	3	run_CondB_3	1016.0	0.001
P00019	CondA	2	run_CondA_2	1019.0	0.001
P00021	CondA	1	run_CondA_1	1021.0	0.001
P00021	CondB	3	run_CondB_3	1021.0	0.001
P00023	CondA	3	run_CondA_3	1023.0	0.001
P00024	CondB	1	run_CondB_1	1024.0	0.001
P00025	CondB	1	run_CondB_1	1025.0	0.001
P00026	CondB	2	run_CondB_2	1026.0	0.001
P00027	CondB	3	run_CondB_3	1027.0	0.001
P00029	CondA	2	run_CondA_2	1029.0	0.001
P00029	CondB	3	run_CondB_3	1029.0	0.001
P00030	CondA	1	run_CondA_1	1030.0	0.001
P00031	CondB	1	run_CondB_1	1031.0	0.001
P00033	CondB	2	run_CondB_2	1033.0	0.001
P00034	CondB	2	run_CondB_2	1034.0	0.001
P70001	CondB	1	run_CondB_1	7000.0	0.002
P70002	CondB	2	run_CondB_2	6500.0	
P70003	CondA	3	run_CondA_3	6600.0	
P00000	CondB	1	run_CondB_1	1000.0	0.001
P00001	CondA	1	run_CondA_1	1001.0	0.001
P00003	CondA	2	run_CondA_2	1003.0	0.001
P00004	CondA	1	run_CondA_1	1004.0	0.001
P00004	CondB	1	run_CondB_1	1004.0	0.001
P00005	CondA	3	run_CondA_3	1005.0	0.001
P00006	CondA	1	run_CondA_1	1006.0	0.001
P00007	CondB	3	run_CondB_3	1007.0	0.001
P00009	CondB	1	run_CondB_1	1009.0	0.001
P00010	CondA	1	run_CondA_1	1010.0	0.001
P00011	CondA	1	run_CondA_1	1011.0	0.001
P00011	CondB	1	run_CondB_1	1011.0	0.001
P00012	CondA	3	run_CondA_3	1012.0	0.001
P00012	CondB	2	run_CondB_2	1012.0	0.001
P00013	CondB	1	run_CondB_1	1013.0	0.001
P00019	CondA	1	run_CondA_1	1019.0	0.001
P00020	CondA	3	run_CondA_3	1020.0	0.001
P00021	CondA	2	run_CondA_2	1021.0	0.001
P00024	CondB	2	run_CondB_2	1024.0	0.001
P00025	CondB	2	run_CondB_2	1025.0	0.001
P00026	CondB	1	run_CondB_1	1026.0	0.001
P00029	CondA	1	run_CondA_1	1029.0	0.001
P00030	CondA	2	run_CondA_2	1030.0	0.001
P00031	CondB	2	run_CondB_2	1031.0	0.001
P00033	CondA	3	run_CondA_3	1033.0	0.001
P00033	CondB	1	run_CondB_1	1033.0	0.001
P00034	CondB	1	run_CondB_1	1034.0	0.001
P70001	CondA	3	run_CondA_3	7000.0	0.002
P70001	CondB	2	run_CondB_2	7000.0	0.002
P70002	CondB	1	run_CondB_1	6500.0	
P00000	CondA	1	run_CondA_1	1000.0	0.001
P00003	CondA	3	run_CondA_3	1003.0	0.001
P00005	CondA	2	run_CondA_2	1005.0	0.001
P00007	CondB	2	run_CondB_2	1007.0	0.001
P00009	CondA	1	run_CondA_1	1009.0	0.001
P00012	CondA	2	run_CondA_2	1012.0	0.001
P00012	CondB	3	run_CondB_3	1012.0	0.001
P00013	CondA	1	run_CondA_1	1013.0	0.001
P00016	CondB	1	run_CondB_1	1016.0	0.001
P00020	CondA	2	run_CondA_2	1020.0	0.001
P00021	CondA	3	run_CondA_3	1021.0	0.001
P00021	CondB	1	run_CondB_1	1021.0	0.001
P00023	CondA	1	run_CondA_1	1023.0	0.001
P00024	CondB	3	run_CondB_3	1024.0	0.001
P00025	CondB	3	run_CondB_3	1025.0	0.001
P00027	CondB	1	run_CondB_1	1027.0	0.001
P00029	CondB	1	run_CondB_1	1029.0	0.001
P00030	CondA	3	run_CondA_3	1030.0	0.001
P00031	CondB	3	run_CondB_3	1031.0	0.001
P00033	CondA	2	run_CondA_2	1033.0	0.001
P70001	CondA	2	run_CondA_2	7000.0	0.002
P70001	CondB	3	run_CondB_3	7000.0	0.002
P70003	CondA	1	run_CondA_1	6600.0	
P00002	CondA	1	run_CondA_1	1002.0	0.001
P00002	CondB	2	run_CondB_2	1002.0	0.001
P00006	CondB	2	run_CondB_2	1006.0	0.001
P00008	CondA	2	run_CondA_2	1008.0	0.001
P00008	CondB	1	run_CondB_1	1008.0	0.001
P00010	CondB	1	run_CondB_1	1010.0	0.001
P00014	CondA	2	run_CondA_2	1014.0	0.001
P00015	CondA	3	run_CondA_3	1015.0	0.001
P00015	CondB	2	run_CondB_2	1015.0	0.001
P00016	CondA	2	run_CondA_2	1016.0	0.001
P00017	CondA	3	run_CondA_3	1017.0	0.001
P00017	CondB	3	run_CondB_3	1017.0	0.001
P00018	CondB	1	run_CondB_1	1018.0	0.001
P00022	CondA	2	run_CondA_2	1022.0	0.001
P00022	CondB	3	run_CondB_3	1022.0	0.001
P00023	CondB	2	run_CondB_2	1023.0	0.001
P00024	CondA	3	run_CondA_3	1024.0	0.001
P00025	CondA	1	run_CondA_1	1025.0	0.001
P00027	CondA	1	run_CondA_1	1027.0	0.001
P00028	CondA	3	run_CondA_3	1028.0	0.001
P00028	CondB	3	run_CondB_3	1028.0	0.001
P00030	CondB	1	run_CondB_1	1030.0	0.001
P00031	CondA	1	run_CondA_1	1031.0	0.001
P00032	CondB	3	run_CondB_3	1032.0	0.001
P00034	CondA	3	run_CondA_3	1034.0	0.001
P00035	CondB	3	run_CondB_3	1035.0	0.001
P70003	CondB	3	run_CondB_3	6600.0	
