Valid	Comparison (group1/group2)	Condition Numerator	Condition Denominator	# of Ratios	Group	AVG Group Quantity Numerator	AVG Group Quantity Denominator	AVG Log2 Ratio	Absolute AVG Log2 Ratio	% Change	Ratio	Pvalue	Qvalue	ProteinGroups	Genes	UniProtIds	Organisms
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P27838	132.5500	39.7250	1.743979	1.743979	233.6690	3.336690	1.847540e-5	1.120841e-4	P27838		P27838	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P30748	55.4000	15.8000	1.835354	1.835354	250.6329	3.506329	8.316793e-4	2.293419e-3	P30748		P30748	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P31383	69.2000	144.5250	-1.062898	1.062898	-52.1190	0.478810	1.128236e-6	1.026694e-5	P31383		P31383	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P32563	101.2000	215.3750	-1.091357	1.091357	-53.0122	0.469878	3.694505e-5	1.769473e-4	P32563		P32563	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P32567	0.9250	3.9500	-2.211589	2.211589	-76.5823	0.234177	6.819080e-3	1.443108e-2	P32567		P32567	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P32589	2196.2500	4293.6250	-0.967402	0.967402	-48.8486	0.511514	1.233450e-7	1.870732e-6	P32589		P32589	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P33322	111.6250	245.0750	-1.133792	1.133792	-54.4527	0.455473	1.661172e-6	1.259722e-5	P33322		P33322	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P34162	9.1500	14.0000	-0.593835	0.593835	-34.6429	0.653571	2.294514e-2	3.864953e-2	P34162		P34162	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P35611	87.4750	85.9500	0.029986	0.029986	1.7743	1.017743	7.381606e-1	7.996740e-1	P35611		P35611	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P36114	69.3750	133.4250	-0.944038	0.944038	-48.0045	0.519955	1.330970e-6	1.101075e-5	P36114		P36114	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P37349	98.5750	34.0000	1.542713	1.542713	189.9265	2.899265	1.227966e-4	4.656038e-4	P37349		P37349	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P38120	42.0000	55.7000	-0.387851	0.387851	-24.5961	0.754039	6.685422e-2	9.812474e-2	P38120		P38120	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P38616	76.0250	174.2750	-1.193043	1.193043	-56.3764	0.436236	4.640466e-5	1.919466e-4	P38616		P38616	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P39006	5.9250	11.3750	-0.987081	0.987081	-47.9121	0.520879	2.008322e-2	3.514564e-2	P39006		P39006	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P39108	0.4500	1.9750	-2.463665	2.463665	-77.2152	0.227848	2.849860e-2	4.631022e-2	P39108		P39108	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P39199	182.6000	42.1000	2.124573	2.124573	333.7292	4.337292	1.680600e-5	1.092390e-4	P39199		P39199	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P40069	191.4500	399.1750	-1.059716	1.059716	-52.0386	0.479614	1.930441e-7	1.951890e-6	P40069		P40069	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P46959	4.6000	13.6250	-1.731273	1.731273	-66.2385	0.337615	2.125405e-2	3.649281e-2	P46959		P46959	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P46985	21.3000	51.2000	-1.273180	1.273180	-58.3984	0.416016	1.705856e-4	5.749367e-4	P46985		P46985	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P47112	20.7000	25.2250	-0.292955	0.292955	-17.9386	0.820614	5.922729e-2	8.835547e-2	P47112		P47112	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P47117	72.9000	142.2750	-0.966865	0.966865	-48.7612	0.512388	4.622714e-5	1.919466e-4	P47117		P47117	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P48363	107.4500	208.8500	-0.967760	0.967760	-48.5516	0.514484	1.789731e-3	4.401772e-3	P48363		P48363	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P49687	7.0000	12.0000	-0.801413	0.801413	-41.6667	0.583333	1.279021e-2	2.424811e-2	P49687		P49687	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	3	P53064	3.0667	8.5500	-1.490232	1.490232	-64.1326	0.358674	3.472295e-3	7.899471e-3	P53064		P53064	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P53200	20.3500	63.1500	-1.685413	1.685413	-67.7751	0.322249	4.199797e-3	9.321500e-3	P53200		P53200	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P53221	4592.7250	6409.4000	-0.478618	0.478618	-28.3439	0.716561	1.731556e-3	4.376990e-3	P53221		P53221	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P56580	96.3250	31.0750	1.669354	1.669354	209.9759	3.099759	2.303735e-3	5.516839e-3	P56580		P56580	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P60716	643.6750	204.1500	1.656385	1.656385	215.2951	3.152951	1.602223e-8	4.860076e-7	P60716		P60716	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	3	P62552	28.1000	6.1000	2.320960	2.320960	360.6557	4.606557	2.335960e-2	3.864953e-2	P62552		P62552	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P68191	311.3000	82.0500	1.922667	1.922667	279.4028	3.794028	1.890335e-7	1.951890e-6	P68191		P68191	Escherichia coli (strain K12)
False	HYE mix B / HYE mix A	HYE mix B	HYE mix A	1	P69931	7.0750	5.0000			41.5000	1.415000			P69931		P69931	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P75938	87.2250	31.7750	1.558903	1.558903	174.5083	2.745083	1.736924e-2	3.129102e-2	P75938		P75938	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	3	P76004	9.9750	2.1333	2.396673	2.396673	367.5781	4.675781	4.238861e-2	6.650627e-2	P76004		P76004	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P77718	221.0250	52.2250	2.085856	2.085856	323.2169	4.232169	3.616204e-5	1.769473e-4	P77718		P77718	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q02413	3.7000	2.1500	0.924145	0.924145	72.0930	1.720930	2.616512e-1	3.501509e-1	Q02413		Q02413	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q03653	5.5000	11.8250	-1.114424	1.114424	-53.4884	0.465116	8.138218e-4	2.293419e-3	Q03653		Q03653	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q04225	81.7250	177.3500	-1.117060	1.117060	-53.9188	0.460812	3.730565e-6	2.611395e-5	Q04225		Q04225	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q07866	147.9500	148.6500	-0.006747	0.006747	-0.4709	0.995291	8.983178e-1	9.185047e-1	Q07866		Q07866	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q08979	17.3000	38.5250	-1.169393	1.169393	-55.0941	0.449059	1.436773e-3	3.845481e-3	Q08979		Q08979	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q12754	24.5250	54.0750	-1.143304	1.143304	-54.6463	0.453537	2.496507e-5	1.419889e-4	Q12754		Q12754	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q15653	13.5500	12.8250	0.072107	0.072107	5.6530	1.056530	6.233688e-1	7.090820e-1	Q15653		Q15653	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q6P6C2	26.1500	27.2750	-0.058766	0.058766	-4.1247	0.958753	3.875186e-1	4.765431e-1	Q6P6C2		Q6P6C2	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q6RW13	72.1750	60.4750	0.252443	0.252443	19.3468	1.193468	5.869171e-2	8.835547e-2	Q6RW13		Q6RW13	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q70E73	42.9750	17.7250	1.235697	1.235697	142.4542	2.424542	8.486227e-3	1.716104e-2	Q70E73		Q70E73	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q8N6M6	1.8000	2.9250	-0.627151	0.627151	-38.4615	0.615385	3.231257e-1	4.187277e-1	Q8N6M6		Q8N6M6	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q8NEM2	47.6500	45.2000	0.066811	0.066811	5.4204	1.054204	5.326935e-1	6.295351e-1	Q8NEM2		Q8NEM2	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q92331	14.1750	30.3500	-1.101971	1.101971	-53.2949	0.467051	5.218381e-5	2.064664e-4	Q92331		Q92331	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q92597	139.7750	133.1500	0.073975	0.073975	4.9756	1.049756	3.828623e-1	4.765431e-1	Q92597		Q92597	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q92889	6.4750	6.0750	0.103728	0.103728	6.5844	1.065844	6.334378e-1	7.116401e-1	Q92889		Q92889	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q93009	114.9250	115.1000	-0.001130	0.001130	-0.1520	0.998480	9.748290e-1	9.748290e-1	Q93009		Q93009	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q99958	2.4500	1.9250	0.341003	0.341003	27.2727	1.272727	2.321563e-1	3.153168e-1	Q99958		Q99958	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q9BQD3	8.7250	7.7000	0.288260	0.288260	13.3117	1.133117	5.396015e-1	6.295351e-1	Q9BQD3		Q9BQD3	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q9H0R4	17.7750	16.2750	0.105213	0.105213	9.2166	1.092166	7.302733e-1	7.996740e-1	Q9H0R4		Q9H0R4	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q9HAU5	28.2750	29.6250	-0.078933	0.078933	-4.5570	0.954430	5.317011e-1	6.295351e-1	Q9HAU5		Q9HAU5	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q9HWK6	32246.9000	31784.7750	0.021364	0.021364	1.4539	1.014539	6.923971e-1	7.683918e-1	Q9HWK6		Q9HWK6	NA
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q9NQT4	98.5750	95.2750	0.052880	0.052880	3.4637	1.034637	6.220243e-1	7.090820e-1	Q9NQT4		Q9NQT4	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q9NU23	8.1250	11.3500	-0.487934	0.487934	-28.4141	0.715859	5.727753e-2	8.834331e-2	Q9NU23		Q9NU23	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q9P2D8	0.1750	0.5750	-1.646241	1.646241	-69.5652	0.304348	1.160402e-1	1.599948e-1	Q9P2D8		Q9P2D8	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q9ULX6	43.7750	44.1250	-0.006516	0.006516	-0.7932	0.992068	9.404840e-1	9.509339e-1	Q9ULX6		Q9ULX6	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	Q9Y6D9	37.5250	34.8500	0.109137	0.109137	7.6758	1.076758	1.119298e-1	1.591501e-1	Q9Y6D9		Q9Y6D9	Homo sapiens
