R.FileName	R.Condition	R.Replicate	PG.ProteinGroups	PG.Organisms	PG.Quantity	EG.Qvalue	PEP.StrippedSequence	EG.ModifiedPeptide	FG.Charge	FG.Id
run_CondA_2	CondA	2	P00002	Escherichia coli	1002	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_2	CondA	2	P00002	Escherichia coli	1002	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_3	CondA	3	P00002	Escherichia coli	1002	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_3	CondA	3	P00002	Escherichia coli	1002	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_1	CondB	1	P00002	Escherichia coli	1002	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_1	CondB	1	P00002	Escherichia coli	1002	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_2	CondB	2	P00002	Escherichia coli	1002	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_2	CondB	2	P00002	Escherichia coli	1002	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_3	CondB	3	P00002	Escherichia coli	1002	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_3	CondB	3	P00002	Escherichia coli	1002	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_1	CondA	1	P00003	Homo sapiens	1003	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_1	CondA	1	P00003	Homo sapiens	1003	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_2	CondA	2	P00003	Homo sapiens	1003	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_2	CondA	2	P00003	Homo sapiens	1003	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_3	CondA	3	P00003	Homo sapiens	1003	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_3	CondA	3	P00003	Homo sapiens	1003	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_1	CondB	1	P00003	Homo sapiens	1003	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_1	CondB	1	P00003	Homo sapiens	1003	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_2	CondB	2	P00003	Homo sapiens	1003	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_2	CondB	2	P00003	Homo sapiens	1003	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_3	CondB	3	P00003	Homo sapiens	1003	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_3	CondB	3	P00003	Homo sapiens	1003	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_1	CondA	1	P00004	Saccharomyces cerevisiae	1004	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_1	CondA	1	P00004	Saccharomyces cerevisiae	1004	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_2	CondA	2	P00004	Saccharomyces cerevisiae	1004	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_2	CondA	2	P00004	Saccharomyces cerevisiae	1004	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_3	CondA	3	P00004	Saccharomyces cerevisiae	1004	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_3	CondA	3	P00004	Saccharomyces cerevisiae	1004	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_1	CondB	1	P00004	Saccharomyces cerevisiae	1004	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_1	CondB	1	P00004	Saccharomyces cerevisiae	1004	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_2	CondB	2	P00004	Saccharomyces cerevisiae	1004	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_2	CondB	2	P00004	Saccharomyces cerevisiae	1004	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_3	CondB	3	P00004	Saccharomyces cerevisiae	1004	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_3	CondB	3	P00004	Saccharomyces cerevisiae	1004	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_1	CondA	1	P00005	Escherichia coli	1005	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_1	CondA	1	P00005	Escherichia coli	1005	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_2	CondA	2	P00005	Escherichia coli	1005	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_2	CondA	2	P00005	Escherichia coli	1005	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_3	CondA	3	P00005	Escherichia coli	1005	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_3	CondA	3	P00005	Escherichia coli	1005	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_1	CondB	1	P00005	Escherichia coli	1005	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_1	CondB	1	P00005	Escherichia coli	1005	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_2	CondB	2	P00005	Escherichia coli	1005	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_2	CondB	2	P00005	Escherichia coli	1005	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_3	CondB	3	P00005	Escherichia coli	1005	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_3	CondB	3	P00005	Escherichia coli	1005	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_1	CondA	1	P00006	Homo sapiens	1006	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_1	CondA	1	P00006	Homo sapiens	1006	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_2	CondA	2	P00006	Homo sapiens	1006	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_2	CondA	2	P00006	Homo sapiens	1006	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_3	CondA	3	P00006	Homo sapiens	1006	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_3	CondA	3	P00006	Homo sapiens	1006	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_1	CondB	1	P00006	Homo sapiens	1006	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_1	CondB	1	P00006	Homo sapiens	1006	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_2	CondB	2	P00006	Homo sapiens	1006	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_2	CondB	2	P00006	Homo sapiens	1006	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_3	CondB	3	P00006	Homo sapiens	1006	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_3	CondB	3	P00006	Homo sapiens	1006	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_1	CondA	1	P00007	Saccharomyces cerevisiae	1007	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_1	CondA	1	P00007	Saccharomyces cerevisiae	1007	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_2	CondA	2	P00007	Saccharomyces cerevisiae	1007	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_2	CondA	2	P00007	Saccharomyces cerevisiae	1007	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_3	CondA	3	P00007	Saccharomyces cerevisiae	1007	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_3	CondA	3	P00007	Saccharomyces cerevisiae	1007	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_1	CondB	1	P00007	Saccharomyces cerevisiae	1007	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_1	CondB	1	P00007	Saccharomyces cerevisiae	1007	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_2	CondB	2	P00007	Saccharomyces cerevisiae	1007	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_2	CondB	2	P00007	Saccharomyces cerevisiae	1007	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_3	CondB	3	P00007	Saccharomyces cerevisiae	1007	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_3	CondB	3	P00007	Saccharomyces cerevisiae	1007	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_1	CondA	1	P00008	Escherichia coli	1008	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_1	CondA	1	P00008	Escherichia coli	1008	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_2	CondA	2	P00008	Escherichia coli	1008	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_2	CondA	2	P00008	Escherichia coli	1008	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_3	CondA	3	P00008	Escherichia coli	1008	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_3	CondA	3	P00008	Escherichia coli	1008	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_1	CondB	1	P00008	Escherichia coli	1008	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_1	CondB	1	P00008	Escherichia coli	1008	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_2	CondB	2	P00008	Escherichia coli	1008	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_2	CondB	2	P00008	Escherichia coli	1008	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_3	CondB	3	P00008	Escherichia coli	1008	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_3	CondB	3	P00008	Escherichia coli	1008	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_1	CondA	1	P00009	Homo sapiens	1009	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_1	CondA	1	P00009	Homo sapiens	1009	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_2	CondA	2	P00009	Homo sapiens	1009	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_2	CondA	2	P00009	Homo sapiens	1009	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_3	CondA	3	P00009	Homo sapiens	1009	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_3	CondA	3	P00009	Homo sapiens	1009	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_1	CondB	1	P00009	Homo sapiens	1009	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_1	CondB	1	P00009	Homo sapiens	1009	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_2	CondB	2	P00009	Homo sapiens	1009	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_2	CondB	2	P00009	Homo sapiens	1009	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_3	CondB	3	P00009	Homo sapiens	1009	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_3	CondB	3	P00009	Homo sapiens	1009	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_1	CondA	1	P00010	Saccharomyces cerevisiae	1010	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_1	CondA	1	P00010	Saccharomyces cerevisiae	1010	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_2	CondA	2	P00010	Saccharomyces cerevisiae	1010	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_2	CondA	2	P00010	Saccharomyces cerevisiae	1010	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_3	CondA	3	P00010	Saccharomyces cerevisiae	1010	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_3	CondA	3	P00010	Saccharomyces cerevisiae	1010	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_1	CondB	1	P00010	Saccharomyces cerevisiae	1010	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_1	CondB	1	P00010	Saccharomyces cerevisiae	1010	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_2	CondB	2	P00010	Saccharomyces cerevisiae	1010	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_2	CondB	2	P00010	Saccharomyces cerevisiae	1010	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_3	CondB	3	P00010	Saccharomyces cerevisiae	1010	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_3	CondB	3	P00010	Saccharomyces cerevisiae	1010	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_1	CondA	1	P00011	Escherichia coli	1011	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_1	CondA	1	P00011	Escherichia coli	1011	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_2	CondA	2	P00011	Escherichia coli	1011	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_2	CondA	2	P00011	Escherichia coli	1011	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_3	CondA	3	P00011	Escherichia coli	1011	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_3	CondA	3	P00011	Escherichia coli	1011	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_1	CondB	1	P00011	Escherichia coli	1011	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_1	CondB	1	P00011	Escherichia coli	1011	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_2	CondB	2	P00011	Escherichia coli	1011	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_2	CondB	2	P00011	Escherichia coli	1011	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_3	CondB	3	P00011	Escherichia coli	1011	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_3	CondB	3	P00011	Escherichia coli	1011	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_1	CondA	1	P00012	Homo sapiens	1012	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_1	CondA	1	P00012	Homo sapiens	1012	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_2	CondA	2	P00012	Homo sapiens	1012	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_2	CondA	2	P00012	Homo sapiens	1012	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_3	CondA	3	P00012	Homo sapiens	1012	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_3	CondA	3	P00012	Homo sapiens	1012	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_1	CondB	1	P00012	Homo sapiens	1012	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_1	CondB	1	P00012	Homo sapiens	1012	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_2	CondB	2	P00012	Homo sapiens	1012	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_2	CondB	2	P00012	Homo sapiens	1012	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_3	CondB	3	P00012	Homo sapiens	1012	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_3	CondB	3	P00012	Homo sapiens	1012	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_1	CondA	1	P00013	Saccharomyces cerevisiae	1013	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_1	CondA	1	P00013	Saccharomyces cerevisiae	1013	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_2	CondA	2	P00013	Saccharomyces cerevisiae	1013	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_2	CondA	2	P00013	Saccharomyces cerevisiae	1013	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_3	CondA	3	P00013	Saccharomyces cerevisiae	1013	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_3	CondA	3	P00013	Saccharomyces cerevisiae	1013	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_1	CondB	1	P00013	Saccharomyces cerevisiae	1013	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_1	CondB	1	P00013	Saccharomyces cerevisiae	1013	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_2	CondB	2	P00013	Saccharomyces cerevisiae	1013	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_2	CondB	2	P00013	Saccharomyces cerevisiae	1013	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_3	CondB	3	P00013	Saccharomyces cerevisiae	1013	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_3	CondB	3	P00013	Saccharomyces cerevisiae	1013	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_1	CondA	1	P00014	Escherichia coli	1014	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_1	CondA	1	P00014	Escherichia coli	1014	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_2	CondA	2	P00014	Escherichia coli	1014	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_2	CondA	2	P00014	Escherichia coli	1014	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_3	CondA	3	P00014	Escherichia coli	1014	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_3	CondA	3	P00014	Escherichia coli	1014	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_1	CondB	1	P00014	Escherichia coli	1014	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_1	CondB	1	P00014	Escherichia coli	1014	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_2	CondB	2	P00014	Escherichia coli	1014	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_2	CondB	2	P00014	Escherichia coli	1014	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_3	CondB	3	P00014	Escherichia coli	1014	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_3	CondB	3	P00014	Escherichia coli	1014	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_1	CondA	1	P00015	Homo sapiens	1015	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_1	CondA	1	P00015	Homo sapiens	1015	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_2	CondA	2	P00015	Homo sapiens	1015	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_2	CondA	2	P00015	Homo sapiens	1015	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_3	CondA	3	P00015	Homo sapiens	1015	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_3	CondA	3	P00015	Homo sapiens	1015	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_1	CondB	1	P00015	Homo sapiens	1015	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_1	CondB	1	P00015	Homo sapiens	1015	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_2	CondB	2	P00015	Homo sapiens	1015	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_2	CondB	2	P00015	Homo sapiens	1015	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_3	CondB	3	P00015	Homo sapiens	1015	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_3	CondB	3	P00015	Homo sapiens	1015	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_1	CondA	1	P00016	Saccharomyces cerevisiae	1016	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_1	CondA	1	P00016	Saccharomyces cerevisiae	1016	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_2	CondA	2	P00016	Saccharomyces cerevisiae	1016	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_2	CondA	2	P00016	Saccharomyces cerevisiae	1016	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_3	CondA	3	P00016	Saccharomyces cerevisiae	1016	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_3	CondA	3	P00016	Saccharomyces cerevisiae	1016	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_1	CondB	1	P00016	Saccharomyces cerevisiae	1016	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_1	CondB	1	P00016	Saccharomyces cerevisiae	1016	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_2	CondB	2	P00016	Saccharomyces cerevisiae	1016	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_2	CondB	2	P00016	Saccharomyces cerevisiae	1016	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_3	CondB	3	P00016	Saccharomyces cerevisiae	1016	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_3	CondB	3	P00016	Saccharomyces cerevisiae	1016	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_1	CondA	1	P00017	Escherichia coli	1017	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_1	CondA	1	P00017	Escherichia coli	1017	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_2	CondA	2	P00017	Escherichia coli	1017	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_2	CondA	2	P00017	Escherichia coli	1017	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_3	CondA	3	P00017	Escherichia coli	1017	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_3	CondA	3	P00017	Escherichia coli	1017	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_1	CondB	1	P00017	Escherichia coli	1017	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_1	CondB	1	P00017	Escherichia coli	1017	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_2	CondB	2	P00017	Escherichia coli	1017	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_2	CondB	2	P00017	Escherichia coli	1017	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_3	CondB	3	P00017	Escherichia coli	1017	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_3	CondB	3	P00017	Escherichia coli	1017	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_1	CondA	1	P00018	Homo sapiens	1018	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_1	CondA	1	P00018	Homo sapiens	1018	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_2	CondA	2	P00018	Homo sapiens	1018	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_2	CondA	2	P00018	Homo sapiens	1018	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_3	CondA	3	P00018	Homo sapiens	1018	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_3	CondA	3	P00018	Homo sapiens	1018	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_1	CondB	1	P00018	Homo sapiens	1018	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_1	CondB	1	P00018	Homo sapiens	1018	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_2	CondB	2	P00018	Homo sapiens	1018	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_2	CondB	2	P00018	Homo sapiens	1018	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
