Cmpd_ID,SMILES,Affinity_Value
BACE_15,COCc1cc3cc(c1)C(=O)N[C@@H](Cc2cc(ccc2)OCCCCO3)[C@H](O)CNCc4cc(ccc4)C(C)C,0.072
BACE_16,CC(=O)COc1cc3cc(c1)C(=O)N[C@@H](Cc2cc(ccc2)OCCCCO3)[C@H](O)CNCc4cc(ccc4)C(C)C,0.034
BACE_19,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCc2cccc(CS(=O)(=O)C[C@@H](C)C(=O)N1)c2,0.26
BACE_20,CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c2cc(NCCCC)nc(c2)OC,0.77
BACE_21,CC(C)c2cc(CNC[C@@H](O)[C@@H]1C[C@H](C)CC/C=C/CCCCC(=O)N(C)[C@@H](C)C(=O)N1)ccc2,0.3
BACE_22,C[C@H](NC[C@@H](O)[C@@H]1C[C@H](C)CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N1)c2cccc(Br)c2,0.055
BACE_23,C[C@@H]1CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N[C@@H](C1)[C@H](O)CNC2(CC2)c3cc(ccn3)C(C)(C)C,0.002
BACE_24,CCOc2cc(CNC[C@@H](O)[C@@H]1C[C@H](C)CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N1)c(cc2)C(F)(F)F,0.053
BACE_25,CC(C)Cc2cc(CNC[C@@H](O)[C@@H]1C[C@H](C)CC/C=C/CCCCC(=O)N(C)[C@@H](C)C(=O)N1)cnc2,0.13
BACE_26,CC(C)Cc1cc(cnc1)C(C)(C)NC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N2,0.27
BACE_27,C[C@@H]1CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N[C@@H](C1)[C@H](O)CNC(C)(C)C2C=C(CC(C)(C)C)ON=2,0.0058
BACE_28,C[C@@H]1CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N[C@@H](C1)[C@H](O)CNC(C)(C)c2cccc(Br)c2,0.23
BACE_29,C[C@@H]1CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N[C@@H](C1)[C@H](O)CNCC2C=C(CC(C)(C)C)ON=2,0.0035
BACE_30,C[C@H](NC[C@@H](O)[C@@H]1C[C@H](C)CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N1)C2C=C(CC(C)(C)C)ON=2,0.001
BACE_31,C[C@@H]1CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N[C@@H](C1)[C@H](O)CNC(C)(C)C2=NN=C(CC(C)(C)C)S2,0.24
BACE_32,CC(C)c2cccc(CNC[C@@H](O)[C@@H]1C[C@H](C)CCCCCCCCC(=O)N(C)CC(=O)N1)c2,0.36
BACE_33,CC(C)c2cc(CNC[C@@H](O)[C@@H]1C[C@H](C)CCCCC[C@H](C)CCC(=O)N(C)[C@@H](C)C(=O)N1)ccc2,0.019
BACE_34,CC(C)c2cccc(CNC[C@@H](O)[C@@H]1C[C@H](C)CCCCCOCC(=O)N(C)[C@@H](C)C(=O)N1)c2,1
BACE_35,C[C@@H]1CCCCCCOCC(=O)N(C)[C@@H](C)C(=O)N[C@@H](C1)[C@H](O)CNCc2cncc(Br)c2,0.51
BACE_36,CC(C)Oc1ccc(cc1CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCOCC(=O)N(C)[C@@H](C)C(=O)N2)C3CC3,1.5
BACE_37,C[C@@H]1CCCCCCNC(=O)C[C@@H](C)C(=O)N[C@@H](C1)[C@H](O)CNCc2cccc(c2)C(C)(C)C,5.9
BACE_38,C[C@@H]1CCCCCCCCS(=O)(=O)C[C@@H](C)C(=O)N[C@@H](C1)[C@H](O)CNC2(CC2)c3cc(ccc3)C(C)(C)C,0.024
BACE_39,C[C@H](NC[C@@H](O)[C@@H]1C[C@H](C)CCCCCCCCS(=O)(=O)C[C@@H](C)C(=O)N1)C2C=C(CC(C)(C)C)ON=2,0.021
BACE_40,CCN3CCCCC[C@@H](C)C[C@H](NC(=O)c1cc(cc(c1)C2=NC=CO2)C3=O)[C@H](O)CNCc4cc(ccc4)C(C)C,0.0035
BACE_41,CC(C)c3cccc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCNc1cc(cc(C)n1)C(=O)N2)c3,0.029
BACE_42,CC(C)c3cccc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCN(C)c1cc(ccn1)C(=O)N2)c3,0.74
BACE_43,COc3cc1cc(NCCCCCCC[C@@H](C)C[C@H](NC1=O)[C@H](O)CNCc2cc(ccc2)C(C)C)n3,0.014
BACE_44,CC(C)c3cccc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCN(C)c1cc(cc(C)n1)C(=O)N2)c3,2.1
BACE_45,CC(C)c3cccc(CNC[C@@H](O)[C@@H]2C/C(/C)=C/CCCCCCNc1cc(cc(C)n1)C(=O)N2)c3,0.0073
BACE_46,CC(C)c3cccc(CNC[C@@H](O)[C@@H]2C[C@H](C)C/C=C/CCCCNc1cc(cc(Cl)n1)C(=O)N2)c3,0.0095
BACE_47,COCc4cc1cc(NCCCCOCC[C@@H](C)C[C@H](NC1=O)[C@H](O)CNC2(CC2)c3cc(ccc3)C(C)(C)C)n4,0.0055
BACE_48,C[C@@H]2CCOCCCCNc1cc(cc(C)n1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3,0.083
BACE_49,CC(C)c3cccc(CNC[C@@H](O)[C@@H]2/C=C(\C)/CCOCCCCNc1cc(cc(Cl)n1)C(=O)N2)c3,0.47
BACE_50,CC(C)c4cc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCN(Nc1cc(cc(C)n1)C(=O)N2)C(=O)c3ccc(F)cc3)ccc4,0.046
BACE_51,CC(C)c3cccc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCOc1cc(cc(Cl)n1)C(=O)N2)c3,0.029
BACE_52,CC(C)c1cc(ncc1)C2(CC2)NC[C@@H](O)[C@@H]4C[C@H](C)CCCCCCCOc3cc(cc(Cl)n3)C(=O)N4,0.0075
BACE_53,CC(C)c3cccc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCCc1cc(ccn1)C(=O)N2)c3,10
BACE_54,CC(C)c3cccc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCOCCCOc1cc(cc(C)n1)C(=O)N2)c3,1.7
BACE_55,CC(C)c1cc(ccc1)C(C)(C)NC[C@@H](O)[C@@H]3C[C@H](C)CCCCCCCNc2cc(ccc2)C(=O)N3,0.54
BACE_56,C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC3(COC3)c4cc(ccc4)C(C)(C)C,0.17
BACE_57,C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3,0.023
BACE_58,C[C@@H]2CCCCCCCNc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNCC3C=C(NN=3)C(C)(C)C,1.9
BACE_59,C[C@@H]2CCCCCCCNc1cc(cc(c1)C(=O)N[C@@H](C2)[C@H](O)CNC3(CC3)c4cc(ccn4)C(C)(C)C)C5=NC=CO5,0.0017
BACE_60,COCc1cc2cc(c1)C(=O)N[C@@H](C[C@H](C)CCCCCCCN2)[C@H](O)CNC3(COC3)c4cc(ccc4)C(C)(C)C,0.033
BACE_61,COCc1cc2cc(c1)C(=O)N[C@@H](C[C@H](C)CCCCCCCN2)[C@H](O)CNCc3cc(cc(c3)OC)OC,1.5
BACE_62,COCc1cc2cc(c1)C(=O)N[C@@H](C[C@H](C)CCCCCCCN2)[C@H](O)CNCc4cc3OCCCOc3cc4,3.4
BACE_63,COCc1cc2cc(c1)C(=O)N[C@@H](C[C@H](C)CCCCCCCN2)[C@H](O)CN[C@H]4CC(C)(C)Oc3ccc(cc34)C(C)C,0.001
BACE_64,CCCC3=CC(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCNc1cc(COC)cc(c1)C(=O)N2)=NO3,0.57
BACE_65,COCc1cc2cc(c1)C(=O)N[C@@H](C[C@H](C)CCCCCCCN2)[C@H](O)CNCCc3ccncc3,1.7
BACE_66,CC(C)c3cc(CNC[C@@H](O)[C@@H]2C[C@H](C)CC/C=C/CCCNc1cc(CO)cc(c1)C(=O)N2)ccc3,0.35
BACE_67,C[C@@H]2CC/C=C/CCCNc1cc(cc(CO)c1)C(=O)N[C@@H](C2)[C@H](O)CNCC3C=C(CC(C)(C)C)ON=3,0.21
BACE_68,C[C@@H]2CCCCCCCNc1cc(cc(c1)C(=O)N[C@@H](C2)[C@H](O)CNC3(CC3)c4cc(ccc4)C(C)(C)C)C(=O)N(C)C,0.0015
BACE_69,CC(C)c3cc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCN(c1cc(cc(c1)N(C)S(C)(=O)=O)C(=O)N2)S(C)(=O)=O)ccc3,1.9
BACE_70,CC(C)c1cc(ccc1)C(C)(C)NC[C@@H](O)[C@@H]3C[C@H](C)CCCCCCCNc2cccc(n2)C(=O)N3,2.9
BACE_71,CC(C)c4cc(CNC[C@@H](O)[C@@H]2C[C@@H]3CC[C@H](CCCCCNc1cc(cc(c1)C(=O)N2)C(F)(F)F)C3)ccc4,0.34
BACE_72,CCOc3cc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCOCCCCNc1cc(ccc1)C(=O)N2)c(cc3)C(F)(F)F,8.9
BACE_73,CCOc3cc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCOCCCCNc1cc(ccc1)C(=O)N2)cc(c3)C(F)(F)F,6.3
BACE_74,C[C@@H]2CCOCCCCNc1cc(ccc1Cl)C(=O)N[C@@H](C2)[C@H](O)CNCc3cc(ccn3)C(C)(C)C,0.15
BACE_75,COCc1cc2cc(c1)C(=O)N[C@@H](C[C@H](C)CCOC/C=C/CN2)[C@H](O)CNC3(CC3)c4cc(ccc4)C(C)(C)C,0.06
BACE_76,COCc1cc2cc(c1)C(=O)N[C@@H](C[C@H](C)CCOCCCCN2)[C@H](O)CNCc3cc(ccc3F)C(F)(F)F,5.6
BACE_77,COCc1cc2cc(c1)C(=O)N[C@@H](C/C(/C)=C\COCCCCN2)[C@H](O)CNC3(CC3)c4cc(ccc4)C(C)C,0.079
BACE_78,C[C@@H]2CCCCCCCOc1cc(ccc1)C(=O)N[C@@H](C2)[C@H](O)CNCc3cc(CC(C)(C)C)cnc3,0.88
BACE_79,C[C@H](NC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCOc1cc(ccc1)C(=O)N2)C3C=C(CC(C)(C)C)ON=3,0.3
BACE_80,CC(C)c4cc(CNC[C@@H](O)[C@@H]3C[C@H](C)CCCCCCCOc1cc(cc(c1)C2=NC=CO2)C(=O)N3)ccc4,0.068
BACE_81,C[C@@H]2CCCCCCCOc1cc(cc(c1)C(=O)N[C@@H](C2)[C@H](O)CNC3(CC3)c4cc(ccn4)C(C)(C)C)C5=NC=CO5,0.0085
BACE_82,CC(C)c3cc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCOc1cc(cc(c1)C(=O)N2)N(C)S(C)(=O)=O)ccc3,0.011
BACE_83,C[C@@H]2CCCCCCCOc1cc(cc(c1)C(=O)N[C@@H](C2)[C@H](O)CNC3(CC3)c4cc(ccn4)C(C)(C)C)C(=O)N(C)C,0.006
BACE_84,C[C@@H]2CCCCCCCOc1cc(ccn1)C(=O)N[C@@H](C2)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3,0.031
BACE_85,CC(C)c3cc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCCC(=O)N1CCCC[C@H]1C(=O)N2)ccc3,1.5
BACE_86,CC(C)c3cc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCC[C@@]1(O)CCC[C@H](C1)C(=O)N2)ccc3,1.7
BACE_87,C[C@H]1C(=O)N[C@@H](Cc2cc(CCCCCCC(=O)N1C)ccc2)[C@H](O)CNCc3cc(cnc3)C4CC4,1.1
BACE_88,CC(C)c4cc(CNC[C@@H](O)[C@@H]2Cc3cc(Cc1ccccc1OCC(=O)N[C@@H](C)C(=O)N2)c(O)cc3)ccc4,4.3
BACE_89,CC(C)c4cc(CNC[C@@H](O)[C@@H]2Cc1cc(ccc1)OCCCCO[C@H]3CCN(CC(=O)N2)C3=O)ccc4,0.26
BACE_90,C[C@H]2C(=O)N[C@@H](Cc1cccc(c1)OCCCCCC(=O)N2C)[C@H](O)CNC3(CC3)c4cccc(Br)c4,0.17
BACE_91,CC(C)c1cc2c(cc1)OC(C)(C)C[C@@H]2NC[C@@H](O)[C@@H]4Cc3cc(ccc3)OCCCCCC(=O)N(C)[C@@H](C)C(=O)N4,0.002
BACE_92,C[C@@H]1CC(=O)NCCCCOc3cc(C[C@H](NC1=O)[C@H](O)CNCc2cc(ccc2)C(C)(C)C)ccc3,0.069
BACE_93,C[C@@H]1CC(=O)NCCCCOc4cc(C[C@H](NC1=O)[C@H](O)CNC2(CCCCC2)c3cc(ccc3)C(C)(C)C)ccc4,0.01
BACE_94,CC(C)c3cccc(CNC[C@@H](O)[C@@H]2Cc1cccc(c1)OCCCCS(=O)(=O)C[C@@H](C)C(=O)N2)c3,0.029
BACE_95,C[C@@H]1CS(=O)(=O)CCCCOc4cccc(C[C@H](NC1=O)[C@H](O)CNC2(CC2)c3cccc(Br)c3)c4,0.068
BACE_96,CC(C)(C)CC1=CC(=NO1)C(C)(C)NC[C@@H](O)[C@@H]4Cc2cc(ccc2)OCCCCOc3cc(Cl)cc(c3)C(=O)N4,0.008
BACE_97,Cc4cc1cc(NCCCCc3cccc(C[C@H](NC1=O)[C@H](O)CNCc2cc(ccn2)C(C)(C)C)c3)n4,0.003
BACE_98,CC(C)c1ccnc(c1)C2(CC2)NC[C@@H](O)[C@@H]4Cc5cccc(CCCCNc3cc(cc(Cl)n3)C(=O)N4)c5,0.0005
BACE_99,COc1cc2cc(n1)N(C)CCCCc4cccc(C[C@H](NC2=O)[C@H](O)CNCc3cccc(c3)C(C)C)c4,0.089
BACE_100,COc2ccc3C[C@H](NC(=O)c1cc(Cl)nc(c1)NCCCCOc2c3)[C@H](O)CNCc4cc(ccc4)C(C)C,0.039
BACE_101,CC(C)c4cc(CNC[C@@H](O)[C@@H]3Cc1cc(ccc1)OCCCCN(C(C)=O)c2cc(cc(C)n2)C(=O)N3)ncc4,5.5
BACE_102,Cc5cc1cc(NC/C=C/COc4cc(C[C@H](NC1=O)[C@H](O)CNC2(CC2)c3cc(ccc3)C(C)(C)C)ccc4F)n5,0.1
BACE_103,CC(C)(C)c4ccnc(CNC[C@@H](O)[C@@H]3Cc1cccc(c1)OC/C=C/CNc2cc(cc(Cl)n2)C(=O)N3)c4,0.089
BACE_104,NC[C@@H](O)[C@@H]3Cc1cccc(c1)OC/C=C/CNc2cc(cc(Cl)n2)C(=O)N3,40
BACE_105,CC(C)c4cccc(CNC[C@@H](O)[C@@H]3Cc1cc(C)cc(c1)OCCCCNc2cc(cc(Cl)n2)C(=O)N3)c4,0.068
BACE_106,CC(C)c1cccc(c1)C(C)(C)NC[C@@H](O)[C@@H]3Cc4cccc(CCCCOc2cc(cc(C)n2)C(=O)N3)c4,0.15
BACE_107,CC(C)c1cccc(c1)C(C)(C)NC[C@@H](O)[C@@H]3Cc4cc(Cl)c(O)c(CCCCOc2cc(cc(C)n2)C(=O)N3)c4,0.047
BACE_108,Cc1cc2cc(n1)OCCCCc4cc(C[C@H](NC2=O)[C@H](O)CNC(C)(C)C3C=C(CC(C)(C)C)ON=3)cc(Cl)c4O,0.016
BACE_109,CC(C)(C)CC1=CC(=NO1)C(C)(C)NC[C@@H](O)[C@@H]4Cc2cc(ccc2)OCCCCOc3cc(cnc3)C(=O)N4,0.0045
BACE_110,Cc1cc2cc(n1)OCCCCOc4cc(C[C@H](NC2=O)[C@H](O)CNC(C)(C)C3C=C(SN=3)C(C)(C)C)ccc4,0.12
BACE_111,CC(C)c1cc2c(cc1)OC(C)(C)C[C@@H]2NC[C@@H](O)[C@@H]5Cc3cc(ccc3)OCCCCOc4cc(cc(C)n4)C(=O)N5,0.003
BACE_112,CC(C)c1cc(ccc1)C2(CC2)NC[C@@H](O)[C@@H]6Cc3cc(ccc3)OCc4ccccc4COc5cc(cc(C)n5)C(=O)N6,1.4
BACE_113,CC(C)c4cccc(CNC[C@@H](O)[C@@H]2Cc3cccc(CCCCCc1cc(cc(C)n1)C(=O)N2)c3)c4,1.6
BACE_114,CC(C)c1cc(ccc1)C(C)(C)NC[C@@H](O)[C@@H]4Cc2cc(ccc2)OCCCCNc3cc(cnc3)C(=O)N4,0.057
BACE_115,CC(C)c1cccc(c1)C(C)(C)NC[C@@H](O)[C@@H]3Cc4cccc(CCCCNc2cccc(c2)C(=O)N3)c4,0.29
BACE_116,CC(C)c1cccc(c1)C(C)(C)NC[C@@H](O)[C@@H]3Cc4cc(F)c(N)c(CCCCNc2cccc(c2)C(=O)N3)c4,0.12
BACE_117,COCc1cc3cc(c1)C(=O)N[C@@H](Cc2cc(ccc2)OCCCCN3)[C@H](O)CNC(C)(C)C4C=C(CC(C)(C)C)ON=4,0.0065
BACE_118,CC(C)c4cccc(CNC[C@@H](O)[C@@H]2Cc3cccc(CCCCN(C)c1cccc(c1)C(=O)N2)c3)c4,1
BACE_119,CC(C)(C)c1cc(ncc1)C2(CC2)NC[C@@H](O)[C@@H]5Cc6cc(CCCCNc3cc(cc(c3)C4=NC=CO4)C(=O)N5)ccc6,0.0015
BACE_120,CC(C)(NC[C@@H](O)[C@@H]2Cc3cccc(CCCCNc1cncc(c1)C(=O)N2)c3)c4cccc(Br)c4,0.59
BACE_121,CC(C)(NC[C@@H](O)[C@@H]3Cc4cc(CCCCNc2cc(c[n+](Cc1ccccc1)c2)C(=O)N3)ccc4)c5cc(Br)ccc5,3.6
BACE_122,CC(C)c1cc(ccc1)C(C)(C)NC[C@@H](O)[C@@H]4Cc2cc(ccc2)OCCCCNc3cccc(n3)C(=O)N4,2.3
BACE_123,CC(C)Cc1cc(cnc1)C(C)(C)NC[C@@H](O)[C@@H]4Cc2cc(ccc2)OCCCCNc3cc(ccc3)C(=O)N4,0.26
BACE_124,COCc1cc3cc(c1)C(=O)N[C@@H](Cc2cc(ccc2)OCCCCN3)[C@H](O)CNC(C)(C)c4cc(ccn4)C(C)(C)C,0.025
BACE_125,C[C@H](NC[C@@H](O)[C@@H]3Cc1cc(ccc1)OCCCCOc2cc(cnc2)C(=O)N3)C4C=C(CC(C)(C)C)ON=4,0.006
BACE_126,COCc1cc3cc(c1)C(=O)N[C@@H](Cc2cccc(c2)OCCCCN3)[C@H](O)CN,13
BACE_127,COCc1cc3cc(c1)C(=O)N[C@@H](Cc2cc(ccc2)OCCCCN3)[C@H](O)CNCC4C=NN(CC(C)C)C=4,0.1
BACE_128,COCc1cc3cc(c1)C(=O)N[C@@H](Cc2cc(ccc2)OCCCCN3)[C@H](O)CN[C@H]5CC(C)(C)Oc4ccc(cc45)C(C)C,0.0025
BACE_129,COCc1cc3cc(c1)C(=O)N[C@@H](Cc2cc(ccc2)OCCCCN3)[C@H](O)CNCC4C=C(CC(C)(C)C)ON=4,0.014
BACE_130,COc2ccc3C[C@H](NC(=O)c1cc(CO)cc(c1)NCCCCOc2c3)[C@H](O)CNCc4cc(ccc4)C(C)C,0.96
BACE_131,CN(C)C(=O)c1cc2cc(c1)C(=O)N[C@@H](Cc3cc(OC/C=C/CN2)c(F)cc3)[C@H](O)CNC4(CC4)c5cc(ccc5)C(C)(C)C,0.041
BACE_132,CC(C)c5cc(CNC[C@@H](O)[C@@H]3Cc4cc(CCCCOc1cc(cc(c1)C2=NC=CO2)C(=O)N3)ccc4)ccc5,0.25
BACE_133,CC(=O)COc1cc2cc(c1)C(=O)N[C@@H](Cc3cc(CCCCO2)ccc3)[C@H](O)CNC4(CC4)c5cc(ccn5)C(C)(C)C,0.002
BACE_134,COC(=O)c1cc2cc(c1)C(=O)N[C@@H](Cc3cc(CCCCO2)ccc3)[C@H](O)CNCc4cc(ccc4)C(C)C,0.18
BACE_135,CC(=O)COc1cc2cc(c1)C(=O)N[C@@H](Cc3cc(CCCCO2)ccc3)[C@H](O)CNCc4cc(ccn4)C(C)(C)C,0.01
BACE_136,CC(C)c5cc(CNC[C@@H](O)[C@@H]3Cc4cc(CCCCOc1cc(cc(c1)N2CCCC2=O)C(=O)N3)ccc4)ncc5,0.027
BACE_137,CC(C)c4cccc(CNC[C@@H](O)[C@@H]2Cc3cccc(CCCCOc1cncc(c1)C(=O)N2)c3)c4,0.48
BACE_138,CC(C)(NC[C@@H](O)[C@@H]3Cc1cccc(c1)OCCCCOc2cncc(c2)C(=O)N3)c4cccc(Br)c4,0.29
BACE_139,CC(C)c4ccnc(CNC[C@@H](O)[C@@H]3Cc1cccc(c1)OCCCCOc2cccc(c2)C(=O)N3C)c4,37
BACE_140,COCc1cc3cc(c1)C(=O)N[C@@H](Cc2cc(ccc2)OCCCO3)[C@H](O)CNC4(CC4)c5cc(ccc5)C(C)C,0.078
BACE_141,CCc4cc(CNC[C@@H](O)[C@@H]3Cc1cc(ccc1)OCCCCOc2cc(cc(c2)C(=O)N3)C(=O)N(C)C)ncn4,1.7
BACE_142,COc1cc2cc(c1)C3=N[C@@H](C[C@H](C)CCCCCCCN2)[C@H](CO)O3,4.5
BACE_143,C[C@@H]1CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N[C@@H](C1)[C@H](O)CO,61
BACE_144,COCc1cc5cc(c1)C(=O)O[C@@H](CNC2(CC2)c3cc(ccc3)C(C)C)[C@@H](N)Cc4cc(ccc4)OCCCCN5,6.4
BACE_145,CCCNc1cc(COC)cc(c1)C(=O)N[C@@H](Cc2cc(ccc2)OC)[C@H](O)CNC3(CC3)c4cc(ccc4)C(C)C,1.2
BACE_146,CCCNc1cc(COC)cc(c1)C(=O)N[C@@H](Cc2cc(ccc2)OC)[C@H](O)CNCc3cc(ccc3)C(C)C,3.1
BACE_147,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCC[C@H](C)CCC(=O)N[C@@H](C)C(=O)N1,0.92
BACE_148,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCCC[C@H](C)CCC(=O)N(C)[C@@H](C)C(=O)N1,0.041
BACE_149,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCCCCC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,0.003
BACE_150,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]2C[C@H](C)CCCCCCC[C@H](NC(=O)c1ccncc1)C(=O)N[C@@H](C)C(=O)N2,0.0005
BACE_151,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCCCCCCS(=O)(=O)C[C@@H](C)C(=O)N1,0.56
BACE_152,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]2C[C@H](C)CCCCCCNc1cc(cc(n1)OC)C(=O)N2,0.46
BACE_153,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]2Cc1cc(ccc1)OCCCCCC(=O)N[C@@H](C)C(=O)N2,0.69
BACE_154,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]2Cc3cc(CCCCCNc1cc(cc(n1)OC)C(=O)N2)ccc3,0.13
BACE_155,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]2Cc3cccc(CCCCNc1cc(cc(C)n1)C(=O)N2)c3,0.24
BACE_156,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]2Cc1cccc(c1)OCCCCS(=O)(=O)C[C@@H](C)C(=O)N2,0.11
BACE_157,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]2Cc3cc(Cc1ccccc1OCC(=O)N[C@@H](C)C(=O)N2)c(O)cc3,0.12
BACE_158,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]2Cc3ccc(O)c(Cc1ccccc1OCCCCC(=O)N2)c3,4
