x1,x2,y,predicted,faults
-5.93493,6.63442,-1,-1,1
-9.09177,0.654622,-1,-1,1
2.10791,9.50194,1,1,1
2.72683,-6.2981,-1,-1,1
-9.99084,8.47346,-1,-1,1
-4.6147,-6.75527,-1,-1,1
3.66619,8.0694,1,1,1
-2.65664,-3.01309,-1,-1,1
-4.48775,-2.3661,-1,-1,1
9.13816,0.787683,1,1,1
-3.33354,4.15693,-1,-1,1
0.453811,1.21555,-1,-1,1
5.19822,1.57567,-1,-1,1
6.97379,-3.22611,-1,-1,1
-9.36094,-0.323802,-1,-1,1
-8.39778,3.47392,-1,-1,1
6.02832,-9.42442,-1,-1,1
1.22532,-4.22834,-1,-1,1
-1.04953,4.72823,-1,-1,1
9.60753,2.06702,1,1,1
-5.19944,-6.09424,-1,-1,1
-8.26044,7.39799,-1,-1,1
1.3242,8.16584,1,1,1
7.49321,7.31559,1,1,1
5.85131,-0.0491351,-1,-1,1
5.28794,-1.54027,-1,-1,1
-1.8778,3.67718,-1,-1,1
-7.84906,5.82385,-1,-1,1
4.56832,-4.10077,-1,-1,1
-2.49123,-3.61309,-1,-1,1
-2.99173,-8.00958,-1,-1,1
6.85293,-3.64727,-1,-1,1
-7.64214,-7.37236,-1,-1,1
0.52034,-2.92459,-1,-1,1
2.61635,9.84497,1,1,1
4.73861,5.41734,1,1,1
-1.31993,-9.59349,-1,-1,1
9.317,-9.73144,-1,-1,1
9.85351,6.33656,1,1,1
-8.59493,0.734581,-1,-1,1
5.77258,-8.94772,-1,-1,1
-9.91638,5.60778,-1,-1,1
-8.53755,-2.72011,-1,-1,1
4.72762,-9.34629,-1,-1,1
1.70263,-7.85333,-1,-1,1
3.54839,-7.5341,-1,-1,1
0.467849,-1.80273,-1,-1,1
-9.97742,7.6812,-1,-1,1
7.36259,8.95382,1,1,1
6.4977,-3.29936,-1,-1,1
-1.87963,6.56728,-1,-1,1
-1.30161,4.23444,-1,-1,1
-6.96524,-0.342723,-1,-1,1
4.57991,7.44133,1,1,1
7.99005,-6.04541,-1,-1,1
8.49666,-1.24851,-1,-1,1
-9.85107,-0.456862,-1,-1,1
-0.470901,-2.95633,-1,-1,1
6.80166,-1.34617,-1,-1,1
-6.53188,0.268868,-1,-1,1
-6.13269,-0.248726,-1,-1,1
3.91888,7.3339,1,1,1
-7.33696,-0.544755,-1,-1,1
1.79846,9.60936,1,1,1
2.10669,-3.77728,-1,-1,1
6.5862,5.26231,1,1,1
1.29978,1.17954,-1,-1,1
9.60631,5.28977,1,1,1
6.63442,4.46944,1,1,1
1.84423,1.10202,-1,-1,1
-9.08506,-7.41142,-1,-1,1
8.84884,-7.71355,-1,-1,1
1.86438,5.78478,1,-1,-1
5.60533,-7.6928,-1,-1,1
6.32069,7.30522,1,1,1
-2.55104,1.7716,-1,-1,1
6.96341,0.530717,-1,-1,1
-8.45271,6.16382,-1,-1,1
2.93619,8.36665,1,1,1
9.78088,-0.0473034,1,1,1
6.91275,-5.8855,-1,-1,1
-9.55687,4.34919,-1,-1,1
1.30894,7.03787,1,-1,-1
-4.38154,-5.85742,-1,-1,1
8.13227,-8.7109,-1,-1,1
5.77502,2.537,-1,-1,1
-7.24418,-3.49956,-1,-1,1
5.70666,-5.82446,-1,-1,1
-5.69506,4.39741,-1,-1,1
8.76888,8.16401,1,1,1
6.7748,-8.93857,-1,-1,1
-7.96564,-2.69631,-1,-1,1
-1.97913,-8.81527,-1,-1,1
5.96484,9.4818,1,1,1
0.823694,-8.51985,-1,-1,1
0.983611,-5.30869,-1,-1,1
-6.1388,7.81549,-1,-1,1
2.45155,-0.972015,-1,-1,1
3.12418,7.06595,1,1,1
7.43278,7.64214,1,1,1
8.56441,-7.304,-1,-1,1
-6.1095,4.63668,-1,-1,1
9.08444,-4.8497,-1,-1,1
7.97967,-8.33247,-1,-1,1
-6.13025,6.75771,-1,-1,1
-9.5465,-8.89401,-1,-1,1
1.98706,8.57173,1,1,1
1.37852,-3.45378,-1,-1,1
-2.2953,5.79638,-1,-1,1
5.80065,5.66454,1,1,1
-1.442,-8.21039,-1,-1,1
-5.66332,0.46968,-1,-1,1
-0.707724,-9.48241,-1,-1,1
-5.7799,-9.65758,-1,-1,1
-9.95727,-3.73943,-1,-1,1
0.78341,6.42506,-1,-1,1
3.84808,9.90173,1,1,1
9.06003,-5.61022,-1,-1,1
-0.583209,-4.30952,-1,-1,1
-7.25944,-1.07456,-1,-1,1
2.46376,3.50139,-1,-1,1
5.56993,9.8529,1,1,1
5.35203,-8.19697,-1,-1,1
-9.07834,9.21873,-1,-1,1
-7.18741,-1.67028,-1,-1,1
1.28819,3.44096,-1,-1,1
-6.43422,-8.76583,-1,-1,1
-6.81753,7.09403,-1,-1,1
6.30055,5.92517,1,1,1
-2.91421,7.81182,-1,-1,1
6.18152,4.18806,1,1,1
8.94589,7.41874,1,1,1
-2.71401,-4.75082,1,-1,-1
-7.99677,5.38926,-1,-1,1
9.71679,5.47166,1,1,1
-2.2721,9.52696,1,-1,-1
-0.000915527,7.02261,-1,-1,1
-4.99557,7.84844,-1,-1,1
-7.66594,8.5461,-1,-1,1
-0.102237,-2.41981,-1,-1,1
8.7756,5.13413,1,1,1
6.76138,4.39131,1,1,1
-9.03012,-6.80166,-1,-1,1
-2.22083,0.0369275,-1,-1,1
7.24113,-9.25413,-1,-1,1
-5.38987,1.93213,-1,-1,1
-1.02329,-2.51625,-1,-1,1
-4.76791,-3.6607,-1,-1,1
2.06214,-5.28367,-1,-1,1
-6.20533,-9.67223,-1,-1,1
-5.1091,-5.46251,-1,-1,1
-6.15772,8.96298,-1,-1,1
6.89627,-6.02954,-1,-1,1
-1.87841,-4.23383,-1,-1,1
2.96793,4.90829,1,-1,-1
-6.17359,8.92941,-1,-1,1
-7.84478,7.44072,-1,-1,1
-6.84439,-4.55306,-1,-1,1
6.08936,5.01266,1,1,1
-2.20435,-7.06656,-1,-1,1
6.22547,-2.8019,-1,-1,1
-4.91684,-3.32316,-1,-1,1
1.68615,2.35511,-1,-1,1
5.4973,0.192572,-1,-1,1
3.74371,-9.58678,-1,-1,1
8.35688,-6.49892,-1,-1,1
1.29368,-1.8717,-1,-1,1
-2.34962,7.13859,-1,-1,1
6.58315,7.75628,1,1,1
5.25987,4.00433,1,1,1
4.35896,7.81915,1,1,1
-2.98257,8.10175,-1,-1,1
-6.8511,-6.13758,-1,-1,1
0.509354,1.39195,-1,-1,1
6.93594,0.450149,-1,-1,1
4.81918,0.0851464,-1,-1,1
1.62267,-4.49385,-1,-1,1
4.02081,1.99438,-1,-1,1
-4.11176,7.07938,-1,-1,1
0.630817,-0.229194,-1,-1,1
2.77993,3.08329,-1,-1,1
4.96567,3.30607,-1,-1,1
9.223,-0.821253,-1,-1,1
3.88104,-9.12656,-1,-1,1
7.99738,1.04465,1,-1,-1
-9.76379,-4.81246,-1,-1,1
-6.81814,7.52861,-1,-1,1
5.06943,9.97436,1,1,1
8.08466,2.89712,1,1,1
-9.541,-2.63955,-1,-1,1
-3.28104,2.23243,-1,-1,1
4.84725,8.95505,1,1,1
8.56197,-3.596,-1,-1,1
-3.33537,6.31153,-1,-1,1
-6.01978,4.5024,-1,-1,1
9.06552,2.15857,1,1,1
-2.99661,-5.39903,-1,-1,1
0.747398,4.74044,-1,-1,1
-4.57808,-9.18027,-1,-1,1
-2.07251,-3.59844,-1,-1,1
8.081,-1.73925,-1,-1,1
2.84463,-3.33171,-1,-1,1
-1.81677,0.10651,-1,-1,1
-2.62978,-8.03827,-1,-1,1
1.92358,5.42406,-1,-1,1
-1.25217,1.33946,-1,-1,1
-3.65764,4.52498,-1,-1,1
-9.20652,-7.32963,-1,-1,1
1.42735,-6.36769,-1,-1,1
-9.51598,9.03012,-1,-1,1
1.68065,-5.45702,-1,-1,1
-0.730918,-6.77236,-1,-1,1
4.13068,-9.52452,-1,-1,1
-6.81814,-8.09687,-1,-1,1
-4.41938,-1.12217,-1,-1,1
8.34834,1.87048,1,1,1
-5.71276,-1.91382,-1,-1,1
1.3535,-6.97562,-1,-1,1
2.67922,9.94324,1,1,1
9.59716,6.51967,1,1,1
-9.23948,7.20511,-1,-1,1
7.716,6.66677,1,1,1
6.90603,-4.5616,-1,-1,1
-5.0145,2.52541,-1,-1,1
-3.6375,6.43971,-1,-1,1
-2.32582,-6.97073,-1,-1,1
0.528886,6.68935,-1,-1,1
-7.74834,-9.86084,-1,-1,1
4.25886,2.3484,-1,-1,1
-7.40165,0.496536,-1,-1,1
6.83279,4.37239,1,1,1
-0.635701,-0.158391,-1,-1,1
7.07572,-4.0379,-1,-1,1
5.01022,-1.43956,-1,-1,1
7.05496,-7.7514,-1,-1,1
6.21509,-6.36036,-1,-1,1
4.32356,-8.61507,-1,-1,1
-1.19358,-5.46861,-1,-1,1
-7.79717,-0.47029,-1,-1,1
1.66479,0.473952,-1,-1,1
-6.23157,2.08228,-1,-1,1
-2.34291,-2.83547,-1,-1,1
-9.6173,2.49916,-1,-1,1
-5.9386,-6.1565,-1,-1,1
2.36915,-9.50804,-1,-1,1
-5.32029,0.323191,-1,-1,1
-9.74181,6.02161,-1,-1,1
3.36222,9.79064,1,1,1
2.41249,6.5862,1,1,1
6.53615,9.80834,1,1,1
-8.73226,-4.44502,-1,-1,1
-7.02017,-6.64479,-1,-1,1
8.47163,0.993377,1,1,1
5.06577,6.47572,1,1,1
1.2241,0.299997,-1,-1,1
-0.513626,-8.36238,-1,-1,1
0.804163,-1.67516,1,-1,-1
9.5819,8.76888,1,1,1
-8.07733,-1.89978,-1,-1,1
8.28547,1.58055,1,1,1
-9.17478,6.3152,-1,-1,1
-7.04215,7.78802,-1,-1,1
-6.61733,2.73537,-1,-1,1
-6.60878,-9.39329,-1,-1,1
-5.72619,6.41407,-1,-1,1
4.63179,-1.97485,-1,-1,1
-2.65481,4.21247,-1,-1,1
9.43602,-1.76244,-1,-1,1
7.69768,1.43956,1,1,1
3.63933,-3.10831,-1,-1,1
-9.34568,2.6957,-1,-1,1
-5.98071,-3.19926,-1,-1,1
-6.11438,5.93921,-1,-1,1
4.82223,-3.85052,-1,-1,1
9.14792,6.69301,1,1,1
8.54915,-0.622272,-1,-1,1
-8.12494,-5.1439,1,-1,-1
-8.68099,-1.60436,-1,-1,1
-7.32475,-3.87738,-1,-1,1
-4.33332,-6.90481,-1,-1,1
-2.85684,-3.84198,-1,-1,1
-3.52702,1.69652,-1,-1,1
-8.1164,0.893277,-1,-1,1
1.41575,5.89709,-1,-1,1
7.62688,3.01798,1,1,1
8.27631,5.52354,1,1,1
7.37541,-4.39009,-1,-1,1
0.248115,4.91073,-1,-1,1
1.1887,-8.79574,-1,-1,1
-0.51851,1.09348,-1,-1,1
-8.1225,1.04526,-1,-1,1
-8.98251,-5.44725,-1,-1,1
0.148015,-2.71157,-1,-1,1
-3.50139,-0.745567,-1,-1,1
-3.94696,-7.0159,-1,-1,1
2.06519,-7.52739,-1,-1,1
8.5107,3.29081,1,1,1
-9.78881,-0.967742,-1,-1,1
8.5522,9.08872,1,1,1
-6.45863,-8.51802,-1,-1,1
-2.48207,3.40373,-1,-1,1
1.82592,9.96704,1,1,1
-9.03989,-5.61998,-1,-1,1
-4.93026,5.58153,1,-1,-1
5.1439,-1.59032,-1,-1,1
6.88711,-8.63948,-1,-1,1
-1.74657,-4.00311,-1,-1,1
6.89566,8.21345,1,1,1
5.15488,-6.58315,-1,-1,1
-9.41465,1.57384,-1,-1,1
5.37584,7.81915,1,1,1
2.62978,0.871913,-1,-1,1
-8.62545,4.54085,-1,-1,1
-2.52296,0.471511,-1,-1,1
-9.41404,-4.39009,-1,-1,1
1.7246,0.183417,-1,-1,1
-7.23685,-9.84313,-1,-1,1
8.73959,-1.83081,-1,-1,1
-3.81695,3.28898,-1,-1,1
9.79614,1.58788,1,1,1
4.94247,-7.65007,-1,-1,1
-9.90661,-6.80898,-1,-1,1
-2.76467,-9.04233,-1,-1,1
-5.0737,7.75384,-1,-1,1
-6.20838,4.18012,-1,-1,1
3.51909,-6.83584,-1,-1,1
-1.04953,5.31968,-1,-1,1
-1.93396,-0.161443,-1,-1,1
-3.25785,8.39595,-1,-1,1
5.87512,1.1771,-1,-1,1
-6.704,-6.90847,-1,-1,1
5.66576,-0.273141,-1,-1,1
-2.61513,3.22062,-1,-1,1
7.56951,0.929899,-1,-1,1
-4.49202,-1.9364,-1,-1,1
2.65236,1.3712,-1,-1,1
-0.968963,0.828577,-1,-1,1
-5.61754,3.79986,-1,-1,1
-8.89645,-7.59148,-1,-1,1
-6.10828,-0.640584,-1,-1,1
-7.16361,-5.85253,-1,-1,1
5.58947,-9.06247,-1,-1,1
-5.97217,2.87393,-1,-1,1
-7.75567,-7.16788,-1,-1,1
6.12781,-2.40089,-1,-1,1
-8.51253,-6.46046,-1,-1,1
6.55995,2.48512,1,1,1
1.3535,-7.12027,-1,-1,1
6.54164,-2.58278,-1,-1,1
3.47087,4.39924,-1,-1,1
1.59886,8.37947,1,1,1
-8.72127,-8.46431,-1,-1,1
7.61712,-2.84341,-1,-1,1
-0.237129,3.87677,-1,-1,1
-2.03955,-3.60088,-1,-1,1
-4.88632,0.503861,-1,-1,1
-8.54976,-5.97583,-1,-1,1
-0.0595111,-6.59169,-1,-1,1
9.30601,-6.93472,-1,-1,1
4.70016,-2.2721,-1,-1,1
-5.94714,-8.34529,-1,-1,1
-8.62667,-0.32197,-1,-1,1
-2.67434,-4.43709,-1,-1,1
-6.433,9.94873,-1,-1,1
9.02219,4.95651,1,1,1
0.69979,2.57973,-1,-1,1
9.81079,0.353099,1,1,1
5.22935,9.35179,1,1,1
-4.8381,2.65358,-1,-1,1
-6.53249,-9.90905,-1,-1,1
-5.77319,-8.95016,-1,-1,1
-5.04746,-7.55058,-1,-1,1
3.67656,3.14676,-1,-1,1
-4.93393,-6.80898,-1,-1,1
7.42668,6.1742,1,1,1
3.12967,-0.686361,-1,-1,1
-9.4525,9.3231,-1,-1,1
-3.93292,3.93475,-1,-1,1
-7.88629,-2.57973,-1,-1,1
8.37397,1.2772,1,1,1
9.74853,-2.0719,-1,-1,1
-4.88693,9.82421,-1,-1,1
0.697348,-0.949431,-1,-1,1
-1.52867,-4.75021,-1,-1,1
-7.11112,9.14548,-1,-1,1
2.45888,7.58782,1,1,1
-2.85562,-0.9476,-1,-1,1
7.30827,-7.25089,-1,-1,1
-9.05942,-8.0163,-1,-1,1
-2.68838,9.50316,1,-1,-1
-2.52358,-7.32658,-1,-1,1
-4.10321,1.79113,-1,-1,1
3.64971,-8.87997,-1,-1,1
2.08228,5.38072,-1,-1,1
-0.487381,8.9697,1,1,1
5.62975,9.75036,1,1,1
-7.72393,-9.19553,-1,-1,1
6.67043,-6.6625,-1,-1,1
2.50526,-9.02036,-1,-1,1
1.88696,5.32823,-1,-1,1
1.27659,1.46703,-1,-1,1
5.92395,2.48695,-1,-1,1
7.27592,0.167546,-1,-1,1
-3.88165,7.74346,-1,-1,1
4.55306,4.63851,1,1,1
3.37565,0.662557,-1,-1,1
-2.51076,5.7329,-1,-1,1
4.52742,1.2772,-1,-1,1
1.90527,1.8247,-1,-1,1
4.40535,-9.68749,-1,-1,1
-7.31742,9.44517,-1,-1,1
-8.51924,3.2902,-1,-1,1
1.2949,2.94351,-1,-1,1
-8.06818,5.67797,-1,-1,1
-6.32191,6.59719,-1,-1,1
-4.22773,3.84686,-1,-1,1
-7.43889,-0.0393689,-1,-1,1
7.77642,-5.61266,-1,-1,1
-8.99716,-6.27247,-1,-1,1
7.86187,5.06211,1,1,1
8.20551,1.34434,1,1,1
-7.19413,-3.40983,-1,-1,1
-3.05704,3.71807,-1,-1,1
-3.78765,-1.69836,-1,-1,1
-3.13395,-7.03116,-1,-1,1
9.00266,4.75509,1,1,1
-8.14631,-1.09958,-1,-1,1
-9.13816,7.35893,-1,-1,1
5.12314,1.0831,-1,-1,1
-3.43913,-2.74697,-1,-1,1
5.35508,2.80068,-1,-1,1
2.33802,-4.26923,-1,-1,1
-6.76199,2.97708,-1,-1,1
9.15769,8.86349,1,1,1
3.02957,1.13376,1,-1,-1
4.05438,6.12415,1,1,1
0.472121,0.970794,-1,-1,1
0.50325,-8.6932,-1,-1,1
-0.738853,-7.31254,-1,-1,1
-3.69366,-9.69054,-1,-1,1
5.59557,5.34532,1,1,1
5.3148,6.95669,1,1,1
6.82669,0.711386,-1,-1,1
-0.00335693,-2.54189,-1,-1,1
-1.78381,1.84423,-1,-1,1
7.82037,8.8226,1,1,1
3.86822,5.43748,1,1,1
-1.79296,-0.93051,-1,-1,1
6.55995,9.37376,1,1,1
0.934782,9.96521,1,1,1
8.87753,8.35933,1,1,1
-6.24866,-1.36265,-1,-1,1
-2.68838,3.51726,-1,-1,1
9.22056,-4.56343,-1,-1,1
4.31257,8.8995,1,1,1
0.827967,4.15998,-1,-1,1
-6.8395,-8.49788,-1,-1,1
-1.23997,-0.105289,-1,-1,1
-0.528275,4.07269,-1,-1,1
-1.10202,-8.37275,-1,-1,1
3.6607,-5.76769,-1,-1,1
7.07572,3.99762,1,1,1
-6.75344,-8.20368,-1,-1,1
6.91885,-2.38441,-1,-1,1
-4.96384,1.01657,-1,-1,1
-3.79803,-7.28019,-1,-1,1
7.39067,8.44661,1,1,1
6.04968,9.10031,1,1,1
-5.43626,-7.38273,-1,-1,1
2.0603,8.70357,1,1,1
-9.08933,1.30161,-1,-1,1
8.95993,8.62423,1,1,1
-4.86129,-1.75207,-1,-1,1
3.23405,3.773,-1,-1,1
6.23035,6.49953,1,1,1
3.86761,2.94717,-1,-1,1
-4.32539,2.13538,-1,-1,1
2.29347,1.7423,-1,-1,1
-2.28431,-6.88528,-1,-1,1
-8.5754,-6.71316,-1,-1,1
2.93619,5.28001,1,-1,-1
2.77993,-4.36689,1,-1,-1
-6.76809,4.00739,-1,-1,1
2.58095,-4.7026,-1,-1,1
-9.54833,-1.96203,-1,-1,1
-5.02182,-7.56645,-1,-1,1
-0.68392,-5.95813,-1,-1,1
-4.45112,6.88955,-1,-1,1
0.115665,9.14731,1,1,1
-6.39393,8.52046,-1,-1,1
0.612507,-3.67351,-1,-1,1
-0.00335693,-7.96625,-1,-1,1
2.11158,6.8218,1,1,1
0.542924,8.8702,1,1,1
4.19416,-2.92642,-1,-1,1
6.59169,-1.33579,-1,-1,1
-1.21433,-2.45582,-1,-1,1
-4.28571,-6.8157,-1,-1,1
-0.612506,9.72594,1,1,1
-9.98108,-1.19419,-1,-1,1
8.08222,-1.82226,-1,-1,1
9.28098,2.05542,1,1,1
-6.26759,8.96237,-1,-1,1
3.60576,9.05698,1,1,1
-7.81854,7.02322,-1,-1,1
-1.77343,6.29444,-1,-1,1
-4.29792,-4.78927,-1,-1,1
-6.33534,-0.45381,-1,-1,1
6.95608,9.44578,1,1,1
0.493485,-7.45293,-1,-1,1
4.7972,-9.70092,-1,-1,1
-8.30073,9.49278,-1,-1,1
-2.13233,3.69915,-1,-1,1
9.78027,8.33125,1,1,1
-0.340281,-5.14451,-1,-1,1
-7.42363,-2.51198,-1,-1,1
-2.05664,2.56813,-1,-1,1
4.12702,-0.401929,-1,-1,1
4.81063,8.09809,1,1,1
-3.19437,4.64034,-1,-1,1
-6.56117,-3.54472,-1,-1,1
-8.58272,3.97687,-1,-1,1
6.64968,0.628376,-1,-1,1
5.04196,-1.31993,-1,-1,1
-7.1746,-6.45802,-1,-1,1
4.91684,-7.20756,-1,-1,1
-0.665609,0.863979,-1,-1,1
2.94351,-2.81899,-1,-1,1
4.72518,2.6426,-1,-1,1
-8.02362,5.00656,-1,-1,1
-8.82626,5.72069,-1,-1,1
4.50484,-2.00049,-1,-1,1
0.407422,-5.62609,-1,-1,1
9.02646,6.19251,1,1,1
-7.85516,-3.81878,-1,-1,1
-8.01263,-4.93088,-1,-1,1
6.49403,6.28346,1,1,1
5.98071,-4.32234,-1,-1,1
-6.82302,8.3758,-1,-1,1
0.58504,7.67144,1,-1,-1
3.47148,7.53105,1,1,1
-6.81326,-5.02609,-1,-1,1
-2.18787,0.784631,-1,-1,1
5.93127,1.30345,1,-1,-1
-4.34431,8.77804,-1,-1,1
-5.96973,0.621662,-1,-1,1
