smiles,LogD,MolWt,Selected hits,ExactMolWt,HeavyAtomMolWt,MinPartialCharge,MaxPartialCharge,NumValenceElectrons,NumRadicalElectrons,Mutagenicity,Tumorigenicity,Irritating effects,Reproductive effects,molregno,mol_fractioncsp3
Cc1cccc(C(=O)n2cc(C)n(-c3ccccc3C)c2=S)c1,-1.11,322.4330139,false,322.1139832,304.2890015,-0.2892049,0.2637115,116,0,None,None,None,None,1480793,0.1578947
Cc1ccc(C(=O)n2cc(C)n(-c3ccc(Br)cc3)c2=S)cc1,>-0.97,387.3020020,false,386.0088501,372.1820068,-0.2894736,0.2637018,116,0,None,None,None,None,1480801,0.1111111
C/C(=N\NC(=O)c1ccc(F)cc1)c1ccc[nH]1,<-1.02,245.2570038,false,245.0964355,233.1609955,-0.3601631,0.2708750,92,0,None,None,None,None,1480836,0.0769231
O=C(Nc1ccc(Cl)cc1)Nc1nc2c(ccc3ccccc32)s1,0.92,353.8340149,false,353.0389709,341.7380066,-0.3076634,0.3249820,118,0,High,High,None,None,1480861,0.0000000
COc1ccccc1NC(=S)Nc1nc2c(ccc3ccccc32)s1,>0.80,365.4830017,false,365.0656433,350.3630066,-0.4945797,0.1895761,124,0,High,High,None,High,1480869,0.0526316
Cl.O=C(C1CCCN(Cc2ccccc2)C1)N1CCN(c2ccccc2Cl)CC1,<0.96,434.4110107,false,433.1687622,405.1789856,-0.3667792,0.2265982,156,0,None,None,None,None,1480935,0.4347826
O=c1cc(-c2ccc(Cl)cc2Cl)oc2c(I)cc(Cl)cc12,-0.53,451.4739990,false,449.8478088,445.4259949,-0.4546407,0.1929116,106,0,None,None,None,None,1480953,0.0000000
CN1CCC(Oc2ccc(C(F)(F)F)cc2)CC1,>-0.89,259.2709961,false,259.1184082,243.1430054,-0.4903410,0.4159141,100,0,None,None,None,None,1480028,0.5384616
CCCn1oc(C)cc1=O,<-1.94,141.1699982,false,141.0789795,130.0820007,-0.3811861,0.2821448,56,0,None,None,None,None,1487562,0.5714286
O=C1OC(=O)C2=C1SCCS2,-1.63,188.2290039,false,187.9601898,184.1970062,-0.3848585,0.3534510,58,0,None,None,High,None,1480188,0.3333333
CC1CCN(CC(O)CN2C(=O)C3=C(SCCS3)C2=O)CC1,>-0.99,342.4859924,false,342.1071777,320.3099976,-0.3899226,0.2681060,122,0,None,None,None,None,1480194,0.7333333
CCn1cc(C(=O)/C=C(\O)C(=O)O)c2cc3c(cc21)OCO3,<0.59,303.2699890,false,303.0742798,290.1659851,-0.5017318,0.3705807,114,0,None,None,None,Low,1480205,0.2000000
ClCc1ccc(Cn2cnc3nc(Cl)nc(Cl)c32)cc1,0.56,327.6019897,false,325.9892883,318.5299988,-0.3221799,0.2254804,102,0,High,High,Low,High,1480274,0.1538462
c1cncc(-c2ncno2)c1,>-1.72,147.1369934,false,147.0432587,142.0970001,-0.3342312,0.2586946,54,0,None,None,None,None,1485991,0.0000000
O=c1[nH]c2ccccc2nc1/C(I)=C/c1ccccc1,<0.65,374.1809998,false,373.9916077,363.0929871,-0.3186939,0.2749436,98,0,None,None,None,None,1480439,0.0000000
Cn1c(C(=O)/C=C(\O)C(=O)O)cc2cc3c(cc21)OCO3,0.70,289.2430115,false,289.0586243,278.1549988,-0.5017310,0.3705818,108,0,None,None,None,None,1480449,0.1428571
NCc1cnn(O)c1Br,>-1.54,192.0160065,false,190.9694214,185.9680023,-0.4108094,0.1494382,50,0,High,None,None,Low,1514289,0.2500000
O=c1[nH]cnc2c1C(c1ccccc1)c1ccc(O)cc1O2,<-0.53,292.2940063,false,292.0847778,280.1979980,-0.5078224,0.2582406,108,0,None,None,None,None,1480658,0.0588235
C=CCN(CCC)C(=O)C(Cl)Cl,-0.85,210.1040039,false,209.0374146,197.0000000,-0.3366488,0.2556494,70,0,High,High,High,High,1486343,0.6250000
Nc1cc(-c2ccc(Cl)cc2)cc(-c2ccc(Cl)cc2)c1,>-1.20,314.2149963,false,313.0425110,301.1109924,-0.3986935,0.0405918,104,0,High,None,None,None,1480773,0.0000000
Cc1cccc(C(=O)n2cc(C)n(-c3ccccc3C)c2=S)c1,<-0.83,322.4330139,false,322.1139832,304.2890015,-0.2892049,0.2637115,116,0,None,None,None,None,1480793,0.1578947
Cc1ccc(C(=O)n2cc(C)n(-c3ccc(Br)cc3)c2=S)cc1,-0.33,387.3020020,false,386.0088501,372.1820068,-0.2894736,0.2637018,116,0,None,None,None,None,1480801,0.1111111
C/C(=N\NC(=O)c1ccc(F)cc1)c1ccc[nH]1,>-0.97,245.2570038,false,245.0964355,233.1609955,-0.3601631,0.2708750,92,0,None,None,None,None,1480836,0.0769231
O=C(Nc1ccc(Cl)cc1)Nc1nc2c(ccc3ccccc32)s1,<0.93,353.8340149,false,353.0389709,341.7380066,-0.3076634,0.3249820,118,0,High,High,None,None,1480861,0.0000000
COc1ccccc1NC(=S)Nc1nc2c(ccc3ccccc32)s1,-0.00,365.4830017,false,365.0656433,350.3630066,-0.4945797,0.1895761,124,0,High,High,None,High,1480869,0.0526316
Cl.O=C(C1CCCN(Cc2ccccc2)C1)N1CCN(c2ccccc2Cl)CC1,>-0.01,434.4110107,false,433.1687622,405.1789856,-0.3667792,0.2265982,156,0,None,None,None,None,1480935,0.4347826
O=c1cc(-c2ccc(Cl)cc2Cl)oc2c(I)cc(Cl)cc12,<0.48,451.4739990,false,449.8478088,445.4259949,-0.4546407,0.1929116,106,0,None,None,None,None,1480953,0.0000000
