smiles,LogD,MolWt,Mutagenicity,Tumorigenicity,Irritating effects,Reproductive effects,Selected hits
C/C(=N\NC(=O)c1ccc(F)cc1)c1ccc[nH]1,>-0.40,245.2570037841797,None,None,None,None,false
O=C(Nc1ccc(Cl)cc1)Nc1nc2c(ccc3ccccc32)s1,<-0.60,353.8340148925781,High,High,None,None,false
COc1ccccc1NC(=S)Nc1nc2c(ccc3ccccc32)s1,-1.72,365.4830017089844,High,High,None,High,false
Cl.O=C(C1CCCN(Cc2ccccc2)C1)N1CCN(c2ccccc2Cl)CC1,>-0.99,434.4110107421875,None,None,None,None,false
O=c1cc(-c2ccc(Cl)cc2Cl)oc2c(I)cc(Cl)cc12,<-0.19,451.4739990234375,None,None,None,None,false
CN1CCC(Oc2ccc(C(F)(F)F)cc2)CC1,0.34,259.27099609375,None,None,None,None,false
CCCn1oc(C)cc1=O,>-1.53,141.1699981689453,None,None,None,None,false
O=C1OC(=O)C2=C1SCCS2,<-1.72,188.22900390625,None,None,High,None,false
CC1CCN(CC(O)CN2C(=O)C3=C(SCCS3)C2=O)CC1,-1.37,342.4859924316406,None,None,None,None,false
CCn1cc(C(=O)/C=C(\O)C(=O)O)c2cc3c(cc21)OCO3,>-1.19,303.2699890136719,None,None,None,Low,false
ClCc1ccc(Cn2cnc3nc(Cl)nc(Cl)c32)cc1,<-0.17,327.60198974609375,High,High,Low,High,false
c1cncc(-c2ncno2)c1,0.58,147.13699340820312,None,None,None,None,false
O=c1[nH]c2ccccc2nc1/C(I)=C/c1ccccc1,>-0.59,374.1809997558594,None,None,None,None,false
Cn1c(C(=O)/C=C(\O)C(=O)O)cc2cc3c(cc21)OCO3,<0.59,289.2430114746094,None,None,None,None,false
NCc1cnn(O)c1Br,0.80,192.01600646972656,High,None,None,Low,false
O=c1[nH]cnc2c1C(c1ccccc1)c1ccc(O)cc1O2,>-0.78,292.29400634765625,None,None,None,None,false
C=CCN(CCC)C(=O)C(Cl)Cl,<-0.49,210.10400390625,High,High,High,High,false
Nc1cc(-c2ccc(Cl)cc2)cc(-c2ccc(Cl)cc2)c1,0.75,314.2149963378906,High,None,None,None,false
Cc1cccc(C(=O)n2cc(C)n(-c3ccccc3C)c2=S)c1,>0.39,322.4330139160156,None,None,None,None,false
Cc1ccc(C(=O)n2cc(C)n(-c3ccc(Br)cc3)c2=S)cc1,<-1.42,387.302001953125,None,None,None,None,false
C/C(=N\NC(=O)c1ccc(F)cc1)c1ccc[nH]1,-1.05,245.2570037841797,None,None,None,None,false
O=C(Nc1ccc(Cl)cc1)Nc1nc2c(ccc3ccccc32)s1,>-1.42,353.8340148925781,High,High,None,None,false
COc1ccccc1NC(=S)Nc1nc2c(ccc3ccccc32)s1,<0.12,365.4830017089844,High,High,None,High,false
Cl.O=C(C1CCCN(Cc2ccccc2)C1)N1CCN(c2ccccc2Cl)CC1,0.06,434.4110107421875,None,None,None,None,false
O=c1cc(-c2ccc(Cl)cc2Cl)oc2c(I)cc(Cl)cc12,>-1.63,451.4739990234375,None,None,None,None,false
CN1CCC(Oc2ccc(C(F)(F)F)cc2)CC1,<-1.87,259.27099609375,None,None,None,None,false
CCCn1oc(C)cc1=O,-0.26,141.1699981689453,None,None,None,None,false
O=C1OC(=O)C2=C1SCCS2,>-0.79,188.22900390625,None,None,High,None,false
CC1CCN(CC(O)CN2C(=O)C3=C(SCCS3)C2=O)CC1,<0.89,342.4859924316406,None,None,None,None,false
CCn1cc(C(=O)/C=C(\O)C(=O)O)c2cc3c(cc21)OCO3,-1.59,303.2699890136719,None,None,None,Low,false
ClCc1ccc(Cn2cnc3nc(Cl)nc(Cl)c32)cc1,>0.86,327.60198974609375,High,High,Low,High,false
c1cncc(-c2ncno2)c1,<-0.39,147.13699340820312,None,None,None,None,false
O=c1[nH]c2ccccc2nc1/C(I)=C/c1ccccc1,0.88,374.1809997558594,None,None,None,None,false
Cn1c(C(=O)/C=C(\O)C(=O)O)cc2cc3c(cc21)OCO3,>0.72,289.2430114746094,None,None,None,None,false
NCc1cnn(O)c1Br,<-0.06,192.01600646972656,High,None,None,Low,false
O=c1[nH]cnc2c1C(c1ccccc1)c1ccc(O)cc1O2,0.31,292.29400634765625,None,None,None,None,false
C=CCN(CCC)C(=O)C(Cl)Cl,>0.40,210.10400390625,High,High,High,High,false
Nc1cc(-c2ccc(Cl)cc2)cc(-c2ccc(Cl)cc2)c1,<-1.45,314.2149963378906,High,None,None,None,false
Cc1cccc(C(=O)n2cc(C)n(-c3ccccc3C)c2=S)c1,-1.11,322.4330139160156,None,None,None,None,false
Cc1ccc(C(=O)n2cc(C)n(-c3ccc(Br)cc3)c2=S)cc1,>-0.97,387.302001953125,None,None,None,None,false
C/C(=N\NC(=O)c1ccc(F)cc1)c1ccc[nH]1,<-1.02,245.2570037841797,None,None,None,None,false
O=C(Nc1ccc(Cl)cc1)Nc1nc2c(ccc3ccccc32)s1,0.92,353.8340148925781,High,High,None,None,false
COc1ccccc1NC(=S)Nc1nc2c(ccc3ccccc32)s1,>0.80,365.4830017089844,High,High,None,High,false
Cl.O=C(C1CCCN(Cc2ccccc2)C1)N1CCN(c2ccccc2Cl)CC1,<0.96,434.4110107421875,None,None,None,None,false
O=c1cc(-c2ccc(Cl)cc2Cl)oc2c(I)cc(Cl)cc12,-0.53,451.4739990234375,None,None,None,None,false
CN1CCC(Oc2ccc(C(F)(F)F)cc2)CC1,>-0.89,259.27099609375,None,None,None,None,false
CCCn1oc(C)cc1=O,<-1.94,141.1699981689453,None,None,None,None,false
O=C1OC(=O)C2=C1SCCS2,-1.63,188.22900390625,None,None,High,None,false
CC1CCN(CC(O)CN2C(=O)C3=C(SCCS3)C2=O)CC1,>-0.99,342.4859924316406,None,None,None,None,false
CCn1cc(C(=O)/C=C(\O)C(=O)O)c2cc3c(cc21)OCO3,<0.59,303.2699890136719,None,None,None,Low,false
ClCc1ccc(Cn2cnc3nc(Cl)nc(Cl)c32)cc1,0.56,327.60198974609375,High,High,Low,High,false
c1cncc(-c2ncno2)c1,>-1.72,147.13699340820312,None,None,None,None,false
O=c1[nH]c2ccccc2nc1/C(I)=C/c1ccccc1,<0.65,374.1809997558594,None,None,None,None,false
Cn1c(C(=O)/C=C(\O)C(=O)O)cc2cc3c(cc21)OCO3,0.70,289.2430114746094,None,None,None,None,false
NCc1cnn(O)c1Br,>-1.54,192.01600646972656,High,None,None,Low,false
O=c1[nH]cnc2c1C(c1ccccc1)c1ccc(O)cc1O2,<-0.53,292.29400634765625,None,None,None,None,false
C=CCN(CCC)C(=O)C(Cl)Cl,-0.85,210.10400390625,High,High,High,High,false
Nc1cc(-c2ccc(Cl)cc2)cc(-c2ccc(Cl)cc2)c1,>-1.20,314.2149963378906,High,None,None,None,false
Cc1cccc(C(=O)n2cc(C)n(-c3ccccc3C)c2=S)c1,<-0.83,322.4330139160156,None,None,None,None,false
Cc1ccc(C(=O)n2cc(C)n(-c3ccc(Br)cc3)c2=S)cc1,-0.33,387.302001953125,None,None,None,None,false
C/C(=N\NC(=O)c1ccc(F)cc1)c1ccc[nH]1,>-0.97,245.2570037841797,None,None,None,None,false
O=C(Nc1ccc(Cl)cc1)Nc1nc2c(ccc3ccccc32)s1,<0.93,353.8340148925781,High,High,None,None,false
COc1ccccc1NC(=S)Nc1nc2c(ccc3ccccc32)s1,-0.00,365.4830017089844,High,High,None,High,false
Cl.O=C(C1CCCN(Cc2ccccc2)C1)N1CCN(c2ccccc2Cl)CC1,>-0.01,434.4110107421875,None,None,None,None,false
O=c1cc(-c2ccc(Cl)cc2Cl)oc2c(I)cc(Cl)cc12,<0.48,451.4739990234375,None,None,None,None,false
