Well,Plate_Barcode,Gene,Condition,Ct
G1,EXP20250925-P1,NTC,NTC,39.12
G2,EXP20250925-P1,NTC,NTC,38.85
G3,EXP20250925-P1,NTC,NTC,39.01
G4,EXP20250925-P1,NTC,NTC,39.25
G5,EXP20250925-P1,NTC,NTC,38.99
G6,EXP20250925-P1,NTC,NTC,39.15
G7,EXP20250925-P1,NTC,NTC,39.08
G8,EXP20250925-P1,NTC,NTC,38.91
G9,EXP20250925-P1,NTC,NTC,39.18
G10,EXP20250925-P1,NTC,NTC,39.05
G11,EXP20250925-P1,NTC,NTC,39.22
G12,EXP20250925-P1,NTC,NTC,38.96
H1,EXP20250925-P1,NTC,NTC,39.14
H2,EXP20250925-P1,NTC,NTC,38.88
H3,EXP20250925-P1,NTC,NTC,39.03
H4,EXP20250925-P1,NTC,NTC,39.27
H5,EXP20250925-P1,NTC,NTC,38.97
H6,EXP20250925-P1,NTC,NTC,39.17
H7,EXP20250925-P1,NTC,NTC,39.10
H8,EXP20250925-P1,NTC,NTC,38.93
H9,EXP20250925-P1,NTC,NTC,39.20
H10,EXP20250925-P1,NTC,NTC,39.06
H11,EXP20250925-P1,NTC,NTC,39.24
H12,EXP20250925-P1,NTC,NTC,38.94
A1,EXP20250925-P2,GAPDH,Control,18.12
A2,EXP20250925-P2,GAPDH,Control,18.05
A3,EXP20250925-P2,GAPDH,Control,18.19
A4,EXP20250925-P2,GAPDH,Control,18.21
A5,EXP20250925-P2,GAPDH,Control,18.09
A6,EXP20250925-P2,GAPDH,Control,18.14
A7,EXP20250925-P2,GAPDH,Control,18.25
A8,EXP20250925-P2,GAPDH,Control,18.08
A9,EXP20250925-P2,GAPDH,Control,18.16
A10,EXP20250925-P2,GAPDH,Control,18.11
A11,EXP20250925-P2,GAPDH,Control,18.23
A12,EXP20250925-P2,GAPDH,Control,18.07
B1,EXP20250925-P2,GAPDH,Treated,18.22
B2,EXP20250925-P2,GAPDH,Treated,18.15
B3,EXP20250925-P2,GAPDH,Treated,18.29
B4,EXP20250925-P2,GAPDH,Treated,18.31
B5,EXP20250925-P2,GAPDH,Treated,18.19
B6,EXP20250925-P2,GAPDH,Treated,18.24
B7,EXP20250925-P2,GAPDH,Treated,18.35
B8,EXP20250925-P2,GAPDH,Treated,18.18
B9,EXP20250925-P2,GAPDH,Treated,18.26
B10,EXP20250925-P2,GAPDH,Treated,18.21
B11,EXP20250925-P2,GAPDH,Treated,18.33
B12,EXP20250925-P2,GAPDH,Treated,18.17
C1,EXP20250925-P2,MYC,Control,23.45
C2,EXP20250925-P2,MYC,Control,23.51
C3,EXP20250925-P2,MYC,Control,23.39
C4,EXP20250925-P2,MYC,Control,23.48
C5,EXP20250925-P2,MYC,Control,23.55
C6,EXP20250925-P2,MYC,Control,23.37
C7,EXP20250925-P2,MYC,Control,23.41
C8,EXP20250925-P2,MYC,Control,23.58
C9,EXP20250925-P2,MYC,Control,23.46
C10,EXP20250925-P2,MYC,Control,23.53
C11,EXP20250925-P2,MYC,Control,23.35
C12,EXP20250925-P2,MYC,Control,23.49
D1,EXP20250925-P2,MYC,Control,23.42
D2,EXP20250925-P2,MYC,Control,23.50
D3,EXP20250925-P2,MYC,Control,23.38
D4,EXP20250925-P2,MYC,Control,23.47
D5,EXP20250925-P2,MYC,Control,23.56
D6,EXP20250925-P2,MYC,Control,23.36
D7,EXP20250925-P2,MYC,Control,23.43
D8,EXP20250925-P2,MYC,Control,23.57
D9,EXP20250925-P2,MYC,Control,23.44
D10,EXP20250925-P2,MYC,Control,23.52
D11,EXP20250925-P2,MYC,Control,23.34
D12,EXP20250925-P2,MYC,Control,23.54
E1,EXP20250925-P2,MYC,Treated,20.11
E2,EXP20250925-P2,MYC,Treated,20.04
E3,EXP20250925-P2,MYC,Treated,20.18
E4,EXP20250925-P2,MYC,Treated,20.20
E5,EXP20250925-P2,MYC,Treated,20.08
E6,EXP20250925-P2,MYC,Treated,20.13
E7,EXP20250925-P2,MYC,Treated,20.24
E8,EXP20250925-P2,MYC,Treated,20.07
E9,EXP20250925-P2,MYC,Treated,20.15
E10,EXP20250925-P2,MYC,Treated,20.10
E11,EXP20250925-P2,MYC,Treated,20.22
E12,EXP20250925-P2,MYC,Treated,20.06
F1,EXP20250925-P2,MYC,Treated,20.21
F2,EXP20250925-P2,MYC,Treated,20.14
F3,EXP20250925-P2,MYC,Treated,20.28
F4,EXP20250925-P2,MYC,Treated,20.30
F5,EXP20250925-P2,MYC,Treated,20.18
F6,EXP20250925-P2,MYC,Treated,20.23
F7,EXP20250925-P2,MYC,Treated,20.34
F8,EXP20250925-P2,MYC,Treated,20.17
F9,EXP20250925-P2,MYC,Treated,20.25
F10,EXP20250925-P2,MYC,Treated,20.20
F11,EXP20250925-P2,MYC,Treated,20.32
F12,EXP20250925-P2,MYC,Treated,20.16
G1,EXP20250925-P2,NTC,NTC,39.12
G2,EXP20250925-P2,NTC,NTC,38.85
G3,EXP20250925-P2,NTC,NTC,39.01
G4,EXP20250925-P2,NTC,NTC,39.25
G5,EXP20250925-P2,NTC,NTC,38.99
G6,EXP20250925-P2,NTC,NTC,39.15
G7,EXP20250925-P2,NTC,NTC,39.08
G8,EXP20250925-P2,NTC,NTC,38.91
G9,EXP20250925-P2,NTC,NTC,39.18
G10,EXP20250925-P2,NTC,NTC,39.05
G11,EXP20250925-P2,NTC,NTC,39.22
G12,EXP20250925-P2,NTC,NTC,38.96
H1,EXP20250925-P2,NTC,NTC,39.14
H2,EXP20250925-P2,NTC,NTC,38.88
H3,EXP20250925-P2,NTC,NTC,39.03
H4,EXP20250925-P2,NTC,NTC,39.27
H5,EXP20250925-P2,NTC,NTC,38.97
H6,EXP20250925-P2,NTC,NTC,39.17
H7,EXP20250925-P2,NTC,NTC,39.10
H8,EXP20250925-P2,NTC,NTC,38.93
H9,EXP20250925-P2,NTC,NTC,39.20
H10,EXP20250925-P2,NTC,NTC,39.06
H11,EXP20250925-P2,NTC,NTC,39.24
H12,EXP20250925-P2,NTC,NTC,38.94
