Animal,Sex,Dose_ppm,Dose_label,Days_on_study,Terminal_BW_g,Removal_reason,is_control
906,F,1000,1000ppm,94,313.4,Terminal Sacrifice,False
907,F,1000,1000ppm,94,241.6,Terminal Sacrifice,False
908,F,1000,1000ppm,94,249.6,Terminal Sacrifice,False
909,F,1000,1000ppm,94,299.1,Terminal Sacrifice,False
910,F,1000,1000ppm,94,282.9,Terminal Sacrifice,False
1101,F,2000,2000ppm,94,298.2,Terminal Sacrifice,False
1102,F,2000,2000ppm,94,267.7,Terminal Sacrifice,False
1103,F,2000,2000ppm,94,307.0,Terminal Sacrifice,False
1104,F,2000,2000ppm,94,317.9,Terminal Sacrifice,False
1105,F,2000,2000ppm,94,319.8,Terminal Sacrifice,False
1106,F,2000,2000ppm,94,252.3,Terminal Sacrifice,False
1107,F,2000,2000ppm,94,305.9,Terminal Sacrifice,False
1108,F,2000,2000ppm,94,277.0,Terminal Sacrifice,False
1109,F,2000,2000ppm,45,,Moribund Sacrifice,False
1110,F,2000,2000ppm,94,301.0,Terminal Sacrifice,False
1,M,0,Vehicle Control,93,365.6,Terminal Sacrifice,True
2,M,0,Vehicle Control,93,392.1,Terminal Sacrifice,True
3,M,0,Vehicle Control,93,428.0,Terminal Sacrifice,True
4,M,0,Vehicle Control,93,379.9,Terminal Sacrifice,True
5,M,0,Vehicle Control,93,407.5,Terminal Sacrifice,True
6,M,0,Vehicle Control,93,358.8,Terminal Sacrifice,True
7,M,0,Vehicle Control,93,403.3,Terminal Sacrifice,True
8,M,0,Vehicle Control,93,425.3,Terminal Sacrifice,True
9,M,0,Vehicle Control,93,381.8,Terminal Sacrifice,True
10,M,0,Vehicle Control,93,389.7,Terminal Sacrifice,True
201,M,125,125ppm,93,397.8,Terminal Sacrifice,False
202,M,125,125ppm,93,418.8,Terminal Sacrifice,False
203,M,125,125ppm,93,440.4,Terminal Sacrifice,False
204,M,125,125ppm,93,423.5,Terminal Sacrifice,False
205,M,125,125ppm,93,419.2,Terminal Sacrifice,False
206,M,125,125ppm,93,441.4,Terminal Sacrifice,False
207,M,125,125ppm,93,444.8,Terminal Sacrifice,False
208,M,125,125ppm,93,441.4,Terminal Sacrifice,False
209,M,125,125ppm,93,412.6,Terminal Sacrifice,False
210,M,125,125ppm,93,414.8,Terminal Sacrifice,False
401,M,250,250ppm,93,387.5,Terminal Sacrifice,False
402,M,250,250ppm,93,378.5,Terminal Sacrifice,False
403,M,250,250ppm,93,464.9,Terminal Sacrifice,False
404,M,250,250ppm,93,371.1,Terminal Sacrifice,False
405,M,250,250ppm,93,409.7,Terminal Sacrifice,False
406,M,250,250ppm,93,432.5,Terminal Sacrifice,False
407,M,250,250ppm,93,437.7,Terminal Sacrifice,False
408,M,250,250ppm,93,461.8,Terminal Sacrifice,False
409,M,250,250ppm,93,386.6,Terminal Sacrifice,False
410,M,250,250ppm,93,407.7,Terminal Sacrifice,False
601,M,500,500ppm,93,453.4,Terminal Sacrifice,False
602,M,500,500ppm,93,398.1,Terminal Sacrifice,False
603,M,500,500ppm,93,377.1,Terminal Sacrifice,False
604,M,500,500ppm,93,394.0,Terminal Sacrifice,False
605,M,500,500ppm,93,432.8,Terminal Sacrifice,False
606,M,500,500ppm,93,356.6,Terminal Sacrifice,False
607,M,500,500ppm,93,474.5,Terminal Sacrifice,False
608,M,500,500ppm,93,406.4,Terminal Sacrifice,False
609,M,500,500ppm,93,403.3,Terminal Sacrifice,False
610,M,500,500ppm,93,421.4,Terminal Sacrifice,False
801,M,1000,1000ppm,93,415.8,Terminal Sacrifice,False
802,M,1000,1000ppm,93,395.4,Terminal Sacrifice,False
803,M,1000,1000ppm,93,383.0,Terminal Sacrifice,False
804,M,1000,1000ppm,93,439.9,Terminal Sacrifice,False
805,M,1000,1000ppm,93,355.2,Terminal Sacrifice,False
806,M,1000,1000ppm,93,407.3,Terminal Sacrifice,False
807,M,1000,1000ppm,93,406.9,Terminal Sacrifice,False
808,M,1000,1000ppm,93,383.8,Terminal Sacrifice,False
809,M,1000,1000ppm,93,413.8,Terminal Sacrifice,False
810,M,1000,1000ppm,93,413.2,Terminal Sacrifice,False
1001,M,2000,2000ppm,93,389.8,Terminal Sacrifice,False
1002,M,2000,2000ppm,93,351.7,Terminal Sacrifice,False
1003,M,2000,2000ppm,93,361.8,Terminal Sacrifice,False
1004,M,2000,2000ppm,93,382.0,Terminal Sacrifice,False
1005,M,2000,2000ppm,93,355.8,Terminal Sacrifice,False
1006,M,2000,2000ppm,93,407.2,Terminal Sacrifice,False
1007,M,2000,2000ppm,93,373.7,Terminal Sacrifice,False
1008,M,2000,2000ppm,93,373.8,Terminal Sacrifice,False
1009,M,2000,2000ppm,93,364.0,Terminal Sacrifice,False
1010,M,2000,2000ppm,93,399.8,Terminal Sacrifice,False
