USUBJID,Animal,Sex,Dose_mgkg,Dose_label,TestCD,Test,Timepoint,TimepointNum,Value,Unit,is_control
CJ16050_01M03,M03,M,100,Compound A 100 mg/kg,MV,Minute Volume,2-hour postdose,3.0,272.3,mL/min,False
CJ16050_01M04,M04,M,100,Compound A 100 mg/kg,MV,Minute Volume,2-hour postdose,3.0,196.1,mL/min,False
CJ16050_01M05,M05,M,100,Compound A 100 mg/kg,MV,Minute Volume,2-hour postdose,3.0,270.0,mL/min,False
CJ16050_01M06,M06,M,100,Compound A 100 mg/kg,MV,Minute Volume,2-hour postdose,3.0,268.2,mL/min,False
CJ16050_02M01,M01,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,2-hour postdose,3.0,109.4,mL/min,False
CJ16050_02M02,M02,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,2-hour postdose,3.0,104.8,mL/min,False
CJ16050_02M03,M03,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,2-hour postdose,3.0,73.2,mL/min,False
CJ16050_02M04,M04,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,2-hour postdose,3.0,66.0,mL/min,False
CJ16050_02M05,M05,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,2-hour postdose,3.0,84.0,mL/min,False
CJ16050_02M06,M06,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,2-hour postdose,3.0,94.1,mL/min,False
CJ16050_00M01,M01,M,0,Control,MV,Minute Volume,4-hour postdose,4.0,211.4,mL/min,True
CJ16050_00M02,M02,M,0,Control,MV,Minute Volume,4-hour postdose,4.0,191.0,mL/min,True
CJ16050_00M03,M03,M,0,Control,MV,Minute Volume,4-hour postdose,4.0,155.5,mL/min,True
CJ16050_00M04,M04,M,0,Control,MV,Minute Volume,4-hour postdose,4.0,148.0,mL/min,True
CJ16050_00M05,M05,M,0,Control,MV,Minute Volume,4-hour postdose,4.0,239.9,mL/min,True
CJ16050_00M06,M06,M,0,Control,MV,Minute Volume,4-hour postdose,4.0,202.1,mL/min,True
CJ16050_01M01,M01,M,100,Compound A 100 mg/kg,MV,Minute Volume,4-hour postdose,4.0,175.6,mL/min,False
CJ16050_01M02,M02,M,100,Compound A 100 mg/kg,MV,Minute Volume,4-hour postdose,4.0,302.1,mL/min,False
CJ16050_01M03,M03,M,100,Compound A 100 mg/kg,MV,Minute Volume,4-hour postdose,4.0,255.9,mL/min,False
CJ16050_01M04,M04,M,100,Compound A 100 mg/kg,MV,Minute Volume,4-hour postdose,4.0,355.8,mL/min,False
CJ16050_01M05,M05,M,100,Compound A 100 mg/kg,MV,Minute Volume,4-hour postdose,4.0,343.4,mL/min,False
CJ16050_01M06,M06,M,100,Compound A 100 mg/kg,MV,Minute Volume,4-hour postdose,4.0,297.8,mL/min,False
CJ16050_02M01,M01,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,4-hour postdose,4.0,117.9,mL/min,False
CJ16050_02M02,M02,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,4-hour postdose,4.0,77.6,mL/min,False
CJ16050_02M03,M03,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,4-hour postdose,4.0,70.1,mL/min,False
CJ16050_02M04,M04,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,4-hour postdose,4.0,59.9,mL/min,False
CJ16050_02M05,M05,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,4-hour postdose,4.0,58.2,mL/min,False
CJ16050_02M06,M06,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,4-hour postdose,4.0,89.6,mL/min,False
CJ16050_00M01,M01,M,0,Control,MV,Minute Volume,8-hour postdose,5.0,178.8,mL/min,True
CJ16050_00M02,M02,M,0,Control,MV,Minute Volume,8-hour postdose,5.0,134.6,mL/min,True
CJ16050_00M03,M03,M,0,Control,MV,Minute Volume,8-hour postdose,5.0,147.0,mL/min,True
CJ16050_00M04,M04,M,0,Control,MV,Minute Volume,8-hour postdose,5.0,140.8,mL/min,True
CJ16050_00M05,M05,M,0,Control,MV,Minute Volume,8-hour postdose,5.0,189.9,mL/min,True
CJ16050_00M06,M06,M,0,Control,MV,Minute Volume,8-hour postdose,5.0,183.3,mL/min,True
CJ16050_01M01,M01,M,100,Compound A 100 mg/kg,MV,Minute Volume,8-hour postdose,5.0,217.0,mL/min,False
CJ16050_01M02,M02,M,100,Compound A 100 mg/kg,MV,Minute Volume,8-hour postdose,5.0,313.4,mL/min,False
CJ16050_01M03,M03,M,100,Compound A 100 mg/kg,MV,Minute Volume,8-hour postdose,5.0,234.9,mL/min,False
CJ16050_01M04,M04,M,100,Compound A 100 mg/kg,MV,Minute Volume,8-hour postdose,5.0,194.4,mL/min,False
CJ16050_01M05,M05,M,100,Compound A 100 mg/kg,MV,Minute Volume,8-hour postdose,5.0,348.4,mL/min,False
CJ16050_01M06,M06,M,100,Compound A 100 mg/kg,MV,Minute Volume,8-hour postdose,5.0,235.9,mL/min,False
CJ16050_02M01,M01,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,8-hour postdose,5.0,121.5,mL/min,False
CJ16050_02M02,M02,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,8-hour postdose,5.0,78.9,mL/min,False
CJ16050_02M03,M03,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,8-hour postdose,5.0,93.1,mL/min,False
CJ16050_02M04,M04,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,8-hour postdose,5.0,73.9,mL/min,False
CJ16050_02M05,M05,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,8-hour postdose,5.0,48.2,mL/min,False
CJ16050_02M06,M06,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,8-hour postdose,5.0,73.9,mL/min,False
CJ16050_00M01,M01,M,0,Control,MV,Minute Volume,Predose,1.0,147.3,mL/min,True
CJ16050_00M02,M02,M,0,Control,MV,Minute Volume,Predose,1.0,118.6,mL/min,True
CJ16050_00M03,M03,M,0,Control,MV,Minute Volume,Predose,1.0,107.4,mL/min,True
CJ16050_00M04,M04,M,0,Control,MV,Minute Volume,Predose,1.0,102.1,mL/min,True
CJ16050_00M05,M05,M,0,Control,MV,Minute Volume,Predose,1.0,118.5,mL/min,True
CJ16050_00M06,M06,M,0,Control,MV,Minute Volume,Predose,1.0,166.3,mL/min,True
CJ16050_01M01,M01,M,100,Compound A 100 mg/kg,MV,Minute Volume,Predose,1.0,125.7,mL/min,False
CJ16050_01M02,M02,M,100,Compound A 100 mg/kg,MV,Minute Volume,Predose,1.0,143.5,mL/min,False
CJ16050_01M03,M03,M,100,Compound A 100 mg/kg,MV,Minute Volume,Predose,1.0,136.3,mL/min,False
CJ16050_01M04,M04,M,100,Compound A 100 mg/kg,MV,Minute Volume,Predose,1.0,120.5,mL/min,False
CJ16050_01M05,M05,M,100,Compound A 100 mg/kg,MV,Minute Volume,Predose,1.0,144.3,mL/min,False
CJ16050_01M06,M06,M,100,Compound A 100 mg/kg,MV,Minute Volume,Predose,1.0,136.4,mL/min,False
CJ16050_02M01,M01,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,Predose,1.0,143.2,mL/min,False
CJ16050_02M02,M02,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,Predose,1.0,103.3,mL/min,False
CJ16050_02M03,M03,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,Predose,1.0,131.8,mL/min,False
CJ16050_02M04,M04,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,Predose,1.0,109.7,mL/min,False
CJ16050_02M05,M05,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,Predose,1.0,103.4,mL/min,False
CJ16050_02M06,M06,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,Predose,1.0,136.9,mL/min,False
CJ16050_00M01,M01,M,0,Control,RESPRATE,Respiratory Rate,1-hour postdose,2.0,137.4,breaths/min,True
CJ16050_00M02,M02,M,0,Control,RESPRATE,Respiratory Rate,1-hour postdose,2.0,87.6,breaths/min,True
CJ16050_00M03,M03,M,0,Control,RESPRATE,Respiratory Rate,1-hour postdose,2.0,79.7,breaths/min,True
CJ16050_00M04,M04,M,0,Control,RESPRATE,Respiratory Rate,1-hour postdose,2.0,88.8,breaths/min,True
CJ16050_00M05,M05,M,0,Control,RESPRATE,Respiratory Rate,1-hour postdose,2.0,84.0,breaths/min,True
CJ16050_00M06,M06,M,0,Control,RESPRATE,Respiratory Rate,1-hour postdose,2.0,91.3,breaths/min,True
CJ16050_01M01,M01,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,1-hour postdose,2.0,191.3,breaths/min,False
CJ16050_01M02,M02,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,1-hour postdose,2.0,201.8,breaths/min,False
CJ16050_01M03,M03,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,1-hour postdose,2.0,185.3,breaths/min,False
CJ16050_01M04,M04,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,1-hour postdose,2.0,186.1,breaths/min,False
CJ16050_01M05,M05,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,1-hour postdose,2.0,180.5,breaths/min,False
CJ16050_01M06,M06,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,1-hour postdose,2.0,172.0,breaths/min,False
CJ16050_02M01,M01,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,1-hour postdose,2.0,97.4,breaths/min,False
CJ16050_02M02,M02,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,1-hour postdose,2.0,119.3,breaths/min,False
CJ16050_02M03,M03,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,1-hour postdose,2.0,117.5,breaths/min,False
CJ16050_02M04,M04,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,1-hour postdose,2.0,92.9,breaths/min,False
CJ16050_02M05,M05,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,1-hour postdose,2.0,94.4,breaths/min,False
CJ16050_02M06,M06,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,1-hour postdose,2.0,90.8,breaths/min,False
CJ16050_00M01,M01,M,0,Control,RESPRATE,Respiratory Rate,2-hour postdose,3.0,130.7,breaths/min,True
CJ16050_00M02,M02,M,0,Control,RESPRATE,Respiratory Rate,2-hour postdose,3.0,123.6,breaths/min,True
CJ16050_00M03,M03,M,0,Control,RESPRATE,Respiratory Rate,2-hour postdose,3.0,122.4,breaths/min,True
CJ16050_00M04,M04,M,0,Control,RESPRATE,Respiratory Rate,2-hour postdose,3.0,94.9,breaths/min,True
CJ16050_00M05,M05,M,0,Control,RESPRATE,Respiratory Rate,2-hour postdose,3.0,102.9,breaths/min,True
CJ16050_00M06,M06,M,0,Control,RESPRATE,Respiratory Rate,2-hour postdose,3.0,100.6,breaths/min,True
CJ16050_01M01,M01,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,2-hour postdose,3.0,159.1,breaths/min,False
CJ16050_01M03,M03,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,2-hour postdose,3.0,178.1,breaths/min,False
CJ16050_01M04,M04,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,2-hour postdose,3.0,134.1,breaths/min,False
CJ16050_01M05,M05,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,2-hour postdose,3.0,181.9,breaths/min,False
CJ16050_01M06,M06,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,2-hour postdose,3.0,171.2,breaths/min,False
CJ16050_02M01,M01,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,2-hour postdose,3.0,82.6,breaths/min,False
CJ16050_02M02,M02,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,2-hour postdose,3.0,111.5,breaths/min,False
CJ16050_02M03,M03,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,2-hour postdose,3.0,83.8,breaths/min,False
CJ16050_02M04,M04,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,2-hour postdose,3.0,79.7,breaths/min,False
CJ16050_02M05,M05,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,2-hour postdose,3.0,76.3,breaths/min,False
CJ16050_02M06,M06,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,2-hour postdose,3.0,77.5,breaths/min,False
CJ16050_00M01,M01,M,0,Control,RESPRATE,Respiratory Rate,4-hour postdose,4.0,129.6,breaths/min,True
CJ16050_00M02,M02,M,0,Control,RESPRATE,Respiratory Rate,4-hour postdose,4.0,113.9,breaths/min,True
CJ16050_00M03,M03,M,0,Control,RESPRATE,Respiratory Rate,4-hour postdose,4.0,92.6,breaths/min,True
CJ16050_00M04,M04,M,0,Control,RESPRATE,Respiratory Rate,4-hour postdose,4.0,101.2,breaths/min,True
CJ16050_00M05,M05,M,0,Control,RESPRATE,Respiratory Rate,4-hour postdose,4.0,155.0,breaths/min,True
CJ16050_00M06,M06,M,0,Control,RESPRATE,Respiratory Rate,4-hour postdose,4.0,116.0,breaths/min,True
CJ16050_01M01,M01,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,4-hour postdose,4.0,133.3,breaths/min,False
CJ16050_01M02,M02,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,4-hour postdose,4.0,198.4,breaths/min,False
CJ16050_01M03,M03,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,4-hour postdose,4.0,187.9,breaths/min,False
CJ16050_01M04,M04,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,4-hour postdose,4.0,207.9,breaths/min,False
CJ16050_01M05,M05,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,4-hour postdose,4.0,203.1,breaths/min,False
CJ16050_01M06,M06,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,4-hour postdose,4.0,178.1,breaths/min,False
CJ16050_02M01,M01,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,4-hour postdose,4.0,83.8,breaths/min,False
CJ16050_02M02,M02,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,4-hour postdose,4.0,91.3,breaths/min,False
CJ16050_02M03,M03,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,4-hour postdose,4.0,80.5,breaths/min,False
CJ16050_02M04,M04,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,4-hour postdose,4.0,70.8,breaths/min,False
CJ16050_02M05,M05,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,4-hour postdose,4.0,72.4,breaths/min,False
CJ16050_02M06,M06,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,4-hour postdose,4.0,76.3,breaths/min,False
CJ16050_00M01,M01,M,0,Control,RESPRATE,Respiratory Rate,8-hour postdose,5.0,110.9,breaths/min,True
CJ16050_00M02,M02,M,0,Control,RESPRATE,Respiratory Rate,8-hour postdose,5.0,88.3,breaths/min,True
CJ16050_00M03,M03,M,0,Control,RESPRATE,Respiratory Rate,8-hour postdose,5.0,107.0,breaths/min,True
CJ16050_00M04,M04,M,0,Control,RESPRATE,Respiratory Rate,8-hour postdose,5.0,101.4,breaths/min,True
CJ16050_00M05,M05,M,0,Control,RESPRATE,Respiratory Rate,8-hour postdose,5.0,124.5,breaths/min,True
CJ16050_00M06,M06,M,0,Control,RESPRATE,Respiratory Rate,8-hour postdose,5.0,107.9,breaths/min,True
CJ16050_01M01,M01,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,8-hour postdose,5.0,182.3,breaths/min,False
CJ16050_01M02,M02,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,8-hour postdose,5.0,214.5,breaths/min,False
CJ16050_01M03,M03,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,8-hour postdose,5.0,169.4,breaths/min,False
CJ16050_01M04,M04,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,8-hour postdose,5.0,125.8,breaths/min,False
CJ16050_01M05,M05,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,8-hour postdose,5.0,183.4,breaths/min,False
CJ16050_01M06,M06,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,8-hour postdose,5.0,155.4,breaths/min,False
CJ16050_02M01,M01,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,8-hour postdose,5.0,83.4,breaths/min,False
CJ16050_02M02,M02,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,8-hour postdose,5.0,89.6,breaths/min,False
CJ16050_02M03,M03,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,8-hour postdose,5.0,87.5,breaths/min,False
CJ16050_02M04,M04,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,8-hour postdose,5.0,79.6,breaths/min,False
CJ16050_02M05,M05,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,8-hour postdose,5.0,73.2,breaths/min,False
CJ16050_02M06,M06,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,8-hour postdose,5.0,79.7,breaths/min,False
CJ16050_00M01,M01,M,0,Control,RESPRATE,Respiratory Rate,Predose,1.0,99.5,breaths/min,True
CJ16050_00M02,M02,M,0,Control,RESPRATE,Respiratory Rate,Predose,1.0,77.6,breaths/min,True
CJ16050_00M03,M03,M,0,Control,RESPRATE,Respiratory Rate,Predose,1.0,71.8,breaths/min,True
CJ16050_00M04,M04,M,0,Control,RESPRATE,Respiratory Rate,Predose,1.0,88.0,breaths/min,True
CJ16050_00M05,M05,M,0,Control,RESPRATE,Respiratory Rate,Predose,1.0,90.7,breaths/min,True
CJ16050_00M06,M06,M,0,Control,RESPRATE,Respiratory Rate,Predose,1.0,122.4,breaths/min,True
CJ16050_01M01,M01,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,Predose,1.0,90.3,breaths/min,False
CJ16050_01M02,M02,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,Predose,1.0,106.5,breaths/min,False
CJ16050_01M03,M03,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,Predose,1.0,94.6,breaths/min,False
CJ16050_01M04,M04,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,Predose,1.0,71.6,breaths/min,False
CJ16050_01M05,M05,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,Predose,1.0,79.8,breaths/min,False
CJ16050_01M06,M06,M,100,Compound A 100 mg/kg,RESPRATE,Respiratory Rate,Predose,1.0,94.3,breaths/min,False
CJ16050_02M01,M01,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,Predose,1.0,84.4,breaths/min,False
CJ16050_02M02,M02,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,Predose,1.0,104.5,breaths/min,False
CJ16050_02M03,M03,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,Predose,1.0,77.9,breaths/min,False
CJ16050_02M04,M04,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,Predose,1.0,71.5,breaths/min,False
CJ16050_02M05,M05,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,Predose,1.0,85.8,breaths/min,False
CJ16050_02M06,M06,M,1000,Compound A 1000 mg/kg,RESPRATE,Respiratory Rate,Predose,1.0,111.6,breaths/min,False
CJ16050_00M01,M01,M,0,Control,TIDALVOL,Tidal Volume,1-hour postdose,2.0,1.312,mL/breath,True
CJ16050_00M02,M02,M,0,Control,TIDALVOL,Tidal Volume,1-hour postdose,2.0,1.593,mL/breath,True
CJ16050_00M03,M03,M,0,Control,TIDALVOL,Tidal Volume,1-hour postdose,2.0,1.522,mL/breath,True
CJ16050_00M04,M04,M,0,Control,TIDALVOL,Tidal Volume,1-hour postdose,2.0,1.412,mL/breath,True
CJ16050_00M05,M05,M,0,Control,TIDALVOL,Tidal Volume,1-hour postdose,2.0,1.424,mL/breath,True
CJ16050_00M06,M06,M,0,Control,TIDALVOL,Tidal Volume,1-hour postdose,2.0,1.46,mL/breath,True
CJ16050_01M01,M01,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,1-hour postdose,2.0,1.37,mL/breath,False
CJ16050_01M02,M02,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,1-hour postdose,2.0,1.241,mL/breath,False
CJ16050_01M03,M03,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,1-hour postdose,2.0,1.468,mL/breath,False
CJ16050_01M04,M04,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,1-hour postdose,2.0,1.619,mL/breath,False
CJ16050_01M05,M05,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,1-hour postdose,2.0,1.953,mL/breath,False
CJ16050_01M06,M06,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,1-hour postdose,2.0,1.31,mL/breath,False
CJ16050_02M01,M01,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,1-hour postdose,2.0,1.257,mL/breath,False
CJ16050_02M02,M02,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,1-hour postdose,2.0,1.065,mL/breath,False
CJ16050_02M03,M03,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,1-hour postdose,2.0,0.835,mL/breath,False
CJ16050_02M04,M04,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,1-hour postdose,2.0,0.847,mL/breath,False
CJ16050_02M05,M05,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,1-hour postdose,2.0,1.063,mL/breath,False
CJ16050_02M06,M06,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,1-hour postdose,2.0,1.234,mL/breath,False
CJ16050_00M01,M01,M,0,Control,TIDALVOL,Tidal Volume,2-hour postdose,3.0,1.56,mL/breath,True
CJ16050_00M02,M02,M,0,Control,TIDALVOL,Tidal Volume,2-hour postdose,3.0,1.817,mL/breath,True
CJ16050_00M03,M03,M,0,Control,TIDALVOL,Tidal Volume,2-hour postdose,3.0,1.34,mL/breath,True
CJ16050_00M04,M04,M,0,Control,TIDALVOL,Tidal Volume,2-hour postdose,3.0,1.412,mL/breath,True
CJ16050_00M05,M05,M,0,Control,TIDALVOL,Tidal Volume,2-hour postdose,3.0,1.603,mL/breath,True
CJ16050_00M06,M06,M,0,Control,TIDALVOL,Tidal Volume,2-hour postdose,3.0,1.677,mL/breath,True
CJ16050_01M01,M01,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,2-hour postdose,3.0,1.323,mL/breath,False
CJ16050_01M03,M03,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,2-hour postdose,3.0,1.577,mL/breath,False
CJ16050_01M04,M04,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,2-hour postdose,3.0,1.465,mL/breath,False
CJ16050_01M05,M05,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,2-hour postdose,3.0,1.572,mL/breath,False
CJ16050_01M06,M06,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,2-hour postdose,3.0,1.585,mL/breath,False
CJ16050_02M01,M01,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,2-hour postdose,3.0,1.313,mL/breath,False
CJ16050_02M02,M02,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,2-hour postdose,3.0,0.94,mL/breath,False
CJ16050_02M03,M03,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,2-hour postdose,3.0,0.877,mL/breath,False
CJ16050_02M04,M04,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,2-hour postdose,3.0,0.816,mL/breath,False
CJ16050_02M05,M05,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,2-hour postdose,3.0,1.085,mL/breath,False
CJ16050_02M06,M06,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,2-hour postdose,3.0,1.208,mL/breath,False
CJ16050_00M01,M01,M,0,Control,TIDALVOL,Tidal Volume,4-hour postdose,4.0,1.64,mL/breath,True
CJ16050_00M02,M02,M,0,Control,TIDALVOL,Tidal Volume,4-hour postdose,4.0,1.697,mL/breath,True
CJ16050_00M03,M03,M,0,Control,TIDALVOL,Tidal Volume,4-hour postdose,4.0,1.639,mL/breath,True
CJ16050_00M04,M04,M,0,Control,TIDALVOL,Tidal Volume,4-hour postdose,4.0,1.444,mL/breath,True
CJ16050_00M05,M05,M,0,Control,TIDALVOL,Tidal Volume,4-hour postdose,4.0,1.629,mL/breath,True
