ID,Category,Test type,HELM string,Valid?,Mol Weight,Mol Formula,Cannonical SMILES
,Brackets and repeating groups (NB repeating CHEMs are not allowed),Repeating combo RNA - absolute value,RNA1{R(C)P.(R(U)P)'3'.R(A)P}$$$$V2.0,yes,1570.9,C46H59N14O38P5 ,C1=CN([C@H]2[C@@H]([C@@H]([C@@H](CO[H])O2)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@H](N4C=CC(=O)NC4=O)O3)O)OP(=O)(O)OC[C@@H]5[C@H]([C@H]([C@H](N6C=CC(=O)NC6=O)O5)O)OP(=O)(O)OC[C@@H]7[C@H]([C@H]([C@H](N8C=CC(=O)NC8=O)O7)O)OP(=O)(O)OC[C@@H]9[C@H]([C@H]([C@H](N%10C=NC%11=C%10N=CN=C%11N)O9)O)OP(=O)(O)O)O)C(=O)N=C1N
,Brackets and repeating groups (NB repeating CHEMs are not allowed),"Repeating combo RNA - range, plus absolute",RNA1{R(A)P.(R(N)P)'4'.(R(G)P)'3-7'}$$$$V2.0,yes,NA,NA,NA
,Brackets and repeating groups (NB repeating CHEMs are not allowed),repeating single monomer peptide with multicharacter symbol,PEPTIDE1{[Bal]'11'}$$$$V2.0,yes,799.87,C33H57N11O12,C(CN[H])C(=O)NCCC(=O)NCCC(=O)NCCC(=O)NCCC(=O)NCCC(=O)NCCC(=O)NCCC(=O)NCCC(=O)NCCC(=O)NCCC(=O)O
,Brackets and repeating groups (NB repeating CHEMs are not allowed),repeating single monomer peptide with annotation,"PEPTIDE1{A.G'70-100'""repeatingMonomer""}$$$$V2.0",yes,NA,NA,NA
,Brackets and repeating groups (NB repeating CHEMs are not allowed),Repeating section of peptide polymer,PEPTIDE1{A.(G.A.C)'3'.A}$$$$V2.0,yes,839.96,C29H49N11O12S3,C[C@@H](C(NCC(N[C@H](C(N[C@@H](CS[H])C(NCC(N[C@H](C(N[C@@H](CS[H])C(NCC(N[C@H](C(N[C@@H](CS[H])C(NCC(O)=O)=O)=O)C)=O)=O)=O)C)=O)=O)=O)C)=O)=O)N[H]
,Brackets and repeating groups (NB repeating CHEMs are not allowed),Repeating section of RNA polymer,RNA1{R(A)P.R(C)P.(R(T)P)'2'.R(G)}$$$$V2.0,yes,1612.06,C49H69N17O37P4,O[C@H]1[C@H](N(C=N2)C3=C2C(N)=NC=N3)O[C@H](CO[H])[C@H]1OP(O)(OC[C@H]4O[C@@H](N5C=CC(N)=NC5=O)[C@H](O)[C@@H]4OP(O)(OC[C@H]6O[C@@H](N(C7=O)C=C(C)C(N7)=O)[C@H](O)[C@@H]6OP(O)(OC[C@H]8O[C@@H](N(C9=O)C=C(C)C(N9)=O)[C@H](O)[C@@H]8OP(OC[C@H]%10O[C@@H](N(C=N%11)C(N=C(N)N%12)=C%11C%12=O)[C@H](O)[C@@H]%10O[H])(O)=O)=O)=O)=O
,Monomer mixtures and alternatives,Mixture,PEPTIDE1{A.(A+G+C).G.C}$$$$V2.0,yes,NA,NA,NA
,Monomer mixtures and alternatives,Mixture with ratios,PEPTIDE1{A.(A:1+G:2+C:3).G.C}$$$$V2.0,yes,NA,NA,NA
,Monomer mixtures and alternatives,Multiple mixtures in a molecules,PEPTIDE1{A.A.A.A.(A+G).A.A.A.A.(A+G+L).A.A.A.A.A.A.A.A.A.A.A.C.D.D.D.D.D.D.D.D.D.D.D.D.D}$$$$V2.0,yes,NA,NA,NA
,Monomer mixtures and alternatives,List of alternatives,"PEPTIDE1{A.(A,G,L).G.C}$$$$V2.0",yes,NA,NA,NA
,Monomer mixtures and alternatives,Peptide with alternative monomers and multicharacter monomers,"PEPTIDE1{[fmoc].D.(V,[dV]).Y.A}$$$$V2.0",yes,NA,NA,NA
,Monomer mixtures and alternatives,List of alternatives with ambiguous monomers,"PEPTIDE1{A.A.(X,*).A.A.C.D.D.E.E}$$$$V2.0",yes,NA,NA,NA
,Monomer mixtures and alternatives,Alternatives with ratios,"PEPTIDE1{A.(A:1,G:9).G.C}$$$$V2.0",yes,NA,NA,NA
,Monomer mixtures and alternatives,Alternatives with more complex ratios and multicharacter monomers,"PEPTIDE1{A.A.A.A.(A:1.1,G:69.5,W:25.5,[Nal]:3.9).A.A.C.D.D.E.E}$$$$V2.0",yes,NA,NA,NA
,Group (polymer) mixtures and alternatives,Peptide alternatives,"PEPTIDE1{A.C.D}|PEPTIDE2{D.A.C}$$G3(PEPTIDE1,PEPTIDE2)$$V2.0",yes,NA,NA,NA
,Group (polymer) mixtures and alternatives,Peptide alternatives with ratios,PEPTIDE1{A.C.D}|PEPTIDE2{D.A.C}$$G3(PEPTIDE1:2+PEPTIDE2:1)$$V2.0,yes,NA,NA,NA
,Group (polymer) mixtures and alternatives,Peptide alternatives with annotation,"PEPTIDE1{A.C.D}""Polymer 1""|PEPTIDE2{D.A.C}""Polymer 2""$$G3(PEPTIDE1,PEPTIDE2)$$V2.0",yes,NA,NA,NA
,Group (polymer) mixtures and alternatives,Peptide alternatives with ratios and annotation,"PEPTIDE1{A.C.D}""Polymer 1""|PEPTIDE2{D.A.C}""Polymer 2""$$G3(PEPTIDE1:2,PEPTIDE2:5)$$V2.0",yes,NA,NA,NA
,Group (polymer) mixtures and alternatives,Peptide mixture,PEPTIDE1{A.C.D}|PEPTIDE2{D.A.C}$$G3(PEPTIDE1+PEPTIDE2)$$V2.0,yes,NA,NA,NA
,Group (polymer) mixtures and alternatives,RNA alternatives,"RNA1{R(A)P.R(C)P.R(G)}|RNA2{R(A)P.R(C)P.R(G)}$$G3(RNA1,RNA2)$$V2.0",yes,NA,NA,NA
,Group (polymer) mixtures and alternatives,RNA mixture,RNA1{R(A)P.R(C)P.R(G)}|RNA2{R(A)P.R(C)P.R(G)}$$G3(RNA1+RNA2)$$V2.0,yes,NA,NA,NA
,Group (polymer) mixtures and alternatives,RNA and CHEM mixture with ratios and annotation,"CHEM1{*}|RNA1{R(C)P.R(C)P}|RNA2{R(A)P.R(G)P.R(C)P}$G3,CHEM1,?:?-1:?$G3(RNA2+RNA1)$$V2.0",yes,NA,NA,NA
,Group (polymer) mixtures and alternatives,Alternative peptides attached to unknown chem,"PEPTIDE1{A.C.D.E}|PEPTIDE2{G.C.S.P.P.K}|CHEM1{*}$G1,CHEM1,C:R3-1:?$G1(PEPTIDE1,PEPTIDE2)$$V2.0",yes,NA,NA,NA
,Group (polymer) mixtures and alternatives,Mixture of peptides attached to unknown chem,"PEPTIDE1{A.C.D.E.E}|PEPTIDE2{G.C.S.S.P.P.K}|CHEM1{[SMCC]}$G1,CHEM1,?:?-?:?$G1(PEPTIDE1+PEPTIDE2)$$V2.0",yes,NA,NA,NA
,Group (polymer) mixtures and alternatives,Peptide and chem connected ratio 1:2.5,"PEPTIDE1{A.A.A.A.A.C.D.D.D.D.D.D.D.E.E.E}|CHEM1{[PEG2]}$PEPTIDE1,CHEM1,C:R3-1:R1$G1(PEPTIDE1+CHEM1:2.5)$$V2.0",yes,NA,NA,NA
,Group (polymer) mixtures and alternatives,Connected chem and peptide ratio 1:2.5 two unconnected instances,"PEPTIDE1{A.A.A.A.A.C.D.D.D.D.D.E.E.E.E}|PEPTIDE2{G.G.G.C.S.S.S.S.S.P.P.K.K.K.K}|CHEM1{[PEG2]}|CHEM2{[SMCC]}$PEPTIDE1,CHEM1,C:R3-1:R1|PEPTIDE2,CHEM2,C:R3-1:R1$G1(PEPTIDE1+CHEM1:2.5)|G2(PEPTIDE2+CHEM2:1.5)$$V2.0",yes,NA,NA,NA
,Unknown monomers,Blobs with direct bond,"BLOB1{Bead}|PEPTIDE1{A.G.T}$PEPTIDE1,BLOB1,1:R1-?:?$$$V2.0",yes,NA,NA,NA
,Unknown monomers,Blob and PEPTIDE no connection with annotation,"BLOB1{Bead}""Aminated Polystyrene""|PEPTIDE1{A.G.T}$$$$V2.0",yes,NA,NA,NA
,Single monomer annotations,Monomer annotation peptide,"PEPTIDE1{A.A.C""mutation"".D.E.E}$$$$V2.0",yes,636.63,C23H36N6O13S,C[C@@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CS[H])C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O)N[H]
,Single monomer annotations,Unknown monomer with annotation,"PEPTIDE1{*""IL6""}$$$$V2.0",yes,NA,NA,NA
,Single monomer annotations,Monomer annotation on RNA base,"RNA1{R(A""mutation"")P.R(U)P.R(G)P}$$$$V2.0",yes,998.59,C29H37N12O22P3,O[C@H]1[C@H](N(C=N2)C3=C2C(N)=NC=N3)O[C@H](CO[H])[C@H]1OP(O)(OC[C@H]4O[C@@H](N(C5=O)C=CC(N5)=O)[C@H](O)[C@@H]4OP(O)(OC[C@H]6O[C@@H](N(C=N7)C(N=C(N)N8)=C7C8=O)[C@H](O)[C@@H]6OP(O)(O)=O)=O)=O
,Single monomer annotations,Monomer annnotation on RNA  sugar,"RNA1{R(A)P.R""mutation""(U)P.R(G)P}$$$$V2.0",yes,998.59,C29H37N12O22P3,O[C@H]1[C@H](N(C=N2)C3=C2C(N)=NC=N3)O[C@H](CO[H])[C@H]1OP(O)(OC[C@H]4O[C@@H](N(C5=O)C=CC(N5)=O)[C@H](O)[C@@H]4OP(O)(OC[C@H]6O[C@@H](N(C=N7)C(N=C(N)N8)=C7C8=O)[C@H](O)[C@@H]6OP(O)(O)=O)=O)=O
,Single monomer annotations,Monomer annnotation on RNA  phosphate,"RNA1{R(A)P.R(G)P""mutation"".R(U)P}$$$$V2.0",yes,998.59,C29H37N12O22P3,O[C@H]1[C@H](N(C=N2)C3=C2C(N)=NC=N3)O[C@H](CO[H])[C@H]1OP(O)(OC[C@H]4O[C@@H](N(C=N5)C(N=C(N)N6)=C5C6=O)[C@H](O)[C@@H]4OP(O)(OC[C@H]7O[C@@H](N(C8=O)C=CC(N8)=O)[C@H](O)[C@@H]7OP(O)(O)=O)=O)=O
,Single monomer annotations,Monomer annotation on CHEM,"CHEM1{[hxy]""Annotation""}|PEPTIDE1{A.C.V.L.L}$CHEM1,PEPTIDE1,1:R1-1:R1$$$V2.0",yes,613.81,C29H51N5O7S,O(CCCCC#C)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)O)C(C)C)CS[H]
,Single monomer annotations,Monomer annotation blob,"BLOB1{BEAD}""Animated Polystyrene""$$$$V2.0",yes,NA,NA,NA
,Annotations on polymers,Simple polymer annotation,"PEPTIDE1{A.C.D.D.E}""HC""|PEPTIDE2{G.C.S.S.S.P.K.K.V.K}""LC""$$$$V2.0",yes,1571.73,C61H106N18O26S2,CC(C)[C@@H](C(=O)N[C@@H](CCCCN[H])C(=O)O)NC(=O)[C@H](CCCCN[H])NC(=O)[C@H](CCCCN[H])NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CS[H])NC(=O)CN[H].C[C@@H](C(=O)N[C@@H](CS[H])C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O)N[H]
,Annotations on polymers,Simple polymer annotation - RNA,"RNA1{R(A)P.R(C)P.R(G)P}""Test annotation""$$$$V2.0",yes,997.61,C29H38N13O21P3,O=P(O)(O)O[C@@H]1[C@@H](COP(O)(O[C@@H]2[C@@H](COP(O)(O[C@@H]3[C@@H](CO[H])O[C@@H](N(C=N4)C5=C4C(N)=NC=N5)[C@@H]3O)=O)O[C@@H](N6C=CC(N)=NC6=O)[C@@H]2O)=O)O[C@@H](N(C=N7)C(N=C(N)N8)=C7C8=O)[C@@H]1O
,Annotations on polymers,Simple polymer annotation - CHEM,"CHEM1{[A6OH]}""Test annotation""$$$$V2.0",yes,117.19,C6H15NO,[H]NCCCCCCO[H]
,Annotations on polymers,Group annotation - middle section of peptide,"PEPTIDE1{A.A.A.C.C}|PEPTIDE2{D.L.L.L.V.V.V}|PEPTIDE3{C.D.D}""Test annotation""$PEPTIDE1,PEPTIDE3,5:R2-1:R1|PEPTIDE3,PEPTIDE2,3:R2-1:R1$$$V2.0",yes,1522.81,C63H107N15O22S3,CC(C)C[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CS[H])NC(=O)[C@H](CS[H])NC(=O)[C@H](CS[H])NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)N[H] 
,Annotations on polymers,Group annotation - middle section of peptide with CHEM ambiguous bond,"CHEM1{[Az]}|PEPTIDE1{A.A.A.A.A.A.A.A.A}|PEPTIDE2{A.C.D.D.D.D.D.D.D.D.D.D.D.D.D.D.D.D.D}|PEPTIDE3{A.A.A.A.A.A.A.A.A.A.A}""Test Annotation""$PEPTIDE1,PEPTIDE3,9:R2-1:R1|PEPTIDE3,PEPTIDE2,11:R2-1:R1|PEPTIDE3,CHEM1,?:?-1:R1$$$V2.0",yes,NA,NA,NA
,Annotations on bonds,Annotation on ambiguous bond between peptide group and CHEM,"CHEM1{[SMCC]}|PEPTIDE1{A.A.A.C.D.D.E.E}$PEPTIDE1,CHEM1,C:R3-1:R1""Specific Conjugation""$$$V2.0",yes,NA,NA,NA
,Annotations on bonds,Annotation on bond between Chem and RNA,"CHEM1{[SMCC]}|RNA1{R(A)P.R(C)P.R(G)}$CHEM1,RNA1,1:R1-?:?""my annotation""$$$V2.0",yes,NA,NA,NA
,Third section annotations,PEPTIDE JSON annotation,"PEPTIDE1{L.V.A}$$${""PEPTIDE1"":{""ChainType"":""hc""}}$V2.0",yes,301.38,C14H27N3O4,CC(C)C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C)C(=O)O)N[H] 
,Third section annotations,BLOB JSON annotation,"BLOB1{Bead}$$${""Name"":""Gold particle conjugated with peptides"",""Load"":26}$V2.0",yes,NA,NA,NA
,Third section annotations,RNA annotation,"RNA1{R(A)P.R(C)P.R(G)}$$${""my annotation""}$V2.0",yes,917.63,C29H37N13O18P2,C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)O[C@@H]3[C@@H](CO[H])O[C@H]([C@@H]3O)N4C=NC5=C4N=CN=C5N)O2)OP(=O)(O)OC[C@@H]6[C@H]([C@H]([C@H](N7C=NC8=C7N=C(N)NC8=O)O6)O)O[H])O)C(=O)N=C1N
,Third section annotations,BLOB annotation and third section annotation. Ambiguous peptide and blob bond,"PEPTIDE1{C.C}|BLOB1{Gold Particle}""Au10, Diameter:10nm""$PEPTIDE1,BLOB1,C:R3-?:?$G1(PEPTIDE1:20-34+BLOB1)${""Name"":""Gold particle conjugated with peptides"",""Load"":26}$V2.0",yes,NA,NA,NA
,Connection ambiguity,"Blob-peptide - BLOB unspecified, PEPTIDE unspecified","BLOB1{Bead}|PEPTIDE1{A.G.T}$BLOB1,PEPTIDE1,?:?-?:?$$$V2.0",yes,NA,NA,NA
,Connection ambiguity,"Blob-peptide - BLOB location specified, PEPTIDE unspecified","BLOB1{Bead}|PEPTIDE1{A.G.T}$BLOB1,PEPTIDE1,1:?-?:?$$$V2.0",yes,NA,NA,NA
,Connection ambiguity,"Blob-peptide - BLOB R group specified, PEPTIDE unspecified","BLOB1{Bead}|PEPTIDE1{A.G.T}$BLOB1,PEPTIDE1,?:R1-?:?$$$V2.0",no,NA,NA,NA
,Connection ambiguity,"Blob-peptide - BLOB unspecified, PEPTIDE location specified","BLOB1{Bead}|PEPTIDE1{A.G.T}$BLOB1,PEPTIDE1,?:?-1:?$$$V2.0",yes,NA,NA,NA
,Connection ambiguity,"Blob-peptide - BLOB unspecified, PEPTIDE R group specified","BLOB1{Bead}|PEPTIDE1{A.G.T}$BLOB1,PEPTIDE1,?:?-?:R1$$$V2.0",yes,NA,NA,NA
,Connection ambiguity,"Blob-peptide - BLOB specified, PEPTIDE unspecified","BLOB1{Bead}|PEPTIDE1{A.G.T}$BLOB1,PEPTIDE1,1:R1-?:?$$$V2.0",no,NA,NA,NA
,Connection ambiguity,"Blob-peptide - BLOB unspecified, PEPTIDE specified","BLOB1{Bead}|PEPTIDE1{A.G.T}$BLOB1,PEPTIDE1,?:?-1:R1$$$V2.0",yes,NA,NA,NA
,Connection ambiguity,"Blob-peptide - BLOB specified, PEPTIDE specified","BLOB1{Bead}|PEPTIDE1{A.G.T}$BLOB1,PEPTIDE1,1:R1-1:R1$$$V2.0",no,NA,NA,NA
,Connection ambiguity,Chem-peptide connection to unknown cys,"CHEM1{[SMCC]}|PEPTIDE1{A.A.A.C.A.C.D.D.D.E.E.E.E.E}$PEPTIDE1,CHEM1,C:?-?:?$$$V2.0",yes,NA,NA,NA
,Connection ambiguity,PEPTIDE-PEPTIDE one side fully specified,"PEPTIDE1{A}|PEPTIDE2{A.C}$PEPTIDE1,PEPTIDE2,1:R1-?:?$$$V2.0 ",yes,NA,NA,NA
,Connection ambiguity,"PEPTIDE - RNA, peptide fully specified","PEPTIDE1{A.C}|RNA1{P}$RNA1,PEPTIDE1,1:R2-?:?$$$V2.0",yes,NA,NA,NA
,Connection ambiguity,"PEPTIDE - different RNA, peptide fully specified","PEPTIDE1{A.C}|RNA1{R}$RNA1,PEPTIDE1,1:R2-?:?$$$V2.0",yes,NA,NA,NA
,Connection ambiguity,"Unknown PEPTIDE-PEPTIDE, PEPTIDE side fully specified","PEPTIDE1{*}|PEPTIDE2{A.C}$PEPTIDE1,PEPTIDE2,1:?-?:R1$$$V2.0",yes,NA,NA,NA
,Connection ambiguity,"Unknown PEPTIDE-PEPTIDE, unknown PEPTIDE side incorrectly specified","PEPTIDE1{*}|PEPTIDE2{A.C}$PEPTIDE1,PEPTIDE2,1:R1-?:?$$$V2.0",no,NA,NA,NA
,Connection ambiguity,"PEPTIDE - unknown RNA, peptide fully specified","PEPTIDE1{A.C}|RNA1{*}$RNA1,PEPTIDE1,?:?-1:R2$$$V2.0",yes,NA,NA,NA
,Connection ambiguity,Chem-peptide entirely unspecified,"PEPTIDE1{A.A.A.A.A.C.D.D.D.E.E.E.E.E}|PEPTIDE2{G.G.G.C.S.S.S.P.P.P.P.K.K.K.K.K}|CHEM1{[SMCC]}$PEPTIDE1,CHEM1,?:?-?:?$$$V2.0",yes,NA,NA,NA
,Connection ambiguity,"Unspecified PEPTIDE connection, specified CHEM","CHEM1{*}|PEPTIDE1{A.C}$CHEM1,PEPTIDE1,1:R1-?:?$$$V2.0",yes,NA,NA,NA
,Connection ambiguity,"Specified PEPTIDE connection, unspecified CHEM","CHEM1{*}|PEPTIDE1{A.C}$CHEM1,PEPTIDE1,?:?-1:R1$$$V2.0",yes,NA,NA,NA
,Connection ambiguity,"Unspecified PEPTIDE connection, unspecified CHEM","CHEM1{*}|PEPTIDE1{A.C}$CHEM1,PEPTIDE1,?:?-?:?$$$V2.0",yes,NA,NA,NA
,Connection ambiguity,"Specified PEPTIDE connection, specified CHEM","CHEM1{*}|PEPTIDE1{A.C}$CHEM1,PEPTIDE1,1:R1-1:R1$$$V2.0",no,NA,NA,NA
,Connection ambiguity,RNA * to RNA strand both ends (incorrectly) fully specified,"RNA1{*}|RNA2{R(A)P.R(C)P}$RNA1,RNA2,1:R1-1:R1$$$V2.0",no,NA,NA,NA
,Connection ambiguity,RNA * to RNA strand RNA end fully specified,"RNA1{*}|RNA2{R(A)P.R(C)P}$RNA1,RNA2,?:?-1:R1$$$V2.0",yes,NA,NA,NA
,Connection ambiguity,RNA * to RNA strand RNA * end fully specified,"RNA1{*}|RNA2{R(A)P.R(C)P}$RNA1,RNA2,1:R1-?:?$$$V2.0",no,NA,NA,NA
