Hit,Target
1345807,TRG-44
1345808,TRG-89
1345808,TRG-39
1345808,TRG-72
1345808,TRG-86
1345808,TRG-46
1345808,TRG-16
1345808,TRG-95
1345808,TRG-37
1345809,TRG-16
1345809,TRG-57
1345809,TRG-44
1345809,TRG-52
1345809,TRG-77
1345809,TRG-33
1345809,TRG-47
1345810,TRG-34
1345810,TRG-35
1345810,TRG-57
1345810,TRG-24
1345810,TRG-22
1345810,TRG-16
1345810,TRG-59
1345810,TRG-34
1345810,TRG-83
1345811,TRG-67
1345811,TRG-38
1345811,TRG-4
1345811,TRG-17
1345812,TRG-10
1345812,TRG-32
1345812,TRG-98
1345812,TRG-98
1345812,TRG-9
1345812,TRG-85
1345812,TRG-44
1345812,TRG-36
1345812,TRG-2
1345813,TRG-34
1345813,TRG-10
1345813,TRG-2
1345813,TRG-48
1345813,TRG-34
1345814,TRG-67
1345814,TRG-65
1345815,TRG-54
1345815,TRG-98
1345815,TRG-7
1345815,TRG-11
1345815,TRG-62
1345815,TRG-96
1345815,TRG-35
1345816,TRG-84
1345816,TRG-16
1345816,TRG-54
1345816,TRG-72
1345816,TRG-92
1345817,TRG-90
1345817,TRG-26
1345817,TRG-13
1345817,TRG-18
1345817,TRG-68
1345818,TRG-17
1345818,TRG-82
1345818,TRG-31
1345818,TRG-66
1345818,TRG-42
1345818,TRG-76
1345818,TRG-13
1345818,TRG-38
1345819,TRG-31
1345820,TRG-61
1345820,TRG-68
1345820,TRG-22
1345820,TRG-14
1345820,TRG-78
1345820,TRG-17
1345820,TRG-31
1345821,TRG-41
1345822,TRG-22
1345822,TRG-68
1345822,TRG-50
1345822,TRG-83
1345822,TRG-69
1345822,TRG-70
1345822,TRG-63
1345822,TRG-50
1345823,TRG-41
1345823,TRG-70
1345826,TRG-73
1345826,TRG-66
1345826,TRG-37
1345826,TRG-4
1345826,TRG-23
1345826,TRG-48
1345827,TRG-45
1345827,TRG-60
1345827,TRG-59
1345827,TRG-52
1345827,TRG-74
1345827,TRG-88
1345827,TRG-91
1345827,TRG-20
1345828,TRG-41
1345828,TRG-39
1345828,TRG-62
1345828,TRG-72
1345828,TRG-55
1345829,TRG-49
1345829,TRG-62
1345829,TRG-94
1345829,TRG-63
1345829,TRG-28
1345829,TRG-84
1345829,TRG-72
1345829,TRG-51
1345833,TRG-6
1345833,TRG-50
1345833,TRG-66
1345833,TRG-49
1345834,TRG-90
1345834,TRG-97
1345836,TRG-4
1345836,TRG-56
1345836,TRG-38
1345836,TRG-79
1345836,TRG-8
1345836,TRG-69
1345837,TRG-77
1345837,TRG-65
1345837,TRG-84
1345839,TRG-92
1345839,TRG-25
1345840,TRG-60
1345885,TRG-62
1345885,TRG-30
1345885,TRG-24
1345885,TRG-19
1345885,TRG-59
1345885,TRG-48
1345885,TRG-91
1345885,TRG-66
1345885,TRG-88
1345841,TRG-51
1345841,TRG-48
1345841,TRG-63
1345841,TRG-54
1345842,TRG-54
1345842,TRG-13
1345842,TRG-96
1345842,TRG-56
1345842,TRG-67
1345842,TRG-42
1345842,TRG-41
1345842,TRG-84
1345842,TRG-73
1345843,TRG-26
1345843,TRG-85
1345843,TRG-2
1345843,TRG-19
1345843,TRG-48
1345843,TRG-2
1345843,TRG-59
1345843,TRG-35
1345843,TRG-42
1345844,TRG-63
1345844,TRG-63
1345845,TRG-53
1345845,TRG-16
1345845,TRG-1
1345845,TRG-94
1345845,TRG-53
1345845,TRG-72
1345845,TRG-11
1345845,TRG-45
1345845,TRG-92
1345846,TRG-37
1345846,TRG-8
1345846,TRG-11
1345886,TRG-46
1345886,TRG-62
1345886,TRG-85
1345886,TRG-99
1345886,TRG-95
1345886,TRG-41
1345886,TRG-92
1345886,TRG-16
1345886,TRG-20
1345847,TRG-82
1345847,TRG-48
1345847,TRG-47
1345847,TRG-81
1345848,TRG-63
1345848,TRG-13
1345848,TRG-84
1345849,TRG-68
1345849,TRG-85
1345850,TRG-58
1345850,TRG-40
1345850,TRG-60
1345850,TRG-22
1345851,TRG-59
1345852,TRG-76
1345852,TRG-34
1345852,TRG-21
1345887,TRG-16
1345853,TRG-73
1345853,TRG-62
1345853,TRG-39
1345853,TRG-8
1345853,TRG-40
1345853,TRG-26
1345855,TRG-47
1345855,TRG-89
1345855,TRG-63
1345855,TRG-7
1345855,TRG-0
1345855,TRG-97
1345855,TRG-48
1345855,TRG-88
1345857,TRG-34
1345857,TRG-44
1345857,TRG-80
1345858,TRG-19
1345858,TRG-91
1345859,TRG-86
1345859,TRG-7
1345859,TRG-9
1345859,TRG-51
1345859,TRG-98
1345860,TRG-32
1345860,TRG-89
1345860,TRG-62
1345860,TRG-13
1345860,TRG-99
1345861,TRG-82
1345861,TRG-78
1345861,TRG-96
1345861,TRG-91
1345861,TRG-78
1345861,TRG-39
1345861,TRG-59
1345861,TRG-97
1345861,TRG-52
1345862,TRG-7
1345862,TRG-92
1345862,TRG-44
1345862,TRG-35
1345862,TRG-17
1345862,TRG-54
1345863,TRG-65
1345863,TRG-9
1345863,TRG-44
1345863,TRG-78
1345864,TRG-70
1345864,TRG-39
1345864,TRG-57
1345864,TRG-84
1345864,TRG-21
1345865,TRG-13
1345865,TRG-10
1345865,TRG-16
1345865,TRG-74
1345865,TRG-62
1345865,TRG-92
1345865,TRG-99
1345865,TRG-95
1345867,TRG-68
1345867,TRG-35
1345868,TRG-73
1345870,TRG-40
1345870,TRG-39
1345870,TRG-32
1345870,TRG-95
1345870,TRG-55
1345870,TRG-96
1345870,TRG-15
1345870,TRG-57
1345870,TRG-25
1345871,TRG-18
1345872,TRG-24
1345872,TRG-77
1345872,TRG-4
1345872,TRG-38
1345872,TRG-61
1345873,TRG-62
1345873,TRG-96
1345873,TRG-28
1346660,TRG-97
1346660,TRG-76
1346660,TRG-53
1346660,TRG-69
1345874,TRG-82
1345874,TRG-12
1345874,TRG-90
1345874,TRG-63
1345874,TRG-10
1345874,TRG-50
1345874,TRG-24
1345874,TRG-49
1345875,TRG-13
1345875,TRG-13
1345875,TRG-0
1345875,TRG-87
1345875,TRG-75
1345875,TRG-17
1345875,TRG-88
1345876,TRG-76
1345876,TRG-59
1345876,TRG-57
1345876,TRG-84
1345876,TRG-49
1345877,TRG-62
1345877,TRG-14
1345877,TRG-94
1345877,TRG-76
1345877,TRG-76
1345878,TRG-72
1345878,TRG-28
1345878,TRG-27
1345878,TRG-1
1345878,TRG-59
1345878,TRG-3
1345878,TRG-46
1345878,TRG-26
1360775,TRG-96
1360775,TRG-70
1345879,TRG-15
1345879,TRG-94
1345879,TRG-6
1345881,TRG-13
1345881,TRG-70
1345881,TRG-24
1345881,TRG-51
1345882,TRG-19
1345882,TRG-45
1345883,TRG-26
1345883,TRG-73
1345883,TRG-55
1345884,TRG-94
1345884,TRG-87
1360776,TRG-50
1360776,TRG-58
1360776,TRG-40
1345888,TRG-29
1345888,TRG-19
1345888,TRG-78
1345888,TRG-99
1345888,TRG-58
1345888,TRG-44
1345888,TRG-51
1345889,TRG-2
1345889,TRG-44
1345889,TRG-75
1345889,TRG-17
1345889,TRG-89
1345890,TRG-96
1345890,TRG-32
1345890,TRG-33
1345890,TRG-99
1345890,TRG-39
1345890,TRG-71
1345890,TRG-61
1345891,TRG-34
1345893,TRG-97
1345893,TRG-14
1345893,TRG-4
1345893,TRG-66
1345893,TRG-1
1345893,TRG-66
1345893,TRG-48
1345893,TRG-48
1345894,TRG-36
1345894,TRG-75
1345894,TRG-83
1345894,TRG-6
1345894,TRG-89
1345896,TRG-68
1345896,TRG-97
1345896,TRG-91
1345896,TRG-70
1345896,TRG-85
1345896,TRG-9
1345896,TRG-95
1345896,TRG-48
1345896,TRG-35
1345897,TRG-27
1345897,TRG-61
1345897,TRG-88
1345898,TRG-8
1345898,TRG-93
1345898,TRG-44
1345898,TRG-72
1345898,TRG-85
1345898,TRG-74
1345898,TRG-2
1345898,TRG-19
1345899,TRG-47
1345899,TRG-66
1345899,TRG-13
1345899,TRG-24
1345900,TRG-65
1345901,TRG-37
1345901,TRG-43
1345901,TRG-75
1345901,TRG-91
1345902,TRG-6
1345905,TRG-48
1345905,TRG-53
1345905,TRG-36
1345905,TRG-80
1345905,TRG-95
1345905,TRG-18
1345905,TRG-36
1345905,TRG-16
1345906,TRG-95
1345906,TRG-59
1345906,TRG-31
1345906,TRG-68
1345906,TRG-11
1345906,TRG-66
1346052,TRG-68
1346052,TRG-28
1346052,TRG-51
1346052,TRG-71
1346052,TRG-72
1345907,TRG-86
1345908,TRG-41
1345908,TRG-43
1345908,TRG-58
1345908,TRG-18
1345908,TRG-20
1345909,TRG-43
1345909,TRG-88
1345909,TRG-64
1345909,TRG-43
1345909,TRG-38
1345910,TRG-65
1345910,TRG-91
1345921,TRG-97
1345921,TRG-40
1345911,TRG-82
1345911,TRG-85
1345911,TRG-81
1345911,TRG-68
1345911,TRG-1
1345911,TRG-67
1345911,TRG-62
1345911,TRG-62
1345912,TRG-33
1345912,TRG-25
1345912,TRG-89
1345912,TRG-20
1345912,TRG-34
1345912,TRG-76
1345912,TRG-54
1345913,TRG-91
1345913,TRG-4
1345913,TRG-89
1345913,TRG-23
1345913,TRG-99
1345914,TRG-9
1345914,TRG-2
1345914,TRG-20
1345914,TRG-50
1345914,TRG-85
1345914,TRG-66
1345914,TRG-69
1345914,TRG-43
1345915,TRG-96
1345916,TRG-46
1345916,TRG-5
1345916,TRG-21
1345916,TRG-3
1345916,TRG-63
1345916,TRG-77
1345916,TRG-9
1345916,TRG-84
1345916,TRG-66
1345917,TRG-92
1345917,TRG-44
1345917,TRG-52
1345917,TRG-98
1345917,TRG-51
1345917,TRG-76
1345917,TRG-81
1345917,TRG-34
1345918,TRG-42
1345918,TRG-90
1345918,TRG-10
1345918,TRG-94
1345919,TRG-81
1345920,TRG-5
1345920,TRG-97
1345920,TRG-98
1345922,TRG-48
1345922,TRG-55
1345922,TRG-57
1345922,TRG-23
1345922,TRG-12
1345923,TRG-53
1345923,TRG-67
1345923,TRG-61
1345923,TRG-29
1345924,TRG-54
1345924,TRG-56
1345924,TRG-51
1345924,TRG-47
1345924,TRG-2
1345924,TRG-26
1345924,TRG-23
1345924,TRG-6
1345924,TRG-75
1345925,TRG-33
1345925,TRG-14
1345925,TRG-21
1345925,TRG-58
1345925,TRG-53
1345925,TRG-40
1345925,TRG-58
1345925,TRG-67
1345926,TRG-81
1345927,TRG-58
1345927,TRG-73
1345927,TRG-91
1345927,TRG-51
1345927,TRG-17
1345927,TRG-34
1345928,TRG-40
1345928,TRG-44
1345928,TRG-34
1345928,TRG-74
1345928,TRG-89
1345928,TRG-63
1345928,TRG-36
1345928,TRG-25
1345928,TRG-57
1345929,TRG-39
1345929,TRG-38
1345929,TRG-31
1345929,TRG-50
1345929,TRG-22
1345930,TRG-63
1345930,TRG-93
1345930,TRG-13
1345930,TRG-7
1345930,TRG-26
1345930,TRG-4
1345930,TRG-76
1345930,TRG-73
1345931,TRG-93
1345931,TRG-97
1345931,TRG-69
1345931,TRG-67
1345931,TRG-69
1345931,TRG-88
1345931,TRG-63
1345932,TRG-33
1345932,TRG-73
1345932,TRG-47
1345933,TRG-71
1345933,TRG-79
1345933,TRG-48
1345933,TRG-43
1345933,TRG-85
1345933,TRG-27
1345933,TRG-47
1345933,TRG-88
1345934,TRG-69
1345934,TRG-14
1345935,TRG-27
1345935,TRG-68
1345935,TRG-79
1345935,TRG-28
1345935,TRG-9
1345935,TRG-77
1345935,TRG-62
1345935,TRG-54
1345965,TRG-76
1345965,TRG-28
1345965,TRG-84
1345965,TRG-20
1345965,TRG-16
1345965,TRG-9
1345965,TRG-29
1345936,TRG-71
1345936,TRG-83
1345936,TRG-25
1345936,TRG-75
1345938,TRG-71
1345938,TRG-11
1345938,TRG-35
1345938,TRG-3
1345939,TRG-43
1345939,TRG-72
1345939,TRG-89
1345939,TRG-10
1345939,TRG-45
1345941,TRG-81
1345941,TRG-4
1345941,TRG-69
1345941,TRG-82
1345941,TRG-77
1345941,TRG-83
1345942,TRG-37
1345942,TRG-4
1345942,TRG-37
1345943,TRG-42
1345943,TRG-17
1345943,TRG-27
1345943,TRG-15
1345943,TRG-96
1345943,TRG-1
1345943,TRG-29
1345943,TRG-72
1345944,TRG-31
1345944,TRG-12
1345944,TRG-53
1345944,TRG-75
1345946,TRG-39
1345946,TRG-94
1345946,TRG-73
1345946,TRG-30
1345946,TRG-42
1345946,TRG-30
1345946,TRG-81
1345947,TRG-79
1345947,TRG-84
1345947,TRG-97
1345947,TRG-72
1345947,TRG-3
1345947,TRG-82
1345947,TRG-95
1345948,TRG-8
1345948,TRG-66
1345948,TRG-70
1345948,TRG-6
1345948,TRG-18
1345948,TRG-0
1345948,TRG-55
1345948,TRG-89
1345949,TRG-19
1345949,TRG-29
1345949,TRG-7
1345949,TRG-36
1345949,TRG-45
1345949,TRG-78
1345995,TRG-48
1345995,TRG-62
1345995,TRG-79
1345995,TRG-29
1345995,TRG-98
1345995,TRG-73
1345995,TRG-71
1345950,TRG-42
1345950,TRG-53
1345950,TRG-12
1345950,TRG-68
1345950,TRG-13
1345950,TRG-47
1345951,TRG-20
1345951,TRG-83
1345951,TRG-76
1345951,TRG-11
1345952,TRG-14
1345952,TRG-66
1345952,TRG-48
1345953,TRG-14
1345953,TRG-72
1345953,TRG-51
1345954,TRG-97
1345954,TRG-89
1345954,TRG-59
1345954,TRG-94
1345954,TRG-6
1345954,TRG-8
1345955,TRG-6
1345955,TRG-65
1345955,TRG-41
1345955,TRG-23
1345955,TRG-62
1345955,TRG-85
1345955,TRG-9
1345956,TRG-73
1345957,TRG-89
1345957,TRG-76
1345957,TRG-65
1345957,TRG-62
1345957,TRG-68
1345957,TRG-81
1345957,TRG-98
1345957,TRG-98
1345958,TRG-15
1345958,TRG-19
1345958,TRG-85
1345958,TRG-3
1345958,TRG-55
1345958,TRG-65
1345959,TRG-21
1345959,TRG-23
1345959,TRG-28
1345959,TRG-0
1345959,TRG-31
1345959,TRG-24
1345959,TRG-20
1345959,TRG-71
1345960,TRG-70
1345960,TRG-29
1345960,TRG-43
1345960,TRG-36
1345961,TRG-25
1345961,TRG-92
1345961,TRG-96
1345961,TRG-79
1345961,TRG-69
1345962,TRG-73
1345963,TRG-62
1345963,TRG-26
1345963,TRG-42
1345963,TRG-60
1345963,TRG-96
1345964,TRG-62
1345966,TRG-43
1345968,TRG-1
1345968,TRG-15
1345969,TRG-0
1345969,TRG-2
1345969,TRG-64
1345969,TRG-50
1345969,TRG-49
1345969,TRG-13
1345973,TRG-64
1345974,TRG-56
1345974,TRG-28
1345974,TRG-95
1345975,TRG-83
1345975,TRG-85
1345975,TRG-42
1345975,TRG-10
1345975,TRG-90
1345975,TRG-61
1345975,TRG-54
1345976,TRG-59
1345976,TRG-77
1345976,TRG-30
1345976,TRG-52
1345976,TRG-80
1345977,TRG-37
1345977,TRG-51
1345977,TRG-8
1345977,TRG-87
1345977,TRG-6
1345977,TRG-1
1345977,TRG-97
1345977,TRG-85
1345978,TRG-99
1345978,TRG-1
1345979,TRG-69
1346022,TRG-19
1346022,TRG-2
1346022,TRG-19
1346022,TRG-48
1345980,TRG-96
1345980,TRG-72
1345980,TRG-92
1345980,TRG-90
1345980,TRG-5
1345980,TRG-96
1345980,TRG-81
1345981,TRG-21
1345981,TRG-9
1345981,TRG-45
1345981,TRG-28
1345981,TRG-55
1345981,TRG-47
1345981,TRG-53
1345981,TRG-5
1345982,TRG-70
1345982,TRG-80
1345982,TRG-71
1345982,TRG-44
1345982,TRG-44
1345982,TRG-16
1345985,TRG-2
1345985,TRG-27
1345985,TRG-54
1345985,TRG-33
1345985,TRG-93
1345985,TRG-92
1345986,TRG-53
1345986,TRG-50
1345986,TRG-61
1345986,TRG-52
1345986,TRG-6
1345987,TRG-55
1345987,TRG-40
1345987,TRG-11
1345987,TRG-21
1345987,TRG-21
1345987,TRG-71
1345987,TRG-15
1345988,TRG-74
1345988,TRG-39
1345988,TRG-89
1345988,TRG-66
1345988,TRG-65
1345989,TRG-6
1345989,TRG-71
1345989,TRG-15
1345989,TRG-22
1345990,TRG-50
1345990,TRG-4
1345990,TRG-50
1345990,TRG-88
1345991,TRG-49
1345991,TRG-44
1345991,TRG-20
1345992,TRG-21
1345992,TRG-14
1345992,TRG-39
1345992,TRG-43
1345992,TRG-86
1345992,TRG-63
1345992,TRG-65
1345994,TRG-45
1345994,TRG-50
1345994,TRG-15
1345994,TRG-0
1345994,TRG-16
1345996,TRG-28
1345996,TRG-71
1345996,TRG-29
1345996,TRG-88
1345996,TRG-12
1345996,TRG-42
1345997,TRG-11
1345997,TRG-34
1345997,TRG-85
1345998,TRG-50
1345998,TRG-11
1345998,TRG-38
1345998,TRG-42
1345998,TRG-3
1345998,TRG-83
1345998,TRG-56
1345998,TRG-68
1345998,TRG-73
1345999,TRG-37
1345999,TRG-20
1345999,TRG-10
1345999,TRG-29
1345999,TRG-80
1345999,TRG-14
1345999,TRG-57
1346053,TRG-64
1346053,TRG-55
1346053,TRG-51
1346053,TRG-18
1346000,TRG-21
1346000,TRG-89
1346000,TRG-98
1346000,TRG-90
1346000,TRG-26
1346001,TRG-95
1346001,TRG-5
1346001,TRG-58
1346001,TRG-36
1346001,TRG-11
1346001,TRG-50
1346003,TRG-93
1346054,TRG-76
1346054,TRG-22
1346004,TRG-14
1346004,TRG-44
1346004,TRG-53
1346004,TRG-67
1346004,TRG-68
1346004,TRG-26
1346004,TRG-38
1346008,TRG-46
1346008,TRG-60
1346008,TRG-60
1346008,TRG-50
1346008,TRG-49
1346011,TRG-55
1346011,TRG-15
1346011,TRG-34
1346011,TRG-64
1346011,TRG-65
1346011,TRG-92
1346011,TRG-95
1346011,TRG-30
1346011,TRG-7
1346012,TRG-26
1346012,TRG-64
1346012,TRG-9
1346012,TRG-10
1346029,TRG-10
1346029,TRG-35
1346029,TRG-29
1346029,TRG-55
1346013,TRG-69
1346013,TRG-13
1346013,TRG-27
1346013,TRG-50
1346013,TRG-91
1346013,TRG-60
1346015,TRG-50
1346016,TRG-30
1346016,TRG-23
1346016,TRG-88
1346016,TRG-85
1346016,TRG-10
1346016,TRG-55
1346016,TRG-37
1346017,TRG-92
1346017,TRG-90
1346017,TRG-95
1346017,TRG-98
1346017,TRG-15
1346017,TRG-9
1346017,TRG-28
1346017,TRG-20
1346019,TRG-89
1346019,TRG-92
1346019,TRG-64
1346019,TRG-78
1346019,TRG-50
1346019,TRG-72
1346019,TRG-98
1346019,TRG-53
1346020,TRG-87
1346020,TRG-75
1346020,TRG-26
1346020,TRG-18
1346020,TRG-6
1346020,TRG-37
1346020,TRG-4
1346020,TRG-44
1346021,TRG-7
1346021,TRG-7
1346021,TRG-43
1346021,TRG-53
1346021,TRG-74
1346021,TRG-76
1346021,TRG-54
1346021,TRG-66
1346023,TRG-34
1346023,TRG-95
1346023,TRG-56
1346023,TRG-10
1346023,TRG-81
1346023,TRG-37
1346024,TRG-43
1346024,TRG-97
1346024,TRG-0
1346024,TRG-59
1346024,TRG-74
1346024,TRG-28
1346025,TRG-3
1346027,TRG-98
1346027,TRG-96
1346027,TRG-74
1346027,TRG-98
1346027,TRG-44
1346027,TRG-38
1346027,TRG-12
1346027,TRG-79
1346028,TRG-65
1346028,TRG-25
1346028,TRG-85
1346028,TRG-12
1346028,TRG-44
1346028,TRG-3
1346028,TRG-33
1346028,TRG-57
1346028,TRG-88
1346031,TRG-44
1346031,TRG-91
1346032,TRG-86
1346032,TRG-57
1346032,TRG-11
1346032,TRG-0
1346032,TRG-85
1346033,TRG-47
1346033,TRG-66
1346033,TRG-60
1346034,TRG-43
1346035,TRG-24
1346035,TRG-92
1346036,TRG-47
1346036,TRG-57
1346036,TRG-74
1346036,TRG-59
1346036,TRG-89
1346036,TRG-51
1346036,TRG-18
1346036,TRG-80
1346036,TRG-17
1346037,TRG-67
1346037,TRG-3
1346037,TRG-34
1346037,TRG-96
1346037,TRG-67
1346037,TRG-74
1346037,TRG-3
1346037,TRG-34
1346037,TRG-63
1346038,TRG-69
1346038,TRG-53
1346039,TRG-65
1346039,TRG-3
1346040,TRG-68
1346041,TRG-1
1346041,TRG-10
1346041,TRG-74
1346041,TRG-62
1346042,TRG-23
1346042,TRG-51
1346042,TRG-57
1346042,TRG-25
1346042,TRG-13
1346042,TRG-17
1346042,TRG-61
1346042,TRG-10
1346045,TRG-99
1346045,TRG-70
1346045,TRG-50
1346045,TRG-69
1346045,TRG-80
1346046,TRG-43
1346046,TRG-10
1346046,TRG-75
1346046,TRG-62
1346046,TRG-38
1346046,TRG-13
1346047,TRG-99
1346047,TRG-79
1346047,TRG-27
1346047,TRG-15
1346047,TRG-71
1346047,TRG-55
1346047,TRG-73
1346048,TRG-49
1346048,TRG-9
1346048,TRG-34
1346048,TRG-7
1346048,TRG-15
1346048,TRG-31
1346048,TRG-81
1346049,TRG-50
1346049,TRG-42
1346049,TRG-67
1346049,TRG-15
1346049,TRG-79
1346049,TRG-95
1346049,TRG-51
1346049,TRG-83
1346050,TRG-61
1346050,TRG-12
1346050,TRG-99
1346050,TRG-47
1346051,TRG-60
1346055,TRG-23
1346055,TRG-48
1346055,TRG-20
1346055,TRG-10
1346055,TRG-1
1346055,TRG-72
1346055,TRG-60
1346055,TRG-95
1346055,TRG-11
1346056,TRG-2
1346056,TRG-35
1346056,TRG-1
1346056,TRG-4
1346056,TRG-80
1346056,TRG-32
1346056,TRG-49
1346057,TRG-51
1346057,TRG-45
1346058,TRG-17
1346058,TRG-77
1346058,TRG-30
1346058,TRG-34
1346058,TRG-46
1346058,TRG-93
1346058,TRG-57
1346058,TRG-28
1346058,TRG-60
1346060,TRG-79
1346060,TRG-55
1346060,TRG-23
1346060,TRG-76
1346060,TRG-28
1346060,TRG-47
1346061,TRG-83
1346061,TRG-47
1346061,TRG-45
1346061,TRG-83
1346061,TRG-60
1346062,TRG-98
1346062,TRG-77
1346062,TRG-86
1346064,TRG-9
1346064,TRG-43
1346065,TRG-45
1346065,TRG-98
1346065,TRG-32
1346065,TRG-39
1346065,TRG-9
1346066,TRG-35
1346067,TRG-73
1346067,TRG-51
1346067,TRG-51
1346068,TRG-27
1346068,TRG-51
1346068,TRG-3
1346068,TRG-0
1346068,TRG-90
1346069,TRG-82
1346069,TRG-88
1346069,TRG-61
1346069,TRG-90
1346069,TRG-66
1346070,TRG-24
1346070,TRG-60
1346070,TRG-76
1346071,TRG-18
1346073,TRG-72
1346073,TRG-44
1346073,TRG-13
1346073,TRG-74
1346073,TRG-55
1346073,TRG-10
1346073,TRG-58
1346074,TRG-28
1346075,TRG-42
1346075,TRG-48
1346075,TRG-81
1346075,TRG-12
1346075,TRG-23
1346075,TRG-45
1346075,TRG-57
1346076,TRG-22
1346076,TRG-94
1346076,TRG-64
1346076,TRG-0
1346077,TRG-9
1346077,TRG-15
1346077,TRG-49
1346078,TRG-27
1346078,TRG-9
1346078,TRG-24
1346078,TRG-30
1346078,TRG-99
1346078,TRG-31
1346079,TRG-20
1346079,TRG-17
1346079,TRG-80
1346080,TRG-28
1346080,TRG-1
1346080,TRG-50
1346080,TRG-43
1346080,TRG-47
1346080,TRG-33
1346080,TRG-53
