smiles,LogD,MolWt,Selected hits
CCCN1OC(=CC1=O)C,<0.44,141.1699981689453,false
O=C1OC(=O)C2=C1SCCS2,-1.93,188.22900390625,false
CC1CCN(CC(O)CN2C(=O)C3=C(SCCS3)C2=O)CC1,>-0.93,342.4859924316406,false
CCn1cc(C(=O)\C=C(/O)\C(=O)O)c2cc3OCOc3cc12,<0.41,303.2699890136719,false
ClCc1ccc(Cn2cnc3nc(Cl)nc(Cl)c23)cc1,-0.91,327.60198974609375,false
o1ncnc1c2cccnc2,>0.47,147.13699340820312,false
I\C(=C/c1ccccc1)\C2=Nc3ccccc3NC2=O,<-0.25,374.1809997558594,false
Cn1c(cc2cc3OCOc3cc12)C(=O)\C=C(/O)\C(=O)O,0.06,289.2430114746094,false
NCc1cnn(O)c1Br,>-0.04,192.01600646972656,false
Oc1ccc2C(C3=C(Oc2c1)N=CNC3=O)c4ccccc4,<-0.69,292.29400634765625,false
CCCN(CC=C)C(=O)C(Cl)Cl,-1.33,210.10400390625,false
Nc1cc(cc(c1)c2ccc(Cl)cc2)c3ccc(Cl)cc3,>0.63,314.2149963378906,false
CC1=CN(C(=O)c2cccc(C)c2)C(=S)N1c3ccccc3C,<-1.74,322.4330139160156,false
CC1=CN(C(=O)c2ccc(C)cc2)C(=S)N1c3ccc(Br)cc3,-0.69,387.302001953125,false
C\C(=N/NC(=O)c1ccc(F)cc1)\c2ccc[nH]2,>-0.40,245.2570037841797,false
Clc1ccc(NC(=O)Nc2nc3c(ccc4ccccc34)s2)cc1,<-0.60,353.8340148925781,false
COc1ccccc1NC(=S)Nc2nc3c(ccc4ccccc34)s2,-1.72,365.4830017089844,false
Cl.Clc1ccccc1N2CCN(CC2)C(=O)C3CCCN(Cc4ccccc4)C3,>-0.99,434.4110107421875,false
Clc1ccc(C2=CC(=O)c3cc(Cl)cc(I)c3O2)c(Cl)c1,<-0.19,451.4739990234375,false
CN1CCC(CC1)Oc2ccc(cc2)C(F)(F)F,0.34,259.27099609375,false
CCCN1OC(=CC1=O)C,>-1.53,141.1699981689453,false
O=C1OC(=O)C2=C1SCCS2,<-1.72,188.22900390625,false
CC1CCN(CC(O)CN2C(=O)C3=C(SCCS3)C2=O)CC1,-1.37,342.4859924316406,false
CCn1cc(C(=O)\C=C(/O)\C(=O)O)c2cc3OCOc3cc12,>-1.19,303.2699890136719,false
ClCc1ccc(Cn2cnc3nc(Cl)nc(Cl)c23)cc1,<-0.17,327.60198974609375,false
o1ncnc1c2cccnc2,0.58,147.13699340820312,false
I\C(=C/c1ccccc1)\C2=Nc3ccccc3NC2=O,>-0.59,374.1809997558594,false
Cn1c(cc2cc3OCOc3cc12)C(=O)\C=C(/O)\C(=O)O,<0.59,289.2430114746094,false
NCc1cnn(O)c1Br,0.80,192.01600646972656,false
Oc1ccc2C(C3=C(Oc2c1)N=CNC3=O)c4ccccc4,>-0.78,292.29400634765625,false
CCCN(CC=C)C(=O)C(Cl)Cl,<-0.49,210.10400390625,false
Nc1cc(cc(c1)c2ccc(Cl)cc2)c3ccc(Cl)cc3,0.75,314.2149963378906,false
CC1=CN(C(=O)c2cccc(C)c2)C(=S)N1c3ccccc3C,>0.39,322.4330139160156,false
CC1=CN(C(=O)c2ccc(C)cc2)C(=S)N1c3ccc(Br)cc3,<-1.42,387.302001953125,false
C\C(=N/NC(=O)c1ccc(F)cc1)\c2ccc[nH]2,-1.05,245.2570037841797,false
Clc1ccc(NC(=O)Nc2nc3c(ccc4ccccc34)s2)cc1,>-1.42,353.8340148925781,false
COc1ccccc1NC(=S)Nc2nc3c(ccc4ccccc34)s2,<0.12,365.4830017089844,false
Cl.Clc1ccccc1N2CCN(CC2)C(=O)C3CCCN(Cc4ccccc4)C3,0.06,434.4110107421875,false
Clc1ccc(C2=CC(=O)c3cc(Cl)cc(I)c3O2)c(Cl)c1,>-1.63,451.4739990234375,false
CN1CCC(CC1)Oc2ccc(cc2)C(F)(F)F,<-1.87,259.27099609375,false
CCCN1OC(=CC1=O)C,-0.26,141.1699981689453,false
O=C1OC(=O)C2=C1SCCS2,>-0.79,188.22900390625,false
CC1CCN(CC(O)CN2C(=O)C3=C(SCCS3)C2=O)CC1,<0.89,342.4859924316406,false
CCn1cc(C(=O)\C=C(/O)\C(=O)O)c2cc3OCOc3cc12,-1.59,303.2699890136719,false
ClCc1ccc(Cn2cnc3nc(Cl)nc(Cl)c23)cc1,>0.86,327.60198974609375,false
o1ncnc1c2cccnc2,<-0.39,147.13699340820312,false
I\C(=C/c1ccccc1)\C2=Nc3ccccc3NC2=O,0.88,374.1809997558594,false
Cn1c(cc2cc3OCOc3cc12)C(=O)\C=C(/O)\C(=O)O,>0.72,289.2430114746094,false
NCc1cnn(O)c1Br,<-0.06,192.01600646972656,false
Oc1ccc2C(C3=C(Oc2c1)N=CNC3=O)c4ccccc4,0.31,292.29400634765625,false
CCCN(CC=C)C(=O)C(Cl)Cl,>0.40,210.10400390625,false
Nc1cc(cc(c1)c2ccc(Cl)cc2)c3ccc(Cl)cc3,<-1.45,314.2149963378906,false
CC1=CN(C(=O)c2cccc(C)c2)C(=S)N1c3ccccc3C,-1.11,322.4330139160156,false
CC1=CN(C(=O)c2ccc(C)cc2)C(=S)N1c3ccc(Br)cc3,>-0.97,387.302001953125,false
C\C(=N/NC(=O)c1ccc(F)cc1)\c2ccc[nH]2,<-1.02,245.2570037841797,false
Clc1ccc(NC(=O)Nc2nc3c(ccc4ccccc34)s2)cc1,0.92,353.8340148925781,false
COc1ccccc1NC(=S)Nc2nc3c(ccc4ccccc34)s2,>0.80,365.4830017089844,false
Cl.Clc1ccccc1N2CCN(CC2)C(=O)C3CCCN(Cc4ccccc4)C3,<0.96,434.4110107421875,false
Clc1ccc(C2=CC(=O)c3cc(Cl)cc(I)c3O2)c(Cl)c1,-0.53,451.4739990234375,false
CN1CCC(CC1)Oc2ccc(cc2)C(F)(F)F,>-0.89,259.27099609375,false
CCCN1OC(=CC1=O)C,<-1.94,141.1699981689453,false
O=C1OC(=O)C2=C1SCCS2,-1.63,188.22900390625,false
CC1CCN(CC(O)CN2C(=O)C3=C(SCCS3)C2=O)CC1,>-0.99,342.4859924316406,false
CCn1cc(C(=O)\C=C(/O)\C(=O)O)c2cc3OCOc3cc12,<0.59,303.2699890136719,false
ClCc1ccc(Cn2cnc3nc(Cl)nc(Cl)c23)cc1,0.56,327.60198974609375,false
o1ncnc1c2cccnc2,>-1.72,147.13699340820312,false
I\C(=C/c1ccccc1)\C2=Nc3ccccc3NC2=O,<0.65,374.1809997558594,false
Cn1c(cc2cc3OCOc3cc12)C(=O)\C=C(/O)\C(=O)O,0.70,289.2430114746094,false
NCc1cnn(O)c1Br,>-1.54,192.01600646972656,false
Oc1ccc2C(C3=C(Oc2c1)N=CNC3=O)c4ccccc4,<-0.53,292.29400634765625,false
CCCN(CC=C)C(=O)C(Cl)Cl,-0.85,210.10400390625,false
Nc1cc(cc(c1)c2ccc(Cl)cc2)c3ccc(Cl)cc3,>-1.20,314.2149963378906,false
CC1=CN(C(=O)c2cccc(C)c2)C(=S)N1c3ccccc3C,<-0.83,322.4330139160156,false
CC1=CN(C(=O)c2ccc(C)cc2)C(=S)N1c3ccc(Br)cc3,-0.33,387.302001953125,false
C\C(=N/NC(=O)c1ccc(F)cc1)\c2ccc[nH]2,>-0.97,245.2570037841797,false
Clc1ccc(NC(=O)Nc2nc3c(ccc4ccccc34)s2)cc1,<0.93,353.8340148925781,false
COc1ccccc1NC(=S)Nc2nc3c(ccc4ccccc34)s2,-0.00,365.4830017089844,false
Cl.Clc1ccccc1N2CCN(CC2)C(=O)C3CCCN(Cc4ccccc4)C3,>-0.01,434.4110107421875,false
Clc1ccc(C2=CC(=O)c3cc(Cl)cc(I)c3O2)c(Cl)c1,<0.48,451.4739990234375,false
