Common Name,CAS,smiles,EPA Compound ID,MolLogP,Source,Source Compound Code
Ipconazole,125225-28-7,CC(C)C1CCC(C1(CN2C=NC=N2)O)CC3=CC=C(C=C3)Cl,EPA-032,3.587500095,Sigma-Aldrich,SA-32
Isofenphos,25311-71-1,CCOP(=S)(NC(C)C)OC1=CC=CC=C1C(=O)OC(C)C,EPA-033,3.889600039,ACME,ACME-33
Kaempferol,520-18-3,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,EPA-034,2.282399893,WuXi,WuXi-34
Mestranol,72-33-3,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC,EPA-035,3.915600061,Pharmaron,Pharmaron-35
"p,p'-DDE",72-55-9,C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl,EPA-036,6.187900066,EPA,EPA-36
Methoxychlor,72-43-5,COC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC)C(Cl)(Cl)Cl,EPA-037,5.205900192,Enamine,Enamine-37
Myclobutanil,88671-89-0,CCCCC(CN1C=NC=N1)(C#N)C2=CC=C(C=C2)Cl,EPA-038,3.583280087,E-Molecule,E-Molecule-38
Octyl Gallate,1034-01-01,CCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O,EPA-039,3.32069993,Sigma-Aldrich,SA-39
Phenthoate,2597-03-07,CCOC(=O)C(C1=CC=CC=C1)SP(=S)(OC)OC,EPA-040,3.541300058,ACME,ACME-40
Phoxim,14816-18-3,CCOP(=S)(OCC)ON=C(C#N)C1=CC=CC=C1,EPA-041,3.228379965,WuXi,WuXi-41
Picoxystrobin,117428-22-5,COC=C(C1=CC=CC=C1COC2=CC=CC(=N2)C(F)(F)F)C(=O)OC,EPA-042,3.839699984,Pharmaron,Pharmaron-42
Propargite,2312-35-8,CC(C)(C)C1=CC=C(C=C1)OC2CCCCC2OS(=O)OCC#C,EPA-043,3.919199944,EPA,EPA-43
Propiconazole,60207-90-1,CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,EPA-044,3.653399944,Enamine,Enamine-44
Simazine,122-34-9,CCNC1=NC(=NC(=N1)Cl)NCC,EPA-045,1.388599992,E-Molecule,E-Molecule-45
Terbuthylazine,5915-41-3,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C,EPA-046,2.167200089,Sigma-Aldrich,SA-46
Triclocarban,101-20-2,C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl,EPA-047,5.290800095,ACME,ACME-47
Triclosan,3380-34-5,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,EPA-048,5.14470005,WuXi,WuXi-48
Trimethyl phosphate,512-56-1,COP(=O)(OC)OC,EPA-049,1.033699989,Pharmaron,Pharmaron-49
Triphenyl phosphate,115-86-6,P(OC1=CC=CC=C1)(OC2=CC=CC=C2)(OC3=CC=CC=C3)=O,EPA-050,5.331500053,EPA,EPA-50
Triphenyl phosphite,101-02-0,P(OC1=CC=CC=C1)(OC2=CC=CC=C2)OC3=CC=CC=C3,EPA-051,5.450300217,Enamine,Enamine-51
Triphenylethylene,58-72-0,C1=CC=C(C=C1)C=C(C2=CC=CC=C2)C3=CC=CC=C3,EPA-052,5.275499821,E-Molecule,E-Molecule-52
Zearalenone,17924-92-4,CC1CCCC(=O)CCCC=CC2=CC(=CC(=C2C(=O)O1)O)O,EPA-053,3.579600096,Sigma-Aldrich,SA-53
Metconazole,125116-23-6,CC1(CCC(C1(CN2C=NC=N2)O)CC3=CC=C(C=C3)Cl)C,EPA-054,3.341500044,ACME,ACME-54
