id,target,status,length_s,length_as,sense_helm,antisense_helm,oligo_helm,tm_c,ic50_nm,kd_pct,off_target_count
siR-0011,APOC3,clinical,19,19,RNA1{[Chol].m(A)[sp].[fl2r](U)[sp].m(C)p.[fl2r](A)p.m(G)p.[fl2r](U)p.m(A)p.[fl2r](C)p.m(G)p.[fl2r](U)p.m(U)p.[fl2r](G)p.m(U)p.[fl2r](C)p.m(A)p.[fl2r](A)p.m(C)[sp].[fl2r](G)[sp].m(G).[L3]}$$$$,RNA1{m(C)[sp].[fl2r](C)[sp].m(G)p.[fl2r](U)p.m(U)p.[fl2r](G)p.m(A)p.[fl2r](C)p.m(A)p.[fl2r](A)p.m(C)p.[fl2r](G)p.m(U)p.[fl2r](A)p.m(C)p.[fl2r](U)p.m(G)[sp].[fl2r](A)[sp].m(U)}$$$$,RNA1{[Chol].m(A)[sp].[fl2r](U)[sp].m(C)p.[fl2r](A)p.m(G)p.[fl2r](U)p.m(A)p.[fl2r](C)p.m(G)p.[fl2r](U)p.m(U)p.[fl2r](G)p.m(U)p.[fl2r](C)p.m(A)p.[fl2r](A)p.m(C)[sp].[fl2r](G)[sp].m(G).[L3]}|RNA2{m(C)[sp].[fl2r](C)[sp].m(G)p.[fl2r](U)p.m(U)p.[fl2r](G)p.m(A)p.[fl2r](C)p.m(A)p.[fl2r](A)p.m(C)p.[fl2r](G)p.m(U)p.[fl2r](A)p.m(C)p.[fl2r](U)p.m(G)[sp].[fl2r](A)[sp].m(U)}$$$$,76.8,0.07,92,1
siR-0012,APOC3,parent,19,19,RNA1{r(A)p.r(U)p.r(C)p.r(A)p.r(G)p.r(U)p.r(A)p.r(C)p.r(G)p.r(U)p.r(U)p.r(G)p.r(U)p.r(C)p.r(A)p.r(A)p.r(C)p.r(G)p.r(G)}$$$$,RNA1{r(C)p.r(C)p.r(G)p.r(U)p.r(U)p.r(G)p.r(A)p.r(C)p.r(A)p.r(A)p.r(C)p.r(G)p.r(U)p.r(A)p.r(C)p.r(U)p.r(G)p.r(A)p.r(U)}$$$$,RNA1{r(A)p.r(U)p.r(C)p.r(A)p.r(G)p.r(U)p.r(A)p.r(C)p.r(G)p.r(U)p.r(U)p.r(G)p.r(U)p.r(C)p.r(A)p.r(A)p.r(C)p.r(G)p.r(G)}|RNA2{r(C)p.r(C)p.r(G)p.r(U)p.r(U)p.r(G)p.r(A)p.r(C)p.r(A)p.r(A)p.r(C)p.r(G)p.r(U)p.r(A)p.r(C)p.r(U)p.r(G)p.r(A)p.r(U)}$$$$,60.2,0.21,67,5
siR-0013,ANGPTL3,lead,19,19,RNA1{m(G)[sp].m(A)[sp].m(A)p.m(C)p.m(U)p.m(C)p.m(U)p.m(G)p.m(A)p.m(U)p.m(G)p.m(A)p.m(G)p.m(G)p.m(C)p.m(A)p.m(U)[sp].m(U)[sp].m(C).[L3]}$$$$,RNA1{m(G)[sp].m(A)[sp].m(A)p.m(U)p.m(G)p.m(C)p.m(C)p.m(U)p.m(C)p.m(A)p.m(U)p.m(C)p.m(A)p.m(G)p.m(A)p.m(G)p.m(U)[sp].m(U)[sp].m(C)}$$$$,RNA1{m(G)[sp].m(A)[sp].m(A)p.m(C)p.m(U)p.m(C)p.m(U)p.m(G)p.m(A)p.m(U)p.m(G)p.m(A)p.m(G)p.m(G)p.m(C)p.m(A)p.m(U)[sp].m(U)[sp].m(C).[L3]}|RNA2{m(G)[sp].m(A)[sp].m(A)p.m(U)p.m(G)p.m(C)p.m(C)p.m(U)p.m(C)p.m(A)p.m(U)p.m(C)p.m(A)p.m(G)p.m(A)p.m(G)p.m(U)[sp].m(U)[sp].m(C)}$$$$,76.6,0.28,99,7
siR-0014,ANGPTL3,clinical,19,19,RNA1{[Chol].m(G)[sp].[fl2r](A)[sp].m(A)p.[fl2r](C)p.m(U)p.[fl2r](C)p.m(U)p.[fl2r](G)p.m(A)p.[fl2r](U)p.m(G)p.[fl2r](A)p.m(G)p.[fl2r](G)p.m(C)p.[fl2r](A)p.m(U)[sp].[fl2r](U)[sp].m(C).[L3]}$$$$,RNA1{m(G)[sp].[fl2r](A)[sp].m(A)p.[fl2r](U)p.m(G)p.[fl2r](C)p.m(C)p.[fl2r](U)p.m(C)p.[fl2r](A)p.m(U)p.[fl2r](C)p.m(A)p.[fl2r](G)p.m(A)p.[fl2r](G)p.m(U)[sp].[fl2r](U)[sp].m(C)}$$$$,RNA1{[Chol].m(G)[sp].[fl2r](A)[sp].m(A)p.[fl2r](C)p.m(U)p.[fl2r](C)p.m(U)p.[fl2r](G)p.m(A)p.[fl2r](U)p.m(G)p.[fl2r](A)p.m(G)p.[fl2r](G)p.m(C)p.[fl2r](A)p.m(U)[sp].[fl2r](U)[sp].m(C).[L3]}|RNA2{m(G)[sp].[fl2r](A)[sp].m(A)p.[fl2r](U)p.m(G)p.[fl2r](C)p.m(C)p.[fl2r](U)p.m(C)p.[fl2r](A)p.m(U)p.[fl2r](C)p.m(A)p.[fl2r](G)p.m(A)p.[fl2r](G)p.m(U)[sp].[fl2r](U)[sp].m(C)}$$$$,76.6,0.07,92,1
siR-0015,ANGPTL3,parent,19,19,RNA1{r(G)p.r(A)p.r(A)p.r(C)p.r(U)p.r(C)p.r(U)p.r(G)p.r(A)p.r(U)p.r(G)p.r(A)p.r(G)p.r(G)p.r(C)p.r(A)p.r(U)p.r(U)p.r(C)}$$$$,RNA1{r(G)p.r(A)p.r(A)p.r(U)p.r(G)p.r(C)p.r(C)p.r(U)p.r(C)p.r(A)p.r(U)p.r(C)p.r(A)p.r(G)p.r(A)p.r(G)p.r(U)p.r(U)p.r(C)}$$$$,RNA1{r(G)p.r(A)p.r(A)p.r(C)p.r(U)p.r(C)p.r(U)p.r(G)p.r(A)p.r(U)p.r(G)p.r(A)p.r(G)p.r(G)p.r(C)p.r(A)p.r(U)p.r(U)p.r(C)}|RNA2{r(G)p.r(A)p.r(A)p.r(U)p.r(G)p.r(C)p.r(C)p.r(U)p.r(C)p.r(A)p.r(U)p.r(C)p.r(A)p.r(G)p.r(A)p.r(G)p.r(U)p.r(U)p.r(C)}$$$$,65,0.58,82,16
siR-0016,HBV,lead,19,19,RNA1{m(G)[sp].m(G)[sp].m(A)p.m(A)p.m(C)p.m(U)p.m(C)p.m(U)p.m(U)p.m(U)p.m(A)p.m(C)p.m(A)p.m(U)p.m(G)p.m(C)p.m(U)[sp].m(G)[sp].m(U).[L3]}$$$$,RNA1{m(A)[sp].m(C)[sp].m(A)p.m(G)p.m(C)p.m(A)p.m(U)p.m(G)p.m(U)p.m(A)p.m(A)p.m(A)p.m(G)p.m(A)p.m(G)p.m(U)p.m(U)[sp].m(C)[sp].m(C)}$$$$,RNA1{m(G)[sp].m(G)[sp].m(A)p.m(A)p.m(C)p.m(U)p.m(C)p.m(U)p.m(U)p.m(U)p.m(A)p.m(C)p.m(A)p.m(U)p.m(G)p.m(C)p.m(U)[sp].m(G)[sp].m(U).[L3]}|RNA2{m(A)[sp].m(C)[sp].m(A)p.m(G)p.m(C)p.m(A)p.m(U)p.m(G)p.m(U)p.m(A)p.m(A)p.m(A)p.m(G)p.m(A)p.m(G)p.m(U)p.m(U)[sp].m(C)[sp].m(C)}$$$$,78.9,0.37,99,10
siR-0017,HBV,clinical,19,19,RNA1{[Chol].m(G)[sp].[fl2r](G)[sp].m(A)p.[fl2r](A)p.m(C)p.[fl2r](U)p.m(C)p.[fl2r](U)p.m(U)p.[fl2r](U)p.m(A)p.[fl2r](C)p.m(A)p.[fl2r](U)p.m(G)p.[fl2r](C)p.m(U)[sp].[fl2r](G)[sp].m(U).[L3]}$$$$,RNA1{m(A)[sp].[fl2r](C)[sp].m(A)p.[fl2r](G)p.m(C)p.[fl2r](A)p.m(U)p.[fl2r](G)p.m(U)p.[fl2r](A)p.m(A)p.[fl2r](A)p.m(G)p.[fl2r](A)p.m(G)p.[fl2r](U)p.m(U)[sp].[fl2r](C)[sp].m(C)}$$$$,RNA1{[Chol].m(G)[sp].[fl2r](G)[sp].m(A)p.[fl2r](A)p.m(C)p.[fl2r](U)p.m(C)p.[fl2r](U)p.m(U)p.[fl2r](U)p.m(A)p.[fl2r](C)p.m(A)p.[fl2r](U)p.m(G)p.[fl2r](C)p.m(U)[sp].[fl2r](G)[sp].m(U).[L3]}|RNA2{m(A)[sp].[fl2r](C)[sp].m(A)p.[fl2r](G)p.m(C)p.[fl2r](A)p.m(U)p.[fl2r](G)p.m(U)p.[fl2r](A)p.m(A)p.[fl2r](A)p.m(G)p.[fl2r](A)p.m(G)p.[fl2r](U)p.m(U)[sp].[fl2r](C)[sp].m(C)}$$$$,76.2,0.06,91,0
siR-0018,HBV,parent,19,19,RNA1{r(G)p.r(G)p.r(A)p.r(A)p.r(C)p.r(U)p.r(C)p.r(U)p.r(U)p.r(U)p.r(A)p.r(C)p.r(A)p.r(U)p.r(G)p.r(C)p.r(U)p.r(G)p.r(U)}$$$$,RNA1{r(A)p.r(C)p.r(A)p.r(G)p.r(C)p.r(A)p.r(U)p.r(G)p.r(U)p.r(A)p.r(A)p.r(A)p.r(G)p.r(A)p.r(G)p.r(U)p.r(U)p.r(C)p.r(C)}$$$$,RNA1{r(G)p.r(G)p.r(A)p.r(A)p.r(C)p.r(U)p.r(C)p.r(U)p.r(U)p.r(U)p.r(A)p.r(C)p.r(A)p.r(U)p.r(G)p.r(C)p.r(U)p.r(G)p.r(U)}|RNA2{r(A)p.r(C)p.r(A)p.r(G)p.r(C)p.r(A)p.r(U)p.r(G)p.r(U)p.r(A)p.r(A)p.r(A)p.r(G)p.r(A)p.r(G)p.r(U)p.r(U)p.r(C)p.r(C)}$$$$,59,0.13,63,2
siR-0019,HSD17B13,lead,19,19,RNA1{m(C)[sp].m(A)[sp].m(U)p.m(G)p.m(G)p.m(U)p.m(U)p.m(G)p.m(A)p.m(A)p.m(C)p.m(A)p.m(U)p.m(G)p.m(A)p.m(G)p.m(C)[sp].m(A)[sp].m(A).[L3]}$$$$,RNA1{m(U)[sp].m(U)[sp].m(G)p.m(C)p.m(U)p.m(C)p.m(A)p.m(U)p.m(G)p.m(U)p.m(U)p.m(C)p.m(A)p.m(A)p.m(C)p.m(C)p.m(A)[sp].m(U)[sp].m(G)}$$$$,RNA1{m(C)[sp].m(A)[sp].m(U)p.m(G)p.m(G)p.m(U)p.m(U)p.m(G)p.m(A)p.m(A)p.m(C)p.m(A)p.m(U)p.m(G)p.m(A)p.m(G)p.m(C)[sp].m(A)[sp].m(A).[L3]}|RNA2{m(U)[sp].m(U)[sp].m(G)p.m(C)p.m(U)p.m(C)p.m(A)p.m(U)p.m(G)p.m(U)p.m(U)p.m(C)p.m(A)p.m(A)p.m(C)p.m(C)p.m(A)[sp].m(U)[sp].m(G)}$$$$,77.4,0.31,99,8
siR-0020,HSD17B13,clinical,19,19,RNA1{[Chol].m(C)[sp].[fl2r](A)[sp].m(U)p.[fl2r](G)p.m(G)p.[fl2r](U)p.m(U)p.[fl2r](G)p.m(A)p.[fl2r](A)p.m(C)p.[fl2r](A)p.m(U)p.[fl2r](G)p.m(A)p.[fl2r](G)p.m(C)[sp].[fl2r](A)[sp].m(A).[L3]}$$$$,RNA1{m(U)[sp].[fl2r](U)[sp].m(G)p.[fl2r](C)p.m(U)p.[fl2r](C)p.m(A)p.[fl2r](U)p.m(G)p.[fl2r](U)p.m(U)p.[fl2r](C)p.m(A)p.[fl2r](A)p.m(C)p.[fl2r](C)p.m(A)[sp].[fl2r](U)[sp].m(G)}$$$$,RNA1{[Chol].m(C)[sp].[fl2r](A)[sp].m(U)p.[fl2r](G)p.m(G)p.[fl2r](U)p.m(U)p.[fl2r](G)p.m(A)p.[fl2r](A)p.m(C)p.[fl2r](A)p.m(U)p.[fl2r](G)p.m(A)p.[fl2r](G)p.m(C)[sp].[fl2r](A)[sp].m(A).[L3]}|RNA2{m(U)[sp].[fl2r](U)[sp].m(G)p.[fl2r](C)p.m(U)p.[fl2r](C)p.m(A)p.[fl2r](U)p.m(G)p.[fl2r](U)p.m(U)p.[fl2r](C)p.m(A)p.[fl2r](A)p.m(C)p.[fl2r](C)p.m(A)[sp].[fl2r](U)[sp].m(G)}$$$$,79.6,0.16,99,3
siR-0021,HSD17B13,parent,19,19,RNA1{r(C)p.r(A)p.r(U)p.r(G)p.r(G)p.r(U)p.r(U)p.r(G)p.r(A)p.r(A)p.r(C)p.r(A)p.r(U)p.r(G)p.r(A)p.r(G)p.r(C)p.r(A)p.r(A)}$$$$,RNA1{r(U)p.r(U)p.r(G)p.r(C)p.r(U)p.r(C)p.r(A)p.r(U)p.r(G)p.r(U)p.r(U)p.r(C)p.r(A)p.r(A)p.r(C)p.r(C)p.r(A)p.r(U)p.r(G)}$$$$,RNA1{r(C)p.r(A)p.r(U)p.r(G)p.r(G)p.r(U)p.r(U)p.r(G)p.r(A)p.r(A)p.r(C)p.r(A)p.r(U)p.r(G)p.r(A)p.r(G)p.r(C)p.r(A)p.r(A)}|RNA2{r(U)p.r(U)p.r(G)p.r(C)p.r(U)p.r(C)p.r(A)p.r(U)p.r(G)p.r(U)p.r(U)p.r(C)p.r(A)p.r(A)p.r(C)p.r(C)p.r(A)p.r(U)p.r(G)}$$$$,62.5,0.38,74,10
siR-0022,AGT,lead,19,19,RNA1{m(A)[sp].m(A)[sp].m(A)p.m(C)p.m(U)p.m(A)p.m(C)p.m(G)p.m(U)p.m(G)p.m(G)p.m(U)p.m(U)p.m(C)p.m(A)p.m(U)p.m(G)[sp].m(G)[sp].m(C).[L3]}$$$$,RNA1{m(G)[sp].m(C)[sp].m(C)p.m(A)p.m(U)p.m(G)p.m(A)p.m(A)p.m(C)p.m(C)p.m(A)p.m(C)p.m(G)p.m(U)p.m(A)p.m(G)p.m(U)[sp].m(U)[sp].m(U)}$$$$,RNA1{m(A)[sp].m(A)[sp].m(A)p.m(C)p.m(U)p.m(A)p.m(C)p.m(G)p.m(U)p.m(G)p.m(G)p.m(U)p.m(U)p.m(C)p.m(A)p.m(U)p.m(G)[sp].m(G)[sp].m(C).[L3]}|RNA2{m(G)[sp].m(C)[sp].m(C)p.m(A)p.m(U)p.m(G)p.m(A)p.m(A)p.m(C)p.m(C)p.m(A)p.m(C)p.m(G)p.m(U)p.m(A)p.m(G)p.m(U)[sp].m(U)[sp].m(U)}$$$$,75.1,0.21,94,5
