Concept Id,Sample Name,link column 1,link column 2,link column 3,Value1,Value2
CAST-634796,NVS-94QHO4-NX-1,2.5,value5,v ii,48,6.5097275
CAST-634796,NVS-94QHO4-nx-2,1,value3,v i,48,12.8188848
CAST-634796,NVS-94QHO4-nx-3,30,value5,v ii,4,7.1635103
CAST-634817,NVS-9GRBR2-NX-1,1,value3,v ii,8,12.6414013
CAST-634817,NVS-9GRBR2-nx-2,1,value3,v i,4,12.0374842
CAST-634883,NVS-AKDE5A-NX-1,2.5,value2,v ii,4,12.4375362
CAST-634820,NVS-AZFK39-NX-1,2.5,value5,v ii,4,12.9273758
CAST-634820,NVS-AZFK39-nx-2,1,value4,v i,4,1.4573416
CAST-634846,"NVS-BBHUO6-NX-2
NVS-BBHUO6-NX-3
NVS-BBHUO6-NX-1",2.5,value5,v ii,4,1.7360511
CAST-634860,NVS-BCUYFA-NX-1,30,value4,v ii,8,13.2731409
CAST-634860,NVS-BCUYFA-nx-2,2.5,value4,v ii,8,7.8816204
CAST-634813,NVS-BEUWEX-NX-1,1,value1,v i,4,0.4843989
CAST-634813,NVS-BEUWEX-nx-2,1,value1,v ii,4,10.6748848
CAST-634801,NVS-BFMT8C-NX-4,1,value3,v i,24,12.6342525
CAST-634801,NVS-BFMT8C-nx-2,30,value5,v ii,168,0.2627943
CAST-634806,NVS-BLAFD9-NX-1,30,value3,v ii,24,10.3598833
CAST-634806,NVS-BLAFD9-nx-2,30,value2,v ii,24,12.9140539
CAST-634874,NVS-BTS3ZR-NX-1,2.5,value2,v ii,48,8.0585155
CAST-634892,NVS-BVQ4XK-NX-1,1,value3,v ii,48,14.5664968
CAST-634821,NVS-DBW4JG-NX-1,1,value1,v i,4,9.6758013
CAST-634821,NVS-DBW4JG-nx-2,30,value5,v ii,8,11.7458658
CAST-634837,NVS-E1JO0V-NX-1,1,value4,v ii,4,0.4135244
CAST-634837,NVS-E1JO0V-nx-2,1,value1,v i,4,12.0128431
CAST-634879,NVS-ECLKFM-AI-1,2.5,value5,v ii,4,8.2390776
CAST-634878,NVS-EKQ4O9-AI-1,1,value46,v i,4,9.5581017
CAST-634828,NVS-ERTT1U-NX-4,1,value4,v i,4,9.8357105
CAST-634828,NVS-ERTT1U-nx-2,1,value3,v i,8,13.0854635
CAST-634867,NVS-F4ES52-NX-1,1,value3,v ii,8,0.3887492
CAST-634867,NVS-F4ES52-nx-2,1,value3,v ii,4,11.9020596
CAST-634886,NVS-FHIIRR-AI-1,1,value4,v ii,4,10.5177259
CAST-634841,NVS-FZLE0Z-NX-5,1,value1,v i,24,6.7934771
CAST-634841,NVS-FZLE0Z-nx-2,2.5,value4,v ii,24,10.8053837
CAST-634788,NVS-G16JM1-NX-1,2.5,value1,v ii,24,14.6729574
CAST-634788,NVS-G16JM1-nx-2,1,value4,v i,48,8.4119759
CAST-634788,NVS-G16JM1-nx-3,2.5,value3,v ii,48,7.8098626
CAST-634807,NVS-H05J3Z-BD-1,1,value1,v i,4,11.9052486
CAST-634810,NVS-HA416F-NX-1,30,value4,v ii,8,7.7177525
CAST-634810,NVS-HA416F-nx-2,1,value4,v ii,4,10.8179054
CAST-634793,NVS-HPC15I-NX-1,1,value3,v ii,4,11.9200583
CAST-634793,NVS-HPC15I-nx-2,2.5,value3,v ii,4,13.5294437
CAST-634793,NVS-HPC15I-nx-3,1,value3,v i,4,14.5484543
CAST-634827,NVS-HWTN37-NX-1,30,value4,v ii,4,14.3043442
CAST-634827,NVS-HWTN37-nx-2,30,value2,v ii,8,12.005765
CAST-634856,NVS-IUZ220-NX-1,30,value3,v ii,8,11.9247046
CAST-634856,NVS-IUZ220-nx-2,2.5,value3,v ii,4,2.3702312
CAST-634842,NVS-IZ3U0X-NX-1,2.5,value2,v ii,4,10.7504692
CAST-634842,NVS-IZ3U0X-nx-2,1,value4,v i,24,11.479229
CAST-634832,NVS-J3IQ1Z-AI-1,1,value1,v i,168,11.6506672
CAST-634877,NVS-J5Y4DP-NX-6,30,value4,v ii,24,1.3825043
CAST-634787,NVS-J9T9NQ-BD-1,1,value4,v ii,24,15.2506247
CAST-634839,NVS-JBJG5E-NX-1,1,value1,v i,48,15.2433281
CAST-634839,NVS-JBJG5E-nx-2,30,value2,v ii,48,0.4154028
CAST-634815,NVS-JBZZHK-NX-1,1,value1,v i,4,1.8784401
CAST-634815,NVS-JBZZHK-nx-2,1,value1,v ii,8,13.0617828
CAST-634865,NVS-JI0X4B-NX-1,1,value1,v i,4,12.6701345
CAST-634865,NVS-JI0X4B-nx-2,1,value1,v i,4,10.4435596
CAST-634799,NVS-KL4VMW-NX-1,1,value1,v ii,4,9.9315815
CAST-634799,NVS-KL4VMW-nx-2,1,value4,v ii,4,10.1195059
CAST-634809,NVS-KSLQ8K-NX-1,1,value3,v i,4,6.5956168
CAST-634809,NVS-KSLQ8K-nx-2,2.5,value4,v ii,8,6.6980729
CAST-634800,NVS-L2D90M-BD-1,2.5,value2,v ii,8,1.4476629
CAST-634789,NVS-L722TP-BD-1,1,value1,v i,4,7.9113846
CAST-634834,NVS-LAX4GQ-NX-1,2.5,value2,v ii,4,12.4348001
CAST-634834,NVS-LAX4GQ-nx-2,30,value5,v ii,24,12.8939314
CAST-634808,NVS-LF2XU8-NX-1,2.5,value2,v ii,24,1.8382957
CAST-634808,NVS-LF2XU8-nx-2,1,value3,v ii,24,1.8992009
CAST-634784,NVS-LGIVUK-BD-1,2.5,value2,v ii,48,13.0533142
CAST-634857,NVS-LQ6E2S-NX-1,1,value1,v i,48,12.7504416
CAST-634857,NVS-LQ6E2S-nx-2,1,value1,v i,4,13.1264191
CAST-634864,NVS-M4WC0S-NX-1,30,value3,v ii,8,14.7837543
CAST-634864,NVS-M4WC0S-nx-2,2.5,value3,v ii,4,15.0339537
CAST-634866,NVS-MGTCRY-NX-1,2.5,value2,v ii,4,10.125493
CAST-634866,NVS-MGTCRY-nx-2,30,value2,v ii,4,1.3060971
CAST-634891,NVS-NGHWMP-NX-1,2.5,value1,v ii,4,1.1034862
CAST-634836,NVS-OG06LM-NX-1,30,value4,v ii,4,1.2190293
CAST-634836,NVS-OG06LM-nx-2,2.5,value3,v ii,8,15.2122879
CAST-634843,NVS-OSXG1Q-NX-1,1,value3,v ii,8,14.3952494
CAST-634843,NVS-OSXG1Q-nx-2,30,value5,v ii,4,7.8718987
CAST-634845,NVS-P1TNVM-NX-1,1,value4,v i,4,14.9701881
CAST-634845,NVS-P1TNVM-nx-2,2.5,value3,v ii,24,8.3909826
CAST-634795,NVS-P69OWO-NX-1,1,value4,v i,168,10.9885178
CAST-634795,NVS-P69OWO-nx-2,30,value2,v ii,24,8.4667559
CAST-634795,NVS-P69OWO-nx-3,1,value4,v i,24,10.5500765
CAST-634822,NVS-POHRDN-NX-1,30,value3,v ii,48,12.8133726
CAST-634822,NVS-POHRDN-nx-2,1,value1,v ii,48,2.0964475
CAST-634858,NVS-PT07HD-NX-1,2.5,value2,v ii,4,8.6834354
CAST-634858,NVS-PT07HD-nx-2,30,value2,v ii,8,9.212738
CAST-634884,NVS-Q2NFJQ-NX-1,1,value3,v ii,4,1.8894082
CAST-634869,NVS-QS6MA0-AI-1,1,value4,v i,4,1.0226349
CAST-634889,NVS-RPUI76-AI-1,30,value3,v ii,4,0.6658562
CAST-634853,NVS-RVWKVT-AI-1,1,value4,v i,4,14.54743
CAST-634854,NVS-RZH0JK-NX-1,2.5,value5,v ii,4,13.3819647
CAST-634854,NVS-RZH0JK-nx-2,1,value1,v ii,8,6.8862319
CAST-634829,NVS-SV2OWI-NX-1,2.5,value5,v ii,8,7.0329838
CAST-634829,NVS-SV2OWI-nx-2,2.5,value4,v ii,4,7.2672873
CAST-634870,NVS-SW3FZ9-NX-1,2.5,value5,v ii,4,6.5218377
CAST-634870,NVS-SW3FZ9-nx-2,1,value4,v i,24,13.0946903
CAST-634880,NVS-SZD6YW-AI-1,1,value1,v ii,24,11.8746233
CAST-634848,NVS-T2F2GF-NX-1,30,value3,v ii,24,11.0501614
CAST-634848,NVS-T2F2GF-nx-2,30,value2,v ii,48,12.9536381
CAST-634818,NVS-TA7WHR-BD-1,30,value4,v ii,48,9.4681416
CAST-634863,NVS-TCPDQP-NX-1,1,value1,v i,4,12.3444262
CAST-634863,NVS-TCPDQP-nx-2,1,value1,v i,8,14.6263285
CAST-634893,NVS-TS0SKV-NX-1,30,value4,v ii,4,14.5878372
CAST-634816,NVS-TWYIX2-NX-1,2.5,value2,v iii,4,13.620491
CAST-634816,NVS-TWYIX2-nx-2,30,value2,v ii,4,0.0103693
CAST-634890,NVS-UJDI0E-NX-1,1,value1,v i,4,8.5056524
CAST-634868,NVS-ULQP1W-NX-1,30,value4,v ii,4,8.6795225
CAST-634868,NVS-ULQP1W-nx-2,2.5,value4,v ii,8,11.2715168
CAST-634811,NVS-V3NI98-NX-1,1,value4,v ii,8,14.2272158
CAST-634811,NVS-V3NI98-nx-2,30,value5,v ii,4,10.2906256
CAST-634894,NVS-V664OJ-NX-1,1,value4,v i,4,9.4059954
CAST-634871,NVS-VQAZ2Z-NX-1,1,value1,v ii,24,9.5697899
CAST-634791,NVS-VYDQUM-NX-1,1,value1,v i,168,13.5979166
CAST-634791,NVS-VYDQUM-nx-2,30,value5,v ii,24,14.5030622
CAST-634791,NVS-VYDQUM-nx-3,1,value1,v ii,24,13.1685705
CAST-634804,NVS-WDOA6J-NX-1,2.5,value5,v ii,48,13.6655025
CAST-634804,NVS-WDOA6J-nx-2,2.5,value3,v ii,48,7.1595025
CAST-634814,NVS-WPGDMB-NX-1,30,value3,v ii,4,12.6116667
CAST-634814,NVS-WPGDMB-nx-2,2.5,value3,v ii,8,13.9990511
CAST-634830,NVS-WPJL7B-NX-1,1,value1,v ii,4,11.7702703
CAST-634830,NVS-WPJL7B-nx-2,1,value4,v ii,4,11.1546173
CAST-634899,NVS-WTXR1B-NX-1,4,value2,v ii,4,11.771122
CAST-634859,NVS-X4WPIU-NX-1,1,value3,v i,4,8.6797333
CAST-634859,NVS-X4WPIU-nx-2,1,value3,v i,4,11.2533979
CAST-634844,NVS-XMC8DR-NX-1,30,value4,v ii,8,11.8678274
CAST-634844,NVS-XMC8DR-nx-2,1,value1,v i,8,10.758934
CAST-634840,NVS-XMJUV0-NX-1,30,value3,v ii,4,1.7775581
CAST-634840,NVS-XMJUV0-nx-2,1,value3,v ii,4,10.0863571
CAST-634819,NVS-XOTXX1-NX-1,1,value4,v i,24,13.1933098
CAST-634819,NVS-XOTXX1-nx-2,2.5,value4,v ii,24,11.2134733
CAST-634798,NVS-Y2WJ65-BD-1,30,value3,v ii,24,12.5115461
CAST-634849,NVS-ZBNJMY-NX-1,1,value1,v ii,48,13.9526539
CAST-634849,NVS-ZBNJMY-nx-2,1,value3,v i,48,10.4514074
CAST-634855,NVS-ZKMYPZ-AI-1,1,value1,v ii,4,0.177377
CAST-634897,NVS-ZZWSJL-AI-1,30,value3,v ii,8,11.224371
CAST-634824,NVS-09BNGU-NX-1,2.5,value1,v ii,4,10.7734823
CAST-634824,NVS-09BNGU-nx-2,2.5,value2,v ii,4,13.2347717
CAST-634873,NVS-0FIMYQ-NX-1,1,value4,v ii,4,11.8919487
CAST-634861,NVS-0HRT1E-NX-1,1,value4,v ii,4,0.4251966
CAST-634861,NVS-0HRT1E-nx-2,4,value4,v ii,4,12.5573835
CAST-634835,NVS-1C49O3-NX-1,1,value3,v i,8,0.8502643
CAST-634835,NVS-1C49O3-nx-2,3,value1,v i,8,14.5018911
CAST-634790,NVS-1SKHJI-BD-1,30,value3,v ii,4,6.8185892
CAST-634785,NVS-23Y86T-NX-1,1,value3,v i,4,7.0554733
CAST-634785,NVS-23Y86T-nx-2,2,value4,v ii,24,13.0540657
CAST-634785,NVS-23Y86T-nx-3,1,value1,v i,168,12.4129639
CAST-634812,NVS-2CM82T-BD-1,3.5,value5,v ii,24,14.8919525
CAST-634802,NVS-30Y5TQ-BD-1,30,value4,v ii,24,10.9760971
CAST-634803,NVS-3766LQ-NX-1,1,value4,v i,48,6.1530828
CAST-634824,NVS-09BNGU-NX-15,2.5,value2,v ii,48,11.8734989
CAST-634824,NVS-09BNGU-nx-25,2.5,value3,v ii,4,14.2104425
CAST-634873,NVS-0FIMYQ-NX-13,1,value1,v ii,8,12.5062332
CAST-634861,NVS-0HRT1E-NX-13,1,value4,v ii,4,11.8827515
CAST-634861,NVS-0HRT1E-nx-23,1,value4,v ii,4,15.3277082
CAST-634835,NVS-1C49O3-NX-13,1,value3,v i,4,0.8280871
CAST-634835,NVS-1C49O3-nx-23,1,value1,v i,4,0.006058
CAST-634790,NVS-1SKHJI-BD-13,30,value3,v ii,4,6.9090934
CAST-634785,NVS-23Y86T-NX-13,1,value3,v i,8,7.7695489
CAST-634785,NVS-23Y86T-nx-2,9,value4,v ii,8,0.5812662
CAST-634785,NVS-23Y86T-nx-3,9,value1,v i,4,9.9584322
CAST-634812,NVS-2CM82T-BD-1,9,value5,v ii,4,8.7488337
CAST-634802,NVS-30Y5TQ-BD-1,9,value4,v ii,24,15.4173298
CAST-634803,NVS-3766LQ-NX-1,9,value4,v i,24,10.2823982
CAST-634803,NVS-3766LQ-nx-2,9,value1,v i,24,10.4021692
CAST-634851,NVS-3MRWNJ-NX-1,9,value3,v i,48,11.6755962
CAST-634851,NVS-3MRWNJ-nx-2,9,value4,v i,48,1.4844453
CAST-634783,NVS-3WPGDQ-NX-1,9,value1,v i,4,12.9943151
CAST-634783,NVS-3WPGDQ-nx-2,9,value3,v i,8,13.7301302
CAST-634783,NVS-3WPGDQ-nx-3,30,value5,v ii,4,11.4335957
CAST-634852,NVS-3ZE4LO-NX-14,30,value4,v ii,4,10.766058
CAST-634852,NVS-3ZE4LO-nx-24,30,value5,v ii,4,8.0809259
CAST-634887,NVS-403R17-NX-14,2.5,value5,v ii,4,12.8510294
