barcode,pos,SampleID,Concentration,Activity
LJ-PLATE-20,G4,SMP-364,2,11.2
LJ-PLATE-20,G5,SMP-365,5,9.4
LJ-PLATE-20,G6,SMP-366,5,9.1
LJ-PLATE-20,G7,SMP-367,10,7.8
LJ-PLATE-20,G8,SMP-368,10,7.4
LJ-PLATE-20,G9,SMP-369,20,6.3
LJ-PLATE-20,G10,SMP-370,20,5.9
LJ-PLATE-20,G11,SMP-371,50,4.7
LJ-PLATE-20,G12,SMP-372,50,4.4
LJ-PLATE-20,H1,SMP-373,1,15.5
LJ-PLATE-20,H2,SMP-374,1,14.8
LJ-PLATE-20,H3,SMP-375,2,12.3
LJ-PLATE-20,H4,SMP-376,2,11.8
LJ-PLATE-20,H5,SMP-377,5,10.1
LJ-PLATE-20,H6,SMP-378,5,9.6
LJ-PLATE-20,H7,SMP-379,10,8.3
LJ-PLATE-20,H8,SMP-380,10,8.0
LJ-PLATE-20,H9,SMP-381,20,6.8
LJ-PLATE-20,H10,SMP-382,20,6.4
LJ-PLATE-20,H11,SMP-383,50,5.3
LJ-PLATE-20,H12,SMP-384,50,5.1
