barcode,pos,SampleID,Concentration,Activity
LJ-PLATE-2,A1,High Control,10.0,0.088
LJ-PLATE-2,A2,SMP-9,100.0,0.121
LJ-PLATE-2,A3,SMP-9,33.33,0.182
LJ-PLATE-2,A4,SMP-9,11.11,0.49
LJ-PLATE-2,A5,SMP-9,3.7,0.572
LJ-PLATE-2,A6,SMP-9,1.23,0.912
LJ-PLATE-2,A7,SMP-9,0.41,0.928
LJ-PLATE-2,A8,SMP-9,0.14,1.024
LJ-PLATE-2,A9,SMP-9,0.05,0.991
LJ-PLATE-2,A10,EMPTY-P2-W10,0.0,0.0
LJ-PLATE-2,A11,EMPTY-P2-W11,0.0,0.0
LJ-PLATE-2,A12,Low Control,0.0,1.018
LJ-PLATE-2,B1,High Control,10.0,0.074
LJ-PLATE-2,B2,SMP-10,100.0,0.0
LJ-PLATE-2,B3,SMP-10,33.33,0.122
LJ-PLATE-2,B4,SMP-10,11.11,0.415
LJ-PLATE-2,B5,SMP-10,3.7,0.532
LJ-PLATE-2,B6,SMP-10,1.23,0.857
LJ-PLATE-2,B7,SMP-10,0.41,0.924
LJ-PLATE-2,B8,SMP-10,0.14,1.046
LJ-PLATE-2,B9,SMP-10,0.05,0.959
LJ-PLATE-2,B10,EMPTY-P2-W22,0.0,0.0
LJ-PLATE-2,B11,EMPTY-P2-W23,0.0,0.0
LJ-PLATE-2,B12,Low Control,0.0,1.043
LJ-PLATE-2,C1,High Control,10.0,0.138
LJ-PLATE-2,C2,SMP-11,100.0,0.039
LJ-PLATE-2,C3,SMP-11,33.33,0.164
LJ-PLATE-2,C4,SMP-11,11.11,0.415
LJ-PLATE-2,C5,SMP-11,3.7,0.72
LJ-PLATE-2,C6,SMP-11,1.23,0.824
LJ-PLATE-2,C7,SMP-11,0.41,0.91
LJ-PLATE-2,C8,SMP-11,0.14,0.965
LJ-PLATE-2,C9,SMP-11,0.05,0.992
LJ-PLATE-2,C10,EMPTY-P2-W34,0.0,0.0
LJ-PLATE-2,C11,EMPTY-P2-W35,0.0,0.0
LJ-PLATE-2,C12,Low Control,0.0,1.041
LJ-PLATE-2,D1,High Control,10.0,0.135
LJ-PLATE-2,D2,SMP-12,100.0,0.003
LJ-PLATE-2,D3,SMP-12,33.33,0.052
LJ-PLATE-2,D4,SMP-12,11.11,0.255
LJ-PLATE-2,D5,SMP-12,3.7,0.554
LJ-PLATE-2,D6,SMP-12,1.23,0.951
LJ-PLATE-2,D7,SMP-12,0.41,0.941
LJ-PLATE-2,D8,SMP-12,0.14,1.007
LJ-PLATE-2,D9,SMP-12,0.05,1.039
LJ-PLATE-2,D10,EMPTY-P2-W46,0.0,0.0
LJ-PLATE-2,D11,EMPTY-P2-W47,0.0,0.0
LJ-PLATE-2,D12,Low Control,0.0,0.971
LJ-PLATE-2,E1,High Control,10.0,0.075
LJ-PLATE-2,E2,SMP-13,100.0,0.05
LJ-PLATE-2,E3,SMP-13,33.33,0.07
LJ-PLATE-2,E4,SMP-13,11.11,0.493
LJ-PLATE-2,E5,SMP-13,3.7,0.722
LJ-PLATE-2,E6,SMP-13,1.23,0.919
LJ-PLATE-2,E7,SMP-13,0.41,1.017
LJ-PLATE-2,E8,SMP-13,0.14,0.953
LJ-PLATE-2,E9,SMP-13,0.05,0.972
LJ-PLATE-2,E10,EMPTY-P2-W58,0.0,0.0
LJ-PLATE-2,E11,EMPTY-P2-W59,0.0,0.0
LJ-PLATE-2,E12,Low Control,0.0,1.032
LJ-PLATE-2,F1,High Control,10.0,0.096
LJ-PLATE-2,F2,SMP-14,100.0,0.0
LJ-PLATE-2,F3,SMP-14,33.33,0.082
LJ-PLATE-2,F4,SMP-14,11.11,0.403
LJ-PLATE-2,F5,SMP-14,3.7,0.73
LJ-PLATE-2,F6,SMP-14,1.23,0.884
LJ-PLATE-2,F7,SMP-14,0.41,0.996
LJ-PLATE-2,F8,SMP-14,0.14,0.951
LJ-PLATE-2,F9,SMP-14,0.05,1.005
LJ-PLATE-2,F10,EMPTY-P2-W70,0.0,0.0
LJ-PLATE-2,F11,EMPTY-P2-W71,0.0,0.0
LJ-PLATE-2,F12,Low Control,0.0,1.001
LJ-PLATE-2,G1,High Control,10.0,0.089
LJ-PLATE-2,G2,SMP-15,100.0,0.09
LJ-PLATE-2,G3,SMP-15,33.33,0.034
LJ-PLATE-2,G4,SMP-15,11.11,0.412
LJ-PLATE-2,G5,SMP-15,3.7,0.602
LJ-PLATE-2,G6,SMP-15,1.23,0.851
LJ-PLATE-2,G7,SMP-15,0.41,0.934
LJ-PLATE-2,G8,SMP-15,0.14,0.962
LJ-PLATE-2,G9,SMP-15,0.05,1.036
LJ-PLATE-2,G10,EMPTY-P2-W82,0.0,0.0
LJ-PLATE-2,G11,EMPTY-P2-W83,0.0,0.0
LJ-PLATE-2,G12,Low Control,0.0,1.018
LJ-PLATE-2,H1,High Control,10.0,0.14
LJ-PLATE-2,H2,SMP-16,100.0,0.071
LJ-PLATE-2,H3,SMP-16,33.33,0.075
LJ-PLATE-2,H4,SMP-16,11.11,0.358
LJ-PLATE-2,H5,SMP-16,3.7,0.614
LJ-PLATE-2,H6,SMP-16,1.23,0.907
LJ-PLATE-2,H7,SMP-16,0.41,0.939
LJ-PLATE-2,H8,SMP-16,0.14,1.018
LJ-PLATE-2,H9,SMP-16,0.05,0.962
LJ-PLATE-2,H10,EMPTY-P2-W94,0.0,0.0
LJ-PLATE-2,H11,EMPTY-P2-W95,0.0,0.0
LJ-PLATE-2,H12,Low Control,0.0,0.952
LJ-PLATE-3,A1,High Control,10.0,0.074
LJ-PLATE-3,A2,SMP-17,100.0,0.0
LJ-PLATE-3,A3,SMP-17,33.33,0.074
LJ-PLATE-3,A4,SMP-17,11.11,0.377
LJ-PLATE-3,A5,SMP-17,3.7,0.666
LJ-PLATE-3,A6,SMP-17,1.23,0.835
LJ-PLATE-3,A7,SMP-17,0.41,0.97
LJ-PLATE-3,A8,SMP-17,0.14,0.991
LJ-PLATE-3,A9,SMP-17,0.05,1.015
LJ-PLATE-3,A10,EMPTY-P3-W10,0.0,0.0
LJ-PLATE-3,A11,EMPTY-P3-W11,0.0,0.0
LJ-PLATE-3,A12,Low Control,0.0,1.049
LJ-PLATE-3,B1,High Control,10.0,0.11
LJ-PLATE-3,B2,SMP-18,100.0,0.046
LJ-PLATE-3,B3,SMP-18,33.33,0.195
LJ-PLATE-3,B4,SMP-18,11.11,0.358
LJ-PLATE-3,B5,SMP-18,3.7,0.603
LJ-PLATE-3,B6,SMP-18,1.23,0.92
LJ-PLATE-3,B7,SMP-18,0.41,0.904
LJ-PLATE-3,B8,SMP-18,0.14,0.954
LJ-PLATE-3,B9,SMP-18,0.05,0.961
LJ-PLATE-3,B10,EMPTY-P3-W22,0.0,0.0
LJ-PLATE-3,B11,EMPTY-P3-W23,0.0,0.0
LJ-PLATE-3,B12,Low Control,0.0,1.019
LJ-PLATE-3,C1,High Control,10.0,0.121
LJ-PLATE-3,C2,SMP-19,100.0,0.029
LJ-PLATE-3,C3,SMP-19,33.33,0.155
LJ-PLATE-3,C4,SMP-19,11.11,0.467
LJ-PLATE-3,C5,SMP-19,3.7,0.754
LJ-PLATE-3,C6,SMP-19,1.23,0.746
LJ-PLATE-3,C7,SMP-19,0.41,0.981
LJ-PLATE-3,C8,SMP-19,0.14,1.002
LJ-PLATE-3,C9,SMP-19,0.05,0.98
LJ-PLATE-3,C10,EMPTY-P3-W34,0.0,0.0
LJ-PLATE-3,C11,EMPTY-P3-W35,0.0,0.0
LJ-PLATE-3,C12,Low Control,0.0,0.953
LJ-PLATE-3,D1,High Control,10.0,0.084
LJ-PLATE-3,D2,SMP-20,100.0,0.026
LJ-PLATE-3,D3,SMP-20,33.33,0.197
LJ-PLATE-3,D4,SMP-20,11.11,0.213
LJ-PLATE-3,D5,SMP-20,3.7,0.417
LJ-PLATE-3,D6,SMP-20,1.23,0.783
LJ-PLATE-3,D7,SMP-20,0.41,0.947
LJ-PLATE-3,D8,SMP-20,0.14,1.026
LJ-PLATE-3,D9,SMP-20,0.05,0.932
LJ-PLATE-3,D10,EMPTY-P3-W46,0.0,0.0
LJ-PLATE-3,D11,EMPTY-P3-W47,0.0,0.0
LJ-PLATE-3,D12,Low Control,0.0,1.004
LJ-PLATE-3,E1,High Control,10.0,0.15
LJ-PLATE-3,E2,SMP-21,100.0,0.053
LJ-PLATE-3,E3,SMP-21,33.33,0.167
LJ-PLATE-3,E4,SMP-21,11.11,0.285
LJ-PLATE-3,E5,SMP-21,3.7,0.522
LJ-PLATE-3,E6,SMP-21,1.23,0.87
LJ-PLATE-3,E7,SMP-21,0.41,0.97
LJ-PLATE-3,E8,SMP-21,0.14,1.036
LJ-PLATE-3,E9,SMP-21,0.05,0.953
LJ-PLATE-3,E10,EMPTY-P3-W58,0.0,0.0
LJ-PLATE-3,E11,EMPTY-P3-W59,0.0,0.0
LJ-PLATE-3,E12,Low Control,0.0,1.018
LJ-PLATE-3,F1,High Control,10.0,0.146
LJ-PLATE-3,F2,SMP-22,100.0,0.0
LJ-PLATE-3,F3,SMP-22,33.33,0.103
LJ-PLATE-3,F4,SMP-22,11.11,0.414
LJ-PLATE-3,F5,SMP-22,3.7,0.543
LJ-PLATE-3,F6,SMP-22,1.23,0.824
LJ-PLATE-3,F7,SMP-22,0.41,0.982
LJ-PLATE-3,F8,SMP-22,0.14,1.02
LJ-PLATE-3,F9,SMP-22,0.05,1.02
LJ-PLATE-3,F10,EMPTY-P3-W70,0.0,0.0
LJ-PLATE-3,F11,EMPTY-P3-W71,0.0,0.0
LJ-PLATE-3,F12,Low Control,0.0,0.994
LJ-PLATE-3,G1,High Control,10.0,0.123
LJ-PLATE-3,G2,SMP-23,100.0,0.122
LJ-PLATE-3,G3,SMP-23,33.33,0.134
LJ-PLATE-3,G4,SMP-23,11.11,0.458
LJ-PLATE-3,G5,SMP-23,3.7,0.717
LJ-PLATE-3,G6,SMP-23,1.23,0.83
LJ-PLATE-3,G7,SMP-23,0.41,0.931
LJ-PLATE-3,G8,SMP-23,0.14,0.992
LJ-PLATE-3,G9,SMP-23,0.05,1.019
LJ-PLATE-3,G10,EMPTY-P3-W82,0.0,0.0
LJ-PLATE-3,G11,EMPTY-P3-W83,0.0,0.0
LJ-PLATE-3,G12,Low Control,0.0,0.978
LJ-PLATE-3,H1,High Control,10.0,0.051
LJ-PLATE-3,H2,SMP-24,100.0,0.14
LJ-PLATE-3,H3,SMP-24,33.33,0.12
LJ-PLATE-3,H4,SMP-24,11.11,0.42
LJ-PLATE-3,H5,SMP-24,3.7,0.516
LJ-PLATE-3,H6,SMP-24,1.23,0.846
LJ-PLATE-3,H7,SMP-24,0.41,0.98
LJ-PLATE-3,H8,SMP-24,0.14,0.968
LJ-PLATE-3,H9,SMP-24,0.05,0.952
LJ-PLATE-3,H10,EMPTY-P3-W94,0.0,0.0
LJ-PLATE-3,H11,EMPTY-P3-W95,0.0,0.0
LJ-PLATE-3,H12,Low Control,0.0,0.962
LJ-PLATE-4,A1,High Control,10.0,0.104
LJ-PLATE-4,A2,SMP-25,100.0,0.062
LJ-PLATE-4,A3,SMP-25,33.33,0.151
LJ-PLATE-4,A4,SMP-25,11.11,0.336
LJ-PLATE-4,A5,SMP-25,3.7,0.507
LJ-PLATE-4,A6,SMP-25,1.23,0.725
LJ-PLATE-4,A7,SMP-25,0.41,0.997
LJ-PLATE-4,A8,SMP-25,0.14,0.99
LJ-PLATE-4,A9,SMP-25,0.05,0.995
LJ-PLATE-4,A10,EMPTY-P4-W10,0.0,0.0
LJ-PLATE-4,A11,EMPTY-P4-W11,0.0,0.0
LJ-PLATE-4,A12,Low Control,0.0,0.994
LJ-PLATE-4,B1,High Control,10.0,0.068
LJ-PLATE-4,B2,SMP-26,100.0,0.005
LJ-PLATE-4,B3,SMP-26,33.33,0.148
LJ-PLATE-4,B4,SMP-26,11.11,0.381
LJ-PLATE-4,B5,SMP-26,3.7,0.703
LJ-PLATE-4,B6,SMP-26,1.23,0.831
LJ-PLATE-4,B7,SMP-26,0.41,0.951
LJ-PLATE-4,B8,SMP-26,0.14,1.021
LJ-PLATE-4,B9,SMP-26,0.05,1.007
LJ-PLATE-4,B10,EMPTY-P4-W22,0.0,0.0
LJ-PLATE-4,B11,EMPTY-P4-W23,0.0,0.0
LJ-PLATE-4,B12,Low Control,0.0,1.011
LJ-PLATE-4,C1,High Control,10.0,0.124
LJ-PLATE-4,C2,SMP-27,100.0,0.07
LJ-PLATE-4,C3,SMP-27,33.33,0.174
LJ-PLATE-4,C4,SMP-27,11.11,0.28
LJ-PLATE-4,C5,SMP-27,3.7,0.633
LJ-PLATE-4,C6,SMP-27,1.23,0.913
LJ-PLATE-4,C7,SMP-27,0.41,1.015
LJ-PLATE-4,C8,SMP-27,0.14,1.037
LJ-PLATE-4,C9,SMP-27,0.05,1.011
LJ-PLATE-4,C10,EMPTY-P4-W34,0.0,0.0
LJ-PLATE-4,C11,EMPTY-P4-W35,0.0,0.0
LJ-PLATE-4,C12,Low Control,0.0,1.041
LJ-PLATE-4,D1,High Control,10.0,0.133
LJ-PLATE-4,D2,SMP-28,100.0,0.025
LJ-PLATE-4,D3,SMP-28,33.33,0.137
LJ-PLATE-4,D4,SMP-28,11.11,0.226
LJ-PLATE-4,D5,SMP-28,3.7,0.749
LJ-PLATE-4,D6,SMP-28,1.23,0.7
LJ-PLATE-4,D7,SMP-28,0.41,0.882
LJ-PLATE-4,D8,SMP-28,0.14,1.005
LJ-PLATE-4,D9,SMP-28,0.05,1.017
LJ-PLATE-4,D10,EMPTY-P4-W46,0.0,0.0
LJ-PLATE-4,D11,EMPTY-P4-W47,0.0,0.0
LJ-PLATE-4,D12,Low Control,0.0,0.977
LJ-PLATE-4,E1,High Control,10.0,0.054
LJ-PLATE-4,E2,SMP-29,100.0,0.072
LJ-PLATE-4,E3,SMP-29,33.33,0.245
LJ-PLATE-4,E4,SMP-29,11.11,0.347
LJ-PLATE-4,E5,SMP-29,3.7,0.615
LJ-PLATE-4,E6,SMP-29,1.23,0.906
LJ-PLATE-4,E7,SMP-29,0.41,1.006
LJ-PLATE-4,E8,SMP-29,0.14,0.969
LJ-PLATE-4,E9,SMP-29,0.05,0.989
LJ-PLATE-4,E10,EMPTY-P4-W58,0.0,0.0
LJ-PLATE-4,E11,EMPTY-P4-W59,0.0,0.0
LJ-PLATE-4,E12,Low Control,0.0,1.001
LJ-PLATE-4,F1,High Control,10.0,0.149
LJ-PLATE-4,F2,SMP-30,100.0,0.037
LJ-PLATE-4,F3,SMP-30,33.33,0.13
LJ-PLATE-4,F4,SMP-30,11.11,0.337
LJ-PLATE-4,F5,SMP-30,3.7,0.703
LJ-PLATE-4,F6,SMP-30,1.23,0.885
LJ-PLATE-4,F7,SMP-30,0.41,0.907
LJ-PLATE-4,F8,SMP-30,0.14,0.95
LJ-PLATE-4,F9,SMP-30,0.05,0.996
LJ-PLATE-4,F10,EMPTY-P4-W70,0.0,0.0
LJ-PLATE-4,F11,EMPTY-P4-W71,0.0,0.0
LJ-PLATE-4,F12,Low Control,0.0,0.962
LJ-PLATE-4,G1,High Control,10.0,0.133
LJ-PLATE-4,G2,SMP-31,100.0,0.029
LJ-PLATE-4,G3,SMP-31,33.33,0.114
LJ-PLATE-4,G4,SMP-31,11.11,0.254
LJ-PLATE-4,G5,SMP-31,3.7,0.785
LJ-PLATE-4,G6,SMP-31,1.23,0.908
LJ-PLATE-4,G7,SMP-31,0.41,0.981
LJ-PLATE-4,G8,SMP-31,0.14,0.964
LJ-PLATE-4,G9,SMP-31,0.05,0.998
LJ-PLATE-4,G10,EMPTY-P4-W82,0.0,0.0
LJ-PLATE-4,G11,EMPTY-P4-W83,0.0,0.0
LJ-PLATE-4,G12,Low Control,0.0,0.965
LJ-PLATE-4,H1,High Control,10.0,0.104
LJ-PLATE-4,H2,SMP-32,100.0,0.035
LJ-PLATE-4,H3,SMP-32,33.33,0.12
LJ-PLATE-4,H4,SMP-32,11.11,0.372
LJ-PLATE-4,H5,SMP-32,3.7,0.689
LJ-PLATE-4,H6,SMP-32,1.23,0.916
LJ-PLATE-4,H7,SMP-32,0.41,1.03
LJ-PLATE-4,H8,SMP-32,0.14,0.96
LJ-PLATE-4,H9,SMP-32,0.05,1.036
LJ-PLATE-4,H10,EMPTY-P4-W94,0.0,0.0
LJ-PLATE-4,H11,EMPTY-P4-W95,0.0,0.0
LJ-PLATE-4,H12,Low Control,0.0,0.994
LJ-PLATE-5,A1,High Control,10.0,0.103
LJ-PLATE-5,A2,SMP-33,100.0,0.017
LJ-PLATE-5,A3,SMP-33,33.33,0.204
LJ-PLATE-5,A4,SMP-33,11.11,0.486
LJ-PLATE-5,A5,SMP-33,3.7,0.765
LJ-PLATE-5,A6,SMP-33,1.23,0.875
LJ-PLATE-5,A7,SMP-33,0.41,1.019
LJ-PLATE-5,A8,SMP-33,0.14,0.948
LJ-PLATE-5,A9,SMP-33,0.05,1.024
LJ-PLATE-5,A10,EMPTY-P5-W10,0.0,0.0
LJ-PLATE-5,A11,EMPTY-P5-W11,0.0,0.0
LJ-PLATE-5,A12,Low Control,0.0,0.993
LJ-PLATE-5,B1,High Control,10.0,0.06
LJ-PLATE-5,B2,SMP-34,100.0,0.019
LJ-PLATE-5,B3,SMP-34,33.33,0.067
LJ-PLATE-5,B4,SMP-34,11.11,0.423
LJ-PLATE-5,B5,SMP-34,3.7,0.531
LJ-PLATE-5,B6,SMP-34,1.23,0.814
LJ-PLATE-5,B7,SMP-34,0.41,0.953
LJ-PLATE-5,B8,SMP-34,0.14,0.974
LJ-PLATE-5,B9,SMP-34,0.05,0.94
LJ-PLATE-5,B10,EMPTY-P5-W22,0.0,0.0
LJ-PLATE-5,B11,EMPTY-P5-W23,0.0,0.0
LJ-PLATE-5,B12,Low Control,0.0,1.03
LJ-PLATE-5,C1,High Control,10.0,0.14
LJ-PLATE-5,C2,SMP-35,100.0,0.083
LJ-PLATE-5,C3,SMP-35,33.33,0.114
LJ-PLATE-5,C4,SMP-35,11.11,0.388
LJ-PLATE-5,C5,SMP-35,3.7,0.544
LJ-PLATE-5,C6,SMP-35,1.23,0.839
LJ-PLATE-5,C7,SMP-35,0.41,1.009
LJ-PLATE-5,C8,SMP-35,0.14,0.988
LJ-PLATE-5,C9,SMP-35,0.05,0.954
LJ-PLATE-5,C10,EMPTY-P5-W34,0.0,0.0
LJ-PLATE-5,C11,EMPTY-P5-W35,0.0,0.0
LJ-PLATE-5,C12,Low Control,0.0,1.011
LJ-PLATE-5,D1,High Control,10.0,0.1
LJ-PLATE-5,D2,SMP-36,100.0,0.115
LJ-PLATE-5,D3,SMP-36,33.33,0.182
LJ-PLATE-5,D4,SMP-36,11.11,0.393
LJ-PLATE-5,D5,SMP-36,3.7,0.744
LJ-PLATE-5,D6,SMP-36,1.23,0.908
LJ-PLATE-5,D7,SMP-36,0.41,0.986
LJ-PLATE-5,D8,SMP-36,0.14,0.988
LJ-PLATE-5,D9,SMP-36,0.05,0.985
LJ-PLATE-5,D10,EMPTY-P5-W46,0.0,0.0
LJ-PLATE-5,D11,EMPTY-P5-W47,0.0,0.0
LJ-PLATE-5,D12,Low Control,0.0,1.047
LJ-PLATE-5,E1,High Control,10.0,0.103
LJ-PLATE-5,E2,SMP-37,100.0,0.012
LJ-PLATE-5,E3,SMP-37,33.33,0.21
LJ-PLATE-5,E4,SMP-37,11.11,0.384
LJ-PLATE-5,E5,SMP-37,3.7,0.751
LJ-PLATE-5,E6,SMP-37,1.23,0.979
LJ-PLATE-5,E7,SMP-37,0.41,0.973
LJ-PLATE-5,E8,SMP-37,0.14,0.969
LJ-PLATE-5,E9,SMP-37,0.05,1.015
LJ-PLATE-5,E10,EMPTY-P5-W58,0.0,0.0
LJ-PLATE-5,E11,EMPTY-P5-W59,0.0,0.0
LJ-PLATE-5,E12,Low Control,0.0,1.008
LJ-PLATE-5,F1,High Control,10.0,0.132
LJ-PLATE-5,F2,SMP-38,100.0,0.087
LJ-PLATE-5,F3,SMP-38,33.33,0.04
LJ-PLATE-5,F4,SMP-38,11.11,0.417
LJ-PLATE-5,F5,SMP-38,3.7,0.756
LJ-PLATE-5,F6,SMP-38,1.23,0.847
LJ-PLATE-5,F7,SMP-38,0.41,0.907
LJ-PLATE-5,F8,SMP-38,0.14,0.972
LJ-PLATE-5,F9,SMP-38,0.05,1.043
LJ-PLATE-5,F10,EMPTY-P5-W70,0.0,0.0
LJ-PLATE-5,F11,EMPTY-P5-W71,0.0,0.0
LJ-PLATE-5,F12,Low Control,0.0,0.992
LJ-PLATE-5,G1,High Control,10.0,0.124
LJ-PLATE-5,G2,SMP-39,100.0,0.0
LJ-PLATE-5,G3,SMP-39,33.33,0.189
LJ-PLATE-5,G4,SMP-39,11.11,0.207
LJ-PLATE-5,G5,SMP-39,3.7,0.753
LJ-PLATE-5,G6,SMP-39,1.23,0.946
LJ-PLATE-5,G7,SMP-39,0.41,0.912
LJ-PLATE-5,G8,SMP-39,0.14,0.986
LJ-PLATE-5,G9,SMP-39,0.05,1.008
LJ-PLATE-5,G10,EMPTY-P5-W82,0.0,0.0
LJ-PLATE-5,G11,EMPTY-P5-W83,0.0,0.0
LJ-PLATE-5,G12,Low Control,0.0,0.952
LJ-PLATE-5,H1,High Control,10.0,0.129
LJ-PLATE-5,H2,SMP-40,100.0,0.069
LJ-PLATE-5,H3,SMP-40,33.33,0.017
LJ-PLATE-5,H4,SMP-40,11.11,0.202
LJ-PLATE-5,H5,SMP-40,3.7,0.481
LJ-PLATE-5,H6,SMP-40,1.23,0.82
LJ-PLATE-5,H7,SMP-40,0.41,0.922
LJ-PLATE-5,H8,SMP-40,0.14,0.955
LJ-PLATE-5,H9,SMP-40,0.05,0.958
LJ-PLATE-5,H10,EMPTY-P5-W94,0.0,0.0
LJ-PLATE-5,H11,EMPTY-P5-W95,0.0,0.0
LJ-PLATE-5,H12,Low Control,0.0,0.955
LJ-PLATE-6,A1,High Control,10.0,0.124
LJ-PLATE-6,A2,SMP-41,100.0,0.025
LJ-PLATE-6,A3,SMP-41,33.33,0.13
LJ-PLATE-6,A4,SMP-41,11.11,0.269
LJ-PLATE-6,A5,SMP-41,3.7,0.765
