smiles,CMPD_CHEMBLID,CYP3A4,hERG_pIC50
[Na+].[Na+].[O-]S(=O)(=O)c1cc(ccc1\C=C\c2ccc(cc2S(=O)(=O)[O-])N=C=S)N=C=S,CHEMBL133930,4.90,
[Na+].[O-]C(=O)c1cccc(Cc2cc(Cl)ccc2OCc3ccc(F)cc3Cl)n1,CHEMBL513491,4.46,
[Na+].c1nc[n-]n1,CHEMBL1377189,4.50,
[Na+].CC(=O)OCC1=C(N2[C@@H](SC1)[C@H](NC(=O)Cc3cccs3)C2=O)C(=O)[O-],CHEMBL1370610,4.90,
[Na+].CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)[O-])n2Cc3ccc(Cl)cc3,CHEMBL416657,4.70,
[Na+].Cc1c2C(=O)C(=O)c3c4CCCC(C)(C)c4ccc3c2oc1S(=O)(=O)[O-],CHEMBL1473252,5.00,
[Na+].CCCC(CCC)C(=O)[O-],CHEMBL433,5.80,
[Na+].Cn1nnnc1SCC2=C(N3C(SC2)C(NC(=O)C(O)c4ccccc4)C3=O)C(=O)[O-],CHEMBL1485048,7.20,
[Na+].Nc1ccc(cc1)S(=O)(=O)[N-]c2cnc3ccccc3n2,CHEMBL1527324,4.60,
[O-][N+](=O)C1=CC(=CN(Cc2c(Cl)cccc2Cl)C1=O)C(F)(F)F,CHEMBL1575145,4.85,
[O-][N+](=O)c1cc(ccc1N2CCCC2=O)S(=O)(=O)Oc3cccc(Cl)c3,CHEMBL1467355,4.90,
[O-][N+](=O)c1cc(ccc1N2CCOCC2)C(=O)Nc3ccc(cc3)c4oc5ccccc5n4,CHEMBL1555483,4.95,
[O-][N+](=O)c1cc(Cl)ccc1C(=O)NCc2ccc(Cl)cc2,CHEMBL1308884,4.90,
[O-][N+](=O)c1cc(F)c(cc1N2CCCCC2)N3CCOCC3,CHEMBL1564977,4.75,
[O-][N+](=O)c1cc2C(=O)c3ccccc3c2cc1[N+](=O)[O-],CHEMBL512908,6.30,
[O-][N+](=O)c1cc2OCOc2cc1\C=N\c3ccccc3,CHEMBL3195211,4.70,
[O-][N+](=O)c1ccc(\C=C(/NC(=O)c2ccccc2)\C(=O)Nc3cccc4ccccc34)cc1,CHEMBL1423135,5.95,
[O-][N+](=O)c1ccc(\C=N\NC(=O)c2ccccc2Br)s1,CHEMBL3197506,4.65,
[O-][N+](=O)c1ccc(C2CCCC/C/2=N/OCc3ccccc3F)c(c1)[N+](=O)[O-],CHEMBL3199291,5.45,
[O-][N+](=O)c1ccc(cc1)C(=O)[C@@H](Br)[C@@H](Br)c2ccnc3ccccc23,CHEMBL1334357,5.50,
[O-][N+](=O)c1ccc(cc1)C(=O)COC(=O)\C(=C/c2ccc(Cl)cc2)\NC(=O)c3ccccc3,CHEMBL1506008,4.65,
[O-][N+](=O)c1ccc(cc1)C2C3N2C4(CCCCC4)N=C3c5ccccc5,CHEMBL1413738,4.80,
[O-][N+](=O)c1ccc(cc1)S(=O)(=O)N2CCC(CN3CCC(CC3)c4noc5cc(F)ccc45)CC2,CHEMBL3741292,,5.42
[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc(cc3)n4cnnn4)CC2)cc1,CHEMBL2441429,,7.96
[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc4nonc4c3)CC2)cc1,CHEMBL2146853,,7.60
[O-][N+](=O)c1ccc(CCN2CCNCC2)cc1,CHEMBL2146754,,6.72
[O-][N+](=O)c1ccc(N2CCN(CCOc3nonc3c4ccccc4)CC2)c(Cl)c1,CHEMBL1485450,4.85,
[O-][N+](=O)c1ccc(Nc2nc(N\N=C/c3ccc4OCOc4c3)nc(n2)N5CCCCC5)cc1,CHEMBL3195443,5.90,
[O-][N+](=O)c1ccc2nc(SCC(=O)c3ccc4ccccc4c3)sc2c1,CHEMBL1405043,5.40,
[O-][N+](=O)c1cccc(\C=N/NC2=CS(=O)(=O)C=C2)c1,CHEMBL1418097,5.30,
[O-][N+](=O)c1cccc(c1)C(=O)Nc2nc(cs2)c3ccccc3,CHEMBL1361797,5.00,
[O-][N+](=O)c1cccc(c1)C(=O)NCc2ccccn2,CHEMBL1599492,4.75,
[O-][N+](=O)c1cccc(c1)c2nnn(n2)C34CC5CC(CC(C5)C3)C4,CHEMBL1465534,5.05,
[O-][N+](=O)c1cccc(c1)c2onc(n2)c3ccncc3,CHEMBL1362108,6.25,
[O-][N+](=O)c1cccc2c1c3ncnc(N4CCN(CCc5ccc(F)c(F)c5)CC4)c3n2Cc6ccncc6,CHEMBL29743,5.24,
[O-][N+](=O)c1ccccc1C(=O)N\N=C\c2ccc(Br)s2,CHEMBL3191906,4.75,
[O-][N+](=O)c1ccccc1CC(=O)NCc2ccccc2Cl,CHEMBL1428990,4.80,
[O-][N+](=O)c1ccccc1OCc2oc(cc2)C(=O)Nc3nc4ccccc4n3Cc5ccccc5,CHEMBL1382389,5.35,
[O-][N+](=O)c1cccnc1NCCNc2ncc(cc2Cl)C(F)(F)F,CHEMBL1586735,4.90,
[O-][N+](=O)c1ccn(CC(=O)N2CCc3ccccc3C2)n1,CHEMBL1606673,4.65,
[O-][N+](=O)c1cnc(s1)N2CCNC2=O,CHEMBL152632,6.40,
[O-][N+](=O)c1oc(\C=N\NC(=O)c2cc(nc3ccccc23)c4ccncc4)cc1,CHEMBL1987514,6.05,
[O-][n+]1ccc(cc1)C(=O)N2CCC3(CCN(Cc4cccc(Oc5ccccc5)c4)CC3)CC2,CHEMBL409849,,4.85
[O-][n+]1cccc(c1)C#Cc2cccc(c2)N3C=C(C(=O)NC4CC4)C(=O)c5cccnc35,CHEMBL485629,,4.18
[O-][S+](c1ccc(\C=C\c2ccc(F)cc2)nc1)c3ccccc3F,CHEMBL395459,,5.54
[O-][S+](c1ccccc1)c2ccc(\C=C\c3ccc(F)cc3F)nc2,CHEMBL240887,,5.19
[O-][S+](CC(=O)Nc1ccccc1Cl)c2cccc(Cl)c2,CHEMBL1741744,4.85,
Br.CCCCN1C(=N)N(CC(=O)c2occc2)c3ccccc13,CHEMBL1400995,4.50,
Br.CCCN1C(=N)N(CC(=O)c2occc2)c3ccccc13,CHEMBL1419738,4.45,
Br.COc1ccc2C[C@@H]3C4CCCC[C@]4(CCN3C)c2c1,CHEMBL1204111,4.90,
Br.Oc1ccc(cc1F)c2ccc3C(=CCCc3c2)c4ccncc4,CHEMBL496286,5.68,
Br.Oc1ccc(cc1F)c2ccc3C(CCCc3c2)c4ccncc4,CHEMBL496469,5.47,
Brc1ccc(\C=C(\NC(=O)c2occc2)/c3nc4ccccc4[nH]3)cc1,CHEMBL1546811,5.80,
Brc1ccc(\C=C/CNCCNS(=O)(=O)c2cccc3cnccc23)cc1,CHEMBL403128,5.80,
Brc1ccc(cc1)[C@H]2CN3CCSC3=N2,CHEMBL1527442,4.60,
Brc1ccc(cc1)C(=O)N\C(=C\c2ccccc2)\C(=O)NCC(=O)OCc3ccccc3,CHEMBL1432119,6.70,
Brc1ccc(cc1)C2CC(=NN2S(=O)(=O)c3ccccc3)c4cccs4,CHEMBL1498694,5.70,
Brc1ccc(cc1)C2Nc3ccccc3NC4=C2C(=O)NC4,CHEMBL1380712,4.60,
Brc1ccc(cc1)c2oc(nn2)c3cccc(c3)S(=O)(=O)N4CCCCCC4,CHEMBL1470386,5.45,
Brc1ccc(CNC(=O)C2N(CCc3ccccn3)C(=O)c4ccccc24)cc1,CHEMBL2164384,,5.03
Brc1ccc(NC(=O)c2ccc(CSC3=NCCS3)cc2)cc1,CHEMBL1600243,5.45,
Brc1ccc(NC(=S)NNC(=O)CSc2nc3ccccc3s2)cc1,CHEMBL1454748,5.60,
Brc1ccc(OCC(=O)N2CCC(C2)c3ccccc3)cc1,CHEMBL1516503,4.55,
Brc1ccc2[nH]c3c(CC(=O)Nc4ccccc34)c2c1,CHEMBL296586,4.90,
Brc1ccc2NC(=S)N(Cc3cccnc3)C(=O)c2c1,CHEMBL1568012,6.40,
Brc1ccc2NC(=S)N(CCCC(=O)NCC3CCCO3)C(=O)c2c1,CHEMBL1504272,4.45,
Brc1cccc(\C=C\2/SC(=S)N(CCC(=O)NNC(=O)c3cccnc3)C2=O)c1,CHEMBL1582278,5.50,
Brc1cccc2nc(ccc12)C#Cc3ccccn3,CHEMBL2335295,,4.64
C([C@@H](Nc1cccnc1)c2ccccc2)c3ccccc3,CHEMBL1607623,5.50,
C([C@H](N1CCCCC1)c2ccccc2)c3ccccc3,CHEMBL467085,4.50,
C(c1c[nH]c2ccccc12)c3c[nH]c4ccccc34,CHEMBL446452,4.40,
C(C1CC1)N2CC3CN(CC4CC4)CC(C2)C35CCCC5,CHEMBL113461,,5.60
C(c1ccc(cc1)C(N2CCCN(CC2)C3CCC3)c4nnnn4Cc5ccccc5)n6cncn6,CHEMBL1223236,4.92,
C(c1ccccc1)C2(CCNC2)c3ccc4sccc4c3,CHEMBL486537,,4.96
C(C1CCCCC1)N2C[C@@H]3C(c4ccccc4)C5(CC3(C5)[C@H]2c6ccccc6)c7ccccc7,CHEMBL1370135,5.30,
C(c1ccccc1)n2cnc(c2)c3cccnc3,CHEMBL178780,4.12,
C(Cc1ccc2ccccc2n1)[C@@H]3CCCCN3,CHEMBL1371311,5.40,
C(Cc1ccccc1)N2CCC(CC2)c3c([nH]c4ccccc34)c5ccccc5,CHEMBL40584,,7.10
C(Cc1ccncc1)N2CCCCC2,CHEMBL1447143,5.20,
C(CCc1nnc2CCCCc2n1)Cc3nnc4CCCCc4n3,CHEMBL1491455,5.40,
C(CCCN1CCN(CC1)c2ccccn2)CCN3CCN(CC3)c4ccccc4,CHEMBL1171646,,4.89
C(CN(c1ccccc1)c2ccccc2)NCCc3ccccc3,CHEMBL2046890,,7.20
C(CN1CCCC1)Oc2ccc3Nc4nccc(n4)c5ccnc(OCC\C=C\COCc2c3)c5,CHEMBL2035052,,5.62
C(CN1CCCCC1)Oc2ccc3Nc4nccc(n4)c5cccc(COCC=CCOCc2c3)c5,CHEMBL2181331,6.43,
C(CNc1nc2ccccc2s1)COc3cccc(CN4CCCCC4)c3,CHEMBL419296,4.90,
C(CNCCN(c1ccccc1)c2ccccc2)Cc3ccccc3,CHEMBL2046891,,6.20
C(COc1ccc(cc1)[C@@H]2CC[C@H](CC2)N3CCCC3)CN4CCCCC4,CHEMBL1824235,4.32,
C(COc1ccc(cc1)C2CCCCO2)CN3CCCCC3,CHEMBL1822856,,5.95
C(COc1ccc(cc1)n2ccnc2)Cc3ccccn3,CHEMBL115876,6.60,
C(COc1ccc(cc1)n2ccnc2)Cc3ccncc3,CHEMBL113227,6.46,
C(N1C(c2ccccn2)n3c(nc4ccccc34)c5ccccc15)c6ccccc6,CHEMBL1600490,5.50,
C(N1C[C@@H]2C(c3ccccc3)C4(CC2(C4)[C@H]1c5ccccc5)c6cccnc6)c7ccc(cc7)c8ccccc8,CHEMBL1490938,4.80,
C(N1CCC(CC1)Oc2ncnc3c2ccn3Cc4ccccc4)c5ccccc5,CHEMBL2012277,,5.92
C(N1CCC(CC1)Oc2ncnc3c2ccn3Cc4ccccc4)c5cscn5,CHEMBL2012244,,6.12
C(N1CCN(CC1)c2ncccn2)c3ccc4OCOc4c3,CHEMBL1371770,5.00,
C(N1CCN(Cc2onc(n2)c3ccccc3)CC1)c4ccccc4,CHEMBL2069921,,4.90
C(Nc1cc(ncn1)c2cccnc2)c3cccs3,CHEMBL1512919,5.60,
C(Nc1ccnc(n1)c2ccc3OCOc3c2)c4ccccc4,CHEMBL1436125,6.10,
C(Nc1ccnc(n1)c2ccc3OCOc3c2)c4cccnc4,CHEMBL1357018,6.00,
C(Nc1ccnc(n1)c2ccc3OCOc3c2)c4cccs4,CHEMBL1558843,6.00,
C(Nc1ccnc(n1)c2cocc2)c3ccccc3,CHEMBL1334477,5.00,
C(Nc1nc(nc2ccccc12)c3ccc4OCOc4c3)c5cccnc5,CHEMBL1518415,6.50,
C(Nc1nc(nc2ccccc12)c3cccnc3)c4cccs4,CHEMBL1190913,5.70,
C(Nc1nc(nc2ccccc12)c3cocc3)c4cccnc4,CHEMBL1414251,5.10,
C(Nc1nc(nc2ccccc12)c3cocc3)c4cccs4,CHEMBL1438371,5.10,
C(Nc1ncnc2ccc(cc12)c3ccc4OCOc4c3)c5ccccc5,CHEMBL1358796,5.70,
C(Nc1ncnc2ccc(cc12)c3cccnc3)c4cccnc4,CHEMBL1355644,6.00,
C(Nc1ncncc1c2ccc3OCOc3c2)c4cccnc4,CHEMBL1331525,6.40,
C(Nc1ncncc1c2cccnc2)c3ccccc3,CHEMBL1568111,5.90,
C(Nc1ncncc1c2cocc2)c3cccs3,CHEMBL1527221,5.70,
C(O[C@H]1CCNC1)c2ccc3ccccc3c2,CHEMBL445794,,4.80
C(Oc1ccc(cc1)n2ccnc2)c3ccccn3,CHEMBL112592,6.20,
C(Oc1ccc2cccnc2c1)c3ccccc3,CHEMBL1081779,4.60,
C(Sc1ncnc2[nH]cnc12)c3ccncc3,CHEMBL1567238,6.00,
C(Sc1nnc(c2ccccc2)n1Cc3occc3)c4nc5ccccc5[nH]4,CHEMBL1445233,5.70,
C(Sc1nnc2c3ccccc3c4ccccc4c2n1)c5ccccc5,CHEMBL1358395,5.40,
C[C@@](O)(CCC1C(=C)CCC2[C@@](C)(CO)CCC[C@@]12C)C=C,CHEMBL1521278,5.60,
C[C@@]1(C=C[C@@H](Cc2ccccc2)N1C(=O)c3ccccc3)C(=O)NCC4CC4,CHEMBL1553555,5.70,
C[C@@]12CC[C@H](O)C[C@@H]1CC[C@H]3[C@H]4CC[C@H](c5cc([nH]n5)C(F)(F)F)[C@]4(C)CC[C@@H]23,CHEMBL1529093,5.60,
C[C@@]12CC[C@H]3[C@@H]([C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)Cc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,CHEMBL1597812,6.00,
C[C@@]12CC=C3[C@@H](CCC4=CC(=O)C=C[C@@]34C)[C@H]1CC[C@H]2C(=O)CN5CCN(CC5)c6cc(nc(n6)N7CCCC7)N8CCCC8,CHEMBL1448859,5.50,
C[C@@H]([C@@H](O)c1ccc(O)cc1)N2CCC(O)(CC2)c3ccccc3,CHEMBL17350,,5.00
C[C@@H]([C@H](O)c1ccc(O)cc1)N2CCC(Cc3ccccc3)CC2,CHEMBL49623,4.90,
C[C@@H]([C@H](O)c1ccc(O)cc1)N2CCC(Cc3ccccc3)CC2.C[C@@H]([C@H](O)c4ccc(O)cc4)N5CCC(Cc6ccccc6)CC5.OC(C(O)C(=O)O)C(=O)O,CHEMBL2062340,5.40,
C[C@@H]([C@H](O)c1ccc(O)cc1)N2CCC(Cc3ccccc3)CC2.OC(C(O)C(=O)O)C(=O)O,CHEMBL2062341,5.00,
C[C@@H]([C@H]1NC[C@H](C)C[C@@H]1O)c2ccc3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@@H]4Cc3c2C,CHEMBL1398335,5.50,
C[C@@H](\C=C/c1cccc(Oc2ccc(F)cc2)c1)N(O)C(=O)N,CHEMBL1328985,5.90,
C[C@@H](C[C@@](C)(CS(=O)(=O)N1CCC(CC1)OCc2ccc(Cl)cc2Cl)N(O)C=O)c3ncc(F)cn3,CHEMBL1615186,,5.10
C[C@@H](C[C@@](C)(CS(=O)(=O)N1CCN(CC1)c2ccc(F)cc2)N(O)C=O)c3ncc(F)cn3,CHEMBL1683445,,4.68
C[C@@H](c1ccccn1)c2c(CCN(C)C)oc3ccccc23,CHEMBL563920,,5.92
C[C@@H](c1ccccn1)c2c(CCN3CCC3)sc4ccccc24,CHEMBL1091775,,5.38
C[C@@H](c1ncncc1F)[C@](O)(Cn2ccnc2)c3ccc(F)cc3F,CHEMBL3310994,6.10,
C[C@@H](c1ncncc1F)[C@](O)(Cn2cnnc2)c3ccc(F)cc3F,CHEMBL3358963,4.29,
C[C@@H](c1ncncc1F)[C@](O)(Cn2cnnn2)c3ccc(F)cc3F,CHEMBL3310993,4.50,
C[C@@H](Cc1ccc(O)cc1)NC[C@@H](O)c2cc(O)cc(O)c2,CHEMBL389390,4.60,
C[C@@H](CN1CCCc2nc(C)c(C)cc12)O\N=C(/C)\CCN3CCCCc4nc(C)c(C)cc34,CHEMBL1515706,5.50,
C[C@@H](CN1CCCc2nc(C)c(C)cc12)O\N=C/C[C@H]3O[C@@H](COC(=O)C)[C@@H](OC(=O)C)C=C3,CHEMBL1558245,5.40,
C[C@@H](CN1CCCCc2nc(C)c(C)cc12)O\N=C(/C)\CCN3CCCCc4nc(C)c(C)cc34,CHEMBL1316401,5.40,
C[C@@H](CN1CCCCc2nc(C)c(C)cc12)O\N=C/[C@@H](C)[C@H](OCc3ccccc3)C(C)C,CHEMBL1591903,5.40,
C[C@@H](CO)Oc1cc(Oc2ccc(cc2)C(=O)N3CCC3)cc(c1)C(=O)Nc4ccn(C)n4,CHEMBL3217925,,4.16
C[C@@H](CO)Oc1cc(Oc2ccc(cc2)C(=O)N3CCC3)cc(c1)C(=O)Nc4nccs4,CHEMBL3219108,,5.05
C[C@@H](N(C)C(=O)N1CC[C@@H](C[C@@H]1c2ccc(F)cc2C)N3CCN(CC3)C(=O)C)c4cc(cc(c4)C(F)(F)F)C(F)(F)F,CHEMBL1672054,5.31,
C[C@@H](N1[C@@H]2CC[C@H]1C[C@@H](C2)Oc3cccc(c3)C(=O)N)c4ccc(C)s4,CHEMBL1257347,,8.55
C[C@@H](N1[C@@H]2CC[C@H]1C[C@@H](C2)Oc3cccc(c3)C(=O)N)c4ccccc4,CHEMBL1257226,,7.89
C[C@@H](N1CC(C1)c2ncccn2)C3=Nc4c(cnn4C5CCCC5)C(=O)N3,CHEMBL2180070,,4.27
C[C@@H](NC(=O)\C(=C\c1ccc(O)c(O)c1)\C#N)c2ccccc2,CHEMBL258767,4.80,
C[C@@H](NC(=O)c1oc(cc1)c2ccc(Cl)cc2)C(=O)N3CCN(CCCOc4ccc(cc4)C(=O)C5CC5)CC3,CHEMBL251241,,6.10
C[C@@H](O[C@H]1C[C@@H](C)NC(=O)C[C@@H]1c2ccc(F)cc2)c3cc(cc(c3)C(F)(F)F)C(F)(F)F,CHEMBL209407,,5.07
C[C@@H](O[C@H]1CCC(=O)N(C)[C@@H](C)[C@@H]1c2ccc(F)cc2)c3cc(cc(c3)C(F)(F)F)C(F)(F)F,CHEMBL209240,,5.17
C[C@@H](O[C@H]1CCc2nccn2C[C@@H]1c3ccc(F)cc3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F,CHEMBL210630,,5.75
C[C@@H](Oc1cc(sc1C(=O)N)n2cnc3cc(ccc23)c4ccnc(c4)N5CCN(C)CC5)c6ccccc6Cl,CHEMBL1208958,4.57,
C[C@@H](Oc1cc(sc1C(=O)N)n2cnc3cc(ccc23)c4ccnc(NC5CCN(C)CC5)n4)c6ccccc6Cl,CHEMBL1208966,4.82,
C[C@@H](Oc1cc(sc1C(=O)N)n2cnc3cc(ccc23)c4ccnc(NCCN(C)C)c4)c5ccccc5C(F)(F)F,CHEMBL1208961,4.57,
C[C@@H](Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N5CCOCC5,CHEMBL403774,,5.00
C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc5ccccn5)c3)c12)C(=O)N(C)C,CHEMBL402011,,4.60
C[C@@H]1[C@H](C\C=C(/C)\CC\C=C(/C)\CC\C=C(/C)\CCC=C(C)C)C(=O)c2ccccc2C1=O,CHEMBL1398321,4.90,
C[C@@H]1[C@H](Oc2ccccc2S1(=O)=O)c3ccc(OCCCN4CCCC4)cc3,CHEMBL558248,,5.89
C[C@@H]1[C@H]2CC[C@@]3(C)C=CC(=O)C(=C3[C@@H]2OC1=O)C,CHEMBL1357930,4.50,
C[C@@H]1\C=C/CC(=O)OC[C@@H](NS(=O)(=O)c2ccc(C)cc2)[C@H](C)\C=C/CC(=O)OC[C@@H]1NS(=O)(=O)c3ccc(C)cc3,CHEMBL1436444,5.50,
C[C@@H]1C[C@@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@]3(F)[C@@H](O)C[C@]2(C)[C@]1(CC(=O)CO)C(=O)SCF,CHEMBL1433930,5.80,
C[C@@H]1C[C@@H]2[C@@H]3CC[C@](O)(C(=O)C)[C@]3(C)C[C@H](O)[C@]2(F)[C@@]4(C)C=CC(=O)C=C14,CHEMBL1475698,5.30,
C[C@@H]1C[C@@H]2[C@H]3CCC4=CC(=O)C=C[C@]4(C)[C@]3(Cl)[C@@H](O)C[C@@]2(C)[C@@]1(O)C(=O)CO,CHEMBL1592340,5.40,
C[C@@H]1C[C@@H]2[C@H]3CCC4=CC(=O)C=C[C@]4(C)[C@]3(F)[C@@H](O)C[C@@]2(C)[C@@]1(O)C(=O)CO,CHEMBL1354141,4.70,
C[C@@H]1C[C@@H]2[C@H]3CCC4=CC(=O)C=C[C@]4(C)[C@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,CHEMBL1358636,4.90,
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@@]4(C)[C@]3(F)[C@H](O)C[C@]2(C)[C@@]1(OC(=O)C)C(=O)COC(=O)C,CHEMBL1433593,5.20,
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,CHEMBL384467,4.50,
C[C@@H]1C=C[C@@](Cc2ccccc2)(N1C(=O)C)C(=O)NCc3ccccn3,CHEMBL1358200,4.90,
C[C@@H]1C=C[C@@](Cc2ccccc2)(N1C(=O)C)C(=O)NCCc3c[nH]c4ccccc34,CHEMBL1493308,5.80,
C[C@@H]1C=C[C@@](Cc2ccccc2)(N1C(=O)c3ccccc3)C(=O)NCCN4CCOCC4,CHEMBL1405649,5.30,
C[C@@H]1C2COC(=O)OCC2C3CC[C@H]4C(OCc5ccc(F)cc5C(F)(F)F)OC[C@]6(C)[C@H]4C3=C1CN6C(=O)OC(C)(C)C,CHEMBL1489140,4.70,
C[C@@H]1CC[C@@]23CCC(=O)[C@H]2[C@]1(C)[C@@H](C[C@@](C)(C=C)[C@@H](O)[C@@H]3C)OC(=O)CSc4cccc(CO)c4,CHEMBL3291120,5.71,
C[C@@H]1CC[C@@H](C)N1CCCNc2oc(nn2)c3ccc(NC(=O)c4ccccc4F)cc3,CHEMBL2022500,,5.10
C[C@@H]1CC[C@@H]2N(C[C@@H](COS(=O)(=O)c3ccc(C)cc3)OC2=O)[C@@H]1c4ccc(Br)cc4,CHEMBL1592500,5.40,
C[C@@H]1CC[C@@H]2N(C[C@H](O)CNC2=O)[C@@H]1c3ccc(Br)cc3,CHEMBL1603100,5.40,
C[C@@H]1CC2(OC3C[C@@]4(C)C5=CC[C@H]6C(C)(C)C(CC[C@@]67C[C@@]57CC[C@]4(C)C13)O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)OC(O)C9(C)OC29,CHEMBL1455972,5.30,
C[C@@H]1Cc2ccccc2N1C(=O)CC3=NC(=CC(=O)N3)N4CCOCC4,CHEMBL3112867,4.40,
C[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(Cl)cc2)C3(CC3)OC(=O)N4CCN(CC4)C(C)(C)CO,CHEMBL249292,6.10,
C[C@@H]1CCC[C@H](C)N1CCNc2cn(Cc3ccc(F)cc3)nn2,CHEMBL3417071,,6.22
C[C@@H]1CCC2[C@](C)(CO)C(O)CC[C@@]2(C)[C@@]13CC[C@](CO)(CCO)O3,CHEMBL1329517,4.60,
C[C@@H]1CCCN1C(=O)c2ccc(cc2)c3ccc4C(=O)N(CCN5CCCC5)CCc4c3,CHEMBL2031876,,4.98
C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)CCO,CHEMBL1934521,,5.11
C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)N4CCC(O)C4,CHEMBL1823053,,5.16
C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)NC4CCOCC4,CHEMBL559118,,4.89
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c(C)nc5ccccn45,CHEMBL1084385,,5.10
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c(O)ccnc4C(F)(F)F,CHEMBL1085783,,4.40
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(C#N)s4,CHEMBL1086315,,5.70
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(Cl)nc4,CHEMBL1083407,,5.44
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccccn4,CHEMBL1082496,,4.75
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccn[nH]4,CHEMBL1084581,,4.40
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnc(s4)c5ccccc5,CHEMBL1086513,,5.87
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnc5cc(C)nn5c4C,CHEMBL392573,,5.06
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnc5OCOc5c4,CHEMBL1086074,,4.40
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnccn4,CHEMBL1085964,,4.61
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnn(c4C)c5cc(cc(C)n5)C(F)(F)F,CHEMBL1084877,,4.78
C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4csc(n4)c5cc(C)on5,CHEMBL1086073,,5.55
