smiles,CMPD_CHEMBLID,CYP3A4,hERG_pIC50
[Cl-].CC1CCC2(C)C(CCC=C2C)C1(C)CC\C(=C\Cn3c[n+](C)c4c(N)ncnc34)\C,CHEMBL1608948,4.5,NA
[Cl-].CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)N(C)C,CHEMBL64894,5,NA
[Cl-].COc1cc2cc[n+]3c(C)c4cc(OC)c(OC)cc4cc3c2cc1OC,CHEMBL363506,4.8,NA
[Cl-].COc1cc2CC[n+]3cc4c(OC)c(OC)ccc4cc3c2cc1OC,CHEMBL274189,4.4,NA
[Cl-].COc1ccc2cc3c4cc5OCOc5cc4CC[n+]3cc2c1OC,CHEMBL12089,4.8,NA
[I-].CC(C)OC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H]3CCC[N+](C)(Cc4cccc(O)c4)C3)cc1,CHEMBL540359,5,5.6
[I-].CC[n+]1c(\C=C\C=C\N(C(=O)C)c2ccccc2)sc3ccccc13,CHEMBL1351426,4.9,NA
[I-].CC[n+]1c(oc2ccccc12)\C=C\Nc3ccccc3,CHEMBL1303557,4.6,NA
[I-].Cc1c(OC(=O)c2ccc(cc2)[N+](=O)[O-])c3COC(C)(C)OCc3c[n+]1C,CHEMBL1520653,5.15,NA
[I-].CCCCCCC[N+](CC)(CC)C\C=C\Cc1ccc(Cl)cc1,CHEMBL3093957,NA,8.82
[I-].CCN1\C(=C\c2ccc3cccc(C)c3[n+]2CC)\Sc4ccccc14,CHEMBL1404792,5.05,NA
[I-].CN(\C=C\C1=[N+](C)c2ccccc2C1(C)C)c3ccccc3,CHEMBL1485727,4.5,NA
[I-].COC(=O)c1ccc2c(c1)C(C)(C)C(=[N+]2C)\C=C\c3ccc(OC)c(OC)c3OC,CHEMBL1485865,4.7,NA
[I+]1c2ccccc2c3ccccc13,CHEMBL365739,5.5,NA
[K+].[O-]\N=C(/C#N)\c1nc(cs1)c2ccccc2,CHEMBL3212240,4.8,NA
[K+].[S-]C(=S)O[C@@H]1C[C@@H]2C[C@H]1[C@@H]3CCC[C@H]23,CHEMBL1491340,4.9,NA
[K+].CC(Oc1ccccc1)C(=O)NC2[C@@H]3SC(C)(C)C(N3C2=O)C(=O)[O-],CHEMBL1454780,6.6,NA
[K+].CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)[O-],CHEMBL1434858,4.5,NA
[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-]S(=O)(=O)c1ccc(NC(=O)c2cc(NC(=O)Nc3cc(cc(c3)C(=O)Nc4ccc(cc4S(=O)(=O)[O-])S(=O)(=O)[O-])C(=O)Nc5ccc(cc5S(=O)(=O)[O-])S(=O)(=O)[O-])cc(c2)C(=O)Nc6ccc(cc6S(=O)(=O)[O-])S(=O)(=O)[O-])c(c1)S(=O)(=O)[O-],CHEMBL1253351,5.7,NA
[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-]S(=O)(=O)c1cc(c2c(NC(=O)c3cccc(NC(=O)Nc4cccc(c4)C(=O)Nc5ccc(c6cc(cc(c56)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])c3)ccc(c2c1)S(=O)(=O)[O-])S(=O)(=O)[O-],CHEMBL216504,5.8,NA
[Na+].[Na+].[Na+].[Na+].Cc1nc(N=Nc2cc(c3cc(cc(c3c2)S(=O)(=O)[O-])[N+](=O)[O-])S(=O)(=O)[O-])c(COP(=O)([O-])[O-])c(C=O)c1O,CHEMBL1490919,4.8,NA
[Na+].[Na+].[Na+].[Na+].COc1cc(ccc1N=Nc2ccc3c(cc(c(N)c3c2O)S(=O)(=O)[O-])S(=O)(=O)[O-])c4ccc(N=Nc5ccc6c(cc(c(N)c6c5O)S(=O)(=O)[O-])S(=O)(=O)[O-])c(OC)c4,CHEMBL1318708,5,NA
[Na+].[Na+].[Na+].Cc1nc(N=Nc2ccc(cc2)C(=O)[O-])c(COP(=O)([O-])[O-])c(C=O)c1O,CHEMBL1316080,5,NA
[Na+].[Na+].[Na+].CCN(CC)c1ncnc2c1ncn2[C@@H]3O[C@@H](COP(=O)([O-])OP(=O)([O-])C(Br)(Br)P(=O)(O)[O-])[C@H](O)[C@@H]3O,CHEMBL1591830,4.4,NA
[Na+].[Na+].[Na+].Nc1c2C(=O)c3ccccc3C(=O)c2c(Nc4ccc(Nc5nc(Cl)nc(Nc6ccc(cc6)S(=O)(=O)[O-])n5)c(c4)S(=O)(=O)[O-])cc1S(=O)(=O)[O-],CHEMBL1365553,4.6,NA
[Na+].[Na+].[O-]c1c(Cl)cc(Cl)cc1Sc2cc(Cl)cc(Cl)c2[O-],CHEMBL1447476,4.8,NA
[Na+].[Na+].[O-]S(=O)(=O)c1cc(ccc1\C=C\c2ccc(cc2S(=O)(=O)[O-])N=C=S)N=C=S,CHEMBL133930,4.9,NA
[Na+].[Na+].Cc1cc(ccc1N=Nc2cc(c3ccccc3c2N)S(=O)(=O)[O-])c4ccc(N=Nc5cc(c6ccccc6c5N)S(=O)(=O)[O-])c(C)c4,CHEMBL1471289,4.6,NA
[Na+].[Na+].CC1CC2C3CCC4=CC(=O)C=C[C@@]4(C)[C@]3(F)C(O)C[C@]2(C)[C@]1(O)C(=O)COP(=O)([O-])[O-],CHEMBL1493740,4.4,NA
[Na+].[Na+].Cc1ccc(cc1)S(=O)(=O)Oc2ccc(cc2)N=Nc3ccc(cc3C)c4ccc(N=Nc5c(O)ccc6cc(cc(c56)S(=O)(=O)[O-])S(=O)(=O)[O-])c(C)c4,CHEMBL1559341,4.6,NA
[Na+].[Na+].O[C@@H]1[C@H](O)[C@@H](O[C@H]1COP(=O)([O-])OP(=O)(O)[O-])N2C=CC(=O)NC2=O,CHEMBL1596534,6.1,NA
[Na+].[NH-]S(=O)(=O)Cc1noc2ccccc12,CHEMBL1514931,4.5,NA
[Na+].[O-]C(=O)c1[nH]c2cc(Cl)cc(Cl)c2c1\C=C\C(=O)Nc3ccccc3,CHEMBL419045,4.8,NA
[Na+].[O-]C(=O)c1cccc(Cc2cc(Cl)ccc2OCc3ccc(F)cc3Cl)n1,CHEMBL513491,4.46,NA
[Na+].[O-]C(=O)c1oc2ccc(Cc3cccnc3)cc2c1,CHEMBL36028,4.6,NA
[Na+].[O-]C(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,CHEMBL1034,5,NA
[Na+].C[C@@H](Cc1ccc(OCC(=O)[O-])cc1)NC[C@H](O)c2cccc(Cl)c2,CHEMBL1357401,4.6,NA
[Na+].C[C@H](Oc1ccc(Oc2cnc3ccc(Cl)cc3n2)cc1)C(=O)[O-],CHEMBL1592257,4.7,NA
[Na+].c1nc[n-]n1,CHEMBL1377189,4.5,NA
[Na+].CC(=O)[C@@H]1CC[C@@H]2[C@@H]3CC=C4C[C@@H](CC[C@@]4(C)[C@H]3CC[C@@]12C)OS(=O)(=O)[O-],CHEMBL1513685,4.9,NA
[Na+].CC(=O)OCC1=C(N2[C@@H](SC1)[C@H](NC(=O)Cc3cccs3)C2=O)C(=O)[O-],CHEMBL1370610,4.9,NA
[Na+].CC(=O)OCC1=C(N2[C@@H](SC1)[C@H](NC(=O)CSc3ccncc3)C2=O)C(=O)[O-],CHEMBL1314545,4.9,NA
[Na+].CC(=O)OCC1=C(N2[C@@H](SC1)C(NC(=O)CSc3ccncc3)C2=O)C(=O)[O-],CHEMBL1321510,4.5,NA
[Na+].CC(=O)OCC1=C(N2C(SC1)C(NC(=O)Cc3cccs3)C2=O)C(=O)[O-],CHEMBL263932,4.5,NA
[Na+].CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)[O-])n2Cc3ccc(Cl)cc3,CHEMBL416657,4.7,NA
[Na+].CC[C@@](O)(C(=O)[O-])C1=C(CO)C(=O)N2Cc3cc4ccccc4nc3C2=C1,CHEMBL164269,5.5,NA
[Na+].CC[C@@H]([C@H]1O[C@@](CC)(C[C@H]1C)[C@@H]2CC[C@@](O)(CC)[C@H](C)O2)C(=O)[C@H](C)[C@H](O)[C@H](C)CCc3ccc(C)c(O)c3C(=O)[O-],CHEMBL1402314,5.1,NA
[Na+].CC[Hg]Sc1ccccc1C(=O)[O-],CHEMBL508338,5.5,NA
[Na+].CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-],CHEMBL1200758,4.4,NA
[Na+].Cc1c2C(=O)C(=O)c3c4CCCC(C)(C)c4ccc3c2oc1S(=O)(=O)[O-],CHEMBL1473252,5,NA
[Na+].Cc1cc(C)c(NC(=O)C[C@H](CC(=O)[O-])c2cccc3ccccc23)c(c1)C(=O)N4CCC5(CCCC5)CC4,CHEMBL1335406,4.8,NA
[Na+].Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl,CHEMBL876,4.6,NA
[Na+].Cc1nnc(SCC2=C(N3[C@@H](SC2)[C@H](NC(=O)Cn4cnnn4)C3=O)C(=O)[O-])s1,CHEMBL1475140,4.5,NA
[Na+].CCC(C1CCC(C)C(O1)C(C)C(O)C(C)C(=O)C(CC)C2OC3(O[C@]4(CC[C@@](C)(O4)C5CC[C@@](O)(CC)C(C)O5)C(O)C=C3)C(C)CC2C)C(=O)[O-],CHEMBL1408808,4.4,NA
[Na+].CCC(C1OC(CC)(CC1C)C2CC[C@@](O)(CC)C(C)O2)C(=O)C(C)C(O)C(C)CCc3ccc(C)c(O)c3C(=O)[O-],CHEMBL1365339,4.7,NA
[Na+].CCCC(C)C1(CC)C(=O)NC(=NC1=O)[S-],CHEMBL738,5.2,NA
[Na+].CCCC(C)C1(CC=C)C(=O)NC(=NC1=O)[S-],CHEMBL1201065,4.9,NA
[Na+].CCCC(CCC)C(=O)[O-],CHEMBL433,5.8,NA
[Na+].CCCCCN(CCCCC)C(=O)[C@H](CCC(=O)[O-])NC(=O)c1ccc(Cl)c(Cl)c1,CHEMBL1315743,4.6,NA
[Na+].CCOc1ccc(cn1)c2ccc(c(CN(CC)C(=O)C3CC3)c2)c4cc(CC(=O)[O-])ccc4OC,CHEMBL1668898,8.7,NA
[Na+].CN1C(=C([O-])c2ccccc2S1(=O)=O)C(=O)Nc3ncc(C)s3,CHEMBL1256873,4.9,NA
[Na+].Cn1nnnc1SCC2=C(N3C(SC2)C(NC(=O)C(O)c4ccccc4)C3=O)C(=O)[O-],CHEMBL1485048,7.2,NA
[Na+].COc1cccc(C2=C(C)N(Cc3c(F)cccc3C(F)(F)F)C(=O)N(C[C@H](NCCCC(=O)[O-])c4ccccc4)C2=O)c1F,CHEMBL502182,4.25,NA
[Na+].COc1cnc(nc1)c2ccc(Cn3c(CC(C)(C)C(=O)[O-])c(SC(C)(C)C)c4cc(OCc5ccc(C)cn5)ccc34)cc2,CHEMBL1210423,5.06,NA
[Na+].NC(=S)c1ccc[n+](c1)[C@@H]2O[C@@H](COP(=O)([O-])OP(=O)(O)OC[C@@H]3O[C@H]([C@@H](OP(=O)(O)[O-])[C@H]3O)n4cnc5c(N)ncnc45)[C@@H](O)[C@H]2O,CHEMBL1406513,4.9,NA
[Na+].Nc1ccc(cc1)S(=O)(=O)[N-]c2cnc3ccccc3n2,CHEMBL1527324,4.6,NA
[O-][N+](=O)\C(=C\C(=C1N(Cc2ccc(Cl)nc2)CCN1Cc3ccc(Cl)nc3)[N+](=O)[O-])\Cl,CHEMBL1313693,4.85,NA
[O-][N+](=O)\C=C\c1cn(Cc2ccccc2)c3ccccc13,CHEMBL1471612,5.85,NA
[O-][N+](=O)C1=C(NC2CCCCC2)C3=NC4(CCCCC4)[N+](=C3C=C1)[O-],CHEMBL1441066,5.5,NA
[O-][N+](=O)C1=CC(=CN(Cc2c(Cl)cccc2Cl)C1=O)C(F)(F)F,CHEMBL1575145,4.85,NA
[O-][N+](=O)c1c2ccccc2cc3ccccc13,CHEMBL166112,5,NA
[O-][N+](=O)c1cc(\C=C(/C#N)\c2nc3ccccc3[nH]2)ccc1N4CCCC4,CHEMBL1387322,5.8,NA
[O-][N+](=O)c1cc(\C=C(\C#N)/c2nc3ccccc3[nH]2)ccc1N4CCCC4,CHEMBL1585050,5.55,NA
[O-][N+](=O)c1cc(\C=N/OC(=O)c2c(F)cccc2F)ccc1N3CCCCC3,CHEMBL3194362,4.9,NA
[O-][N+](=O)c1cc(\C=N\NC(=O)c2ccccn2)ccc1Sc3nc4ccccc4s3,CHEMBL3198484,5.45,NA
[O-][N+](=O)c1cc(C(=O)NCC=C)c2N=C(Nc3ccc(Cl)c(Cl)c3)NC(=O)c2c1,CHEMBL586058,5,NA
[O-][N+](=O)c1cc(c2[nH]c3c(nc(CN4CCOCC4)nc3c2c1)N5CCN(CCc6ccc(F)c(F)c6)CC5)[N+](=O)[O-],CHEMBL284024,4.37,NA
[O-][N+](=O)c1cc(cc(c1)[N+](=O)[O-])C(=O)NCc2cn(nc2c3ccccc3)c4ccccc4,CHEMBL1344080,5.6,NA
[O-][N+](=O)c1cc(cc(c1Cl)[N+](=O)[O-])C(F)(F)F,CHEMBL144530,4.6,NA
[O-][N+](=O)c1cc(cc(c1Oc2ccc3C4=C(CCCC4)C(=O)Oc3c2)[N+](=O)[O-])C(F)(F)F,CHEMBL1324640,4.85,NA
[O-][N+](=O)c1cc(cc2c1sc(C(=O)N3CCCCC3)[n+]2[O-])C(F)(F)F,CHEMBL3742347,5.41,NA
[O-][N+](=O)c1cc(cc2nc(sc12)C3=N[C@@H](CO3)C(=O)N4CCCC4)C(F)(F)F,CHEMBL3739863,4.73,NA
[O-][N+](=O)c1cc(ccc1N2CCCC2=O)S(=O)(=O)Oc3cccc(Cl)c3,CHEMBL1467355,4.9,NA
[O-][N+](=O)c1cc(ccc1N2CCCCC2)C(=O)N(Cc3ccccc3)c4ccccn4,CHEMBL1451875,5.45,NA
[O-][N+](=O)c1cc(ccc1N2CCOCC2)C(=O)Nc3ccc(cc3)c4oc5ccccc5n4,CHEMBL1555483,4.95,NA
[O-][N+](=O)c1cc(ccc1NCCCCNS(=O)(=O)c2ccc3ccccc3c2)C(F)(F)F,CHEMBL1556272,4.85,NA
[O-][N+](=O)c1cc(ccc1Oc2ccc(\C=C(/C#N)\c3nc4ccccc4[nH]3)cc2)C(F)(F)F,CHEMBL1327836,4.95,NA
[O-][N+](=O)c1cc(ccc1SCC(=O)Nc2ccccc2)C(F)(F)F,CHEMBL1335352,4.8,NA
[O-][N+](=O)c1cc(Cl)ccc1C(=O)NCc2ccc(Cl)cc2,CHEMBL1308884,4.9,NA
[O-][N+](=O)c1cc(Cl)ccc1C(=O)NCc2ccccc2,CHEMBL1524401,4.65,NA
[O-][N+](=O)c1cc(Cl)ccc1N2CCN(CC2)C(=O)CSc3ccc(Cl)cc3,CHEMBL1416235,6.2,NA
[O-][N+](=O)c1cc(Cl)ccc1OCc2oc(cc2)C(=O)NC34CC5CC(CC(C5)C3)C4,CHEMBL1340893,4.8,NA
[O-][N+](=O)c1cc(F)c(cc1N2CCCCC2)N3CCOCC3,CHEMBL1564977,4.75,NA
[O-][N+](=O)c1cc(NC(=O)c2ccc(Cl)cc2)cc(Sc3ccccn3)c1,CHEMBL1588349,5.1,NA
[O-][N+](=O)c1cc2C(=O)c3ccccc3c2cc1[N+](=O)[O-],CHEMBL512908,6.3,NA
[O-][N+](=O)c1cc2OCOc2cc1\C=N\c3ccccc3,CHEMBL3195211,4.7,NA
[O-][N+](=O)c1cc2OCOc2cc1\C=N\Nc3nc(Nc4ccccc4)nc(n3)N5CCCCC5,CHEMBL3213530,5.15,NA
[O-][N+](=O)c1ccc(\C=C(/NC(=O)c2ccccc2)\C(=O)Nc3cccc4ccccc34)cc1,CHEMBL1423135,5.95,NA
[O-][N+](=O)c1ccc(\C=N\n2c(S)nnc2COc3ccccc3)cc1,CHEMBL3197180,4.8,NA
[O-][N+](=O)c1ccc(\C=N\NC(=O)c2ccccc2Br)s1,CHEMBL3197506,4.65,NA
[O-][N+](=O)c1ccc(C(=O)Nc2nc[nH]n2)c(c1)[N+](=O)[O-],CHEMBL1431665,4.85,NA
[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])S(=O)(=O)Cc2ccccc2,CHEMBL1489424,6.5,NA
[O-][N+](=O)c1ccc(C2CCCC/C/2=N/OCc3ccccc3F)c(c1)[N+](=O)[O-],CHEMBL3199291,5.45,NA
[O-][N+](=O)c1ccc(C2CCCC/C/2=N\OCc3cccc(F)c3)c(c1)[N+](=O)[O-],CHEMBL3192460,4.85,NA
[O-][N+](=O)c1ccc(cc1)C(=O)[C@@H](Br)[C@@H](Br)c2ccnc3ccccc23,CHEMBL1334357,5.5,NA
[O-][N+](=O)c1ccc(cc1)C(=O)COC(=O)\C(=C/c2ccc(Cl)cc2)\NC(=O)c3ccccc3,CHEMBL1506008,4.65,NA
[O-][N+](=O)c1ccc(cc1)C(=O)N(CCCCN2C(=O)c3ccccc3C2=O)c4ccc(Cl)cc4,CHEMBL1543168,4.6,NA
[O-][N+](=O)c1ccc(cc1)C(=O)NC(=S)Nc2ccc(cc2)C(=O)N3CCOCC3,CHEMBL1459217,5.85,NA
[O-][N+](=O)c1ccc(cc1)C(=O)Nc2cc(Sc3ccccn3)cc(c2)[N+](=O)[O-],CHEMBL1468432,5.1,NA
[O-][N+](=O)c1ccc(cc1)C(=O)Nc2ncc(Cc3cc(Cl)ccc3Cl)s2,CHEMBL1568946,5.2,NA
[O-][N+](=O)c1ccc(cc1)c2c[nH]c(SCc3ccccc3Cl)n2,CHEMBL1607650,4.85,NA
[O-][N+](=O)c1ccc(cc1)C2C3N2C4(CCCCC4)N=C3c5ccccc5,CHEMBL1413738,4.8,NA
[O-][N+](=O)c1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,CHEMBL17331,6.8,NA
[O-][N+](=O)c1ccc(cc1)c2nnc(NC(=O)CN3CCCCC3)s2,CHEMBL1538647,5.1,NA
[O-][N+](=O)c1ccc(cc1)N2CCC(=NOCc3ccc(Cl)cc3)CC2,CHEMBL1392213,4.45,NA
[O-][N+](=O)c1ccc(cc1)S(=O)(=O)N2CCC(CN3CCC(CC3)c4noc5cc(F)ccc45)CC2,CHEMBL3741292,NA,5.42
[O-][N+](=O)c1ccc(cc1)S(=O)(=O)Nc2ccc(cc2)c3csc(n3)c4ccccc4,CHEMBL1580116,4.85,NA
[O-][N+](=O)c1ccc(cc1NCc2ccccc2)N3CCCC3,CHEMBL1401933,4.8,NA
[O-][N+](=O)c1ccc(CCN(CCF)CCOc2ccc(cc2)[N+](=O)[O-])cc1,CHEMBL3590447,NA,7.19
[O-][N+](=O)c1ccc(CCN(CCOc2ccc(cc2)[N+](=O)[O-])C(=O)C(F)(F)F)cc1,CHEMBL3590451,NA,6.45
[O-][N+](=O)c1ccc(CCN(CCOc2ccc(cc2)[N+](=O)[O-])CC#N)cc1,CHEMBL3590448,NA,6.69
[O-][N+](=O)c1ccc(CCN2CCN(CC2)C(=O)Cc3ccc(cc3)[N+](=O)[O-])cc1,CHEMBL2441430,NA,7.34
[O-][N+](=O)c1ccc(CCN2CCN(CC2)C(=O)Cc3ccc(cc3)n4cnnn4)cc1,CHEMBL2441433,NA,6.8
[O-][N+](=O)c1ccc(CCN2CCN(CC2)C(=O)Cc3ccc4C(=O)OCc4c3)cc1,CHEMBL2441431,NA,5.89
[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc(cc3)[N+](=O)[O-])CC2)cc1,CHEMBL2146755,NA,8.3
[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc(cc3)C#N)CC2)cc1,CHEMBL2146757,NA,8.05
[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc(cc3)c4cccc5C(=O)OCc45)CC2)cc1,CHEMBL2146856,NA,6.82
[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc(cc3)c4occn4)CC2)cc1,CHEMBL2146854,NA,7.33
[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc(cc3)n4cnnn4)CC2)cc1,CHEMBL2441429,NA,7.96
[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc(F)cc3)CC2)cc1,CHEMBL2146858,NA,7.64
[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc4C(=O)OCc4c3)CC2)cc1,CHEMBL3612795,NA,6.82
[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc4nonc4c3)CC2)cc1,CHEMBL2146853,NA,7.6
[O-][N+](=O)c1ccc(CCN2CCN(CCc3cccc(c3)C#N)CC2)cc1,CHEMBL2146852,NA,7.66
[O-][N+](=O)c1ccc(CCN2CCNCC2)cc1,CHEMBL2146754,NA,6.72
[O-][N+](=O)c1ccc(CCNCCOc2ccc(cc2)[N+](=O)[O-])cc1,CHEMBL3590444,NA,7.33
[O-][N+](=O)c1ccc(Cl)c(c1)C(=O)Nc2ccccc2,CHEMBL375270,4.6,NA
[O-][N+](=O)c1ccc(Cl)c(c1)C(=O)Nc2ccncc2,CHEMBL510698,5.9,NA
[O-][N+](=O)c1ccc(Cl)c(c1)S(=O)(=O)N2CCC(CC2)C(=O)OCC(=O)Nc3ncc(Cl)cc3Cl,CHEMBL1386397,5.3,NA
[O-][N+](=O)c1ccc(N2CCCCC2)c(c1)C(=O)c3ccc(Br)cc3,CHEMBL1333449,5.45,NA
[O-][N+](=O)c1ccc(N2CCCCCC2)c(c1)S(=O)(=O)N3CCCCC3,CHEMBL1320272,5.3,NA
[O-][N+](=O)c1ccc(N2CCN(Cc3ccccc3)CC2)c(c1)S(=O)(=O)N4CCOCC4,CHEMBL1518419,4.9,NA
[O-][N+](=O)c1ccc(N2CCN(CCOc3nonc3c4ccccc4)CC2)c(Cl)c1,CHEMBL1485450,4.85,NA
[O-][N+](=O)c1ccc(NC(=O)\C(=C\c2cccc(c2)[N+](=O)[O-])\NC(=O)C3CCCCC3)cc1,CHEMBL1381203,6.25,NA
[O-][N+](=O)c1ccc(Nc2nc(N\N=C/c3ccc4OCOc4c3)nc(n2)N5CCCCC5)cc1,CHEMBL3195443,5.9,NA
[O-][N+](=O)c1ccc(Nc2nc3ccccc3s2)cc1,CHEMBL1448896,5.3,NA
[O-][N+](=O)c1ccc(NCCCCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)c6nonc16,CHEMBL3805898,NA,7.6
[O-][N+](=O)c1ccc(NCCNC(=O)c2ccccc2Br)cc1,CHEMBL1489549,4.55,NA
[O-][N+](=O)c1ccc(Oc2cccc(\C=N\NC(=O)c3cncc(Br)c3)c2)c(c1)[N+](=O)[O-],CHEMBL1732228,5.9,NA
[O-][N+](=O)c1ccc(OCC(=O)Nc2ccc(cc2)C(=O)NCc3cccnc3)cc1,CHEMBL1386058,4.9,NA
[O-][N+](=O)c1ccc(OCC(=O)NN=C2CCCC2)cc1,CHEMBL1507561,4.6,NA
[O-][N+](=O)c1ccc2[nH]c3c(ncnc3c2c1)N4CCN(CCc5ccc(F)c(F)c5)CC4,CHEMBL25867,4.9,NA
[O-][N+](=O)c1ccc2[nH]cnc2c1,CHEMBL164921,4.6,NA
[O-][N+](=O)c1ccc2C(=O)n3c(nc4ccccc34)c5cccc1c25,CHEMBL1477279,6.05,NA
[O-][N+](=O)c1ccc2C(=O)NC(=O)c2c1,CHEMBL1607202,4.8,NA
[O-][N+](=O)c1ccc2CCc3cccc1c23,CHEMBL423081,4.5,NA
[O-][N+](=O)c1ccc2cn[nH]c2c1,CHEMBL54277,4.9,NA
[O-][N+](=O)c1ccc2nc(ccc2c1)N3CCNCC3,CHEMBL41140,5,NA
[O-][N+](=O)c1ccc2nc(SCC(=O)c3ccc4ccccc4c3)sc2c1,CHEMBL1405043,5.4,NA
[O-][N+](=O)c1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,CHEMBL1824037,NA,4.61
[O-][N+](=O)c1ccc2sc(cc2c1)C(=O)N\N=C\c3cccc4ccc(OCC=C)cc34,CHEMBL1995254,5.6,NA
[O-][N+](=O)c1cccc(\C=C(/NC(=O)c2ccccc2)\C(=O)N\N=C\c3occc3)c1,CHEMBL3193950,5.95,NA
[O-][N+](=O)c1cccc(\C=N/NC2=CS(=O)(=O)C=C2)c1,CHEMBL1418097,5.3,NA
[O-][N+](=O)c1cccc(\C=N\Nc2cc(Cl)nc(n2)c3ccccc3)c1,CHEMBL3208403,4.75,NA
[O-][N+](=O)c1cccc(c1)\C(=N\N=C\c2ccccc2Br)\C34CN5CN(CN(C5)C3)C4,CHEMBL3209650,4.5,NA
[O-][N+](=O)c1cccc(c1)C(=O)N(CCCCN2C(=O)c3ccccc3C2=O)c4ccc(Cl)cc4,CHEMBL1531376,4.95,NA
