v_id	ngl	gdb_id_mappings	cdr_length	surface_cdr_hydrophobicity	positive_cdr_charge	negative_cdr_charge	sfvcsp
VR000000069	VR000000069	"TPP000005697, PPB000020249, TM3B615.001"	43	118.14600372314453	0	0	-4
VR000000070	VR000000070	"TPP000031859, PPB000032032, GTRB214.001"	47	123.92330169677734	0.3995000123977661	0.12839999794960022	2
VR000000074	VR000000074	"TPP000005710, PPB000002578, TM3B563.001"	43	125.21389770507812	0	0.11999999731779099	6
VR000000077	VR000000077	"TPP000005716, PPB000037147, PPB000023286, C01B17.002, C01B17.001"	52	125.75849914550781	0.36079999804496765	0	16
VR000000078	VR000000078	"TPP000005729, PPB000036938, PPB000023073, C01B68.002, C01B68.001"	45	123.0875015258789	0	0.33809998631477356	4
VR000000080	VR000000080	"TPP000025290, TPP000025289, PPB000021035, PPB000036754, I23B73.001, I23B84.001"	55	116.62310028076172	0.0689999982714653	0.10849999636411667	12.399999618530273
VR000000082	VR000000082	"TPP000006577, PPB000016508, DDRB40.001"	49	129.02740478515625	0	0	-1.7999999523162842
VR000000087	VR000000087	"TPP000021366, PPB000059360, PPB000036999, C01B84.001, C01B84.002"	49	129.7834930419922	0.11100000143051147	1.5161999464035034	-0.9900000095367432
VR000000091	VR000000091	"TPP000006599, PPB000020219, TM3B619.001"	46	126.16790008544922	0.011300000362098217	0.06369999796152115	0.6000000238418579
VR000000100	VR000000100	"TPP000025500, PPB000044694, GTRB262.001"	45	121.55719757080078	0.007899999618530273	0	1.3200000524520874
VR000000101	VR000000101	"TPP000006618, PPB000002281, R89B29.001"	43	154.6833038330078	1.1620999574661255	0	8
VR000000102	VR000000102	"TPP000006621, PPB000002225, R89B21.001"	43	123.57969665527344	1.079200029373169	0	0.4099999964237213
VR000000107	VR000000107	"TPP000031723, PPB000016088, AT2B17.001"	48	134.44459533691406	0	0.3037000000476837	2.4000000953674316
VR000000114	VR000000114	"TPP000025422, PPB000025239, IL4B218.001"	49	131.17669677734375	0	0.0544000007212162	-2.0999999046325684
VR000000123	VR000000123	"TPP000019560, PPB000041499, DR4B684.001"	43	136.96969604492188	0	0.25200000405311584	0
VR000000128	VR000000128	"TPP000006711, PPB000002539, TM3B568.001"	49	160.3784942626953	0.014499999582767487	0.35569998621940613	4.400000095367432
VR000000146	VR000000146	"TPP000022224, PPB000050233, PPB000021224, PPB000010999, TL1B36.001, TL1B36.003, TL1B36.002"	49	145.03819274902344	0.10010000318288803	0.3677000105381012	4.400000095367432
VR000000152	VR000000152	"TPP000006739, PPB000032564, A02B30.001"	45	144.02029418945312	0.01769999973475933	0.06889999657869339	8.199999809265137
VR000000153	VR000000153	"TPP000031754, PPB000057504, TGTB312.001"	50	121.4552993774414	0.11469999700784683	0	9.600000381469727
VR000000163	VR000000163	"TPP000026188, PPB000045157, OX4B61.001"	48	134.8677978515625	0.20409999787807465	0.04670000076293945	4.400000095367432
VR000000166	VR000000166	"TPP000006768, PPB000035692, COVB82.001"	48	136.66299438476562	0	0	0
VR000000168	VR000000168	"TPP000006788, TPP000006785, PPB000023789, PPB000034810, PPB000028582, CDHB150.001, CDHB294.001, CDHB150.002"	46	123.71199798583984	0.035999998450279236	1.5286999940872192	1
VR000000170	VR000000170	"TPP000006794, PPB000033495, B76B547.001"	45	119.25990295410156	0	1.2652000188827515	-2
VR000000182	VR000000182	"TPP000006806, PPB000033500, B76B548.001"	45	119.8052978515625	0	1.2652000188827515	-2
VR000000195	VR000000195	"TPP000015393, PPB000035717, GFIB23.001"	46	124.49669647216797	0.0071000000461936	0.2768000066280365	-4.199999809265137
VR000000199	VR000000199	"TPP000025116, PPB000023900, CDHB181.001"	53	141.32589721679688	0	1.6151000261306763	-3
VR000000200	VR000000200	"TPP000026358, PPB000023895, CDHB180.001"	49	118.84359741210938	0	0	-1.600000023841858
VR000000201	VR000000201	"TPP000006864, PPB000024348, PPB000023906, CDHB182.002, CDHB182.001"	53	119.40190124511719	0	1.8461999893188477	-3
VR000000202	VR000000202	"TPP000006866, PPB000008451, A01B2.001"	44	132.7404022216797	0	0	4
VR000000226	VR000000226	"TPP000015380, PPB000011219, MHGB570.001"	45	131.7010955810547	0	0.13289999961853027	9.300000190734863
VR000000227	VR000000227	"TPP000006876, PPB000058925, MHGB571.001"	47	137.67140197753906	0	0	3.0999999046325684
VR000000235	VR000000235	"TPP000017849, PPB000028656, AT2B39.001"	50	146.17320251464844	0.007699999958276749	0	3.5199999809265137
VR000000241	VR000000241	"TPP000006887, PPB000028681, AT2B43.001"	43	137.4864044189453	0.0406000018119812	0	0.5
VR000000242	VR000000242	"TPP000006890, PPB000028673, AT2B42.001"	43	119.62689971923828	0.0005000000237487257	0	0.4099999964237213
VR000000243	VR000000243	"TPP000025340, PPB000035710, GFIB22.001"	54	128.18179321289062	0	0.17560000717639923	6
VR000000244	VR000000244	"TPP000006899, PPB000033516, B76B552.001"	45	119.80940246582031	0	1.2652000188827515	-2
VR000000245	VR000000245	"TPP000006914, PPB000033529, B76B554.001"	45	117.64900207519531	0	1.2652000188827515	-2
VR000000246	VR000000246	"TPP000006917, PPB000033533, B76B555.001"	45	125.84130096435547	0	1.26419997215271	-2
VR000000247	VR000000247	"TPP000006920, PPB000052758, B76B556.001"	45	123.06169891357422	0	1.26419997215271	-0.20000000298023224
VR000000248	VR000000248	"TPP000006923, PPB000033536, B76B557.001"	45	125.064697265625	0	1.26419997215271	-2.200000047683716
VR000000249	VR000000249	"TPP000006904, TPP000006900, TPP000006924, PPB000024625, PPB000020112, PPB000012731, PPB000011155, PPB000033545, PPB000029012, B76B511.003, B76B511.002, B76B434.001, B76B511.001, B76B559.001, B76B434.002"	45	119.85579681396484	0	1.2652000188827515	-2
VR000000250	VR000000250	"TPP000006927, PPB000033541, B76B558.001"	45	118.08930206298828	0	1.2652000188827515	-4
VR000000251	VR000000251	"TPP000006930, PPB000033521, B76B553.001"	45	121.2603988647461	0	1.2652000188827515	-1
VR000000253	VR000000253	"TPP000019415, PPB000007044, PD1B665.001"	48	143.9394073486328	0.1404999941587448	0.11500000208616257	2.299999952316284
VR000000255	VR000000255	"TPP000006937, PPB000033510, B76B550.001"	45	119.85579681396484	0	1.2652000188827515	-2
VR000000256	VR000000256	"TPP000021859, PPB000044646, GTRB240.001"	49	124.77449798583984	0.051500000059604645	1.4704999923706055	-1
VR000000257	VR000000257	"TPP000006943, PPB000033505, B76B549.001"	45	120.1447982788086	0	1.2652000188827515	-2
VR000000258	VR000000258	"TPP000021470, PPB000037137, PPB000023276, PPB000021568, C01B20.002, C01B20.001, C01B20.003"	47	138.34219360351562	0	1.7861000299453735	-1.4700000286102295
